date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"20,513,541","857,508,072",42.4,42.75,41.5,41.85,-0.50,"5,867"
107/07/03,"34,388,265","1,453,312,764",43.25,43.25,41.9,42.75,+0.90,"6,952"
107/07/04,"25,563,782","1,075,916,194",42.5,42.5,41.6,42.0,-0.75,"7,673"
107/07/05,"18,790,046","791,116,269",42.0,42.4,41.8,42.05,+0.05,"5,623"
107/07/06,"26,209,289","1,091,914,907",41.9,41.95,41.1,41.6,-0.45,"5,924"
107/07/09,"26,644,457","1,123,904,720",41.75,42.95,41.6,42.75,+1.15,"7,341"
107/07/10,"24,120,841","1,034,485,079",43.0,43.3,42.5,43.25,+0.50,"6,096"
107/07/11,"22,068,439","937,227,715",42.6,42.6,41.9,42.15,-1.10,"5,989"
107/07/12,"18,872,958","802,766,746",42.15,43.1,41.95,42.7,+0.55,"5,304"
107/07/13,"24,671,854","1,068,270,337",43.35,43.75,42.8,43.5,+0.80,"6,853"
107/07/16,"17,398,391","747,174,218",43.5,43.5,42.4,42.5,-1.00,"5,077"
107/07/17,"16,189,546","685,020,315",42.5,42.8,42.1,42.15,-0.35,"5,110"
107/07/18,"19,716,943","830,361,922",42.6,42.75,42.15,42.25,+0.10,"7,234"
107/07/19,"22,569,735","961,288,315",42.3,42.9,42.25,42.75,+0.50,"5,315"
107/07/20,"20,815,274","885,650,766",42.8,43.05,42.1,42.3,-0.45,"4,637"
107/07/23,"22,008,374","934,482,174",42.45,42.8,42.2,42.65,+0.35,"4,150"
107/07/24,"59,365,765","2,621,868,391",42.8,45.7,42.65,45.5,+2.85,"15,058"
107/07/25,"30,954,635","1,397,059,833",45.15,45.5,44.7,45.1,-0.40,"8,136"
107/07/26,"67,824,850","2,774,277,546",40.8,42.2,40.1,40.5,X0.00,"16,113"
107/07/27,"36,900,987","1,505,512,659",40.8,41.65,40.3,40.3,-0.20,"11,472"
107/07/30,"28,794,120","1,174,692,446",40.5,41.25,40.5,40.7,+0.40,"7,233"
107/07/31,"76,723,044","3,035,328,017",39.3,39.65,39.1,39.35,-1.35,"17,489"
107/08/01,"70,064,835","2,833,566,096",39.7,41.4,39.55,41.05,+1.70,"14,504"
107/08/02,"46,511,022","1,897,485,402",40.95,41.1,40.45,40.6,-0.45,"10,396"
107/08/03,"33,912,738","1,384,132,518",40.8,41.35,40.4,40.45,-0.15,"8,134"
107/08/06,"26,164,162","1,054,229,065",40.45,40.75,40.2,40.35,-0.10,"5,191"
107/08/07,"27,766,431","1,119,603,560",40.4,40.6,40.15,40.15,-0.20,"5,118"
107/08/08,"32,936,560","1,338,144,789",40.4,41.05,40.35,40.6,+0.45,"7,521"
107/08/09,"32,275,299","1,298,292,243",40.5,40.85,40.1,40.5,-0.10,"9,497"
107/08/10,"30,858,256","1,270,055,781",40.65,41.7,40.6,41.5,+1.00,"10,542"
107/08/13,"74,787,878","3,184,643,920",42.65,43.7,41.85,42.15,+0.65,"21,254"
107/08/14,"36,990,116","1,590,025,172",42.2,43.65,42.2,43.3,+1.15,"10,489"
107/08/15,"28,580,192","1,224,983,480",43.55,43.55,42.35,42.35,-0.95,"11,132"
107/08/16,"19,196,595","801,341,790",41.85,42.15,41.25,42.0,-0.35,"7,483"
107/08/17,"19,548,050","830,911,550",42.3,43.0,42.0,42.05,+0.05,"8,236"
107/08/20,"20,795,415","874,153,958",42.6,42.6,41.8,42.0,-0.05,"4,424"
107/08/21,"12,728,530","539,240,833",42.2,42.9,41.9,42.9,+0.90,"4,991"
107/08/22,"17,837,544","766,137,392",42.8,43.2,42.6,42.95,+0.05,"5,647"
107/08/23,"15,462,708","664,008,698",43.1,43.4,42.55,43.1,+0.15,"5,985"
107/08/24,"15,904,932","680,197,617",43.0,43.05,42.6,42.8,-0.30,"5,821"
