date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"162,385","2,072,406",12.85,12.85,12.7,12.85, 0.00,80
107/07/03,"549,042","7,096,484",13.1,13.15,12.8,12.8,-0.05,205
107/07/04,"215,962","2,742,014",12.8,12.8,12.65,12.75,-0.05,83
107/07/05,"204,569","2,593,903",12.7,12.75,12.55,12.75, 0.00,98
107/07/06,"341,592","4,302,827",12.65,12.65,12.55,12.6,-0.15,150
107/07/09,"232,426","2,963,078",12.6,12.9,12.55,12.85,+0.25,123
107/07/10,"222,889","2,856,530",12.8,12.9,12.7,12.8,-0.05,112
107/07/11,"181,863","2,313,649",12.8,12.8,12.65,12.75,-0.05,82
107/07/12,"240,940","3,081,833",12.7,12.85,12.7,12.8,+0.05,83
107/07/13,"377,602","4,917,605",12.9,13.1,12.9,13.05,+0.25,154
107/07/16,"1,242,221","16,604,655",13.15,13.5,13.15,13.45,+0.40,410
107/07/17,"641,328","8,618,843",13.45,13.5,13.35,13.45, 0.00,178
107/07/18,"688,056","9,347,303",13.5,13.7,13.45,13.6,+0.15,256
107/07/19,"1,297,272","17,944,927",13.65,14.05,13.5,13.95,+0.35,340
107/07/20,"1,108,589","15,340,475",14.0,14.0,13.7,13.75,-0.20,265
107/07/23,"1,224,610","16,959,455",13.7,14.05,13.55,14.05,+0.30,318
107/07/24,"2,580,779","36,153,806",14.0,14.1,13.9,14.05, 0.00,813
107/07/25,"782,309","10,959,426",14.0,14.05,13.95,14.0,-0.05,251
107/07/26,"8,163,519","119,878,044",14.05,15.25,14.0,15.05,+1.05,"2,129"
107/07/27,"4,519,422","68,171,389",15.1,15.35,14.9,15.15,+0.10,"1,229"
107/07/30,"2,585,963","39,346,185",15.15,15.45,14.95,15.2,+0.05,860
107/07/31,"2,072,961","30,840,117",15.15,15.15,14.75,14.75,-0.45,674
107/08/01,"2,880,095","43,309,071",14.7,15.35,14.65,15.1,+0.35,941
107/08/02,"3,715,313","56,408,630",15.2,15.45,15.0,15.15,+0.05,"1,220"
107/08/03,"2,773,818","40,990,559",14.65,14.9,14.65,14.8,X0.00,868
107/08/06,"908,370","13,484,135",14.85,14.95,14.75,14.75,-0.05,357
107/08/07,"1,293,432","18,908,111",14.8,14.8,14.5,14.55,-0.20,473
107/08/08,"1,155,325","16,979,672",14.55,14.85,14.55,14.7,+0.15,403
107/08/09,"533,020","7,841,841",14.75,14.8,14.65,14.7, 0.00,194
107/08/10,"590,259","8,710,552",14.7,14.8,14.65,14.75,+0.05,271
107/08/13,"4,187,320","62,770,313",14.85,15.3,14.55,14.65,-0.10,"1,348"
107/08/14,"3,225,333","48,875,260",14.75,15.5,14.75,15.5,+0.85,"1,123"
107/08/15,"2,735,705","41,859,730",15.6,15.65,15.05,15.3,-0.20,960
107/08/16,"1,178,196","17,746,697",15.2,15.2,15.0,15.1,-0.20,465
107/08/17,"2,579,064","39,539,361",15.15,15.6,15.1,15.1, 0.00,807
107/08/20,"1,243,838","18,602,589",15.2,15.2,14.8,14.9,-0.20,473
107/08/21,"719,350","10,775,527",14.85,15.1,14.85,15.0,+0.10,280
107/08/22,"550,767","8,223,486",15.0,15.0,14.85,14.9,-0.10,268
107/08/23,"720,278","10,731,589",14.9,15.05,14.8,14.9, 0.00,279
107/08/24,"817,353","12,016,218",14.9,14.9,14.6,14.7,-0.20,305
107/08/27,"787,897","11,687,871",14.75,14.9,14.75,14.8,+0.10,231
107/08/28,"950,668","14,080,466",14.85,14.9,14.75,14.75,-0.05,359
107/08/29,"793,806","11,667,191",14.8,14.8,14.65,14.75, 0.00,286
107/08/30,"1,119,190","16,255,973",14.75,14.8,14.3,14.4,-0.35,436
107/08/31,"465,068","6,711,634",14.4,14.5,14.3,14.5,+0.10,203
107/09/03,"712,088","10,187,901",14.5,14.55,14.2,14.35,-0.15,310
107/09/04,"475,901","6,834,973",14.35,14.45,14.3,14.45,+0.10,139
107/09/05,"288,942","4,141,916",14.4,14.4,14.3,14.35,-0.10,149
107/09/06,"458,600","6,511,168",14.3,14.3,14.1,14.25,-0.10,151
107/09/07,"684,444","9,604,389",14.2,14.2,13.95,14.0,-0.25,318
107/09/10,"4,696,821","60,963,533",13.85,13.85,12.6,12.8,-1.20,"1,221"
107/09/11,"886,873","11,513,349",13.0,13.05,12.85,13.05,+0.25,303
107/09/12,"403,930","5,245,986",13.05,13.1,12.9,13.1,+0.05,151
107/09/13,"478,750","6,373,609",13.15,13.4,13.15,13.4,+0.30,235
107/09/14,"406,983","5,457,518",13.35,13.5,13.3,13.35,-0.05,149
107/09/17,"225,173","2,983,731",13.35,13.35,13.2,13.25,-0.10,99
107/09/18,"260,658","3,448,148",13.15,13.3,13.1,13.3,+0.05,147
107/09/19,"624,084","8,458,588",13.3,13.65,13.25,13.6,+0.30,404
107/09/20,"533,825","7,187,010",13.55,13.55,13.35,13.4,-0.20,280
107/09/21,"702,840","9,630,213",13.45,13.8,13.45,13.75,+0.35,420
107/09/25,"380,364","5,247,927",13.8,13.9,13.65,13.7,-0.05,175
107/09/26,"224,097","3,040,966",13.65,13.65,13.5,13.6,-0.10,121
107/09/27,"207,264","2,820,529",13.6,13.7,13.45,13.65,+0.05,107
107/09/28,"612,629","8,497,129",13.7,13.95,13.7,13.9,+0.25,260
107/10/01,"473,815","6,622,910",13.9,14.05,13.85,13.95,+0.05,181
107/10/02,"478,217","6,570,982",14.0,14.0,13.65,13.75,-0.20,200
107/10/03,"226,913","3,105,703",13.7,13.75,13.6,13.75, 0.00,118
107/10/04,"362,122","4,917,652",13.65,13.65,13.55,13.65,-0.10,146
