date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"80,000","634,360",7.94,7.94,7.87,7.94,0.0,31
107/07/03,"102,300","811,159",7.94,7.95,7.87,7.95,0.01,36
107/07/04,"76,400","601,760",7.89,7.89,7.86,7.88,-0.07,27
107/07/05,"147,126","1,159,026",7.88,7.89,7.84,7.89,0.01,36
107/07/06,"60,010","470,608",7.84,7.87,7.81,7.86,-0.03,36
107/07/09,"78,126","614,602",7.87,7.89,7.83,7.88,0.02,38
107/07/10,"49,000","386,030",7.88,7.95,7.83,7.83,-0.05,29
107/07/11,"162,000","1,277,140",7.76,7.9,7.76,7.9,0.07,40
107/07/12,"100,000","788,920",7.9,7.9,7.82,7.9,0.0,24
107/07/13,"56,000","444,220",7.94,7.94,7.88,7.94,0.04,19
107/07/16,"72,139","573,048",7.94,7.95,7.91,7.95,0.01,24
107/07/17,"69,235","545,925",7.95,7.95,7.85,7.9,-0.05,33
107/07/18,"90,257","713,400",7.88,7.94,7.86,7.94,0.04,46
107/07/19,"81,000","643,450",7.95,7.95,7.9,7.95,0.01,26
107/07/20,"86,189","684,483",7.94,7.95,7.86,7.95,0.0,19
107/07/23,"43,113","341,562",7.9,7.95,7.86,7.95,0.0,13
107/07/24,"140,005","1,108,539",7.94,7.94,7.88,7.93,-0.02,22
107/07/25,"132,005","1,046,999",7.93,7.95,7.86,7.95,0.02,33
107/07/26,"85,013","672,202",7.85,7.93,7.85,7.93,-0.02,31
107/07/27,"184,018","1,459,262",7.91,7.95,7.88,7.95,0.02,39
107/07/30,"24,000","190,240",7.95,7.95,7.91,7.93,-0.02,15
107/07/31,"51,359","407,526",7.93,7.95,7.9,7.95,0.02,26
107/08/01,"62,200","493,380",7.95,7.95,7.91,7.93,-0.02,16
107/08/02,"168,627","1,341,014",7.94,8.0,7.88,7.98,0.05,56
107/08/03,"43,431","346,609",7.98,7.99,7.97,7.98,0.0,21
107/08/06,"200,551","1,596,102",7.95,8.0,7.91,8.0,0.02,42
107/08/07,"189,502","1,513,184",8.0,8.0,7.93,8.0,0.0,32
107/08/08,"96,054","767,490",7.96,8.0,7.96,8.0,0.0,22
107/08/09,"112,009","895,551",8.0,8.01,7.96,8.0,0.0,30
107/08/10,"230,641","1,852,632",8.0,8.09,7.95,8.09,0.09,68
107/08/13,"225,031","1,802,044",8.1,8.11,7.95,8.0,-0.09,77
