date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"635,892","38,442,467",60.5,60.7,60.2,60.3,+0.20,403
107/07/03,"517,221","31,213,500",60.6,60.8,60.0,60.0,-0.30,384
107/07/04,"365,677","21,958,953",60.0,60.3,59.9,60.2,+0.20,226
107/07/05,"427,832","25,676,662",60.3,60.3,59.8,59.8,-0.40,274
107/07/06,"459,357","27,337,220",60.3,60.3,59.1,59.5,-0.30,375
107/07/09,"497,224","29,509,888",59.5,59.6,59.1,59.4,-0.10,394
107/07/10,"963,332","57,004,347",59.4,59.4,59.0,59.1,-0.30,734
107/07/11,"823,942","48,914,431",59.2,59.6,59.2,59.3,+0.20,556
107/07/12,"1,492,364","86,274,376",57.0,58.7,56.9,58.5,X0.00,"1,039"
107/07/13,"461,317","26,931,203",58.5,58.6,58.0,58.4,-0.10,390
107/07/16,"425,376","24,787,325",58.5,58.6,58.0,58.1,-0.30,312
107/07/17,"553,807","32,004,361",58.1,58.2,57.6,57.6,-0.50,431
107/07/18,"480,871","27,796,248",57.5,58.1,57.5,58.0,+0.40,360
107/07/19,"362,447","20,941,112",58.3,58.4,57.6,57.7,-0.30,308
107/07/20,"413,295","23,780,210",57.6,57.7,57.4,57.6,-0.10,346
107/07/23,"254,066","14,581,899",57.6,57.6,57.2,57.3,-0.30,224
107/07/24,"429,054","24,513,005",57.3,57.3,57.0,57.1,-0.20,291
107/07/25,"1,037,421","58,736,731",57.1,57.1,56.5,56.7,-0.40,729
107/07/26,"600,270","34,020,012",56.6,56.9,56.5,56.7, 0.00,406
107/07/27,"567,668","32,500,167",56.8,57.4,56.8,57.2,+0.50,411
107/07/30,"440,655","25,217,624",57.1,57.4,57.1,57.3,+0.10,276
107/07/31,"894,938","51,847,068",57.4,58.3,57.3,58.2,+0.90,552
107/08/01,"593,304","34,309,232",58.2,58.2,57.6,57.6,-0.60,410
107/08/02,"353,858","20,338,864",57.6,57.8,57.3,57.3,-0.30,271
107/08/03,"909,543","51,778,016",57.3,57.5,56.6,56.7,-0.60,657
107/08/06,"393,670","22,447,860",56.8,57.2,56.7,57.1,+0.40,281
107/08/07,"507,382","28,850,436",57.1,57.2,56.7,56.8,-0.30,412
