date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"8,285,751","638,792,012",76.9,77.7,76.8,76.9,-0.50,"3,227"
107/07/03,"8,395,636","644,131,670",76.8,77.5,76.3,76.6,-0.30,"3,579"
107/07/04,"4,414,282","340,954,814",76.9,78.0,76.8,77.1,+0.50,"2,066"
107/07/05,"6,035,174","464,055,298",77.5,77.5,76.4,77.0,-0.10,"2,533"
107/07/06,"10,562,157","820,546,086",77.5,78.3,76.7,78.0,+1.00,"5,357"
107/07/09,"6,637,614","522,347,071",78.8,79.2,78.2,78.8,+0.80,"3,409"
107/07/10,"8,199,417","653,079,350",79.5,80.0,78.8,79.7,+0.90,"4,288"
107/07/11,"7,013,302","560,736,560",79.6,80.4,79.1,80.1,+0.40,"4,276"
107/07/12,"8,261,853","657,929,651",79.7,80.0,79.0,79.5,-0.60,"4,141"
107/07/13,"6,953,605","551,064,328",80.0,80.0,78.8,79.3,-0.20,"3,749"
107/07/16,"3,786,029","299,791,991",79.0,79.7,79.0,79.0,-0.30,"2,334"
107/07/17,"15,943,099","1,268,475,720",79.0,80.3,78.6,79.4,+0.40,"5,079"
107/07/18,"15,988,972","1,312,789,654",80.0,83.8,79.7,82.4,+3.00,"7,501"
107/07/19,"17,194,932","1,413,544,606",82.1,83.0,81.8,82.1,-0.30,"5,992"
107/07/20,"15,115,885","1,231,311,885",82.7,82.7,80.7,80.8,-1.30,"5,688"
107/07/23,"13,831,254","1,108,784,646",80.4,80.7,79.8,80.1,-0.70,"5,897"
107/07/24,"11,745,523","944,099,007",80.7,80.8,80.1,80.6,+0.50,"4,245"
107/07/25,"12,758,857","1,025,163,641",81.0,81.8,79.6,79.8,-0.80,"5,768"
107/07/26,"11,240,948","907,763,089",80.5,81.6,80.2,80.7,+0.90,"5,067"
107/07/27,"11,151,394","897,614,294",80.9,80.9,80.2,80.7, 0.00,"4,287"
107/07/30,"9,564,373","775,607,142",81.3,81.5,80.7,80.7, 0.00,"4,150"
107/07/31,"19,223,720","1,547,322,028",80.7,81.0,79.8,80.8,+0.10,"6,122"
107/08/01,"33,999,841","2,671,748,644",78.0,79.7,78.0,78.8,-2.00,"12,625"
107/08/02,"26,595,904","1,964,929,828",73.5,74.8,73.5,73.9,X0.00,"9,786"
107/08/03,"8,105,187","604,032,115",74.1,74.8,74.1,74.6,+0.70,"4,136"
107/08/06,"5,430,057","404,141,222",75.0,75.0,74.0,74.2,-0.40,"2,934"
107/08/07,"7,304,678","538,949,172",74.2,74.7,73.4,73.4,-0.80,"4,272"
107/08/08,"14,334,913","1,044,232,823",73.6,74.0,72.1,72.2,-1.20,"8,260"
107/08/09,"15,983,427","1,135,286,892",72.2,72.2,70.6,71.0,-1.20,"6,696"
107/08/10,"10,678,635","774,473,485",71.1,72.9,71.1,72.7,+1.70,"5,798"
107/08/13,"8,594,717","623,470,767",73.1,73.2,71.4,72.2,-0.50,"4,777"
107/08/14,"19,276,534","1,440,497,750",74.0,75.5,73.5,75.0,+2.80,"8,641"
107/08/15,"10,438,716","784,202,000",75.0,75.8,74.6,74.8,-0.20,"4,624"
107/08/16,"9,668,036","725,591,450",74.8,75.5,74.8,75.1,+0.30,"3,730"
107/08/17,"14,473,161","1,107,679,509",75.8,77.0,75.8,77.0,+1.90,"6,646"
107/08/20,"11,745,419","890,247,889",77.1,77.5,74.8,75.4,-1.60,"5,548"
107/08/21,"5,465,180","415,408,174",75.8,76.4,75.6,76.2,+0.80,"3,700"
107/08/22,"7,887,136","603,116,842",76.9,76.9,76.0,76.3,+0.10,"3,479"
107/08/23,"11,362,908","879,230,308",77.0,78.0,76.8,78.0,+1.70,"6,359"
107/08/24,"9,691,235","751,213,628",78.1,78.2,77.0,77.7,-0.30,"5,299"
107/08/27,"9,775,532","761,241,267",78.0,78.5,77.3,77.9,+0.20,"4,594"
107/08/28,"8,064,482","631,175,515",78.2,78.8,77.9,78.8,+0.90,"4,047"
107/08/29,"12,463,572","972,870,354",78.9,79.2,77.3,77.5,-1.30,"5,144"
107/08/30,"7,663,581","589,619,823",77.2,77.8,76.5,77.2,-0.30,"4,465"
107/08/31,"7,341,477","567,571,153",77.2,77.6,76.7,77.6,+0.40,"2,874"
107/09/03,"3,207,060","244,815,033",77.3,77.3,76.0,76.2,-1.40,"2,599"
107/09/04,"3,722,784","284,105,809",76.3,76.9,76.0,76.6,+0.40,"2,451"
107/09/05,"6,599,998","497,483,229",76.1,76.4,75.0,75.0,-1.60,"3,532"
107/09/06,"6,976,408","527,188,285",74.9,76.4,74.2,75.5,+0.50,"3,896"
107/09/07,"6,928,171","519,125,236",74.9,75.4,74.6,74.8,-0.70,"3,635"
107/09/10,"6,173,590","464,831,639",76.0,76.0,74.7,75.7,+0.90,"3,803"
107/09/11,"5,859,705","446,517,270",76.0,76.8,75.5,76.8,+1.10,"3,147"
107/09/12,"6,068,730","461,369,436",77.0,77.0,75.4,76.4,-0.40,"3,499"
107/09/13,"6,554,045","492,936,735",75.8,75.8,75.0,75.0,-1.40,"3,863"
107/09/14,"8,072,175","609,209,233",75.4,75.9,75.2,75.4,+0.40,"3,648"
107/09/17,"4,141,046","313,604,349",76.1,76.2,75.4,75.6,+0.20,"2,572"
107/09/18,"14,386,596","1,117,848,868",76.3,78.4,75.9,78.4,+2.80,"7,685"
107/09/19,"9,583,366","750,955,925",78.5,79.0,77.5,79.0,+0.60,"5,063"
107/09/20,"5,877,299","456,879,332",77.6,78.2,77.2,77.7,-1.30,"3,420"
107/09/21,"11,275,019","883,440,582",78.1,78.8,78.0,78.1,+0.40,"4,577"
107/09/25,"7,962,145","630,420,090",80.0,80.0,78.5,79.1,+1.00,"4,233"
107/09/26,"8,336,350","661,464,161",78.6,79.9,78.3,79.8,+0.70,"4,002"
107/09/27,"6,853,575","544,455,159",79.9,80.0,78.8,79.3,-0.50,"3,525"
107/09/28,"6,285,501","499,328,313",78.9,79.8,78.7,79.7,+0.40,"2,591"
107/10/01,"3,764,570","298,351,230",80.0,80.0,78.8,78.9,-0.80,"2,627"
107/10/02,"5,540,960","429,963,571",78.5,78.6,77.1,77.5,-1.40,"3,005"
107/10/03,"2,946,458","229,992,116",77.9,78.4,77.8,78.3,+0.80,"1,686"
107/10/04,"11,410,393","868,677,808",77.5,77.9,75.4,75.4,-2.90,"5,952"
107/10/05,"8,466,937","638,640,212",75.0,76.4,75.0,75.3,-0.10,"4,184"
107/10/08,"5,096,602","383,872,022",75.5,75.6,75.0,75.5,+0.20,"2,328"
107/10/09,"6,549,038","494,247,559",75.6,75.8,75.3,75.3,-0.20,"3,738"
107/10/11,"27,095,451","1,917,327,821",72.2,73.1,69.7,70.2,-5.10,"12,032"
107/10/12,"11,788,184","843,610,306",69.7,72.9,69.7,72.9,+2.70,"5,816"
107/10/15,"10,655,730","763,449,252",71.2,72.9,70.6,72.8,-0.10,"4,496"
107/10/16,"7,481,137","546,808,445",72.6,74.2,72.0,73.3,+0.50,"4,288"
107/10/17,"7,481,889","551,478,095",73.8,74.4,73.0,73.5,+0.20,"4,112"
107/10/18,"4,526,834","331,238,197",73.8,74.0,72.7,72.7,-0.80,"2,198"
107/10/19,"28,995,758","2,167,503,626",72.7,76.3,72.5,74.9,+2.20,"5,721"
107/10/22,"6,280,002","464,507,537",74.3,74.9,73.5,74.1,-0.80,"3,089"
107/10/23,"7,206,610","524,606,330",73.1,74.0,72.3,72.8,-1.30,"2,967"
107/10/24,"7,990,223","585,784,367",72.8,74.0,72.6,73.1,+0.30,"4,763"
107/10/25,"13,437,491","1,002,395,859",73.5,75.3,73.1,75.0,+1.90,"6,332"
107/10/26,"8,806,622","661,353,550",74.9,75.8,73.7,75.8,+0.80,"3,466"
107/10/29,"5,407,571","413,745,912",76.0,76.9,76.0,76.7,+0.90,"2,602"
107/10/30,"11,203,193","840,113,075",76.0,76.0,74.2,74.8,-1.90,"4,233"
107/10/31,"9,721,344","724,969,400",74.0,75.1,74.0,74.9,+0.10,"3,908"
107/11/01,"13,230,502","995,035,852",74.4,76.2,74.1,76.2,+1.30,"3,903"
107/11/02,"7,767,233","582,209,349",76.2,76.2,74.2,75.6,-0.60,"3,462"
107/11/05,"5,288,804","399,543,803",75.2,76.3,74.3,76.3,+0.70,"2,745"
107/11/06,"5,227,008","394,743,184",76.7,76.7,74.9,75.9,-0.40,"2,246"
107/11/07,"3,513,561","266,772,243",76.1,76.4,75.2,76.0,+0.10,"1,756"
107/11/08,"9,379,046","703,961,243",75.6,75.8,74.2,75.0,-1.00,"4,868"
107/11/09,"13,817,822","1,002,115,721",74.5,74.7,71.8,72.1,-2.90,"7,522"
107/11/12,"8,877,089","642,044,340",71.9,73.1,71.5,72.4,+0.30,"4,535"
107/11/13,"10,773,646","795,888,340",72.0,75.0,71.9,75.0,+2.60,"5,603"
107/11/14,"6,307,171","466,805,745",74.8,74.8,73.5,74.3,-0.70,"3,293"
107/11/15,"5,587,643","411,377,082",74.5,74.5,73.3,73.6,-0.70,"3,079"
107/11/16,"7,835,865","583,613,616",74.8,74.9,73.7,74.8,+1.20,"4,173"
107/11/19,"9,087,444","688,198,915",75.4,76.2,74.9,76.2,+1.40,"4,944"
107/11/20,"5,075,077","382,667,063",75.8,76.2,75.0,75.1,-1.10,"3,066"
