date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"37,293","3,530,470",94.7,94.8,94.6,94.6,+0.10,44
107/07/03,"45,301","4,293,845",94.8,94.9,94.6,94.9,+0.30,38
107/07/04,"66,305","6,306,285",95.0,95.4,95.0,95.4,+0.50,51
107/07/05,"93,200","8,937,619",95.5,96.2,95.5,96.0,+0.60,77
107/07/06,"59,066","5,653,102",96.2,96.2,95.2,96.0, 0.00,47
107/07/09,"84,200","8,080,300",96.0,96.1,95.6,96.1,+0.10,54
107/07/10,"57,900","5,555,348",96.1,96.1,95.7,95.9,-0.20,49
107/07/11,"61,053","5,849,314",95.9,95.9,95.7,95.9, 0.00,43
107/07/12,"71,100","6,812,580",95.8,95.9,95.7,95.8,-0.10,59
107/07/13,"203,925","19,692,950",95.9,97.0,95.9,97.0,+1.20,185
107/07/16,"273,914","25,594,844",93.0,94.5,92.6,94.0,X0.00,239
107/07/17,"78,105","7,366,524",94.0,94.6,94.0,94.6,+0.60,77
107/07/18,"70,575","6,691,800",94.8,95.0,94.6,94.8,+0.20,79
107/07/19,"38,374","3,631,130",95.0,95.0,94.2,94.4,-0.40,46
107/07/20,"96,414","9,046,816",94.0,94.2,93.5,93.6,-0.80,96
107/07/23,"26,647","2,518,487",93.6,95.0,93.6,95.0,+1.40,38
107/07/24,"36,490","3,464,842",95.0,95.3,94.6,95.2,+0.20,38
107/07/25,"31,303","2,952,858",94.6,94.6,94.1,94.2,-1.00,33
107/07/26,"22,193","2,099,835",94.7,94.7,94.5,94.6,+0.40,30
107/07/27,"29,200","2,770,600",94.6,95.0,94.6,95.0,+0.40,29
107/07/30,"9,150","864,624",94.1,94.8,94.1,94.8,-0.20,13
107/07/31,"37,500","3,541,500",94.5,94.8,94.2,94.2,-0.60,40
107/08/01,"15,500","1,465,147",94.2,94.9,94.2,94.3,+0.10,24
107/08/02,"34,151","3,226,545",94.3,95.2,94.2,94.5,+0.20,43
107/08/03,"33,341","3,146,161",94.4,94.8,94.0,94.8,+0.30,35
107/08/06,"13,557","1,286,772",94.8,95.0,94.7,94.9,+0.10,21
107/08/07,"22,419","2,123,713",94.8,94.8,94.6,94.8,-0.10,22
107/08/08,"31,563","2,998,548",94.8,95.2,94.6,95.1,+0.30,33
107/08/09,"25,446","2,422,478",95.2,95.2,95.1,95.2,+0.10,32
107/08/10,"31,229","2,974,932",95.3,95.5,95.0,95.2, 0.00,42
107/08/13,"30,315","2,882,440",95.0,95.2,95.0,95.1,-0.10,33
107/08/14,"27,642","2,628,233",95.1,95.2,94.7,95.2,+0.10,41
107/08/15,"21,557","2,049,803",95.2,95.4,95.0,95.2, 0.00,26
107/08/16,"34,191","3,253,977",95.1,95.3,95.0,95.0,-0.20,25
107/08/17,"20,342","1,936,927",95.1,95.3,95.0,95.3,+0.30,24
107/08/20,"68,531","6,546,730",95.2,96.0,95.0,96.0,+0.70,62
107/08/21,"31,640","3,041,780",95.8,96.5,95.8,96.5,+0.50,39
107/08/22,"38,865","3,753,405",96.5,96.9,96.2,96.7,+0.20,49
107/08/23,"12,700","1,227,755",96.7,96.8,96.6,96.7, 0.00,26
107/08/24,"13,415","1,295,955",96.7,96.7,96.4,96.4,-0.30,20
107/08/27,"14,617","1,411,349",96.5,96.6,96.4,96.6,+0.20,19
107/08/28,"25,603","2,473,791",96.8,96.8,96.4,96.4,-0.20,31
107/08/29,"30,360","2,924,720",96.6,96.6,96.2,96.2,-0.20,27
107/08/30,"24,907","2,393,524",96.2,96.4,96.0,96.0,-0.20,32
107/08/31,"49,960","4,834,299",96.0,97.4,96.0,97.4,+1.40,62
107/09/03,"23,512","2,283,065",97.5,97.5,96.7,97.0,-0.40,30
107/09/04,"13,575","1,317,002",97.0,97.4,96.6,96.9,-0.10,20
107/09/05,"32,426","3,124,322",96.8,96.8,96.1,96.1,-0.80,38
107/09/06,"50,732","4,875,454",96.8,96.8,96.0,96.0,-0.10,55
107/09/07,"23,590","2,267,702",96.0,96.8,96.0,96.1,+0.10,27
107/09/10,"44,311","4,270,742",96.5,96.8,95.9,96.8,+0.70,46
107/09/11,"21,909","2,124,552",96.8,97.1,96.8,96.8, 0.00,36
107/09/12,"13,438","1,300,586",96.8,96.9,96.4,96.8, 0.00,23
107/09/13,"18,681","1,810,313",96.8,97.0,96.4,96.8, 0.00,22
107/09/14,"24,751","2,395,694",96.8,96.9,96.7,96.7,-0.10,38
107/09/17,"22,840","2,212,312",97.0,97.0,96.7,97.0,+0.30,32
107/09/18,"8,560","830,173",97.0,97.0,96.8,97.0, 0.00,22
107/09/19,"46,010","4,465,272",96.8,97.4,96.8,96.9,-0.10,45
107/09/20,"24,307","2,368,530",97.4,97.5,97.3,97.5,+0.60,42
107/09/21,"162,224","16,102,083",97.7,102.0,97.7,99.5,+2.00,154
107/09/25,"89,239","8,996,578",100.5,101.5,99.6,101.5,+2.00,100
107/09/26,"47,666","4,824,094",101.5,102.0,101.0,101.0,-0.50,59
107/09/27,"19,054","1,915,423",100.5,101.0,100.0,100.5,-0.50,41
107/09/28,"68,755","6,828,442",100.0,100.0,99.0,99.4,-1.10,81
107/10/01,"33,501","3,353,002",100.0,101.0,99.8,100.5,+1.10,32
107/10/02,"18,490","1,860,490",100.0,101.0,100.0,100.5, 0.00,25
107/10/03,"35,833","3,604,049",101.0,101.0,100.0,100.0,-0.50,37
107/10/04,"19,279","1,934,817",100.0,101.0,100.0,100.0, 0.00,23
107/10/05,"86,258","8,540,800",98.6,99.6,98.6,99.1,-0.90,91
