date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"12,372","210,274",16.95,17.00,16.95,17.00,+0.05,13
107/07/03,"36,700","622,556",16.95,17.00,16.95,17.00, 0.00,19
107/07/04,"27,005","456,735",17.00,17.00,16.85,16.90,-0.10,9
107/07/05,"2,007","33,914",16.90,16.90,16.90,16.90, 0.00,7
107/07/06,"15,360","257,810",16.90,16.90,16.70,16.80,-0.10,22
107/07/09,"15,229","254,719",16.70,16.90,16.70,16.90,X0.00,9
107/07/10,"22,130","371,760",16.80,16.80,16.75,16.75,-0.15,9
107/07/11,"14,645","244,950",16.70,16.80,16.70,16.80,+0.05,15
107/07/12,"33,203","557,306",16.80,16.80,16.75,16.80, 0.00,13
107/07/13,"1,002","16,786",16.75,16.75,16.75,16.75,-0.05,3
107/07/16,"4,000","67,200",16.80,16.80,16.80,16.80,+0.05,3
107/07/17,"9,001","151,767",16.90,16.95,16.80,16.80, 0.00,7
107/07/18,"17,304","292,398",16.90,16.95,16.80,16.95,+0.15,23
107/07/19,"4,011","67,789",16.90,16.90,16.90,16.90,-0.05,3
107/07/20,"4,201","71,217",17.05,17.05,16.85,16.85,-0.05,6
107/07/23,"5,886","98,884",16.80,16.80,16.80,16.80,-0.05,11
107/07/24,"14,220","238,964",16.85,16.85,16.80,16.80, 0.00,18
107/07/25,"3,369","56,595",16.80,16.80,16.80,16.80, 0.00,15
107/07/26,"30,911","519,800",16.90,16.95,16.75,16.80, 0.00,26
107/07/27,"9,370","157,415",16.80,16.80,16.80,16.80, 0.00,5
107/07/30,"11,102","185,901",16.75,16.80,16.70,16.70,-0.10,12
107/07/31,"107,000","1,833,050",16.70,17.20,16.70,17.15,+0.45,17
107/08/01,"7,543","128,631",17.10,17.10,17.00,17.00,-0.15,13
107/08/02,"57,001","974,168",17.00,17.20,16.90,16.95,-0.05,16
107/08/03,"7,307","123,519",16.90,16.90,16.90,16.90,-0.05,10
107/08/06,"10,076","170,157",16.90,16.90,16.85,16.85,-0.05,6
107/08/07,"16,000","270,050",16.85,17.00,16.80,16.90,+0.05,12
107/08/08,"21,266","360,172",16.90,17.00,16.90,17.00,+0.10,13
107/08/09,"7,000","119,000",17.00,17.00,17.00,17.00, 0.00,2
107/08/10,"11,085","187,351",16.90,16.90,16.90,16.90,-0.10,12
107/08/13,"25,015","420,299",16.80,17.00,16.70,16.90, 0.00,21
107/08/14,"21,402","358,890",16.75,16.90,16.70,16.90, 0.00,24
107/08/15,"10,230","170,876",16.80,16.80,16.70,16.70,-0.20,47
107/08/16,"7,323","122,226",16.65,16.70,16.65,16.70, 0.00,10
107/08/17,"11,105","185,413",16.70,16.80,16.65,16.80,+0.10,12
107/08/20,"14,163","239,891",16.70,17.05,16.70,17.00,+0.20,23
