date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"605,448","8,527,722",14.2,14.2,14.0,14.05,-0.10,337
107/07/03,"745,337","10,441,768",14.05,14.1,13.95,14.05, 0.00,428
107/07/04,"584,875","8,164,496",14.05,14.05,13.9,14.0,-0.05,267
107/07/05,"487,942","6,820,627",14.05,14.1,13.9,13.95,-0.05,208
107/07/06,"1,313,638","18,014,598",14.0,14.0,13.6,13.65,-0.30,621
107/07/09,"375,004","5,158,900",13.6,13.9,13.6,13.8,+0.15,245
107/07/10,"365,707","5,029,685",13.9,13.9,13.7,13.75,-0.05,195
107/07/11,"334,967","4,607,891",13.75,13.8,13.65,13.75, 0.00,173
107/07/12,"563,185","7,787,865",13.75,13.9,13.75,13.9,+0.15,241
107/07/13,"360,059","5,008,660",13.9,13.95,13.85,13.9, 0.00,199
107/07/16,"436,385","6,100,861",13.95,14.05,13.95,14.0,+0.10,189
107/07/17,"648,960","9,041,432",14.0,14.0,13.9,13.95,-0.05,265
107/07/18,"844,167","11,749,868",13.95,14.0,13.85,13.95, 0.00,403
107/07/19,"393,940","5,485,157",13.95,14.0,13.9,13.9,-0.05,226
107/07/20,"469,105","6,545,496",13.9,14.0,13.9,14.0,+0.10,232
107/07/23,"570,036","7,941,993",14.0,14.0,13.9,13.9,-0.10,194
107/07/24,"579,886","8,100,142",13.9,14.0,13.9,14.0,+0.10,316
107/07/25,"1,421,410","19,931,940",14.0,14.05,14.0,14.05,+0.05,505
107/07/26,"962,867","13,221,704",13.6,13.8,13.6,13.8,X0.00,426
107/07/27,"402,662","5,540,093",13.75,13.8,13.75,13.75,-0.05,255
107/07/30,"559,369","7,716,466",13.75,13.85,13.75,13.8,+0.05,251
107/07/31,"348,997","4,829,951",13.8,13.9,13.8,13.85,+0.05,131
107/08/01,"560,414","7,785,495",13.85,13.95,13.85,13.9,+0.05,296
107/08/02,"461,377","6,392,199",13.9,13.9,13.8,13.8,-0.10,199
107/08/03,"384,253","5,294,935",13.8,13.85,13.75,13.85,+0.05,169
107/08/06,"558,948","7,702,320",13.85,13.85,13.75,13.75,-0.10,217
107/08/07,"364,188","5,015,520",13.75,13.85,13.7,13.8,+0.05,212
107/08/08,"535,350","7,413,225",13.85,13.9,13.8,13.85,+0.05,229
107/08/09,"408,969","5,681,461",13.85,13.95,13.85,13.9,+0.05,194
107/08/10,"902,156","12,531,344",13.9,14.0,13.8,13.8,-0.10,374
107/08/13,"957,862","13,100,453",13.8,13.8,13.6,13.65,-0.15,401
107/08/14,"678,157","9,264,543",13.6,13.75,13.6,13.7,+0.05,284
107/08/15,"426,261","5,835,167",13.8,13.8,13.65,13.7, 0.00,308
107/08/16,"469,956","6,393,639",13.7,13.7,13.55,13.6,-0.10,308
