date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"2,474,884","51,193,304",20.6,20.8,20.55,20.6,+0.10,927
107/07/03,"1,872,436","38,469,043",20.65,20.8,20.25,20.3,-0.30,638
107/07/04,"974,428","19,833,582",20.35,20.4,20.3,20.4,+0.10,447
107/07/05,"2,259,075","45,590,449",20.5,20.55,20.0,20.0,-0.40,760
107/07/06,"3,318,878","66,367,475",20.2,20.2,19.85,19.95,-0.05,"1,013"
107/07/09,"5,347,516","106,494,820",19.95,20.0,19.8,19.95, 0.00,"1,174"
107/07/10,"4,134,140","82,633,550",20.0,20.1,19.9,20.0,+0.05,"1,057"
107/07/11,"3,497,014","70,469,328",20.1,20.4,19.95,20.4,+0.40,"1,089"
107/07/12,"7,717,068","157,807,485",20.35,20.5,20.25,20.5,+0.10,"1,248"
107/07/13,"13,052,335","272,188,033",20.6,21.0,20.55,21.0,+0.50,"2,526"
107/07/16,"9,370,088","176,370,255",18.9,19.15,18.65,19.05,X0.00,"2,632"
107/07/17,"2,835,229","53,782,620",19.0,19.15,18.85,18.85,-0.20,962
107/07/18,"1,940,331","36,594,196",18.95,18.95,18.75,18.9,+0.05,800
107/07/19,"1,308,157","24,734,504",18.9,19.0,18.85,18.85,-0.05,554
107/07/20,"1,354,286","25,593,150",18.9,19.0,18.8,18.9,+0.05,456
107/07/23,"1,514,169","28,544,927",19.0,19.0,18.7,18.8,-0.10,815
107/07/24,"1,330,207","25,009,471",18.8,18.9,18.7,18.75,-0.05,587
107/07/25,"1,259,690","23,686,663",18.9,18.9,18.75,18.8,+0.05,478
107/07/26,"1,193,866","22,543,754",18.8,18.95,18.8,18.95,+0.15,387
107/07/27,"1,339,093","25,197,341",18.9,18.9,18.75,18.8,-0.15,440
107/07/30,"2,195,266","40,850,427",18.8,18.8,18.45,18.55,-0.25,697
107/07/31,"1,265,142","23,555,892",18.5,18.75,18.5,18.65,+0.10,466
107/08/01,"1,318,762","24,492,454",18.75,18.75,18.5,18.6,-0.05,696
107/08/02,"1,523,071","28,023,854",18.55,18.55,18.3,18.3,-0.30,663
107/08/03,"1,297,063","23,726,548",18.35,18.45,18.2,18.3, 0.00,512
107/08/06,"1,857,198","33,739,935",18.3,18.35,18.05,18.15,-0.15,654
107/08/07,"1,520,056","27,606,816",18.1,18.3,18.0,18.25,+0.10,472
107/08/08,"2,103,612","38,948,526",18.35,18.7,18.35,18.6,+0.35,931
107/08/09,"10,202,838","177,895,322",18.1,18.15,17.05,17.35,-1.25,"3,306"
107/08/10,"3,698,072","63,500,961",17.2,17.3,17.1,17.15,-0.20,"1,940"
107/08/13,"3,877,028","64,062,993",17.0,17.0,16.2,16.45,-0.70,"1,664"
107/08/14,"2,638,978","43,023,357",16.4,16.45,16.2,16.3,-0.15,"1,058"
107/08/15,"4,187,660","66,614,147",16.3,16.3,15.6,15.6,-0.70,"1,977"
107/08/16,"4,940,472","75,053,456",15.4,15.4,15.1,15.15,-0.45,"2,198"
107/08/17,"2,734,242","42,413,460",15.3,15.75,15.3,15.4,+0.25,"1,359"
107/08/20,"1,300,111","20,076,240",15.45,15.55,15.3,15.45,+0.05,753
107/08/21,"931,637","14,382,142",15.45,15.6,15.3,15.45, 0.00,521
107/08/22,"1,523,127","23,842,735",15.55,15.8,15.5,15.75,+0.30,780
107/08/23,"1,037,473","16,223,612",15.75,15.75,15.55,15.65,-0.10,524
