date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"50,001","1,359,977",27.2,27.35,27.05,27.05,-0.15,32
107/07/03,"129,000","3,496,800",27.25,27.25,27.1,27.1,0.05,62
107/07/04,"32,003","864,731",27.05,27.1,26.95,27.1,0.0,24
107/07/05,"28,000","754,550",26.9,27.0,26.9,26.9,-0.2,22
107/07/06,"116,000","3,112,350",26.95,26.95,26.7,26.7,-0.2,58
107/07/09,"113,000","3,073,150",26.7,27.45,26.7,27.3,0.6,63
107/07/10,"46,000","1,244,950",27.3,27.3,26.9,26.9,-0.4,19
107/07/11,"34,000","918,800",26.9,27.2,26.7,27.15,0.25,19
107/07/12,"24,000","648,750",27.15,27.15,26.95,27.1,-0.05,17
107/07/13,"31,000","841,950",27.1,27.25,27.1,27.15,0.05,19
107/07/16,"55,000","1,499,900",27.45,27.5,27.05,27.1,-0.05,33
107/07/17,"34,011","917,697",27.05,27.05,26.95,26.95,-0.15,19
107/07/18,"44,000","1,184,300",27.0,27.0,26.8,26.9,-0.05,31
107/07/19,"105,005","2,828,233",27.0,27.1,26.8,26.8,-0.1,33
107/07/20,"218,000","5,859,950",26.85,27.05,26.8,26.9,0.1,50
107/07/23,"40,000","1,077,000",27.1,27.1,26.9,26.95,0.05,19
107/07/24,"162,000","4,378,200",26.9,27.15,26.9,27.0,0.05,50
107/07/25,"38,000","1,026,450",27.0,27.05,26.95,27.0,0.0,16
107/07/26,"158,000","4,287,850",27.0,27.35,26.95,27.2,0.2,70
107/07/27,"154,000","4,199,000",27.2,27.45,27.15,27.15,-0.05,65
107/07/30,"123,005","3,308,383",27.15,27.2,26.7,26.8,-0.35,59
107/07/31,"74,000","1,986,950",26.8,26.95,26.75,26.8,0.0,37
107/08/01,"38,000","1,021,700",26.8,26.95,26.8,26.85,0.05,18
107/08/02,"126,025","3,369,118",26.85,26.95,26.5,26.5,-0.35,73
107/08/03,"91,000","2,426,600",26.55,26.8,26.55,26.65,0.15,50
107/08/06,"76,000","2,026,850",26.65,26.75,26.6,26.75,0.1,32
107/08/07,"119,000","3,166,100",26.75,26.75,26.45,26.6,-0.15,43
107/08/08,"53,000","1,417,400",26.6,26.9,26.6,26.8,0.2,33
107/08/09,"59,000","1,576,500",26.7,26.8,26.7,26.7,-0.1,35
107/08/10,"75,000","2,012,950",26.9,26.95,26.75,26.75,0.05,21
107/08/13,"90,040","2,388,552",26.75,26.75,26.4,26.5,-0.25,43
