date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"88,311","3,278,337",37.2,37.3,37.05,37.05,-0.15,57
107/07/03,"160,937","5,908,524",37.25,37.25,36.35,36.6,-0.45,115
107/07/04,"105,337","3,833,746",36.4,36.65,36.2,36.65,+0.05,68
107/07/05,"234,174","8,462,165",36.6,36.6,35.8,36.3,-0.35,136
107/07/06,"114,487","4,127,579",36.2,36.3,35.7,36.3, 0.00,77
107/07/09,"307,708","11,206,880",36.3,37.2,36.1,37.2,+0.90,107
107/07/10,"320,659","11,921,214",37.7,37.7,36.9,36.9,-0.30,172
107/07/11,"263,890","9,726,611",37.15,37.15,36.6,36.9, 0.00,142
107/07/12,"434,332","15,744,584",35.9,36.7,35.9,36.4,X0.00,244
107/07/13,"438,864","16,195,651",36.9,37.3,36.55,37.3,+0.90,244
107/07/16,"326,012","12,207,897",37.5,37.7,37.3,37.6,+0.30,181
107/07/17,"116,760","4,368,996",37.85,37.85,37.2,37.35,-0.25,82
107/07/18,"88,223","3,288,067",37.65,37.65,37.0,37.4,+0.05,68
107/07/19,"161,257","5,971,509",37.3,37.3,36.9,37.0,-0.40,88
107/07/20,"93,611","3,450,733",37.0,37.0,36.65,36.8,-0.20,70
107/07/23,"179,200","6,606,930",36.65,37.15,36.65,36.9,+0.10,100
107/07/24,"142,551","5,273,887",36.8,37.2,36.75,37.15,+0.25,98
107/07/25,"45,390","1,679,140",37.05,37.1,36.9,37.1,-0.05,39
107/07/26,"45,050","1,671,055",37.1,37.2,36.95,37.1, 0.00,38
107/07/27,"126,260","4,659,720",37.1,37.3,36.75,37.1, 0.00,93
107/07/30,"150,203","5,507,420",36.85,36.9,36.45,36.85,-0.25,112
107/07/31,"74,998","2,749,774",36.55,36.85,36.45,36.85, 0.00,58
107/08/01,"106,050","3,899,490",36.8,36.95,36.6,36.95,+0.10,77
107/08/02,"108,327","3,970,032",36.75,36.8,36.5,36.8,-0.15,74
107/08/03,"425,060","15,885,504",36.95,37.9,36.85,37.8,+1.00,282
107/08/06,"320,130","12,042,926",38.0,38.0,37.2,37.9,+0.10,190
107/08/07,"238,339","8,948,013",37.8,37.8,37.4,37.65,-0.25,133
107/08/08,"148,202","5,542,554",37.6,37.6,37.2,37.5,-0.15,103
107/08/09,"142,403","5,328,528",37.25,37.65,37.25,37.3,-0.20,93
107/08/10,"273,478","10,136,835",37.3,37.3,36.85,37.05,-0.25,140
107/08/13,"386,725","14,021,149",37.15,37.15,35.85,36.15,-0.90,268
107/08/14,"232,806","8,505,785",36.25,36.75,36.25,36.7,+0.55,120
107/08/15,"243,711","8,819,888",36.7,36.8,35.85,36.0,-0.70,148
107/08/16,"297,950","10,634,581",35.85,36.55,35.05,36.55,+0.55,181
107/08/17,"65,350","2,384,126",36.6,36.65,36.15,36.65,+0.10,59
107/08/20,"95,289","3,480,453",36.1,36.75,36.1,36.7,+0.05,70
107/08/21,"72,450","2,653,659",36.8,36.8,36.5,36.8,+0.10,51
107/08/22,"63,843","2,344,930",36.9,37.0,36.5,36.7,-0.10,54
107/08/23,"53,500","1,954,773",36.7,36.7,36.3,36.7, 0.00,40
107/08/24,"73,000","2,664,250",36.7,36.7,36.3,36.7, 0.00,47
107/08/27,"61,000","2,234,900",36.7,36.75,36.5,36.7, 0.00,29
107/08/28,"115,337","4,210,949",36.7,36.7,36.3,36.65,-0.05,84
107/08/29,"76,488","2,785,813",36.6,36.6,36.3,36.4,-0.25,59
107/08/30,"105,581","3,828,844",36.6,36.6,36.1,36.5,+0.10,80
107/08/31,"78,000","2,851,200",36.5,36.8,36.15,36.8,+0.30,59
107/09/03,"84,000","3,102,350",36.8,37.2,36.8,36.95,+0.15,53
107/09/04,"29,257","1,078,894",36.95,36.95,36.85,36.85,-0.10,30
107/09/05,"82,481","3,022,525",36.8,36.85,36.55,36.55,-0.30,24
107/09/06,"36,300","1,331,200",37.0,37.0,36.6,36.7,+0.15,30
107/09/07,"101,612","3,695,824",36.8,36.8,36.1,36.4,-0.30,77
107/09/10,"87,953","3,165,112",36.8,36.8,35.8,36.2,-0.20,65
107/09/11,"158,605","5,651,175",35.6,35.95,35.4,35.85,-0.35,100
107/09/12,"69,085","2,479,110",36.15,36.2,35.8,35.95,+0.10,53
107/09/13,"49,050","1,768,147",36.15,36.2,35.85,36.2,+0.25,41
107/09/14,"66,054","2,385,651",36.2,36.35,36.0,36.25,+0.05,60
107/09/17,"68,050","2,457,644",36.45,36.45,35.85,35.85,-0.40,46
107/09/18,"35,570","1,274,896",35.85,35.9,35.7,35.85, 0.00,33
107/09/19,"95,011","3,425,648",35.85,36.3,35.8,36.3,+0.45,63
107/09/20,"56,050","2,028,662",36.35,36.35,35.95,36.3, 0.00,50
107/09/21,"82,411","2,975,546",36.25,36.3,36.0,36.3, 0.00,60
107/09/25,"19,321","696,483",36.25,36.25,36.0,36.0,-0.30,21
107/09/26,"131,257","4,671,459",35.8,35.9,35.25,35.65,-0.35,90
107/09/27,"92,877","3,300,546",35.65,35.65,35.45,35.65, 0.00,57
107/09/28,"54,250","1,925,875",35.55,35.65,35.4,35.6,-0.05,32
107/10/01,"90,129","3,181,753",35.4,35.6,35.2,35.35,-0.25,60
107/10/02,"106,840","3,774,492",35.35,35.8,35.2,35.35, 0.00,65
107/10/03,"104,005","3,677,427",35.2,35.75,35.15,35.7,+0.35,52
107/10/04,"74,100","2,613,094",35.2,35.8,35.2,35.35,-0.35,53
107/10/05,"195,150","6,761,350",35.05,35.25,34.4,34.75,-0.60,115
107/10/08,"77,000","2,667,500",34.65,34.8,34.55,34.55,-0.20,40
107/10/09,"64,150","2,215,231",34.55,34.7,34.35,34.55, 0.00,42
107/10/11,"542,000","17,572,549",31.7,33.6,31.7,33.2,-1.35,234
107/10/12,"134,000","4,428,350",32.8,33.5,32.75,33.5,+0.30,87
107/10/15,"48,000","1,589,800",33.45,33.45,33.05,33.05,-0.45,31
107/10/16,"35,000","1,162,300",33.45,33.45,33.1,33.3,+0.25,28
107/10/17,"61,365","2,022,845",33.75,33.75,32.8,32.8,-0.50,42
107/10/18,"17,000","557,100",32.8,32.9,32.65,32.9,+0.10,16
107/10/19,"83,500","2,710,550",32.75,33.2,32.1,33.2,+0.30,63
107/10/22,"15,100","496,980",32.6,33.2,32.55,33.2, 0.00,17
