date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"5,330","66,489",12.50,12.50,12.45,12.45,+0.15,11
107/07/03,"20,924","258,614",12.45,12.45,12.30,12.35,-0.10,14
107/07/04,"43,005","520,360",12.20,12.20,12.05,12.05,-0.30,28
107/07/05,"7,001","84,862",12.15,12.15,12.10,12.10,+0.05,7
107/07/06,"16,004","192,948",12.10,12.10,12.00,12.10, 0.00,12
107/07/09,"8,010","97,120",12.10,12.15,12.10,12.15,+0.05,12
107/07/10,"14,001","169,912",12.10,12.20,12.10,12.20,+0.05,11
107/07/11,"30,356","367,072",12.10,12.10,12.05,12.10,-0.10,26
107/07/12,"12,000","144,750",12.05,12.10,12.05,12.10, 0.00,6
107/07/13,"22,001","268,912",12.20,12.30,12.20,12.30,+0.20,15
107/07/16,"39,002","472,774",12.20,12.25,12.00,12.10,-0.20,23
107/07/17,"1,001","12,212",12.20,12.20,12.20,12.20,+0.10,2
107/07/18,"22,000","267,850",12.20,12.30,12.05,12.30,+0.10,19
107/07/19,"14,000","171,000",12.15,12.30,12.10,12.30, 0.00,12
107/07/20,"28,001","339,212",12.15,12.15,12.10,12.15,-0.15,15
107/07/23,"22,485","270,569",12.05,12.05,12.00,12.00,-0.15,24
107/07/24,"8,009","96,858",12.10,12.15,12.05,12.10,+0.10,9
107/07/25,"15,005","181,710",12.10,12.15,12.10,12.15,+0.05,11
107/07/26,"33,186","402,528",12.10,12.15,12.10,12.15, 0.00,20
107/07/27,"22,002","266,024",12.10,12.15,12.05,12.10,-0.05,13
107/07/30,"39,000","470,750",12.10,12.10,12.00,12.10, 0.00,21
107/07/31,"14,012","170,496",12.10,12.20,12.10,12.15,+0.05,11
107/08/01,"6,001","72,462",12.10,12.10,12.05,12.10,-0.05,6
107/08/02,"41,003","491,886",12.05,12.05,11.95,11.95,-0.15,24
107/08/03,"35,004","419,448",11.95,12.00,11.95,11.95, 0.00,20
107/08/06,"12,000","143,950",11.95,12.00,11.95,12.00,+0.05,3
107/08/07,"13,000","156,000",12.00,12.00,12.00,12.00, 0.00,6
107/08/08,"40,413","484,414",12.05,12.05,11.95,11.95,-0.05,16
107/08/09,"17,000","204,400",12.00,12.10,12.00,12.00,+0.05,14
107/08/10,"5,000","59,950",11.95,12.00,11.95,12.00, 0.00,5
107/08/13,"63,007","744,280",12.00,12.00,11.65,11.70,-0.30,32
107/08/14,"26,000","304,400",11.80,11.80,11.70,11.70, 0.00,12
107/08/15,"66,061","767,825",11.80,11.80,11.55,11.65,-0.05,78
107/08/16,"11,000","128,400",11.70,11.70,11.65,11.65, 0.00,6
107/08/17,"35,332","413,851",11.70,11.95,11.65,11.65, 0.00,22
107/08/20,"9,009","105,402",11.70,11.70,11.70,11.70,+0.05,13
107/08/21,"10,000","117,500",11.80,11.80,11.70,11.75,+0.05,9
107/08/22,"5,100","59,934",11.75,11.75,11.75,11.75, 0.00,4
107/08/23,"5,001","58,261",11.65,11.65,11.65,11.65,-0.10,5
107/08/24,"16,000","186,250",11.65,11.75,11.60,11.75,+0.10,8
107/08/27,"14,001","162,861",11.65,11.65,11.60,11.65,-0.10,10
107/08/28,"10,001","117,261",11.65,11.80,11.65,11.80,+0.15,9
107/08/29,"21,000","247,050",11.80,11.85,11.75,11.80, 0.00,9
107/08/30,"3,050","35,639",11.65,11.70,11.65,11.70,-0.10,5
107/08/31,"10,000","117,000",11.70,11.70,11.70,11.70, 0.00,6
107/09/03,"21,005","247,710",11.85,12.00,11.70,11.90,+0.20,19
