date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"113,487","1,127,140",9.91,9.99,9.91,9.93,+0.02,41
107/07/03,"526,502","5,174,512",9.98,9.98,9.77,9.80,-0.13,151
107/07/04,"244,116","2,375,450",9.76,9.80,9.70,9.70,-0.10,65
107/07/05,"283,205","2,722,797",9.67,9.67,9.56,9.56,-0.14,93
107/07/06,"556,003","5,275,147",9.60,9.60,9.40,9.52,-0.04,147
107/07/09,"147,188","1,414,874",9.52,9.74,9.45,9.74,+0.22,95
107/07/10,"80,012","771,625",9.74,9.74,9.62,9.64,-0.10,43
107/07/11,"81,002","778,528",9.60,9.65,9.60,9.62,-0.02,44
107/07/12,"93,001","894,189",9.60,9.64,9.60,9.62, 0.00,39
107/07/13,"79,002","760,678",9.58,9.65,9.57,9.64,+0.02,37
107/07/16,"416,001","3,998,679",9.64,9.69,9.58,9.69,+0.05,42
107/07/17,"99,182","961,862",9.69,9.78,9.64,9.70,+0.01,39
107/07/18,"98,000","947,280",9.70,9.70,9.63,9.70, 0.00,57
107/07/19,"44,505","430,956",9.66,9.70,9.65,9.68,-0.02,24
107/07/20,"55,036","532,415",9.65,9.72,9.65,9.67,-0.01,32
107/07/23,"38,000","367,120",9.72,9.72,9.63,9.67, 0.00,22
107/07/24,"66,003","638,068",9.65,9.69,9.65,9.69,+0.02,30
107/07/25,"73,481","711,395",9.70,9.72,9.66,9.69, 0.00,38
107/07/26,"136,239","1,323,169",9.72,9.76,9.69,9.76,+0.07,56
107/07/27,"80,261","788,515",9.85,9.85,9.79,9.84,+0.08,43
107/07/30,"134,120","1,320,188",9.85,9.93,9.81,9.82,-0.02,62
107/07/31,"745,806","7,424,330",9.88,10.25,9.82,10.10,+0.28,194
107/08/01,"759,990","7,846,196",10.30,10.50,10.20,10.20,+0.10,387
107/08/02,"243,002","2,442,320",10.20,10.20,10.00,10.00,-0.20,110
107/08/03,"159,237","1,607,630",10.05,10.20,10.05,10.10,+0.10,74
107/08/06,"75,834","764,890",10.10,10.15,10.05,10.05,-0.05,45
107/08/07,"267,205","2,697,920",10.15,10.20,10.05,10.10,+0.05,106
107/08/08,"338,200","3,452,738",10.20,10.30,10.10,10.20,+0.10,98
107/08/09,"909,897","9,367,687",10.25,10.45,10.20,10.35,+0.15,191
107/08/10,"427,003","4,419,980",10.35,10.40,10.30,10.35, 0.00,131
107/08/13,"544,342","5,588,065",10.35,10.35,10.20,10.20,-0.15,195
107/08/14,"521,038","5,351,731",10.25,10.40,10.20,10.30,+0.10,165
107/08/15,"578,112","5,924,442",10.30,10.30,10.20,10.25,-0.05,105
107/08/16,"204,813","2,092,190",10.30,10.30,10.20,10.25, 0.00,57
107/08/17,"1,076,305","11,372,600",10.30,10.75,10.30,10.55,+0.30,423
107/08/20,"475,505","5,052,923",10.70,10.70,10.55,10.60,+0.05,198
107/08/21,"333,499","3,546,588",10.60,10.70,10.55,10.65,+0.05,112
107/08/22,"300,222","3,190,498",10.65,10.65,10.55,10.65, 0.00,103
107/08/23,"195,393","2,069,924",10.65,10.65,10.55,10.55,-0.10,96
107/08/24,"108,001","1,133,110",10.55,10.55,10.45,10.45,-0.10,64
107/08/27,"302,201","3,137,250",10.45,10.50,10.30,10.30,-0.15,114
107/08/28,"1,195,213","12,534,811",10.35,10.55,10.35,10.50,+0.20,203
107/08/29,"242,704","2,523,669",10.50,10.50,10.35,10.45,-0.05,78
107/08/30,"223,004","2,300,940",10.45,10.45,10.25,10.30,-0.15,133
107/08/31,"102,202","1,050,580",10.25,10.30,10.25,10.30, 0.00,41
107/09/03,"116,006","1,198,361",10.30,10.40,10.30,10.30, 0.00,55
107/09/04,"312,003","3,215,580",10.40,10.40,10.25,10.25,-0.05,87
