date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"51,098","510,264",10.00,10.00,9.91,9.98, 0.00,23
107/07/03,"42,390","419,390",9.96,9.96,9.81,9.90,-0.08,26
107/07/04,"26,000","256,580",9.80,9.90,9.80,9.90, 0.00,20
107/07/05,"64,744","631,261",9.93,9.93,9.65,9.87,-0.03,33
107/07/06,"124,000","1,196,590",9.83,9.85,9.50,9.75,-0.12,51
107/07/09,"154,044","1,472,920",9.75,9.75,9.50,9.59,-0.16,69
107/07/10,"36,233","347,843",9.59,9.65,9.58,9.60,+0.01,29
107/07/11,"2,000","19,150",9.60,9.60,9.55,9.55,-0.05,2
107/07/12,"135,905","1,280,556",9.46,9.56,9.34,9.45,-0.10,84
107/07/13,"78,000","745,290",9.50,9.65,9.50,9.55,+0.10,35
107/07/16,"142,022","1,334,604",9.55,9.55,9.35,9.36,-0.19,50
107/07/17,"46,455","434,970",9.36,9.38,9.31,9.37,+0.01,21
107/07/18,"50,636","477,026",9.38,9.50,9.37,9.50,+0.13,34
107/07/19,"42,366","403,550",9.50,9.60,9.40,9.50, 0.00,25
107/07/20,"37,749","357,137",9.41,9.50,9.41,9.48,-0.02,27
107/07/23,"16,084","151,972",9.49,9.49,9.40,9.45,-0.03,16
107/07/24,"23,200","218,720",9.45,9.47,9.35,9.47,+0.02,18
107/07/25,"48,001","452,159",9.47,9.47,9.35,9.47, 0.00,28
107/07/26,"49,185","462,340",9.47,9.47,9.35,9.41,-0.06,26
107/07/27,"54,159","508,059",9.43,9.45,9.32,9.44,+0.03,61
107/07/30,"85,114","811,901",9.43,9.75,9.43,9.70,+0.26,60
107/07/31,"110,138","1,056,994",9.70,9.75,9.50,9.65,-0.05,69
107/08/01,"116,071","1,118,564",9.65,9.75,9.55,9.67,+0.02,72
107/08/02,"29,806","285,416",9.65,9.67,9.52,9.61,-0.06,25
107/08/03,"51,032","487,896",9.61,9.65,9.47,9.65,+0.04,40
107/08/06,"70,122","668,010",9.65,9.65,9.45,9.55,-0.10,75
107/08/07,"3,140","29,992",9.55,9.55,9.55,9.55, 0.00,5
107/08/08,"22,158","210,591",9.55,9.55,9.43,9.50,-0.05,76
107/08/09,"54,670","519,014",9.50,9.52,9.41,9.51,+0.01,32
107/08/10,"64,286","605,687",9.51,9.55,9.38,9.47,-0.04,40
107/08/13,"104,037","956,073",9.45,9.49,8.95,9.20,-0.27,68
107/08/14,"54,176","495,761",9.20,9.20,9.07,9.16,-0.04,35
107/08/15,"108,040","978,370",9.18,9.18,8.98,9.14,-0.02,89
107/08/16,"132,292","1,197,407",9.15,9.15,9.00,9.15,+0.01,95
107/08/17,"53,515","487,826",9.18,9.18,9.05,9.15, 0.00,39
107/08/20,"53,282","486,036",9.15,9.16,9.06,9.13,-0.02,44
107/08/21,"68,295","620,373",9.10,9.15,9.05,9.09,-0.04,41
107/08/22,"64,000","579,600",9.10,9.13,9.02,9.09, 0.00,38
107/08/23,"104,005","936,945",9.03,9.09,8.95,9.05,-0.04,68
107/08/24,"21,383","192,480",9.05,9.05,8.97,9.01,-0.04,15
107/08/27,"30,001","269,958",9.03,9.03,8.95,8.99,-0.02,16
107/08/28,"46,605","418,170",9.01,9.01,8.93,8.98,-0.01,34
107/08/29,"67,981","606,779",8.98,8.98,8.89,8.95,-0.03,43
107/08/30,"124,001","1,102,338",8.90,8.97,8.84,8.94,-0.01,64
107/08/31,"96,159","852,049",8.85,8.94,8.83,8.89,-0.05,48
107/09/03,"47,000","417,730",8.89,8.90,8.85,8.90,+0.01,25
107/09/04,"39,001","344,768",8.81,8.89,8.81,8.88,-0.02,26
107/09/05,"52,000","459,490",8.85,8.88,8.80,8.88, 0.00,30
107/09/06,"35,098","309,682",8.88,8.88,8.80,8.80,-0.08,21
