date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"1,248,690","41,303,807",33.05,33.25,32.95,33.05,-0.30,842
107/07/03,"1,530,452","50,365,986",33.0,33.05,32.8,32.8,-0.25,972
107/07/04,"479,020","15,752,153",32.8,33.0,32.8,32.9,+0.10,371
107/07/05,"994,192","32,603,478",32.95,33.0,32.55,32.55,-0.35,699
107/07/06,"927,812","30,259,939",32.55,32.75,32.45,32.75,+0.20,678
107/07/09,"756,867","25,006,661",32.8,33.2,32.8,33.15,+0.40,449
107/07/10,"918,341","30,607,503",33.3,33.45,33.15,33.45,+0.30,612
107/07/11,"1,241,148","41,092,604",33.15,33.25,33.0,33.1,-0.35,970
107/07/12,"1,026,750","34,124,010",33.1,33.4,33.0,33.35,+0.25,843
107/07/13,"1,173,225","39,241,143",33.4,33.55,33.25,33.55,+0.20,795
107/07/16,"1,768,511","59,390,616",33.3,33.85,33.3,33.7,+0.15,851
107/07/17,"2,340,685","78,800,295",33.6,33.75,33.6,33.65,-0.05,794
107/07/18,"3,324,578","105,941,004",31.9,31.95,31.7,31.95,X0.00,"1,220"
107/07/19,"1,303,190","41,558,650",32.15,32.2,31.6,31.6,-0.35,787
107/07/20,"955,443","30,234,490",31.6,31.75,31.55,31.7,+0.10,693
107/07/23,"1,285,683","41,034,662",32.2,32.25,31.6,31.65,-0.05,872
107/07/24,"1,390,093","44,143,947",31.7,31.85,31.7,31.85,+0.20,773
107/07/25,"2,185,976","70,485,872",32.05,32.45,32.05,32.35,+0.50,"1,291"
107/07/26,"1,399,749","45,345,813",32.45,32.5,32.35,32.5,+0.15,895
107/07/27,"1,601,094","52,121,153",32.5,32.7,32.5,32.7,+0.20,911
107/07/30,"914,177","29,913,850",32.7,32.85,32.6,32.85,+0.15,594
107/07/31,"3,008,291","98,105,953",32.85,33.0,32.4,32.4,-0.45,"1,083"
107/08/01,"1,178,411","38,301,566",32.55,32.75,32.4,32.5,+0.10,855
107/08/02,"850,712","27,529,594",32.4,32.6,32.2,32.2,-0.30,578
107/08/03,"902,187","28,957,548",32.2,32.25,32.0,32.1,-0.10,603
107/08/06,"976,537","31,485,684",32.1,32.5,32.1,32.15,+0.05,591
107/08/07,"873,173","28,121,750",32.15,32.35,32.15,32.2,+0.05,582
107/08/08,"1,020,415","32,966,580",32.3,32.45,32.2,32.45,+0.25,787
107/08/09,"971,807","31,503,626",32.4,32.5,32.3,32.5,+0.05,796
107/08/10,"864,955","28,030,884",32.45,32.5,32.35,32.5, 0.00,833
107/08/13,"1,108,234","35,792,833",32.35,32.4,32.2,32.2,-0.30,649
107/08/14,"1,066,549","34,566,775",32.25,32.5,32.25,32.3,+0.10,713
107/08/15,"866,770","28,000,241",32.35,32.5,32.2,32.3, 0.00,595
107/08/16,"805,103","25,898,976",32.3,32.3,32.1,32.25,-0.05,623
107/08/17,"643,294","20,747,400",32.3,32.35,32.15,32.15,-0.10,522
107/08/20,"1,230,110","39,788,873",32.15,32.65,32.15,32.6,+0.45,863
