date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"30,064","1,193,208",39.65,39.85,39.55,39.85,-0.15,25
107/07/03,"29,300","1,165,260",39.85,39.90,39.60,39.85, 0.00,24
107/07/04,"31,200","1,229,150",39.55,39.65,39.20,39.35,-0.50,25
107/07/05,"28,368","1,108,018",39.30,39.30,38.75,39.20,-0.15,21
107/07/06,"31,168","1,213,510",38.75,39.20,38.50,39.20, 0.00,25
107/07/09,"30,089","1,174,052",38.70,39.15,38.70,39.15,-0.05,26
107/07/10,"29,000","1,132,450",38.90,39.20,38.90,39.20,+0.05,23
107/07/11,"201,041","7,870,673",39.15,39.15,39.10,39.10,-0.10,6
107/07/12,"32,022","1,247,010",38.90,39.10,38.75,39.00,-0.10,26
107/07/13,"41,554","1,618,445",39.00,39.40,38.75,39.05,+0.05,41
107/07/16,"34,303","1,335,020",39.00,39.10,38.75,39.10,+0.05,32
107/07/17,"31,407","1,224,358",38.90,39.10,38.80,39.10, 0.00,31
107/07/18,"38,000","1,481,900",39.10,39.20,38.85,39.10, 0.00,34
107/07/19,"32,017","1,248,204",39.10,39.15,38.85,38.85,-0.25,30
107/07/20,"30,150","1,173,984",38.90,39.10,38.80,39.00,+0.15,30
107/07/23,"32,251","1,253,898",38.95,39.00,38.75,38.75,-0.25,32
107/07/24,"26,078","1,016,949",39.10,39.20,38.85,39.20,+0.45,20
107/07/25,"31,002","1,208,727",39.15,39.15,38.80,39.05,-0.15,29
107/07/26,"43,176","1,680,128",39.05,39.20,38.80,39.05, 0.00,36
107/07/27,"27,023","1,062,797",39.20,39.70,38.95,39.70,+0.65,22
107/07/30,"33,146","1,298,749",39.30,39.35,39.00,39.05,-0.65,30
107/07/31,"27,000","1,057,650",39.15,39.30,39.05,39.25,+0.20,18
107/08/01,"29,000","1,142,300",39.25,39.70,39.20,39.30,+0.05,20
107/08/02,"30,349","1,190,266",39.30,39.60,39.05,39.15,-0.15,24
107/08/03,"26,689","1,044,936",39.15,39.30,39.00,39.30,+0.15,23
107/08/06,"41,367","1,620,330",39.20,39.35,39.00,39.25,-0.05,36
107/08/07,"82,519","3,171,998",39.05,39.05,37.50,38.30,-0.95,81
107/08/08,"38,005","1,450,940",38.30,38.40,38.00,38.20,-0.10,27
107/08/09,"27,047","1,032,326",38.30,38.30,37.95,38.30,+0.10,21
107/08/10,"50,576","1,938,694",38.30,38.60,38.05,38.55,+0.25,42
107/08/13,"29,400","1,129,039",38.55,38.55,38.25,38.35,-0.20,26
107/08/14,"27,150","1,035,794",38.35,38.35,38.00,38.05,-0.30,26
107/08/15,"28,793","1,107,588",38.10,38.75,38.10,38.70,+0.65,31
107/08/16,"36,486","1,413,796",38.65,39.30,38.20,39.15,+0.45,35
107/08/17,"27,330","1,067,220",39.15,39.15,38.75,39.15, 0.00,15
107/08/20,"36,072","1,409,993",39.15,39.50,38.85,39.20,+0.05,34
107/08/21,"27,047","1,061,930",39.10,39.40,39.00,39.40,+0.20,23
107/08/22,"39,328","1,540,207",39.35,39.35,38.95,39.30,-0.10,40
107/08/23,"47,582","1,867,183",39.25,39.45,39.00,39.30, 0.00,45
107/08/24,"26,062","1,026,895",39.10,39.90,39.10,39.80,+0.50,22
107/08/27,"26,492","1,061,657",39.80,40.45,39.80,40.15,+0.35,23
107/08/28,"43,100","1,735,700",40.20,40.50,40.00,40.35,+0.20,37
107/08/29,"42,750","1,723,859",40.35,40.50,40.05,40.20,-0.15,38
107/08/30,"69,675","2,836,599",40.40,41.50,40.40,40.65,+0.45,65
107/08/31,"124,499","5,092,405",40.60,41.35,40.50,41.35,+0.70,116
107/09/03,"109,120","4,034,890",37.20,38.30,35.40,37.50,X0.00,95
107/09/04,"33,000","1,228,350",37.50,37.50,36.95,37.10,-0.40,25
107/09/05,"36,503","1,350,734",37.10,37.50,36.55,37.00,-0.10,30
107/09/06,"28,209","1,053,893",37.20,37.80,36.95,37.30,+0.30,20
107/09/07,"30,150","1,116,519",37.25,37.25,36.75,37.05,-0.25,22
107/09/10,"76,000","2,850,650",37.20,38.50,37.00,37.70,+0.65,66
107/09/11,"27,165","1,022,921",37.65,38.00,37.15,37.65,-0.05,25
107/09/12,"27,000","1,014,350",37.35,37.80,37.35,37.65, 0.00,18
107/09/13,"26,000","980,500",37.70,37.80,37.45,37.75,+0.10,20
107/09/14,"24,277","914,950",37.80,37.80,37.25,37.70,-0.05,20
107/09/17,"39,695","1,476,748",37.05,37.50,37.00,37.50,-0.20,36
107/09/18,"21,419","798,473",37.10,37.35,37.10,37.35,-0.15,18
107/09/19,"41,942","1,560,254",37.25,37.40,37.05,37.05,-0.30,43
107/09/20,"21,100","784,620",37.10,37.30,37.00,37.30,+0.25,19
107/09/21,"21,262","794,754",37.30,37.50,37.20,37.40,+0.10,21
107/09/25,"22,359","836,604",37.45,37.55,37.15,37.50,+0.10,19
107/09/26,"25,234","945,404",37.45,37.60,37.15,37.50, 0.00,20
107/09/27,"29,056","1,090,132",37.60,37.75,37.25,37.55,+0.05,25
107/09/28,"26,247","983,814",37.55,37.65,37.10,37.55, 0.00,20
107/10/01,"5,250","196,575",37.50,37.50,37.40,37.40,-0.15,3
107/10/02,"31,028","1,163,588",37.50,37.75,37.25,37.45,+0.05,19
107/10/03,"37,200","1,350,809",37.45,37.45,35.10,35.90,-1.55,30
107/10/04,"38,210","1,383,014",35.90,36.50,35.90,36.50,+0.60,35
107/10/05,"34,405","1,234,568",36.35,36.35,35.60,36.25,-0.25,26
107/10/08,"40,290","1,471,050",36.15,37.00,36.00,37.00,+0.75,31
107/10/09,"39,876","1,476,473",36.60,37.40,36.60,37.40,+0.40,34
107/10/11,"4,277","159,337",37.30,37.30,37.30,37.30,-0.10,6
107/10/12,"30,406","1,116,996",36.15,37.30,36.10,36.80,-0.50,31
107/10/15,"20,302","747,742",36.80,37.00,36.50,37.00,+0.20,20
107/10/16,"15,237","563,317",36.90,37.20,36.65,37.20,+0.20,30
107/10/17,"18,950","705,286",37.10,37.35,37.10,37.35,+0.15,21
107/10/18,"14,492","540,277",37.30,37.35,37.00,37.35, 0.00,17
107/10/19,"16,225","602,617",37.25,37.25,36.80,37.20,-0.15,25
107/10/22,"11,010","408,670",37.10,37.20,36.80,37.15,-0.05,11
107/10/23,"19,290","715,021",37.10,37.15,36.95,37.05,-0.10,14
107/10/24,"46,290","1,743,354",37.05,38.90,36.40,38.15,+1.10,43
107/10/25,"23,000","853,900",37.95,37.95,36.70,37.75,-0.40,22
107/10/26,"25,002","934,773",37.60,37.70,36.95,37.10,-0.65,21
107/10/29,"28,665","1,061,154",37.05,37.10,36.70,37.10, 0.00,24
107/10/30,"61,522","2,284,029",37.10,38.30,36.55,36.90,-0.20,55
107/10/31,"22,400","830,019",36.95,37.30,36.95,37.15,+0.25,18
107/11/01,"23,000","858,800",37.20,37.50,37.05,37.50,+0.35,20
107/11/02,"13,058","488,628",37.45,37.45,37.40,37.40,-0.10,10
107/11/05,"15,050","564,795",37.35,37.70,37.35,37.70,+0.30,10
