date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"1,476,001","39,051,825",26.85,27.0,25.7,25.7, 0.00,499
107/07/03,"915,243","24,073,892",26.0,26.8,25.85,26.2,+0.50,462
107/07/04,"750,000","19,931,750",26.25,26.95,26.2,26.6,+0.40,311
107/07/05,"320,013","8,459,690",26.85,26.85,26.1,26.2,-0.40,143
107/07/06,"604,066","15,384,316",26.25,26.25,25.0,25.8,-0.40,348
107/07/09,"476,951","12,557,054",25.95,26.6,25.9,26.5,+0.70,233
107/07/10,"965,000","26,123,200",26.9,27.5,26.75,26.75,+0.25,455
107/07/11,"307,066","8,168,969",26.2,26.95,26.2,26.9,+0.15,177
107/07/12,"1,900,848","52,948,694",26.9,28.45,26.9,27.75,+0.85,897
107/07/13,"868,584","24,391,009",27.9,28.3,27.7,28.2,+0.45,439
107/07/16,"1,584,391","45,532,470",28.95,29.1,28.3,28.6,+0.40,735
107/07/17,"533,022","15,368,541",28.9,29.0,28.65,28.7,+0.10,310
107/07/18,"1,327,144","36,552,737",28.8,28.8,26.85,27.4,-1.30,725
107/07/19,"1,194,783","32,741,039",27.5,28.15,26.5,27.7,+0.30,671
107/07/20,"637,000","17,667,900",27.8,28.3,27.3,27.7, 0.00,361
107/07/23,"246,000","6,662,050",27.65,27.65,26.75,27.0,-0.70,144
107/07/24,"267,240","7,200,430",26.85,27.15,26.7,26.95,-0.05,126
107/07/25,"185,571","4,995,695",26.95,27.15,26.8,26.8,-0.15,107
107/07/26,"180,412","4,809,695",27.0,27.0,26.55,26.55,-0.25,135
107/07/27,"503,000","13,095,750",26.55,26.55,25.85,26.0,-0.55,287
107/07/30,"284,892","7,329,874",25.85,26.0,25.5,25.85,-0.15,125
107/07/31,"175,344","4,589,978",25.85,26.35,25.85,26.35,+0.50,115
107/08/01,"132,981","3,529,442",26.4,26.8,26.35,26.7,+0.35,99
107/08/02,"176,006","4,641,957",26.7,26.7,26.15,26.25,-0.45,101
107/08/03,"118,196","3,110,294",26.25,26.5,26.15,26.15,-0.10,64
107/08/06,"814,373","22,175,093",26.2,27.65,26.2,27.65,+1.50,432
107/08/07,"346,344","9,572,278",27.6,27.95,27.45,27.7,+0.05,170
107/08/08,"229,820","6,305,594",27.7,27.75,27.15,27.2,-0.50,134
107/08/09,"288,000","7,811,750",27.2,27.5,26.8,27.15,-0.05,136
107/08/10,"1,101,414","30,747,683",27.15,28.5,27.0,28.0,+0.85,527
107/08/13,"751,000","20,302,000",28.0,28.0,26.55,26.6,-1.40,481
107/08/14,"164,003","4,375,833",26.9,26.9,26.45,26.85,+0.25,91
107/08/15,"216,026","5,753,494",26.85,26.95,26.35,26.7,-0.15,126
107/08/16,"143,000","3,841,200",26.7,27.1,26.5,27.0,+0.30,94
107/08/17,"319,000","8,564,100",27.1,27.1,26.7,26.9,-0.10,160
107/08/20,"157,134","4,215,063",26.95,27.1,26.65,26.65,-0.25,82
107/08/21,"112,407","3,003,746",26.9,26.9,26.55,26.75,+0.10,65
107/08/22,"340,403","9,228,201",26.8,27.4,26.7,27.35,+0.60,183
107/08/23,"4,474,068","126,542,504",27.55,29.5,26.55,26.6,-0.75,"2,191"
107/08/24,"1,619,000","41,286,050",26.5,27.1,24.65,25.4,-1.20,897
107/08/27,"167,481","4,294,062",25.5,25.8,25.5,25.6,+0.20,109
107/08/28,"182,093","4,674,847",25.6,25.85,25.5,25.8,+0.20,99
107/08/29,"269,408","6,893,416",25.9,25.95,25.4,25.8, 0.00,112
107/08/30,"203,000","5,155,100",25.5,25.55,25.25,25.35,X0.00,93
107/08/31,"125,000","3,155,500",25.3,25.5,25.15,25.5,+0.15,68
107/09/03,"156,039","3,967,736",25.5,25.6,25.3,25.4,-0.10,79
107/09/04,"64,026","1,631,313",25.55,25.55,25.45,25.5,+0.10,46
107/09/05,"61,000","1,557,050",25.6,25.65,25.45,25.45,-0.05,38
107/09/06,"198,557","5,047,320",25.3,25.65,25.2,25.5,+0.05,87
107/09/07,"352,415","8,848,699",25.4,25.4,24.9,25.0,-0.50,135
107/09/10,"220,500","5,445,200",24.95,24.95,24.55,24.65,-0.35,100
107/09/11,"280,133","6,782,031",24.4,24.45,24.0,24.35,-0.30,117
107/09/12,"167,000","4,019,450",24.1,24.2,24.0,24.05,-0.30,52
107/09/13,"71,071","1,727,478",24.1,24.45,24.1,24.4,+0.35,52
107/09/14,"141,000","3,484,950",24.45,24.95,24.35,24.85,+0.45,116
107/09/17,"362,471","9,232,601",24.6,25.9,24.6,25.65,+0.80,185
107/09/18,"436,000","11,336,750",25.65,26.2,25.65,25.9,+0.25,192
107/09/19,"354,522","9,271,878",25.95,26.3,25.8,26.1,+0.20,177
107/09/20,"479,000","12,554,650",26.15,26.5,26.0,26.3,+0.20,239
107/09/21,"723,530","19,235,141",26.6,26.85,26.4,26.4,+0.10,340
107/09/25,"561,005","15,005,045",26.4,26.9,26.25,26.9,+0.50,337
107/09/26,"620,564","16,935,209",26.9,27.65,26.75,27.2,+0.30,376
107/09/27,"654,597","18,188,644",27.2,28.05,27.2,27.8,+0.60,362
107/09/28,"490,550","13,571,777",27.7,28.0,27.35,27.7,-0.10,251
107/10/01,"363,645","10,152,660",27.8,28.1,27.8,27.85,+0.15,174
107/10/02,"457,039","12,533,263",27.85,27.9,27.1,27.2,-0.65,217
107/10/03,"122,501","3,344,327",27.3,27.5,27.1,27.2, 0.00,75
107/10/04,"62,500","1,692,075",27.15,27.15,27.0,27.1,-0.10,47
107/10/05,"378,000","10,101,750",27.15,27.2,26.25,26.65,-0.45,201
107/10/08,"99,159","2,632,278",26.35,26.8,26.3,26.55,-0.10,66
107/10/09,"107,000","2,843,300",26.55,26.7,26.45,26.55, 0.00,69
107/10/11,"591,000","14,750,750",25.5,25.55,24.0,24.5,-2.05,278
107/10/12,"261,000","6,384,400",24.2,24.95,24.0,24.95,+0.45,147
107/10/15,"115,000","2,862,600",24.95,25.0,24.55,24.9,-0.05,71
107/10/16,"124,000","3,118,400",24.9,25.3,24.9,25.2,+0.30,94
107/10/17,"104,046","2,616,693",25.3,25.35,24.85,24.85,-0.35,84
107/10/18,"25,000","622,050",24.85,24.95,24.8,24.95,+0.10,22
107/10/19,"63,000","1,544,300",24.5,24.7,24.3,24.65,-0.30,44
107/10/22,"44,456","1,101,103",24.65,24.9,24.65,24.85,+0.20,37
107/10/23,"103,059","2,530,280",25.1,25.1,24.2,24.2,-0.65,76
