date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"425,371","10,452,560",24.4,24.95,24.3,24.3,-0.10,232
107/07/03,"256,436","6,275,063",24.55,24.6,24.35,24.45,+0.15,104
107/07/04,"411,443","10,044,299",24.45,24.6,24.3,24.5,+0.05,236
107/07/05,"479,053","11,644,583",24.5,24.5,24.25,24.25,-0.25,205
107/07/06,"722,190","17,420,902",24.25,24.25,24.0,24.25, 0.00,349
107/07/09,"305,607","7,413,355",24.4,24.4,24.1,24.25, 0.00,183
107/07/10,"350,254","8,495,653",24.25,24.4,24.1,24.2,-0.05,128
107/07/11,"259,920","6,299,806",24.2,24.35,24.2,24.2, 0.00,113
107/07/12,"282,920","6,849,210",24.2,24.3,24.15,24.2, 0.00,118
107/07/13,"264,046","6,408,405",24.25,24.35,24.25,24.25,+0.05,113
107/07/16,"350,418","8,539,163",24.3,24.5,24.3,24.35,+0.10,159
107/07/17,"339,135","8,276,620",24.4,24.45,24.3,24.35, 0.00,125
107/07/18,"376,519","9,203,107",24.65,24.65,24.35,24.4,+0.05,186
107/07/19,"369,323","9,016,125",24.5,24.5,24.35,24.4, 0.00,144
107/07/20,"298,232","7,279,233",24.4,24.55,24.35,24.4, 0.00,115
107/07/23,"373,028","9,084,129",24.45,24.45,24.2,24.3,-0.10,159
107/07/24,"283,005","6,893,418",24.35,24.5,24.3,24.4,+0.10,121
107/07/25,"303,708","7,422,853",24.4,24.5,24.35,24.5,+0.10,166
107/07/26,"533,751","13,154,693",24.6,24.8,24.55,24.8,+0.30,252
107/07/27,"768,688","19,186,826",24.85,25.1,24.8,25.05,+0.25,376
107/07/30,"665,628","16,771,260",25.2,25.3,25.1,25.2,+0.15,316
107/07/31,"724,217","18,368,170",25.2,25.5,25.2,25.35,+0.15,344
107/08/01,"906,841","23,194,683",25.35,25.7,25.35,25.5,+0.15,497
107/08/02,"629,179","16,045,838",25.5,25.7,25.4,25.45,-0.05,317
107/08/03,"682,006","17,324,991",25.45,25.6,25.3,25.35,-0.10,310
107/08/06,"796,548","20,199,048",25.5,25.5,25.25,25.3,-0.05,418
107/08/07,"727,999","18,404,957",25.3,25.35,25.2,25.35,+0.05,406
107/08/08,"2,047,205","52,116,003",25.4,25.55,25.35,25.4,+0.05,921
107/08/09,"1,218,419","28,672,942",23.4,23.75,23.35,23.5,X0.00,668
107/08/10,"540,521","12,710,259",23.5,23.65,23.4,23.4,-0.10,299
107/08/13,"773,223","17,763,357",23.25,23.25,22.85,22.95,-0.45,403
107/08/14,"373,896","8,577,253",22.95,23.05,22.85,23.0,+0.05,223
107/08/15,"216,349","4,973,885",23.15,23.15,22.85,22.9,-0.10,162
107/08/16,"217,553","4,941,222",22.85,22.85,22.55,22.65,-0.25,147
107/08/17,"165,076","3,749,332",23.0,23.0,22.6,22.7,+0.05,120
107/08/20,"214,193","4,845,487",22.9,22.9,22.5,22.5,-0.20,163
107/08/21,"462,499","10,402,127",22.5,22.6,22.3,22.4,-0.10,155
107/08/22,"168,894","3,809,554",22.7,22.7,22.4,22.55,+0.15,127
107/08/23,"174,222","3,929,363",22.8,22.8,22.45,22.6,+0.05,125
107/08/24,"337,664","7,522,102",22.6,22.6,22.05,22.3,-0.30,186
107/08/27,"186,610","4,156,929",22.4,22.4,22.2,22.25,-0.05,126
107/08/28,"143,325","3,190,977",22.45,22.45,22.2,22.25, 0.00,112
107/08/29,"1,245,722","30,103,958",22.25,22.35,22.15,22.2,-0.05,129
107/08/30,"284,973","6,291,146",22.2,22.2,22.0,22.05,-0.15,199
107/08/31,"353,426","7,938,221",22.15,22.6,22.15,22.55,+0.50,253
107/09/03,"238,166","5,344,886",22.55,22.6,22.35,22.4,-0.15,177
107/09/04,"114,640","2,566,060",22.4,22.45,22.3,22.45,+0.05,98
107/09/05,"164,765","3,683,033",22.4,22.45,22.3,22.3,-0.15,111
107/09/06,"164,098","3,664,187",22.35,22.45,22.25,22.35,+0.05,128
107/09/07,"349,516","7,767,068",22.45,22.45,22.05,22.05,-0.30,209
107/09/10,"476,740","10,444,286",22.2,22.25,21.7,21.7,-0.35,261
107/09/11,"246,263","5,359,229",21.75,21.85,21.7,21.8,+0.10,152
107/09/12,"262,339","5,711,531",21.9,21.9,21.7,21.8, 0.00,163
107/09/13,"652,701","14,603,856",21.9,22.6,21.9,22.2,+0.40,369
107/09/14,"253,197","5,682,519",22.5,22.55,22.25,22.5,+0.30,161
107/09/17,"107,932","2,409,877",22.5,22.5,22.25,22.25,-0.25,88
107/09/18,"146,365","3,243,566",22.25,22.3,22.05,22.15,-0.10,116
107/09/19,"262,404","5,813,166",22.15,22.3,22.05,22.2,+0.05,185
107/09/20,"116,212","2,581,353",22.2,22.25,22.15,22.2, 0.00,99
107/09/21,"127,057","2,812,107",22.2,22.35,22.05,22.1,-0.10,96
107/09/25,"201,849","4,483,133",22.2,22.3,22.15,22.25,+0.15,163
107/09/26,"263,365","5,901,360",22.25,22.5,22.25,22.5,+0.25,189
107/09/27,"130,123","2,902,302",22.5,22.5,22.15,22.3,-0.20,90
107/09/28,"217,424","4,835,949",22.3,22.3,22.15,22.2,-0.10,117
107/10/01,"155,727","3,453,785",22.2,22.25,22.15,22.2, 0.00,110
107/10/02,"107,713","2,383,537",22.15,22.2,22.1,22.15,-0.05,87
107/10/03,"185,170","4,117,422",22.2,22.3,22.15,22.2,+0.05,121
107/10/04,"300,118","6,637,507",22.15,22.2,22.05,22.1,-0.10,137
107/10/05,"541,936","11,873,384",22.0,22.1,21.75,21.9,-0.20,247
107/10/08,"236,302","5,178,344",21.95,22.0,21.85,21.9, 0.00,123
107/10/09,"299,072","6,589,533",22.0,22.15,21.9,22.15,+0.25,184
107/10/11,"865,519","18,081,299",21.7,21.7,20.65,20.9,-1.25,388
107/10/12,"570,331","11,749,751",19.9,21.0,19.9,20.95,+0.05,277
107/10/15,"364,727","7,664,017",21.5,21.5,20.9,20.9,-0.05,247
107/10/16,"205,148","4,306,532",21.0,21.2,20.9,20.9, 0.00,129
107/10/17,"258,690","5,400,248",21.05,21.15,20.6,20.6,-0.30,168
107/10/18,"185,192","3,802,634",20.25,21.0,20.25,20.5,-0.10,132
107/10/19,"270,353","5,520,464",20.45,20.55,20.2,20.3,-0.20,107
107/10/22,"178,246","3,651,675",20.3,20.7,20.2,20.65,+0.35,106
107/10/23,"358,757","7,375,531",20.65,20.85,20.25,20.3,-0.35,178
107/10/24,"265,704","5,360,737",20.3,20.35,20.1,20.2,-0.10,144
107/10/25,"403,694","7,854,299",18.65,19.8,18.65,19.75,-0.45,230
107/10/26,"241,647","4,748,392",19.75,19.85,19.5,19.5,-0.25,155
107/10/29,"210,168","4,097,597",19.45,19.7,19.45,19.45,-0.05,116
107/10/30,"168,664","3,280,644",19.5,19.7,19.35,19.35,-0.10,113
107/10/31,"113,068","2,213,592",19.5,19.75,19.45,19.65,+0.30,76
107/11/01,"240,834","4,784,866",20.0,20.3,19.7,19.85,+0.20,148
107/11/02,"130,272","2,587,675",19.9,19.95,19.8,19.9,+0.05,93
107/11/05,"151,501","3,024,070",19.95,20.05,19.9,19.95,+0.05,71
107/11/06,"166,205","3,333,477",20.05,20.2,19.95,20.0,+0.05,114
107/11/07,"145,884","2,946,638",20.15,20.3,20.1,20.2,+0.20,102
107/11/08,"121,580","2,450,912",20.15,20.25,20.05,20.2, 0.00,100
107/11/09,"103,161","2,062,670",20.15,20.15,19.9,20.0,-0.20,74
107/11/12,"99,490","1,985,750",19.75,20.15,19.75,19.9,-0.10,67
107/11/13,"188,500","3,707,398",19.7,19.8,19.6,19.65,-0.25,112
107/11/14,"210,627","4,125,597",19.7,19.7,19.5,19.65, 0.00,129
107/11/15,"179,683","3,499,266",19.65,19.8,19.4,19.5,-0.15,123
107/11/16,"181,041","3,517,548",19.5,19.65,19.35,19.35,-0.15,142
107/11/19,"251,801","4,853,955",19.45,19.45,19.15,19.3,-0.05,145
107/11/20,"125,585","2,418,668",19.2,19.35,19.2,19.35,+0.05,95
