date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"25,000","267,450",10.7,10.75,10.5,10.65,-0.05,11
107/07/03,"19,000","202,850",10.65,10.7,10.65,10.7,0.05,5
107/07/04,"25,000","268,400",10.7,10.8,10.55,10.8,0.1,11
107/07/05,"22,000","237,500",10.8,10.85,10.7,10.8,0.0,8
107/07/06,"58,011","645,719",10.8,11.85,10.8,11.1,0.3,40
107/07/09,"31,000","363,450",11.25,12.15,11.15,11.7,0.6,24
107/07/10,"31,000","357,300",11.7,11.75,11.2,11.75,0.05,24
107/07/11,"22,000","261,050",11.75,12.25,11.5,11.5,-0.25,18
107/07/12,"28,000","324,500",11.5,11.9,11.2,11.6,0.1,15
107/07/13,"19,000","219,100",11.6,11.65,11.25,11.45,-0.15,9
107/07/16,"22,000","252,300",11.45,11.5,11.4,11.5,0.05,10
107/07/17,"23,000","263,900",11.5,11.55,11.3,11.45,-0.05,7
107/07/18,"37,000","428,250",11.5,11.8,11.45,11.55,0.1,22
107/07/19,"21,000","241,850",11.55,11.6,11.25,11.5,-0.05,10
107/07/20,"27,000","309,200",11.5,11.55,11.2,11.5,0.0,13
107/07/23,"23,000","262,250",11.5,11.5,11.15,11.15,-0.35,8
107/07/24,"17,000","190,950",11.2,11.25,11.2,11.25,0.1,5
107/07/25,"18,000","203,900",11.25,11.45,11.25,11.35,0.1,6
107/07/26,"16,000","182,150",11.35,11.4,11.35,11.4,0.05,4
107/07/27,"23,025","262,831",11.4,11.45,11.35,11.45,0.05,16
107/07/30,"20,000","227,500",11.4,11.45,11.35,11.4,-0.05,10
107/07/31,"21,000","238,000",11.35,11.4,11.3,11.4,0.0,12
107/08/01,"23,000","263,300",11.4,11.5,11.4,11.45,0.05,13
107/08/02,"41,000","451,500",11.4,11.4,10.5,11.4,-0.05,25
107/08/03,"16,000","178,600",11.05,11.35,11.05,11.35,-0.05,15
107/08/06,"14,000","157,550",11.3,11.3,11.15,11.25,-0.1,11
107/08/07,"21,000","234,350",11.2,11.2,11.1,11.2,-0.05,14
107/08/08,"21,000","238,650",11.2,11.9,11.2,11.35,0.15,16
