date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"1,858,635","13,551,433",6.99,7.46,6.99,7.25,0.29,664
107/07/03,"814,383","5,812,707",7.21,7.38,7.0,7.27,0.02,287
107/07/04,"2,358,854","17,336,626",7.22,7.45,7.12,7.39,0.12,753
107/07/05,"957,709","6,940,327",7.35,7.42,7.14,7.22,-0.17,386
107/07/06,"561,203","3,990,068",7.22,7.23,7.0,7.19,-0.03,207
107/07/09,"366,836","2,599,686",7.19,7.24,7.01,7.07,-0.12,151
107/07/10,"905,898","6,346,415",7.14,7.14,6.9,6.95,-0.12,275
107/07/11,"272,646","1,895,683",6.9,7.0,6.9,6.92,-0.03,137
107/07/12,"506,703","3,471,777",6.89,6.96,6.8,6.8,-0.12,192
107/07/13,"379,308","2,567,278",6.82,6.84,6.71,6.84,0.04,153
107/07/16,"327,880","2,211,023",6.85,6.85,6.7,6.7,-0.14,135
107/07/17,"354,432","2,386,522",6.69,6.85,6.65,6.82,0.12,148
107/07/18,"199,565","1,351,454",6.8,6.88,6.67,6.72,-0.1,106
107/07/19,"309,560","2,066,122",6.72,6.76,6.62,6.65,-0.07,116
107/07/20,"178,027","1,177,863",6.68,6.72,6.53,6.57,-0.08,83
107/07/23,"363,044","2,340,961",6.57,6.57,6.36,6.44,-0.13,140
107/07/24,"236,869","1,547,582",6.44,6.7,6.37,6.59,0.15,105
107/07/25,"158,452","1,044,698",6.59,6.64,6.5,6.6,0.01,68
107/07/26,"170,779","1,131,655",6.69,6.74,6.55,6.65,0.05,82
107/07/27,"152,682","1,009,838",6.65,6.69,6.56,6.63,-0.02,72
107/07/30,"99,165","650,039",6.63,6.63,6.52,6.55,-0.08,40
107/07/31,"221,995","1,447,680",6.46,6.66,6.46,6.6,0.05,114
107/08/01,"320,628","2,093,486",6.6,6.66,6.5,6.6,0.0,108
107/08/02,"201,392","1,313,702",6.58,6.65,6.48,6.48,-0.12,79
107/08/03,"349,123","2,255,787",6.5,6.57,6.3,6.45,-0.03,99
107/08/06,"120,140","772,411",6.38,6.49,6.38,6.48,0.03,61
107/08/07,"250,079","1,634,662",6.45,6.6,6.45,6.53,0.05,104
107/08/08,"656,217","4,200,695",6.59,6.65,6.22,6.28,-0.25,207
107/08/09,"251,972","1,583,633",6.26,6.35,6.25,6.25,-0.03,94
107/08/10,"194,533","1,212,733",6.25,6.32,6.16,6.18,-0.07,93
107/08/13,"771,729","4,480,373",6.0,6.0,5.63,5.71,-0.47,269
107/08/14,"309,410","1,809,212",5.74,6.0,5.73,5.92,0.21,143
107/08/15,"206,075","1,217,892",5.98,6.01,5.81,5.9,-0.02,101
107/08/16,"258,832","1,487,917",5.88,5.9,5.69,5.78,-0.12,104
107/08/17,"191,048","1,099,359",5.78,5.84,5.7,5.7,-0.08,84
107/08/20,"152,166","872,163",5.74,5.88,5.69,5.74,0.04,75
107/08/21,"230,036","1,321,123",5.71,5.8,5.7,5.75,0.01,94
107/08/22,"316,158","1,852,643",5.77,5.97,5.77,5.9,0.15,129
107/08/23,"159,725","944,691",5.99,5.99,5.87,5.95,0.05,73
107/08/24,"330,887","1,946,014",5.88,6.08,5.7,5.83,-0.12,127
107/08/27,"112,140","656,335",5.81,5.94,5.78,5.85,0.02,61
107/08/28,"200,849","1,193,343",5.91,6.04,5.89,5.92,0.07,101
107/08/29,"219,851","1,299,979",5.93,5.93,5.86,5.92,0.0,63
107/08/30,"210,850","1,244,740",5.97,6.04,5.85,5.86,-0.06,89
