date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"10,859","446,188",41.3,41.3,40.95,41.1,-0.20,15
107/07/03,"20,072","820,135",40.95,41.0,40.75,41.0,-0.10,23
107/07/04,"56,714","2,321,313",40.85,41.15,40.75,41.15,+0.15,57
107/07/05,"41,884","1,721,508",41.15,41.15,40.85,40.85,-0.30,30
107/07/06,"65,307","2,669,975",41.1,41.1,40.7,41.0,+0.15,46
107/07/09,"25,773","1,058,585",41.0,41.2,40.9,41.15,+0.15,31
107/07/10,"116,716","4,762,152",41.15,41.15,40.7,40.75,-0.40,115
107/07/11,"125,164","5,078,792",40.7,40.7,40.45,40.5,-0.25,128
107/07/12,"11,561","470,425",40.5,40.8,40.5,40.8,+0.30,12
107/07/13,"14,151","576,994",40.55,40.95,40.55,40.7,-0.10,18
107/07/16,"93,021","3,815,155",40.75,41.15,40.75,40.95,+0.25,60
107/07/17,"112,026","4,609,966",40.95,41.2,40.95,41.2,+0.25,80
107/07/18,"187,477","7,741,201",41.2,41.4,41.2,41.4,+0.20,136
107/07/19,"94,699","3,917,661",41.4,41.4,41.3,41.3,-0.10,62
107/07/20,"93,517","3,858,394",41.3,41.3,41.05,41.05,-0.25,47
107/07/23,"20,423","841,193",41.2,41.3,41.15,41.15,+0.10,16
107/07/24,"33,811","1,391,951",41.15,41.25,41.15,41.15, 0.00,35
107/07/25,"68,050","2,798,451",41.2,41.2,41.05,41.1,-0.05,58
107/07/26,"34,022","1,397,799",41.1,41.15,41.05,41.15,+0.05,36
107/07/27,"120,967","4,984,889",41.2,41.35,41.15,41.15, 0.00,88
107/07/30,"143,602","5,754,930",40.0,40.25,40.0,40.15,X0.00,88
107/07/31,"31,277","1,253,855",40.15,40.15,40.05,40.1,-0.05,38
107/08/01,"19,703","792,436",40.2,40.4,40.15,40.2,+0.10,25
107/08/02,"72,782","2,921,518",40.2,40.2,40.1,40.1,-0.10,60
107/08/03,"79,357","3,196,250",40.1,40.5,40.1,40.45,+0.35,57
107/08/06,"130,034","5,303,635",40.45,41.1,40.45,41.1,+0.65,92
107/08/07,"125,042","5,140,222",40.8,41.25,40.75,41.25,+0.15,89
107/08/08,"124,194","5,131,170",41.2,41.4,41.0,41.3,+0.05,75
107/08/09,"119,493","4,942,034",41.3,41.45,41.15,41.3, 0.00,70
107/08/10,"133,769","5,532,191",41.3,41.55,41.2,41.4,+0.10,92
107/08/13,"157,682","6,484,479",41.15,41.4,40.8,40.85,-0.55,99
107/08/14,"174,072","7,191,415",41.3,41.4,41.0,41.4,+0.55,77
107/08/15,"350,359","14,582,559",41.4,41.7,41.4,41.65,+0.25,144
107/08/16,"222,205","9,262,693",41.6,41.8,41.5,41.65, 0.00,105
107/08/17,"238,193","9,947,679",41.65,41.9,41.55,41.55,-0.10,98
107/08/20,"306,037","12,854,794",41.9,42.1,41.9,42.05,+0.50,158
107/08/21,"333,185","14,057,775",42.05,42.3,42.0,42.3,+0.25,164
107/08/22,"185,153","7,758,889",42.3,42.35,41.6,41.6,-0.70,128
107/08/23,"120,466","5,073,246",41.95,42.3,41.85,42.15,+0.55,64
107/08/24,"117,421","4,959,052",42.15,42.3,42.0,42.25,+0.10,61
107/08/27,"19,048","797,647",42.2,42.2,41.7,41.7,-0.55,16
107/08/28,"72,643","3,032,509",41.7,41.95,41.65,41.95,+0.25,57
107/08/29,"43,135","1,797,052",41.95,41.95,41.6,41.6,-0.35,46
107/08/30,"155,818","6,536,887",41.6,42.05,41.6,42.05,+0.45,142
107/08/31,"173,076","7,309,674",42.2,42.3,42.0,42.0,-0.05,143
107/09/03,"180,859","7,626,019",42.0,42.3,42.0,42.3,+0.30,152
107/09/04,"194,832","8,237,422",42.3,42.35,42.15,42.35,+0.05,156
107/09/05,"213,638","9,032,696",42.3,42.45,42.0,42.0,-0.35,181
107/09/06,"170,999","7,228,006",42.0,42.4,41.95,42.25,+0.25,141
107/09/07,"171,028","7,238,025",42.25,42.4,42.15,42.15,-0.10,161
107/09/10,"218,901","9,237,228",42.15,42.3,42.0,42.3,+0.15,169
107/09/11,"167,054","7,074,136",42.3,42.4,42.1,42.4,+0.10,142
107/09/12,"272,159","11,586,285",42.4,42.8,42.35,42.8,+0.40,219
107/09/13,"338,398","14,536,533",42.8,43.05,42.6,43.0,+0.20,249
107/09/14,"1,075,132","48,985,446",43.0,46.9,43.0,46.2,+3.20,688
107/09/17,"2,671,756","134,053,061",46.8,50.8,46.8,50.8,+4.60,"1,444"
107/09/18,"6,128,856","323,141,753",52.0,54.9,50.4,51.9,+1.10,"4,131"
107/09/19,"2,055,671","105,260,084",52.1,53.0,50.5,51.0,-0.90,"1,425"
107/09/20,"3,139,023","159,228,390",51.5,53.9,47.9,48.0,-3.00,"2,197"
107/09/21,"1,002,059","48,686,532",48.45,49.8,48.0,48.05,+0.05,710
107/09/25,"1,501,310","72,376,253",48.05,49.6,46.8,48.85,+0.80,"1,045"
107/09/26,"633,763","30,390,829",48.85,48.85,47.5,47.95,-0.90,441
107/09/27,"802,189","38,505,435",48.2,49.2,47.0,47.0,-0.95,542
107/09/28,"573,689","26,562,686",47.3,47.3,46.05,46.1,-0.90,414
107/10/01,"1,124,295","53,374,315",47.0,48.4,46.7,47.2,+1.10,821
107/10/02,"363,873","16,954,874",47.2,47.2,46.35,46.4,-0.80,288
107/10/03,"547,615","25,192,845",46.3,46.85,45.2,45.2,-1.20,452
107/10/04,"410,654","18,285,002",45.0,45.2,44.25,44.6,-0.60,289
107/10/05,"522,524","22,844,423",44.0,44.3,43.1,43.7,-0.90,364
107/10/08,"274,136","11,976,366",43.35,44.3,43.35,44.0,+0.30,219
107/10/09,"190,533","8,359,184",44.25,44.3,43.3,44.3,+0.30,167
107/10/11,"930,139","38,243,299",42.6,42.6,40.6,40.7,-3.60,550
107/10/12,"421,800","17,015,048",40.15,41.0,40.05,40.85,+0.15,289
107/10/15,"334,421","13,518,214",40.85,40.85,40.1,40.7,-0.15,273
107/10/16,"220,518","9,003,488",40.6,41.05,40.35,41.0,+0.30,154
107/10/17,"280,481","11,493,718",40.95,41.45,40.7,40.8,-0.20,165
107/10/18,"211,500","8,628,124",40.8,41.15,40.65,40.7,-0.10,171
107/10/19,"356,787","14,352,272",40.7,40.7,39.9,40.15,-0.55,248
107/10/22,"83,010","3,345,957",40.15,40.65,40.1,40.4,+0.25,70
107/10/23,"76,267","3,070,346",40.4,40.6,40.15,40.2,-0.20,65
107/10/24,"150,772","6,040,855",40.2,40.3,39.9,40.05,-0.15,119
107/10/25,"308,826","12,207,472",39.85,39.85,39.35,39.8,-0.25,207
107/10/26,"88,123","3,490,424",39.8,40.0,39.45,39.65,-0.15,82
107/10/29,"87,219","3,460,377",39.45,40.0,39.35,39.85,+0.20,82
107/10/30,"316,558","12,464,550",39.95,39.95,39.2,39.7,-0.15,262
107/10/31,"97,152","3,873,397",39.7,40.2,39.5,40.0,+0.30,90
107/11/01,"76,135","3,032,722",40.1,40.1,39.6,40.0, 0.00,63
107/11/02,"71,930","2,882,906",40.1,40.3,39.9,40.0, 0.00,60
107/11/05,"130,743","5,188,269",40.2,40.2,39.5,39.8,-0.20,108
107/11/06,"48,334","1,927,592",39.95,40.1,39.7,39.9,+0.10,46
107/11/07,"76,285","3,035,612",39.9,40.0,39.7,39.9, 0.00,79
107/11/08,"76,465","3,056,850",40.2,40.2,39.9,40.1,+0.20,55
107/11/09,"71,601","2,863,658",40.0,40.1,39.9,40.1, 0.00,57
107/11/12,"123,056","4,898,068",40.0,40.15,39.6,39.65,-0.45,111
107/11/13,"119,377","4,706,428",39.4,39.7,39.3,39.4,-0.25,113
107/11/14,"54,050","2,140,084",39.7,39.7,39.5,39.7,+0.30,45
107/11/15,"219,226","8,887,267",39.85,41.0,39.85,40.95,+1.25,164
107/11/16,"143,900","5,896,408",41.0,41.1,40.9,40.9,-0.05,104
107/11/19,"131,475","5,402,052",41.0,41.25,40.95,41.05,+0.15,79
107/11/20,"118,801","4,901,660",41.0,41.5,40.95,41.4,+0.35,71
107/11/21,"116,229","4,798,154",41.05,41.45,40.9,41.05,-0.35,74
107/11/22,"64,321","2,613,964",41.05,41.05,40.4,40.6,-0.45,50
107/11/23,"43,526","1,760,394",40.6,40.6,40.4,40.4,-0.20,35
107/11/26,"88,002","3,598,180",40.4,41.25,40.4,40.45,+0.05,80
107/11/27,"26,493","1,074,766",40.5,40.8,40.5,40.5,+0.05,25
107/11/28,"104,002","4,244,182",40.45,41.4,40.4,41.15,+0.65,93
107/11/29,"52,004","2,114,512",41.15,41.15,40.5,40.6,-0.55,46
107/11/30,"75,195","3,057,445",40.2,41.05,40.2,40.6, 0.00,62
107/12/03,"116,633","4,753,630",40.7,41.0,40.6,40.75,+0.15,91
107/12/04,"23,051","938,677",40.6,40.8,40.6,40.8,+0.05,19
107/12/05,"65,010","2,642,502",40.95,40.95,40.5,40.55,-0.25,63
107/12/06,"195,181","7,842,016",40.5,40.5,40.0,40.15,-0.40,142
107/12/07,"90,170","3,670,135",40.15,40.85,40.15,40.7,+0.55,62
107/12/10,"150,799","6,074,487",40.7,40.85,40.0,40.15,-0.55,148
107/12/11,"171,081","6,873,242",40.35,40.4,40.05,40.05,-0.10,146
107/12/12,"82,502","3,353,027",40.2,40.85,40.2,40.8,+0.75,86
107/12/13,"28,796","1,172,107",41.0,41.0,40.6,40.8, 0.00,24
107/12/14,"44,080","1,781,093",40.4,40.55,40.25,40.55,-0.25,40
107/12/17,"80,493","3,281,564",40.5,40.8,40.5,40.8,+0.25,49
107/12/18,"97,140","3,956,622",40.75,40.8,40.6,40.8, 0.00,72
107/12/19,"92,225","3,747,773",40.5,40.9,40.5,40.6,-0.20,80
107/12/20,"173,327","7,006,510",40.6,40.65,40.2,40.2,-0.40,102
107/12/21,"217,554","8,738,586",40.2,40.45,40.05,40.05,-0.15,108
107/12/22,"35,002","1,408,830",40.2,40.5,40.1,40.45,+0.40,33
107/12/24,"328,480","13,134,572",40.45,40.45,39.85,40.0,-0.45,173
107/12/25,"174,834","6,920,450",39.85,39.85,39.45,39.75,-0.25,105
107/12/26,"49,751","1,982,759",39.75,40.0,39.65,40.0,+0.25,46
107/12/27,"153,999","6,226,758",40.0,40.65,40.0,40.65,+0.65,104
107/12/28,"185,550","7,570,584",40.55,41.0,40.3,40.95,+0.30,100
108/01/02,"36,673","1,492,402",41.0,41.0,40.55,40.55,-0.40,37
108/01/03,"35,226","1,424,114",40.55,40.55,40.25,40.4,-0.15,35
108/01/04,"80,038","3,236,082",40.3,40.75,40.25,40.4, 0.00,64
108/01/07,"43,911","1,783,090",40.45,40.85,40.4,40.6,+0.20,50
108/01/08,"67,039","2,707,469",40.45,40.5,40.3,40.3,-0.30,63
108/01/09,"83,990","3,396,093",40.3,40.6,40.2,40.55,+0.25,63
108/01/10,"152,652","6,156,456",40.55,40.55,40.25,40.4,-0.15,83
108/01/11,"66,799","2,711,037",40.7,40.8,40.4,40.4, 0.00,66
108/01/14,"80,380","3,240,191",40.4,40.5,40.2,40.25,-0.15,74
108/01/15,"131,961","5,339,981",40.7,40.7,40.25,40.25, 0.00,87
108/01/16,"103,052","4,181,605",40.6,40.7,40.35,40.5,+0.25,67
108/01/17,"104,616","4,254,897",40.6,40.75,40.55,40.55,+0.05,65
108/01/18,"119,075","4,856,353",40.75,40.9,40.55,40.9,+0.35,77
108/01/21,"119,217","4,876,212",40.9,41.0,40.8,40.9, 0.00,79
108/01/22,"37,023","1,501,930",40.7,40.7,40.5,40.55,-0.35,30
108/01/23,"26,990","1,091,389",40.35,40.65,40.35,40.65,+0.10,34
108/01/24,"31,639","1,279,131",40.5,40.65,40.4,40.4,-0.25,27
108/01/25,"106,114","4,285,031",40.45,40.7,40.25,40.35,-0.05,70
108/01/28,"106,250","4,283,796",40.4,40.45,40.25,40.25,-0.10,73
108/01/29,"54,800","2,207,459",40.25,40.45,40.2,40.2,-0.05,41
108/01/30,"65,495","2,645,422",40.4,40.5,40.2,40.5,+0.30,39
108/02/11,"92,647","3,738,970",40.5,40.6,40.25,40.55,+0.05,78
108/02/12,"78,089","3,158,303",40.5,40.55,40.35,40.55, 0.00,66
108/02/13,"39,177","1,587,918",40.55,40.6,40.45,40.55, 0.00,27
108/02/14,"71,929","2,925,903",40.6,40.8,40.55,40.8,+0.25,44
108/02/15,"104,538","4,253,644",40.85,40.85,40.6,40.8, 0.00,73
108/02/18,"447,072","18,555,532",41.0,42.3,40.9,42.25,+1.45,309
108/02/19,"152,760","6,464,492",42.45,42.55,42.05,42.3,+0.05,125
108/02/20,"214,056","9,080,666",42.4,42.5,42.25,42.5,+0.20,138
108/02/21,"169,223","7,169,992",42.4,42.45,42.2,42.2,-0.30,147
108/02/22,"89,353","3,747,003",42.15,42.15,41.7,41.85,-0.35,78
108/02/25,"66,429","2,782,085",41.85,42.0,41.7,41.75,-0.10,57
108/02/26,"87,400","3,653,947",41.7,42.0,41.7,41.8,+0.05,50
108/02/27,"99,047","4,134,953",41.8,41.9,41.65,41.65,-0.15,92
108/03/04,"26,225","1,093,778",41.65,41.85,41.6,41.75,+0.10,30
108/03/05,"48,700","2,031,737",41.65,41.95,41.6,41.9,+0.15,50
108/03/06,"75,785","3,171,721",41.95,42.1,41.75,41.8,-0.10,74
108/03/07,"77,903","3,257,156",41.85,41.9,41.7,41.7,-0.10,65
108/03/08,"60,611","2,537,731",42.0,42.0,41.75,41.85,+0.15,57
108/03/11,"91,403","3,840,632",42.1,42.1,41.9,41.9,+0.05,82
108/03/12,"85,403","3,586,778",42.15,42.15,41.9,42.0,+0.10,75
108/03/13,"53,001","2,219,488",41.9,42.15,41.8,41.85,-0.15,40
108/03/14,"29,336","1,231,940",42.0,42.2,41.95,42.1,+0.25,30
108/03/15,"107,074","4,505,958",42.05,42.2,42.0,42.15,+0.05,78
108/03/18,"106,594","4,508,530",42.2,42.4,42.2,42.25,+0.10,86
108/03/19,"125,380","5,302,863",42.25,42.4,42.2,42.25, 0.00,90
108/03/20,"182,504","7,710,365",42.25,42.35,42.1,42.35,+0.10,118
108/03/21,"160,294","6,748,848",42.15,42.3,41.95,42.0,-0.35,109
108/03/22,"73,941","3,100,973",42.15,42.15,41.8,42.05,+0.05,57
108/03/25,"78,751","3,286,611",41.8,42.0,41.6,41.6,-0.45,62
108/03/26,"60,010","2,494,311",41.65,41.75,41.5,41.75,+0.15,44
108/03/27,"42,244","1,767,007",41.75,42.05,41.6,42.05,+0.30,41
108/03/28,"17,156","718,576",42.05,42.05,41.85,41.85,-0.20,22
108/03/29,"51,648","2,159,734",41.7,42.0,41.7,42.0,+0.15,41
108/04/01,"60,893","2,548,384",41.9,42.0,41.75,41.9,-0.10,58
108/04/02,"51,068","2,135,427",41.8,41.9,41.75,41.9, 0.00,41
108/04/03,"40,851","1,708,678",41.9,41.9,41.75,41.8,-0.10,37
108/04/08,"91,938","3,850,153",41.8,42.0,41.8,41.85,+0.05,61
108/04/09,"71,009","2,978,722",42.0,42.0,41.85,41.9,+0.05,50
108/04/10,"165,897","7,037,389",42.1,42.9,41.9,42.9,+1.00,151
108/04/11,"159,816","6,828,284",42.8,42.9,42.4,42.45,-0.45,126
108/04/12,"64,314","2,742,277",42.95,42.95,42.5,42.5,+0.05,52
108/04/15,"140,221","5,996,866",42.6,42.95,42.6,42.9,+0.40,101
108/04/16,"99,283","4,248,517",43.0,43.0,42.65,42.7,-0.20,59
108/04/17,"211,357","9,013,837",42.5,43.0,42.3,42.95,+0.25,172
108/04/18,"116,753","4,969,801",42.75,42.75,42.5,42.5,-0.45,88
108/04/19,"87,858","3,749,975",42.75,42.8,42.55,42.55,+0.05,73
108/04/22,"22,884","972,073",42.6,42.6,42.4,42.45,-0.10,29
108/04/23,"24,356","1,031,206",42.5,42.5,42.3,42.5,+0.05,23
108/04/24,"58,000","2,448,950",42.3,42.5,42.1,42.1,-0.40,48
108/04/25,"63,999","2,687,653",42.1,42.1,41.95,42.0,-0.10,53
108/04/26,"178,011","7,432,107",41.9,41.9,41.7,41.7,-0.30,69
108/04/29,"48,165","2,009,895",41.7,42.0,41.7,41.75,+0.05,39
108/04/30,"34,070","1,425,071",41.9,42.05,41.75,41.75, 0.00,27
108/05/02,"80,036","3,361,257",42.45,42.45,41.8,42.25,+0.50,74
108/05/03,"35,370","1,486,940",42.2,42.2,41.9,42.0,-0.25,26
108/05/06,"65,873","2,764,527",42.0,42.05,41.8,41.95,-0.05,49
108/05/07,"23,950","1,005,798",41.95,42.05,41.95,42.0,+0.05,26
108/05/08,"68,363","2,876,396",41.9,42.3,41.9,42.2,+0.20,66
