date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"503,246","16,223,019",32.5,32.5,32.05,32.3,+0.20,336
107/07/03,"554,486","17,768,479",32.5,32.5,31.55,31.8,-0.50,353
107/07/04,"312,320","9,924,308",31.65,31.95,31.65,31.7,-0.10,227
107/07/05,"331,695","10,487,729",31.7,32.0,31.25,31.3,-0.40,229
107/07/06,"780,322","24,130,594",31.5,31.8,30.35,31.2,-0.10,435
107/07/09,"505,563","16,020,408",31.35,32.15,31.3,31.9,+0.70,315
107/07/10,"293,594","9,387,176",31.75,32.2,31.75,31.95,+0.05,180
107/07/11,"479,000","15,166,250",32.1,32.1,31.4,31.5,-0.45,259
107/07/12,"370,367","11,663,572",31.4,31.65,31.4,31.4,-0.10,258
107/07/13,"370,103","11,734,754",31.65,31.85,31.6,31.8,+0.40,231
107/07/16,"470,347","14,878,578",31.8,31.9,31.45,31.7,-0.10,270
107/07/17,"261,991","8,298,864",31.7,31.85,31.5,31.8,+0.10,173
107/07/18,"612,998","19,607,435",31.9,32.35,31.75,31.9,+0.10,379
107/07/19,"749,544","24,182,767",32.4,32.45,32.05,32.3,+0.40,480
107/07/20,"679,400","21,966,539",32.45,32.55,32.15,32.3, 0.00,419
107/07/23,"288,880","9,307,650",32.4,32.4,32.05,32.15,-0.15,192
107/07/24,"652,083","20,844,064",32.1,32.15,31.85,32.0,-0.15,384
107/07/25,"1,117,646","35,823,802",31.95,32.25,31.9,32.0, 0.00,594
107/07/26,"642,470","19,749,721",30.7,30.9,30.6,30.75,X0.00,411
107/07/27,"396,985","12,129,486",30.9,30.9,30.35,30.5,-0.25,230
107/07/30,"498,463","15,076,304",30.5,30.65,30.05,30.25,-0.25,318
107/07/31,"378,740","11,413,083",30.1,30.45,29.95,30.25, 0.00,224
107/08/01,"555,920","17,007,493",30.1,30.85,30.1,30.85,+0.60,365
107/08/02,"677,030","20,607,230",30.9,30.9,30.25,30.25,-0.60,405
107/08/03,"253,825","7,740,294",30.5,30.65,30.35,30.6,+0.35,178
107/08/06,"411,485","12,661,642",30.75,30.95,30.6,30.65,+0.05,300
107/08/07,"155,274","4,752,144",30.65,30.7,30.55,30.6,-0.05,117
107/08/08,"283,871","8,672,651",30.6,30.7,30.4,30.5,-0.10,199
107/08/09,"241,686","7,349,354",30.55,30.55,30.35,30.35,-0.15,148
107/08/10,"348,200","10,539,400",30.4,30.4,30.15,30.3,-0.05,184
107/08/13,"987,240","29,396,551",30.25,30.35,29.05,29.35,-0.95,517
107/08/14,"246,545","7,289,490",29.45,29.8,29.4,29.6,+0.25,168
107/08/15,"546,452","15,989,037",29.7,29.7,29.05,29.1,-0.50,326
107/08/16,"595,001","17,198,529",29.1,29.1,28.7,29.1, 0.00,325
107/08/17,"237,827","6,936,189",29.2,29.35,29.1,29.1, 0.00,149
107/08/20,"339,300","9,868,077",29.15,29.35,28.95,29.0,-0.10,204
107/08/21,"236,687","6,890,325",29.1,29.2,29.05,29.05,+0.05,168
107/08/22,"136,151","3,983,939",29.1,29.4,29.1,29.25,+0.20,108
107/08/23,"411,303","12,220,730",29.3,30.25,29.2,29.8,+0.55,301
107/08/24,"300,000","8,826,300",29.8,29.8,29.35,29.35,-0.45,201
107/08/27,"235,500","6,969,548",29.5,29.8,29.35,29.75,+0.40,204
107/08/28,"400,978","11,948,596",29.75,29.95,29.6,29.7,-0.05,235
107/08/29,"265,727","7,927,513",29.9,30.0,29.7,29.7, 0.00,179
107/08/30,"202,449","5,988,638",29.7,29.75,29.5,29.55,-0.15,137
107/08/31,"363,286","10,771,598",29.55,29.85,29.5,29.55, 0.00,173
107/09/03,"349,227","10,414,460",29.95,29.95,29.7,29.85,+0.30,216
107/09/04,"161,420","4,812,424",29.95,29.95,29.65,29.75,-0.10,103
107/09/05,"167,104","4,945,744",29.85,29.85,29.5,29.5,-0.25,102
107/09/06,"190,000","5,558,900",29.5,29.5,29.2,29.2,-0.30,132
107/09/07,"553,968","15,970,930",29.2,29.2,28.6,28.7,-0.50,315
107/09/10,"508,808","14,245,574",28.7,28.85,27.75,27.8,-0.90,301
107/09/11,"225,000","6,263,600",27.8,28.1,27.7,28.0,+0.20,158
107/09/12,"300,407","8,325,764",28.15,28.15,27.4,27.65,-0.35,192
107/09/13,"256,302","7,140,306",27.6,28.05,27.6,27.75,+0.10,166
107/09/14,"202,907","5,706,926",28.0,28.3,27.8,28.2,+0.45,164
107/09/17,"129,371","3,633,580",28.15,28.25,28.0,28.0,-0.20,108
107/09/18,"155,005","4,368,791",28.05,28.3,28.0,28.3,+0.30,116
107/09/19,"261,147","7,494,875",28.3,28.95,28.3,28.75,+0.45,237
107/09/20,"240,755","6,872,303",28.65,28.75,28.3,28.3,-0.45,171
107/09/21,"212,459","6,022,852",28.45,28.55,28.2,28.3, 0.00,143
107/09/25,"96,150","2,726,075",28.3,28.55,28.3,28.35,+0.05,64
107/09/26,"142,902","4,039,779",28.45,28.5,28.15,28.15,-0.20,116
107/09/27,"86,539","2,443,674",28.15,28.35,28.15,28.25,+0.10,75
107/09/28,"185,164","5,220,574",28.3,28.35,28.1,28.15,-0.10,154
107/10/01,"255,700","7,250,950",28.15,28.6,28.15,28.55,+0.40,174
107/10/02,"346,438","9,764,757",28.45,28.45,28.15,28.15,-0.40,149
107/10/03,"244,090","6,839,138",28.15,28.15,27.95,28.0,-0.15,134
107/10/04,"402,101","11,147,678",27.95,27.95,27.5,27.5,-0.50,233
107/10/05,"532,336","14,352,240",27.5,27.5,26.75,26.75,-0.75,276
107/10/08,"367,704","9,711,832",26.55,26.65,26.3,26.5,-0.25,206
107/10/09,"265,328","6,997,141",26.5,26.5,26.25,26.3,-0.20,171
107/10/11,"1,361,623","32,325,745",23.9,24.9,23.7,23.7,-2.60,658
107/10/12,"940,260","21,383,062",21.65,23.7,21.65,23.4,-0.30,599
107/10/15,"441,244","10,260,283",23.35,24.0,22.9,23.0,-0.40,313
107/10/16,"273,834","6,339,821",23.0,23.5,23.0,23.05,+0.05,236
107/10/17,"358,281","8,283,869",23.3,23.4,22.8,23.1,+0.05,252
107/10/18,"264,100","6,061,100",23.1,23.2,22.75,23.0,-0.10,134
107/10/19,"467,500","10,565,900",22.7,22.8,22.5,22.55,-0.45,211
107/10/22,"264,323","6,028,779",22.7,22.95,22.65,22.75,+0.20,191
107/10/23,"225,000","5,089,450",22.75,22.75,22.5,22.55,-0.20,129
107/10/24,"308,670","6,923,925",22.45,22.6,22.3,22.5,-0.05,171
107/10/25,"1,023,225","21,540,012",21.75,21.75,20.7,20.7,-1.80,457
107/10/26,"590,034","12,397,720",21.2,21.25,20.7,21.0,+0.30,256
107/10/29,"320,100","6,759,800",21.0,21.3,21.0,21.2,+0.20,164
107/10/30,"544,305","11,737,176",21.3,22.1,21.0,22.1,+0.90,311
107/10/31,"1,659,580","37,641,390",22.05,23.3,22.05,22.85,+0.75,874
