date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"25,320","1,877,460",74.8,74.8,73.5,73.6,-0.40,24
107/07/03,"31,000","2,258,800",73.1,73.1,72.7,72.7,-0.90,27
107/07/04,"44,000","3,159,000",72.0,72.0,71.6,71.7,-1.00,28
107/07/05,"93,013","6,526,494",71.7,71.7,68.8,68.8,-2.90,81
107/07/06,"76,101","5,165,468",68.8,68.8,67.0,67.9,-0.90,70
107/07/09,"20,071","1,370,563",67.9,68.8,67.9,68.1,+0.20,20
107/07/10,"20,922","1,437,680",69.8,69.8,68.5,68.8,+0.70,23
107/07/11,"15,000","1,027,100",68.6,68.7,68.2,68.3,-0.50,12
107/07/12,"28,215","1,940,614",68.3,70.4,68.0,69.9,+1.60,27
107/07/13,"27,060","1,896,830",70.0,70.3,70.0,70.1,+0.20,22
107/07/16,"19,000","1,332,400",70.6,70.6,69.9,69.9,-0.20,14
107/07/17,"16,348","1,137,625",69.3,69.9,69.2,69.9, 0.00,17
107/07/18,"39,000","2,751,200",70.7,70.8,70.1,70.8,+0.90,33
107/07/19,"22,000","1,538,800",70.5,70.5,69.2,70.1,-0.70,18
107/07/20,"21,006","1,472,723",70.1,70.2,70.0,70.1, 0.00,20
107/07/23,"12,000","837,100",69.5,70.1,69.3,69.9,-0.20,11
107/07/24,"22,090","1,532,100",69.0,69.9,69.0,69.8,-0.10,19
107/07/25,"21,000","1,481,700",70.8,70.9,70.3,70.6,+0.80,20
107/07/26,"20,100","1,427,519",71.0,71.2,70.7,71.0,+0.40,22
107/07/27,"29,120","2,053,447",70.5,71.0,70.0,71.0, 0.00,29
107/07/30,"85,071","6,023,975",70.6,71.2,70.5,70.8,-0.20,60
107/07/31,"32,000","2,201,500",69.9,69.9,68.5,68.8,X0.00,30
107/08/01,"40,000","2,756,400",68.7,69.4,68.7,68.9,+0.10,38
107/08/02,"245,100","17,610,750",70.0,73.7,70.0,70.8,+1.90,222
107/08/03,"71,000","5,067,600",71.1,71.9,71.0,71.5,+0.70,58
107/08/06,"46,150","3,321,213",72.0,72.4,71.5,72.0,+0.50,38
107/08/07,"28,500","2,039,099",72.0,72.0,71.1,71.5,-0.50,31
107/08/08,"49,348","3,564,264",72.0,72.7,71.8,71.8,+0.30,48
107/08/09,"18,172","1,297,863",72.0,72.0,71.2,71.7,-0.10,19
107/08/10,"168,120","12,149,428",71.7,73.0,71.3,72.5,+0.80,107
107/08/13,"106,220","7,372,224",72.0,72.0,67.5,68.2,-4.30,93
107/08/14,"47,200","3,232,000",69.5,69.5,68.2,68.5,+0.30,35
107/08/15,"63,000","4,274,200",68.2,68.5,67.2,68.5, 0.00,46
107/08/16,"42,660","2,892,710",66.9,68.9,66.5,68.9,+0.40,41
107/08/17,"62,000","4,210,800",67.9,68.2,67.5,67.8,-1.10,51
107/08/20,"67,796","4,601,687",68.0,68.8,66.9,68.8,+1.00,69
