date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"1,059,835","69,209,540",65.7,66.0,64.5,65.2,+0.10,842
107/07/03,"1,971,863","128,729,324",65.3,67.0,63.3,63.3,-1.90,"1,414"
107/07/04,"1,304,710","81,403,759",63.5,63.9,61.7,62.3,-1.00,843
107/07/05,"1,303,136","82,932,109",63.2,65.5,62.6,63.2,+0.90,971
107/07/06,"1,228,096","77,621,905",64.1,64.8,61.8,63.7,+0.50,879
107/07/09,"926,546","59,354,998",64.0,64.8,63.4,63.4,-0.30,679
107/07/10,"2,173,099","141,751,651",64.0,66.4,62.6,66.4,+3.00,"1,610"
107/07/11,"1,103,576","72,082,500",65.0,66.0,64.1,65.8,-0.60,906
107/07/12,"1,005,727","66,568,582",66.3,66.9,65.5,66.0,+0.20,731
107/07/13,"2,266,015","152,711,505",66.5,68.3,66.1,66.8,+0.80,"1,735"
107/07/16,"1,058,623","71,225,873",66.8,67.9,66.6,67.7,+0.90,805
107/07/17,"935,951","63,277,035",67.7,68.5,67.0,67.0,-0.70,716
107/07/18,"1,746,180","118,660,640",67.4,69.3,66.9,68.1,+1.10,"1,095"
107/07/19,"1,048,229","71,441,143",68.9,69.2,67.2,67.6,-0.50,685
107/07/20,"1,534,349","101,010,154",67.6,67.9,65.0,65.1,-2.50,"1,126"
107/07/23,"815,629","52,853,596",65.5,66.0,63.9,65.0,-0.10,582
107/07/24,"393,001","25,537,765",65.6,65.6,64.5,65.1,+0.10,323
107/07/25,"489,036","31,906,268",64.7,65.8,64.6,65.6,+0.50,332
107/07/26,"820,426","53,049,676",65.2,65.5,64.3,64.6,-1.00,593
107/07/27,"836,100","54,189,179",64.6,66.0,63.8,66.0,+1.40,564
107/07/30,"947,157","62,893,608",66.0,67.5,65.4,66.0, 0.00,600
107/07/31,"1,683,358","113,568,871",66.9,68.6,66.5,67.7,+1.70,"1,222"
107/08/01,"856,567","58,011,783",67.7,68.2,67.0,67.8,+0.10,678
107/08/02,"1,593,349","108,086,670",68.0,69.0,66.0,68.4,+0.60,"1,061"
107/08/03,"1,108,203","75,194,921",68.8,69.2,67.1,67.1,-1.30,751
107/08/06,"559,304","37,565,628",67.1,68.4,66.2,67.2,+0.10,418
107/08/07,"475,641","31,679,269",67.2,67.7,66.1,66.1,-1.10,353
107/08/08,"421,252","28,015,756",66.1,67.1,66.1,66.1, 0.00,328
107/08/09,"429,200","28,161,200",65.7,66.0,65.1,65.8,-0.30,335
107/08/10,"354,700","23,546,229",65.8,66.9,65.8,66.4,+0.60,253
107/08/13,"1,686,745","107,775,561",67.2,67.2,60.5,61.9,-4.50,"1,247"
107/08/14,"593,294","37,089,122",62.2,63.3,62.0,62.9,+1.00,454
107/08/15,"595,500","37,221,799",63.1,63.3,61.8,62.2,-0.70,449
107/08/16,"767,600","48,871,300",62.2,66.1,61.8,64.0,+1.80,561
107/08/17,"479,136","30,889,398",64.0,65.0,63.5,64.7,+0.70,369
107/08/20,"204,926","13,231,321",65.1,65.1,64.2,64.5,-0.20,163
107/08/21,"444,002","28,566,930",64.5,65.0,63.5,64.4,-0.10,326
107/08/22,"631,329","41,064,585",64.5,65.4,64.5,64.7,+0.30,442
107/08/23,"329,204","21,391,160",65.0,65.5,64.5,64.5,-0.20,253
107/08/24,"260,128","16,704,792",64.6,64.9,64.0,64.4,-0.10,203
107/08/27,"491,001","31,363,264",64.4,64.6,63.4,63.9,-0.50,351
107/08/28,"1,118,777","69,672,974",63.4,63.6,61.8,61.8,-2.10,966
107/08/29,"990,833","60,457,927",62.0,62.3,60.5,60.9,-0.90,840
107/08/30,"1,130,503","69,708,431",61.3,62.3,61.1,61.9,+1.00,865
107/08/31,"712,422","42,918,281",60.4,60.7,60.0,60.1,X0.00,442
107/09/03,"585,170","35,300,633",60.6,61.1,60.0,60.2,+0.10,508
107/09/04,"953,350","56,066,150",60.1,60.5,58.5,58.6,-1.60,718
107/09/05,"1,060,704","61,071,759",58.5,58.5,57.1,57.5,-1.10,805
107/09/06,"1,463,800","81,953,460",57.6,57.6,55.1,55.5,-2.00,"1,205"
107/09/07,"1,545,305","83,328,036",55.0,55.2,53.5,53.7,-1.80,"1,160"
107/09/10,"627,182","33,702,628",54.2,54.6,53.0,53.5,-0.20,530
107/09/11,"622,999","33,946,042",54.6,55.0,53.7,54.9,+1.40,528
107/09/12,"1,685,011","94,269,728",55.4,57.2,54.0,56.9,+2.00,"1,305"
107/09/13,"695,002","39,102,112",56.9,56.9,55.9,56.0,-0.90,515
107/09/14,"390,108","21,971,821",56.6,56.6,55.8,56.4,+0.40,310
107/09/17,"196,126","11,057,282",56.4,56.7,56.1,56.5,+0.10,171
107/09/18,"484,679","27,523,103",56.8,57.2,56.4,56.5, 0.00,390
107/09/19,"345,445","19,509,839",56.8,57.1,56.1,56.5, 0.00,253
107/09/20,"589,931","33,699,778",56.9,57.6,56.7,56.8,+0.30,399
107/09/21,"413,300","23,454,900",57.2,57.3,56.3,56.8, 0.00,330
107/09/25,"284,600","16,199,017",56.9,57.3,56.5,56.6,-0.20,221
107/09/26,"456,497","25,496,680",56.8,56.8,55.1,55.2,-1.40,348
107/09/27,"590,300","32,342,750",54.7,55.6,53.7,55.4,+0.20,461
107/09/28,"943,886","50,988,644",55.4,55.4,53.6,53.8,-1.60,763
107/10/01,"445,451","24,219,176",53.7,54.7,53.6,54.5,+0.70,334
107/10/02,"368,864","20,237,432",54.8,55.4,54.2,54.9,+0.40,268
107/10/03,"196,004","10,710,028",55.2,55.2,54.3,54.4,-0.50,152
107/10/04,"178,040","9,658,695",54.4,54.6,54.1,54.1,-0.30,143
107/10/05,"569,100","29,858,650",54.0,54.0,51.0,52.3,-1.80,423
107/10/08,"279,608","14,529,816",52.3,52.3,51.6,51.8,-0.50,210
107/10/09,"238,300","12,317,260",52.0,52.4,51.3,51.7,-0.10,188
107/10/11,"1,113,516","52,170,728",47.1,48.3,46.55,46.55,-5.15,779
107/10/12,"1,314,167","60,391,726",44.55,47.1,44.55,46.9,+0.35,"1,044"
107/10/15,"833,609","40,008,500",47.4,49.2,47.1,48.8,+1.90,601
107/10/16,"645,083","32,147,733",48.35,50.3,48.35,50.0,+1.20,489
107/10/17,"310,657","15,753,150",51.0,51.4,50.0,50.0, 0.00,268
107/10/18,"130,068","6,499,550",50.1,50.5,49.75,49.8,-0.20,109
107/10/19,"1,039,350","49,487,100",49.5,49.5,46.65,46.85,-2.95,850
107/10/22,"609,201","28,138,296",45.7,46.6,45.6,46.2,-0.65,526
107/10/23,"1,328,705","58,982,075",46.05,46.05,43.3,44.3,-1.90,"1,023"
107/10/24,"748,007","32,772,840",44.3,44.4,43.5,43.6,-0.70,547
107/10/25,"597,002","24,891,236",40.55,42.45,40.35,42.45,-1.15,435
107/10/26,"507,730","21,292,606",43.7,43.7,40.65,41.6,-0.85,407
107/10/29,"664,600","27,558,200",42.7,42.7,40.5,41.7,+0.10,480
107/10/30,"209,408","8,794,726",42.0,42.4,41.6,42.1,+0.40,175
107/10/31,"354,010","15,367,387",42.7,43.7,42.65,43.55,+1.45,277
107/11/01,"410,300","18,105,060",43.95,44.5,43.65,43.95,+0.40,297
107/11/02,"523,150","23,067,325",44.8,44.8,43.8,44.0,+0.05,413
107/11/05,"422,098","18,618,199",43.8,44.6,43.4,44.45,+0.45,312
107/11/06,"350,100","15,339,745",44.2,44.8,43.5,43.55,-0.90,252
107/11/07,"273,203","12,010,735",43.55,44.2,43.55,43.95,+0.40,205
107/11/08,"505,105","22,160,420",44.7,44.7,43.2,43.4,-0.55,365
107/11/09,"331,700","14,078,100",43.6,43.6,42.05,42.4,-1.00,278
107/11/12,"726,804","31,176,868",42.35,43.5,42.2,42.45,+0.05,548
107/11/13,"268,107","11,231,191",41.35,42.25,41.3,42.1,-0.35,239
107/11/14,"2,025,501","87,564,191",42.2,44.2,42.1,43.2,+1.10,806
107/11/15,"1,449,200","62,058,360",43.05,43.25,42.3,43.0,-0.20,318
107/11/16,"2,357,254","108,081,013",43.5,47.3,43.4,47.3,+4.30,"1,740"
107/11/19,"2,958,260","144,349,793",48.85,50.4,47.5,48.25,+0.95,"2,153"
107/11/20,"783,102","37,047,715",47.8,48.0,46.85,47.05,-1.20,567
107/11/21,"576,006","27,151,091",47.1,47.6,46.3,47.5,+0.45,442
107/11/22,"456,425","21,462,866",47.55,47.95,46.4,46.4,-1.10,384
107/11/23,"393,006","18,069,780",46.15,47.0,45.5,45.9,-0.50,289
107/11/26,"520,291","24,561,822",45.8,48.0,45.8,47.3,+1.40,417
107/11/27,"703,130","33,686,348",47.9,48.45,47.5,47.7,+0.40,492
107/11/28,"299,200","14,300,450",48.1,48.1,47.3,48.0,+0.30,239
107/11/29,"555,718","26,873,239",48.25,49.0,48.0,48.0, 0.00,339
107/11/30,"573,001","27,278,948",48.0,48.0,47.2,47.9,-0.10,381
107/12/03,"839,401","40,933,099",48.6,49.0,48.5,48.9,+1.00,582
107/12/04,"760,035","37,545,200",49.4,49.95,48.7,49.35,+0.45,560
107/12/05,"347,092","16,857,767",48.65,48.9,48.2,48.45,-0.90,255
107/12/06,"596,086","28,095,066",49.0,49.0,46.55,46.7,-1.75,430
107/12/07,"364,000","17,373,400",47.0,48.25,47.0,48.0,+1.30,293
107/12/10,"232,382","10,987,086",47.2,47.6,47.1,47.45,-0.55,204
107/12/11,"248,000","11,737,950",47.7,48.0,47.05,47.25,-0.20,202
107/12/12,"417,000","19,968,850",47.25,48.2,47.25,48.05,+0.80,313
107/12/13,"782,200","38,145,330",48.9,49.5,48.3,48.6,+0.55,558
107/12/14,"582,240","27,614,416",48.9,48.9,47.1,47.25,-1.35,477
107/12/17,"569,561","26,605,529",47.25,47.25,46.4,46.45,-0.80,505
107/12/18,"505,300","23,347,723",46.1,46.95,45.9,46.95,+0.50,371
107/12/19,"316,139","14,671,372",46.8,46.95,46.25,46.35,-0.60,267
107/12/20,"275,216","12,653,993",46.2,46.4,45.65,45.8,-0.55,226
107/12/21,"876,900","39,685,120",45.6,45.7,44.8,45.2,-0.60,324
107/12/22,"85,183","3,879,238",45.6,45.7,45.3,45.4,+0.20,65
107/12/24,"169,469","7,709,791",45.4,45.7,45.3,45.4, 0.00,143
107/12/25,"172,140","7,788,328",45.0,45.8,44.8,45.2,-0.20,136
107/12/26,"224,000","10,182,400",45.7,46.4,45.15,45.2, 0.00,176
107/12/27,"188,650","8,623,925",46.0,46.2,45.5,45.5,+0.30,155
107/12/28,"390,466","17,774,195",45.5,45.75,45.5,45.5, 0.00,260
108/01/02,"116,350","5,277,150",45.9,45.9,45.1,45.1,-0.40,110
108/01/03,"124,386","5,615,875",45.1,45.45,45.05,45.15,+0.05,102
108/01/04,"169,900","7,600,734",45.15,45.15,44.3,44.9,-0.25,137
108/01/07,"530,101","23,754,254",45.0,45.3,44.55,44.55,-0.35,351
108/01/08,"665,000","29,118,550",44.55,44.55,43.6,43.7,-0.85,495
108/01/09,"718,100","31,607,740",43.7,44.3,43.7,43.95,+0.25,251
108/01/10,"471,000","20,906,900",44.1,44.6,44.0,44.35,+0.40,395
108/01/11,"279,130","12,398,944",44.85,44.85,44.1,44.2,-0.15,229
108/01/14,"214,204","9,489,092",43.8,44.45,43.8,44.25,+0.05,190
108/01/15,"704,001","31,567,695",44.55,45.3,44.45,45.0,+0.75,475
108/01/16,"4,012,806","192,809,511",45.5,49.45,45.3,49.1,+4.10,"2,927"
108/01/17,"3,962,052","198,895,671",49.55,51.3,49.25,50.6,+1.50,"2,690"
108/01/18,"1,708,105","86,607,079",50.7,51.5,50.0,50.0,-0.60,"1,297"
108/01/21,"707,650","35,194,864",50.5,51.0,49.1,49.6,-0.40,539
108/01/22,"2,450,210","124,906,308",50.4,51.7,50.2,50.3,+0.70,"1,686"
108/01/23,"584,921","29,221,403",50.2,50.5,49.5,49.9,-0.40,426
108/01/24,"586,495","29,305,147",50.1,50.5,49.55,49.85,-0.05,515
108/01/25,"426,289","21,249,882",50.2,50.3,49.7,49.7,-0.15,348
108/01/28,"690,525","34,099,654",50.0,50.0,49.1,49.3,-0.40,512
108/01/29,"572,150","27,789,924",49.3,49.3,48.35,48.35,-0.95,403
108/01/30,"1,175,100","56,174,000",48.35,48.4,47.5,48.0,-0.35,691
108/02/11,"861,173","41,553,531",48.4,48.65,47.9,48.35,+0.35,663
108/02/12,"872,749","42,665,099",48.8,49.3,48.6,48.75,+0.40,659
108/02/13,"1,192,500","57,519,072",48.8,49.05,47.95,48.0,-0.75,823
108/02/14,"732,901","35,426,537",48.2,48.7,48.0,48.55,+0.55,559
108/02/15,"583,861","28,140,093",48.55,48.55,48.0,48.05,-0.50,422
