date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"14,132","59,622",4.21,4.24,4.21,4.24,-0.01,14
107/07/03,"53,018","222,305",4.22,4.24,4.08,4.16,-0.08,19
107/07/04,"1,511","6,295",4.17,4.17,4.17,4.17,+0.01,3
107/07/05,"106,000","434,600",4.10,4.10,4.10,4.10,-0.07,2
107/07/06,"17,000","70,430",4.15,4.15,4.12,4.15,+0.05,4
107/07/09,"52,509","210,746",4.10,4.10,3.98,4.00,-0.15,26
107/07/10,"98,002","392,208",4.00,4.05,4.00,4.01,+0.01,13
107/07/11,"5,001","20,654",4.13,4.13,4.13,4.13,+0.12,3
107/07/12,"10,023","40,852",4.13,4.13,4.01,4.01,-0.12,8
107/07/13,"11,004","44,676",4.02,4.13,4.02,4.13,+0.12,10
107/07/16,"12,496","50,824",4.07,4.07,4.07,4.07,-0.06,8
107/07/17,"70,549","294,113",4.19,4.20,4.00,4.00,-0.07,16
107/07/18,"18,507","74,720",4.01,4.09,4.01,4.03,+0.03,12
107/07/19,"27,594","112,190",4.04,4.10,4.04,4.05,+0.02,15
107/07/20,"29,693","119,358",4.04,4.06,4.00,4.01,-0.04,22
107/07/23,"16,002","64,448",4.01,4.03,4.01,4.03,+0.02,5
107/07/24,"14,042","56,116",4.03,4.03,3.87,3.89,-0.14,12
107/07/25,"40,549","158,048",3.90,3.91,3.89,3.90,+0.01,17
107/07/26,"41,879","165,132",3.90,4.04,3.90,4.01,+0.11,25
107/07/27,"33,387","133,531",4.01,4.01,4.00,4.00,-0.01,64
107/07/30,"162,290","680,108",4.13,4.25,4.10,4.20,+0.20,19
107/07/31,"2,287","9,371",4.11,4.11,4.11,4.11,-0.09,25
107/08/01,"20,029","81,545",4.00,4.10,4.00,4.10,-0.01,13
107/08/02,"255,636","1,105,207",4.30,4.35,4.30,4.30,+0.20,25
107/08/03,"20,189","87,755",4.49,4.49,4.18,4.30, 0.00,47
107/08/06,"8,166","34,370",4.30,4.30,4.16,4.16,-0.14,46
107/08/07,258,"1,034",--,--,--,--, 0.00,131
107/08/08,"107,058","430,662",4.16,4.44,4.00,4.06,X0.00,29
107/08/09,"123,000","532,500",4.10,4.35,4.10,4.30,+0.24,10
107/08/10,"121,065","520,685",4.43,4.43,4.21,4.21,-0.09,23
107/08/13,"33,506","137,452",4.15,4.16,3.89,3.89,-0.32,66
107/08/14,"48,821","196,511",3.89,4.18,3.89,4.18,+0.29,43
107/08/15,"75,607","303,023",4.03,4.03,4.01,4.03,-0.15,235
107/08/16,"16,325","65,812",4.00,4.18,3.88,4.18,+0.15,19
107/08/17,"34,545","138,553",4.00,4.06,4.00,4.06,-0.12,23
107/08/20,"67,098","260,236",4.01,4.01,3.85,3.85,-0.21,30
107/08/21,"25,514","101,342",3.86,4.00,3.86,4.00,+0.15,21
107/08/22,"34,291","142,606",3.93,4.27,3.93,4.03,+0.03,19
107/08/23,"13,048","52,109",3.97,4.00,3.97,4.00,-0.03,17
107/08/24,"23,522","93,775",3.73,4.10,3.73,4.10,+0.10,16
107/08/27,"10,553","41,672",3.81,4.13,3.81,4.13,+0.03,12
107/08/28,"19,658","79,487",4.06,4.13,4.00,4.13, 0.00,19
107/08/29,"37,711","153,335",4.01,4.10,4.01,4.07,-0.06,24
107/08/30,"66,231","270,503",3.81,4.23,3.81,4.08,+0.01,51
107/08/31,"68,030","271,040",3.83,4.02,3.82,4.02,-0.06,47
107/09/03,"44,700","178,661",3.91,4.03,3.91,4.01,-0.01,39
107/09/11,"51,305","274,419",5.34,5.38,5.34,5.34,X0.00,45
107/09/12,"59,777","308,073",5.08,5.16,5.08,5.16,-0.18,24
107/09/13,"8,370","43,023",5.15,5.45,5.01,5.45,+0.29,16
107/09/14,"26,251","135,957",5.36,5.36,5.08,5.13,-0.32,37
107/09/17,"30,244","161,013",5.35,5.43,5.30,5.31,+0.18,38
