date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,28,384,13.75,13.75,13.70,13.70,-0.1,14
107/07/03,92,"1,270",13.75,14.00,13.70,13.75,0.05,42
107/07/04,94,"1,295",13.80,13.90,13.70,13.90,0.15,25
107/07/05,66,869,13.35,13.35,12.95,12.95,-0.15,32
107/07/06,112,"1,435",12.90,13.00,12.70,12.90,-0.05,35
107/07/09,16,206,12.70,12.95,12.70,12.90,0.0,10
107/07/10,17,218,12.80,12.95,12.80,12.95,0.05,12
107/07/11,10,128,12.70,12.90,12.70,12.90,-0.05,7
107/07/12,20,258,12.80,12.95,12.80,12.90,0.0,14
107/07/13,13,169,12.90,13.05,12.90,13.05,0.15,11
107/07/16,14,184,13.10,13.20,13.10,13.10,0.05,9
107/07/17,23,297,12.95,12.95,12.90,12.90,-0.2,11
107/07/18,75,959,12.85,12.85,12.75,12.80,-0.1,28
107/07/19,38,484,12.80,12.80,12.65,12.80,0.0,21
107/07/20,9,115,12.75,12.80,12.75,12.75,-0.05,6
107/07/23,23,293,12.75,12.75,12.70,12.75,0.0,5
107/07/24,24,307,12.80,12.80,12.75,12.80,0.05,8
107/07/25,81,"1,037",12.80,12.90,12.80,12.80,0.0,19
107/07/26,22,283,12.85,12.85,12.80,12.85,0.05,12
107/07/27,49,628,12.85,12.85,12.80,12.80,-0.05,25
107/07/30,60,764,12.80,12.80,12.65,12.80,0.0,15
107/07/31,8,103,12.80,12.90,12.80,12.90,0.1,6
107/08/01,12,154,12.90,12.95,12.80,12.95,0.05,4
107/08/02,27,344,12.95,12.95,12.80,12.90,-0.05,10
107/08/03,48,614,12.85,12.90,12.75,12.80,-0.1,16
107/08/06,15,193,12.95,12.95,12.75,12.85,0.05,12
107/08/07,4,52,12.85,13.00,12.85,13.00,0.15,4
107/08/08,7,91,13.10,13.10,12.75,13.05,0.05,7
107/08/09,6,73,13.00,13.00,13.00,13.00,-0.05,3
107/08/10,13,168,12.95,12.95,12.90,12.90,-0.1,7
107/08/13,135,"1,702",12.70,12.75,12.30,12.30,-0.6,47
107/08/14,24,305,12.50,12.60,12.50,12.50,0.2,13
107/08/15,120,"1,573",13.50,13.50,12.70,12.80,0.3,72
107/08/16,16,206,12.80,12.95,12.80,12.80,0.0,11
107/08/17,7,89,12.80,12.80,12.75,12.80,0.0,6
107/08/20,1,13,12.90,12.90,12.90,12.90,0.1,1
107/08/21,12,149,12.95,12.95,12.95,12.95,0.05,8
107/08/22,1,13,12.95,12.95,12.95,12.95,0.0,1
107/08/23,23,298,12.95,13.00,12.75,12.95,0.0,15
107/08/24,13,168,13.00,13.00,12.95,13.00,0.05,4
107/08/27,9,118,13.05,13.10,13.05,13.10,0.1,7
107/08/28,7,92,13.10,13.10,13.05,13.10,0.0,5
107/08/29,63,815,13.05,13.05,12.85,12.90,-0.2,26
107/08/30,14,184,12.95,13.00,12.90,13.00,0.1,12
107/08/31,11,143,13.00,13.00,13.00,13.00,0.0,8
107/09/03,80,"1,040",13.00,13.00,13.00,13.00,0.0,1
107/09/04,39,512,13.05,13.20,13.05,13.15,0.15,15
107/09/05,6,79,13.15,13.15,13.10,13.10,-0.05,5
107/09/06,12,155,12.95,12.95,12.95,12.95,-0.15,8
107/09/07,17,220,12.95,13.00,12.90,12.90,-0.05,10
107/09/10,10,128,12.85,12.85,12.75,12.75,-0.15,9
107/09/11,14,178,12.75,12.85,12.60,12.65,-0.1,13
107/09/12,33,423,12.70,12.85,12.55,12.60,-0.05,23
107/09/13,10,131,12.60,12.70,12.60,12.70,0.1,8
107/09/14,53,672,12.70,12.75,12.65,12.75,0.05,20
107/09/17,33,425,12.75,13.00,12.75,13.00,0.25,12
107/09/18,61,792,12.90,13.05,12.90,13.00,0.0,23
107/09/19,20,257,13.00,13.05,13.00,13.00,0.0,12
107/09/20,17,220,13.00,13.00,12.90,12.95,-0.05,5
107/09/21,108,"1,414",13.00,13.25,13.00,13.10,0.15,38
107/09/25,39,504,13.15,13.15,12.95,13.10,0.0,17
107/09/26,12,152,13.10,13.10,13.05,13.10,0.0,11
107/09/27,8,104,12.95,13.05,12.95,13.05,-0.05,6
107/09/28,4,53,13.00,13.05,13.00,13.05,0.0,5
107/10/01,6,78,13.00,13.05,12.95,13.05,0.0,6
107/10/02,4,52,13.00,13.00,13.00,13.00,-0.05,3
107/10/03,5,65,13.00,13.00,12.95,12.95,-0.05,4
107/10/04,15,194,12.95,12.95,12.85,12.90,-0.05,7
107/10/05,5,64,12.90,12.90,12.75,12.75,-0.15,3
107/10/08,14,177,12.50,12.80,12.50,12.80,0.05,5
107/10/09,3,39,12.80,12.95,12.75,12.95,0.15,3
107/10/11,156,"1,871",12.45,12.50,11.70,12.10,-0.85,63
107/10/12,80,913,11.10,12.40,11.05,12.30,0.2,28
107/10/15,43,499,11.60,12.20,11.35,12.20,-0.1,26
107/10/16,16,195,12.20,12.30,12.15,12.30,0.1,11
