date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,33,"4,901",146.0,148.0,146.0,146.0,1.5,42
107/07/03,3,450,149.0,149.5,147.0,147.0,1.0,6
107/07/04,26,"3,792",146.0,146.0,142.0,143.0,-4.0,22
107/07/05,34,"4,912",144.0,144.0,142.0,142.0,-1.0,32
107/07/06,52,"7,283",141.0,141.0,137.5,139.0,-3.0,49
107/07/09,40,"5,651",140.0,144.5,139.0,139.0,0.0,29
107/07/10,21,"2,967",142.5,142.5,140.5,140.5,1.5,17
107/07/11,4,609,143.0,143.0,142.0,142.0,1.5,10
107/07/12,34,"4,878",145.0,145.0,141.5,142.0,0.0,34
107/07/13,12,"1,758",144.0,144.0,142.0,143.0,1.0,16
107/07/16,44,"6,106",139.0,140.5,139.0,140.0,2.0,38
107/07/17,22,"3,149",144.0,144.0,141.0,143.0,3.0,19
107/07/18,33,"4,646",145.0,145.0,142.0,142.5,-0.5,31
107/07/19,33,"4,717",143.0,143.0,140.0,141.0,-1.5,35
107/07/20,11,"1,557",142.0,142.5,140.0,141.0,0.0,12
107/07/23,8,"1,136",143.0,143.0,140.0,140.0,-1.0,8
107/07/24,8,"1,158",143.5,143.5,142.0,142.0,2.0,13
107/07/25,35,"4,961",142.0,142.0,141.0,141.5,-0.5,25
107/07/26,41,"5,708",141.0,141.0,138.5,138.5,-3.0,40
107/07/27,20,"2,792",142.0,142.0,138.0,141.0,2.5,18
107/07/30,20,"2,820",140.0,140.0,138.5,139.0,-2.0,22
107/07/31,47,"6,639",140.0,144.0,139.0,140.0,1.0,38
107/08/01,22,"3,149",143.5,143.5,140.0,140.5,0.5,28
107/08/02,18,"2,526",142.5,142.5,140.0,140.0,-0.5,16
107/08/03,8,"1,131",142.0,142.0,140.0,140.5,0.5,10
107/08/06,10,"1,422",140.5,141.0,140.0,140.5,0.0,14
107/08/07,49,"6,980",142.0,143.5,140.5,141.5,1.0,44
107/08/08,135,"19,165",141.0,143.5,141.0,142.0,0.5,57
107/08/09,16,"2,283",141.5,142.5,141.0,142.0,0.0,14
107/08/10,61,"8,693",141.5,143.5,141.5,143.0,1.0,53
107/08/13,226,"32,211",144.0,146.0,140.0,145.5,2.5,157
107/08/14,19,"2,748",142.0,145.0,142.0,144.0,-1.5,15
107/08/15,56,"8,102",144.0,145.0,144.0,144.5,0.5,48
107/08/16,61,"8,708",144.5,144.5,142.0,143.0,-1.5,39
107/08/17,72,"10,273",142.5,142.5,142.0,142.0,-1.0,53
107/08/20,12,"1,722",141.5,142.0,141.5,142.0,0.0,12
107/08/21,6,847,140.0,142.0,140.0,141.0,-1.0,5
107/08/22,31,"4,381",141.0,141.0,140.5,141.0,0.0,28
107/08/23,25,"3,519",141.0,141.0,140.0,140.0,-1.0,31
107/08/24,13,"1,855",138.5,141.0,138.5,140.0,0.0,24
107/08/27,21,"2,899",139.0,142.5,139.0,141.0,1.0,28
107/08/28,77,"10,879",140.5,141.0,140.0,140.0,-1.0,60
107/08/29,105,"14,747",140.0,142.0,139.0,142.0,2.0,79
107/08/30,177,"25,091",142.0,143.0,140.5,141.5,-0.5,70
107/08/31,180,"25,321",141.0,141.0,140.0,140.0,-1.5,95
107/09/03,23,"3,148",140.0,140.0,139.5,139.5,-0.5,25
107/09/04,26,"3,632",140.0,140.0,140.0,140.0,0.5,25
107/09/05,56,"7,815",142.0,142.5,139.5,140.0,0.0,40
107/09/06,20,"2,734",140.0,140.0,139.5,139.5,-0.5,22
107/09/07,9,"1,277",139.5,141.0,139.0,140.5,1.0,11
107/09/10,49,"6,693",139.5,139.5,137.0,137.0,-3.5,52
107/09/11,36,"4,932",138.5,138.5,137.0,137.0,0.0,42
107/09/12,68,"9,189",136.0,136.0,133.0,134.5,-2.5,69
107/09/13,37,"4,968",131.5,138.0,131.5,135.5,1.0,39
107/09/14,15,"2,103",135.0,137.0,135.0,136.0,0.5,25
107/09/17,27,"3,638",136.0,138.0,135.0,135.5,-0.5,21
107/09/18,13,"1,699",135.5,135.5,134.0,134.0,-1.5,18
107/09/19,16,"2,194",134.5,135.5,134.5,135.0,1.0,17
107/09/20,9,"1,250",134.5,138.0,134.5,135.0,0.0,13
107/09/21,12,"1,650",135.0,137.0,135.0,136.0,1.0,16
107/09/25,14,"1,858",136.0,136.0,135.5,135.5,-0.5,16
107/09/26,9,"1,263",137.5,137.5,136.0,136.0,0.5,11
107/09/27,6,829,136.0,136.0,135.5,135.5,-0.5,15
107/09/28,60,"8,218",137.0,141.0,137.0,138.5,3.0,31
107/10/01,37,"5,257",143.0,144.0,140.0,141.0,2.5,41
107/10/02,12,"1,761",141.0,142.0,141.0,142.0,1.0,21
107/10/03,28,"3,993",141.5,142.0,141.5,141.5,-0.5,24
107/10/04,20,"2,787",135.5,143.5,135.5,141.0,-0.5,24
107/10/05,15,"2,116",138.0,140.0,138.0,139.0,-2.0,19
107/10/08,10,"1,356",138.5,142.5,138.5,141.5,2.5,18
107/10/09,27,"3,766",139.0,141.5,139.0,141.0,-0.5,27
107/10/11,124,"16,889",135.5,139.5,134.0,134.5,-6.5,79
107/10/12,43,"5,830",134.0,137.0,134.0,134.5,0.0,55
107/10/15,37,"4,889",134.0,135.0,132.0,134.0,-0.5,41
107/10/16,68,"9,150",134.5,135.0,134.0,134.0,0.0,57
107/10/17,31,"4,162",134.5,135.0,131.5,133.0,-1.0,32
