date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"607,584","38,316,664",63.0,63.3,62.7,63.1,+0.60,455
107/07/03,"606,760","38,121,380",63.3,63.3,62.4,62.4,-0.70,344
107/07/04,"394,211","24,510,564",62.6,62.6,61.8,62.0,-0.40,262
107/07/05,"400,587","24,763,151",62.0,62.4,61.3,61.8,-0.20,289
107/07/06,"337,127","20,773,674",62.1,62.1,61.4,61.7,-0.10,255
107/07/09,"243,767","15,081,955",62.4,62.4,61.6,62.0,+0.30,194
107/07/10,"327,635","20,288,270",62.0,62.1,61.8,61.9,-0.10,270
107/07/11,"738,001","45,546,162",61.8,62.1,61.5,61.5,-0.40,376
107/07/12,"494,288","30,587,952",61.6,62.3,61.6,62.3,+0.80,259
107/07/13,"1,015,874","63,331,062",62.0,62.7,62.0,62.5,+0.20,504
107/07/16,"2,018,609","126,607,968",62.5,63.0,62.4,62.8,+0.30,"1,070"
107/07/17,"1,315,266","76,280,759",58.0,58.2,57.8,57.9,X0.00,643
107/07/18,"419,791","24,368,869",58.2,58.2,57.9,58.1,+0.20,325
107/07/19,"231,166","13,480,443",58.7,58.7,58.1,58.2,+0.10,174
107/07/20,"224,970","13,059,845",58.5,58.5,57.9,58.1,-0.10,159
107/07/23,"552,985","31,748,436",58.4,58.4,56.9,57.0,-1.10,367
107/07/24,"284,305","16,187,836",57.1,57.5,56.6,57.1,+0.10,216
107/07/25,"288,981","16,469,206",57.4,57.4,56.7,57.1, 0.00,229
107/07/26,"251,500","14,356,450",57.2,57.2,56.9,57.2,+0.10,196
107/07/27,"231,443","13,291,694",57.4,57.7,57.3,57.5,+0.30,162
107/07/30,"322,570","18,382,784",57.5,57.5,56.8,57.4,-0.10,242
107/07/31,"321,670","18,410,924",57.5,57.5,56.9,57.5,+0.10,219
107/08/01,"252,500","14,488,749",57.6,57.6,57.2,57.5, 0.00,185
107/08/02,"399,623","22,807,895",57.5,57.5,57.0,57.0,-0.50,270
107/08/03,"696,858","39,516,275",57.4,57.4,56.5,57.0, 0.00,476
107/08/06,"242,999","13,784,343",57.0,57.1,56.6,56.8,-0.20,167
107/08/07,"234,069","13,306,146",57.0,57.0,56.7,57.0,+0.20,160
107/08/08,"771,542","44,563,690",57.6,58.0,57.4,57.8,+0.80,491
107/08/09,"563,379","32,776,295",58.2,58.2,57.6,58.0,+0.20,199
107/08/10,"199,000","11,519,798",58.0,58.0,57.7,58.0, 0.00,155
107/08/13,"300,674","17,142,785",58.0,58.0,56.8,56.9,-1.10,248
107/08/14,"403,655","23,132,622",57.3,57.4,56.9,57.4,+0.50,141
107/08/15,"185,793","10,645,953",57.5,57.8,57.0,57.5,+0.10,142
107/08/16,"251,402","14,297,071",57.2,57.2,56.6,57.1,-0.40,193
107/08/17,"193,009","11,024,112",57.3,57.3,57.0,57.2,+0.10,120
107/08/20,"245,273","14,086,923",58.0,58.0,57.1,57.4,+0.20,136
107/08/21,"285,375","16,260,724",57.4,57.5,56.8,57.2,-0.20,210
107/08/22,"602,357","33,935,149",57.0,57.0,56.0,56.3,-0.90,447
107/08/23,"517,151","28,944,198",56.4,56.4,55.7,55.7,-0.60,372
107/08/24,"413,000","22,796,097",55.7,55.7,55.0,55.4,-0.30,310
107/08/27,"346,638","19,468,500",55.4,56.7,55.1,56.7,+1.30,243
107/08/28,"413,440","23,690,575",57.6,57.6,56.8,57.5,+0.80,269
107/08/29,"533,092","30,773,061",57.6,58.0,57.5,58.0,+0.50,266
107/08/30,"581,065","33,817,114",58.0,58.5,57.5,58.5,+0.50,397
107/08/31,"287,401","16,809,159",58.7,58.7,58.1,58.6,+0.10,150
107/09/03,"296,378","17,332,023",58.9,58.9,58.1,58.6, 0.00,180
107/09/04,"291,001","16,964,055",58.6,58.6,58.0,58.5,-0.10,148
107/09/05,"279,814","16,361,316",58.4,58.4,58.0,58.4,-0.10,117
107/09/06,"178,549","10,374,659",58.3,58.3,58.0,58.2,-0.20,98
107/09/07,"338,756","19,570,890",58.3,58.3,57.0,57.1,-1.10,177
107/09/10,"433,006","24,696,442",57.9,57.9,56.3,56.7,-0.40,260
107/09/11,"234,010","13,303,270",56.9,56.9,56.7,56.9,+0.20,150
107/09/12,"258,495","14,838,956",57.7,57.7,56.9,57.6,+0.70,173
107/09/13,"162,211","9,340,243",58.1,58.1,57.0,57.7,+0.10,142
107/09/14,"325,053","18,722,989",57.8,58.0,57.2,58.0,+0.30,253
107/09/17,"207,821","12,049,361",58.2,58.2,57.7,58.0, 0.00,142
107/09/18,"179,336","10,381,685",57.8,58.0,57.7,58.0, 0.00,118
107/09/19,"398,006","23,123,149",58.2,58.3,57.9,58.3,+0.30,281
107/09/20,"355,569","20,704,040",58.7,58.7,58.0,58.4,+0.10,218
107/09/21,"280,831","16,400,012",58.6,58.6,58.2,58.5,+0.10,187
107/09/25,"326,197","19,004,440",58.3,58.6,57.9,58.6,+0.10,204
107/09/26,"252,716","14,754,850",58.6,58.6,58.2,58.4,-0.20,167
107/09/27,"395,644","23,010,743",58.4,58.5,57.8,58.1,-0.30,269
107/09/28,"549,731","31,599,345",58.0,58.3,56.9,57.3,-0.80,324
107/10/01,"271,737","15,604,946",58.0,58.0,57.2,57.5,+0.20,279
