date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"13,000","858,900",66.30,66.50,65.40,65.50,-0.50,13
107/07/03,"22,000","1,422,800",65.00,65.10,64.50,64.50,-1.00,17
107/07/04,"22,000","1,404,400",64.20,64.20,63.50,64.20,-0.30,22
107/07/05,"12,000","763,900",63.50,64.00,63.50,63.50,-0.70,10
107/07/06,"10,000","635,300",63.40,63.90,63.30,63.80,+0.30,10
107/07/09,"8,000","511,600",63.70,64.70,63.30,63.60,-0.20,8
107/07/10,"3,000","191,000",63.60,63.70,63.60,63.70,+0.10,3
107/07/11,0,0,--,--,--,--, 0.00,0
107/07/12,"3,000","191,500",64.00,64.00,63.50,64.00,X0.00,3
107/07/13,"3,581","228,160",64.00,64.00,63.70,63.70,-0.30,7
107/07/16,"5,000","318,800",63.80,63.80,63.60,63.60,-0.10,5
107/07/17,"3,000","190,500",63.50,63.50,63.50,63.50,-0.10,3
107/07/18,"21,070","1,350,087",63.50,65.40,63.20,64.10,+0.60,20
107/07/19,"15,000","969,900",65.30,65.30,64.30,64.60,+0.50,15
107/07/20,"4,209","268,144",64.20,64.20,63.50,63.50,-1.10,8
107/07/23,"3,000","190,500",63.50,63.50,63.50,63.50, 0.00,3
107/07/24,"1,015","64,443",63.50,63.50,63.50,63.50, 0.00,2
107/07/25,"5,167","328,737",63.60,63.70,63.60,63.70,+0.20,6
107/07/26,"15,000","952,500",63.70,64.20,63.20,63.40,-0.30,12
107/07/27,"29,000","1,828,500",63.40,63.90,62.70,63.90,+0.50,24
107/07/30,"9,000","573,400",63.50,63.90,63.50,63.90, 0.00,9
107/07/31,"14,033","894,412",63.90,63.90,63.60,63.60,-0.30,12
107/08/01,"34,498","2,277,866",63.60,68.50,63.50,67.50,+3.90,35
107/08/02,"28,010","1,819,345",67.20,67.20,64.70,64.90,-2.60,21
107/08/03,"11,035","710,757",64.50,65.00,64.00,64.50,-0.40,12
107/08/06,"6,076","389,456",64.00,64.70,63.90,64.20,-0.30,7
107/08/07,"18,098","1,150,202",64.20,64.80,63.30,63.30,-0.90,19
107/08/08,"66,989","4,381,904",65.90,66.50,63.70,63.70,+0.40,67
107/08/09,"33,309","2,115,090",63.90,63.90,62.80,62.80,-0.90,23
107/08/10,"16,000","1,015,700",63.30,63.70,63.30,63.30,+0.50,15
107/08/13,"16,090","1,015,570",63.30,64.00,62.80,62.80,-0.50,19
107/08/14,"38,005","2,381,015",62.80,62.80,62.50,62.50,-0.30,31
107/08/15,"2,423","154,058",62.50,62.50,62.50,62.50, 0.00,5
107/08/16,"3,247","205,108",62.50,63.70,62.50,63.10,+0.60,5
107/08/17,"13,130","830,190",63.20,63.90,62.80,62.80,-0.30,18
107/08/20,"19,099","1,207,116",63.00,63.80,62.50,62.50,-0.30,19
107/08/21,"14,086","901,204",63.60,64.30,63.60,64.00,+1.50,15
107/08/22,"1,531","97,984",64.00,64.00,64.00,64.00, 0.00,2
107/08/23,0,0,--,--,--,--, 0.00,0
107/08/24,"4,798","307,752",64.20,64.30,64.20,64.20,X0.00,7
107/08/27,"4,001","254,864",64.00,64.00,63.60,63.60,-0.60,5
107/08/28,"15,000","974,200",65.90,65.90,64.20,64.20,+0.60,14
107/08/29,"7,009","450,282",64.20,64.50,64.20,64.20, 0.00,8
107/08/30,"10,500","673,550",64.20,64.20,64.00,64.20, 0.00,10
107/08/31,"12,066","773,237",64.10,64.10,64.00,64.10,-0.10,10
107/09/03,"6,030","384,838",63.80,64.00,63.70,64.00,-0.10,7
107/09/04,"37,189","2,416,315",64.00,65.70,64.00,65.60,+1.60,38
107/09/05,"31,400","1,970,360",63.40,63.40,62.30,62.30,X0.00,32
107/09/06,"6,050","376,610",62.30,62.30,62.00,62.00,-0.30,7
107/09/07,"11,200","694,140",62.00,62.00,61.90,61.90,-0.10,11
107/09/10,"23,050","1,401,275",61.60,61.60,60.10,61.40,-0.50,20
107/09/11,"4,214","257,782",61.40,61.40,61.00,61.00,-0.40,5
107/09/12,"12,000","717,000",60.50,60.50,59.40,59.50,-1.50,12
107/09/13,"18,000","1,074,500",59.50,59.80,59.50,59.80,+0.30,18
107/09/14,"9,000","536,900",59.10,60.00,59.10,59.70,-0.10,8
