date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"15,000","208,900",13.90,14.00,13.90,14.00,X0.00,9
107/07/03,"24,072","332,350",13.80,13.95,13.80,13.95,-0.05,16
107/07/04,"35,602","494,257",13.80,13.95,13.75,13.90,-0.05,11
107/07/05,"29,000","399,650",13.90,13.90,13.70,13.85,-0.05,13
107/07/06,"903,000","12,714,950",13.80,14.30,13.15,13.75,-0.10,138
107/07/09,"34,500","469,225",13.70,13.70,13.55,13.55,-0.20,21
107/07/10,"18,000","244,050",13.60,13.80,13.50,13.80,+0.25,14
107/07/11,"2,000","27,350",13.60,13.75,13.60,13.75,-0.05,2
107/07/12,0,0,--,--,--,--, 0.00,0
107/07/13,"23,000","320,450",14.10,14.10,13.80,14.00,X0.00,14
107/07/16,"61,000","846,750",13.90,13.95,13.80,13.90,-0.10,25
107/07/17,"37,000","510,600",13.85,13.85,13.75,13.80,-0.10,13
107/07/18,"111,000","1,529,550",13.95,13.95,13.70,13.85,+0.05,37
107/07/19,"24,855","341,399",13.75,13.90,13.70,13.90,+0.05,15
107/07/20,"20,260","279,688",13.80,13.90,13.80,13.90, 0.00,10
107/07/23,"33,891","471,295",13.90,14.05,13.85,13.90, 0.00,16
107/07/24,"20,478","284,146",13.90,13.90,13.80,13.90, 0.00,18
107/07/25,"10,005","139,869",14.00,14.00,13.95,13.95,+0.05,10
107/07/26,"26,000","351,750",13.50,13.60,13.50,13.50,X0.00,17
107/07/27,"8,000","108,400",13.50,13.60,13.50,13.60,+0.10,5
107/07/30,"62,110","834,774",13.50,13.50,13.40,13.50,-0.10,38
107/07/31,"16,000","215,600",13.50,13.50,13.40,13.50, 0.00,7
107/08/01,"19,000","259,000",13.50,13.70,13.50,13.70,+0.20,10
107/08/02,"12,000","161,850",13.50,13.55,13.45,13.55,-0.15,8
107/08/03,"151,000","2,002,300",13.45,13.45,13.10,13.35,-0.20,67
107/08/06,"37,000","495,100",13.40,13.50,13.25,13.30,-0.05,13
107/08/07,"45,000","597,250",13.30,13.45,13.20,13.45,+0.15,29
107/08/08,"47,000","625,100",13.40,13.45,13.20,13.45, 0.00,21
107/08/09,"18,155","243,269",13.35,13.45,13.30,13.40,-0.05,11
107/08/10,"16,000","215,600",13.45,13.55,13.40,13.45,+0.05,9
107/08/13,"46,008","618,707",13.45,13.55,13.25,13.40,-0.05,22
107/08/14,"48,535","645,722",13.35,13.45,13.20,13.45,+0.05,31
107/08/15,"64,000","876,550",13.65,13.80,13.60,13.70,+0.25,33
107/08/16,"16,000","217,550",13.45,13.65,13.45,13.65,-0.05,10
107/08/17,"53,030","716,856",13.55,13.70,13.45,13.65, 0.00,29
107/08/20,"31,000","424,200",13.65,13.80,13.60,13.60,-0.05,20
107/08/21,"40,000","554,250",13.75,14.00,13.75,14.00,+0.40,22
107/08/22,"7,184","100,166",13.90,14.10,13.90,14.00, 0.00,7
107/08/23,"31,000","432,850",13.80,14.00,13.80,14.00, 0.00,17
107/08/24,"1,260","17,866",14.20,14.20,14.20,14.20,+0.20,3
107/08/27,"12,000","168,850",14.20,14.20,14.00,14.10,-0.10,10
107/08/28,"11,392","159,188",14.05,14.10,13.95,13.95,-0.15,8
107/08/29,"9,000","125,700",13.95,14.05,13.95,13.95, 0.00,7
107/08/30,"15,000","209,450",13.95,14.00,13.90,13.90,-0.05,10
107/08/31,"38,000","526,800",13.85,14.05,13.70,14.05,+0.15,20
107/09/03,"20,000","277,250",14.10,14.10,13.75,13.85,-0.20,14
107/09/04,"175,000","2,370,600",13.85,13.85,13.40,13.60,-0.25,78
107/09/05,"7,000","94,700",13.50,13.70,13.50,13.70,+0.10,4
107/09/06,"49,000","659,700",13.60,13.60,13.35,13.45,-0.25,31
107/09/07,"2,000","27,200",13.80,13.80,13.40,13.40,-0.05,2
107/09/10,"23,000","307,600",13.15,13.50,13.15,13.50,+0.10,17
107/09/11,"8,200","109,650",13.35,13.50,13.35,13.50, 0.00,8
107/09/12,"9,025","120,585",13.35,13.40,13.30,13.30,-0.20,5
107/09/13,"37,530","506,307",13.40,13.65,13.35,13.50,+0.20,22
107/09/14,"36,030","489,759",13.65,13.65,13.50,13.55,+0.05,11
107/09/17,0,0,--,--,--,--, 0.00,0
107/09/18,"25,000","339,400",13.55,13.60,13.55,13.55,X0.00,11
