date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"55,024","524,898",9.52,9.58,9.5,9.54,+0.04,37
107/07/03,"249,030","2,370,992",9.53,9.58,9.43,9.47,-0.07,93
107/07/04,"148,000","1,400,990",9.47,9.66,9.42,9.44,-0.03,75
107/07/05,"110,500","1,037,100",9.44,9.54,9.32,9.32,-0.12,70
107/07/06,"198,506","1,848,045",9.36,9.45,9.26,9.31,-0.01,69
107/07/09,"182,000","1,701,460",9.3,9.4,9.3,9.32,+0.01,50
107/07/10,"191,110","1,807,761",9.4,9.5,9.4,9.45,+0.13,70
107/07/11,"124,604","1,176,124",9.43,9.48,9.4,9.43,-0.02,47
107/07/12,"77,230","727,222",9.43,9.44,9.39,9.42,-0.01,40
107/07/13,"572,012","5,363,972",9.5,9.5,9.35,9.37,-0.05,177
107/07/16,"255,212","2,390,935",9.4,9.4,9.33,9.38,+0.01,99
107/07/17,"408,481","3,697,747",9.1,9.15,8.96,9.13,X0.00,141
107/07/18,"99,866","910,729",9.14,9.16,9.07,9.08,-0.05,62
107/07/19,"138,821","1,257,189",9.07,9.09,9.02,9.03,-0.05,48
107/07/20,"97,350","880,060",9.09,9.09,9.0,9.03, 0.00,51
107/07/23,"119,000","1,071,380",9.03,9.04,8.96,9.0,-0.03,45
107/07/24,"332,112","2,979,338",8.99,8.99,8.95,8.98,-0.02,49
107/07/25,"110,500","996,790",9.09,9.09,9.01,9.01,+0.03,31
107/07/26,"102,000","923,150",9.04,9.08,9.03,9.08,+0.07,43
107/07/27,"175,738","1,611,438",9.11,9.22,9.11,9.16,+0.08,69
107/07/30,"204,100","1,850,774",9.13,9.15,9.01,9.05,-0.11,76
107/07/31,"47,388","430,919",9.1,9.11,9.07,9.1,+0.05,20
107/08/01,"214,237","1,932,376",9.09,9.15,8.99,9.15,+0.05,65
107/08/02,"87,000","788,700",9.07,9.18,9.03,9.18,+0.03,46
107/08/03,"31,577","287,197",9.07,9.15,9.07,9.11,-0.07,26
107/08/06,"21,600","196,640",9.15,9.18,9.07,9.13,+0.02,13
107/08/07,"56,500","513,814",9.04,9.19,9.0,9.12,-0.01,36
107/08/08,"21,193","192,994",9.12,9.12,9.07,9.11,-0.01,18
107/08/09,"29,516","268,202",9.11,9.13,9.05,9.12,+0.01,25
107/08/10,"156,030","1,407,260",9.04,9.12,9.0,9.08,-0.04,52
107/08/13,"316,000","2,807,030",9.05,9.08,8.74,8.87,-0.21,117
107/08/14,"152,000","1,346,710",9.0,9.03,8.78,8.87, 0.00,55
107/08/15,"278,491","2,441,014",8.85,8.85,8.72,8.78,-0.09,89
107/08/16,"52,215","458,533",8.7,8.84,8.7,8.8,+0.02,33
107/08/17,"96,150","847,643",8.81,8.85,8.76,8.8, 0.00,54
107/08/20,"307,060","2,706,548",8.81,8.89,8.78,8.81,+0.01,47
107/08/21,"112,915","996,121",8.81,8.9,8.8,8.83,+0.02,51
107/08/22,"93,079","825,177",8.88,8.9,8.85,8.85,+0.02,48
107/08/23,"89,696","795,635",8.81,8.93,8.81,8.88,+0.03,40
107/08/24,"960,110","8,654,950",8.9,9.18,8.82,9.05,+0.17,253
107/08/27,"165,271","1,491,233",9.05,9.08,8.97,9.0,-0.05,63
107/08/28,"109,572","987,328",9.0,9.05,8.97,9.04,+0.04,70
107/08/29,"111,000","1,004,180",9.09,9.09,9.0,9.05,+0.01,54
107/08/30,"48,003","435,677",9.02,9.14,9.02,9.07,+0.02,34
107/08/31,"39,000","352,520",9.07,9.09,9.02,9.02,-0.05,22
107/09/03,"69,639","630,631",9.17,9.17,9.0,9.02, 0.00,36
