date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"215,000","4,267,100",19.8,20.0,19.75,19.8, 0.00,83
107/07/03,"239,391","4,689,912",19.8,19.8,19.35,19.65,-0.15,146
107/07/04,"224,955","4,369,228",19.65,19.65,19.3,19.35,-0.30,125
107/07/05,"295,368","5,662,427",19.3,19.35,19.05,19.25,-0.10,139
107/07/06,"573,673","10,870,751",19.15,19.15,18.8,18.95,-0.30,197
107/07/09,"284,997","5,433,693",18.95,19.2,18.95,19.2,+0.25,129
107/07/10,"262,917","5,120,439",19.4,19.6,19.4,19.55,+0.35,137
107/07/11,"246,703","4,821,756",19.55,19.6,19.45,19.6,+0.05,103
107/07/12,"251,706","4,949,249",19.35,19.7,19.35,19.7,+0.10,106
107/07/13,"414,736","8,215,497",19.8,19.85,19.75,19.85,+0.15,152
107/07/16,"324,592","6,481,529",19.75,20.05,19.75,20.05,+0.20,152
107/07/17,"328,476","6,596,020",20.05,20.15,20.0,20.05, 0.00,160
107/07/18,"285,002","5,729,490",20.1,20.2,20.05,20.1,+0.05,130
107/07/19,"271,987","5,465,240",20.2,20.2,20.05,20.1, 0.00,139
107/07/20,"267,485","5,374,798",20.0,20.15,20.0,20.15,+0.05,135
107/07/23,"253,496","5,072,492",20.15,20.15,19.9,20.05,-0.10,103
107/07/24,"541,810","10,863,550",20.0,20.1,20.0,20.05, 0.00,216
107/07/25,"537,404","10,564,227",19.55,19.7,19.55,19.7,X0.00,145
107/07/26,"204,089","4,014,147",19.7,19.75,19.55,19.7, 0.00,86
107/07/27,"121,477","2,392,670",19.65,19.75,19.65,19.7, 0.00,80
107/07/30,"216,153","4,259,504",19.7,19.75,19.65,19.75,+0.05,103
107/07/31,"387,245","7,659,424",19.7,19.8,19.7,19.75, 0.00,101
107/08/01,"212,470","4,199,654",19.75,19.8,19.7,19.8,+0.05,78
107/08/02,"291,827","5,792,793",19.8,19.95,19.8,19.85,+0.05,126
107/08/03,"754,519","15,146,580",19.9,20.15,19.9,20.1,+0.25,247
107/08/06,"788,153","16,125,369",20.2,20.7,20.2,20.5,+0.40,369
107/08/07,"693,917","14,085,172",20.5,20.6,20.0,20.35,-0.15,267
107/08/08,"341,819","6,933,293",20.45,20.45,20.2,20.3,-0.05,113
107/08/09,"549,944","11,086,130",20.25,20.3,20.05,20.1,-0.20,211
107/08/10,"492,988","10,000,505",20.15,20.35,20.1,20.3,+0.20,210
107/08/13,"665,205","13,309,035",20.15,20.25,19.8,20.0,-0.30,279
107/08/14,"319,605","6,400,300",20.0,20.2,19.95,20.1,+0.10,138
107/08/15,"322,307","6,490,702",20.1,20.2,20.0,20.15,+0.05,151
107/08/16,"446,508","8,995,010",20.15,20.25,20.05,20.2,+0.05,176
107/08/17,"692,894","14,046,010",20.2,20.4,20.2,20.2, 0.00,218
107/08/20,"403,442","8,165,342",20.2,20.3,20.15,20.25,+0.05,131
107/08/21,"2,059,030","42,772,425",20.35,21.0,20.35,20.9,+0.65,848
107/08/22,"815,795","17,019,183",20.85,21.0,20.65,20.9, 0.00,342
107/08/23,"683,472","14,150,074",20.9,20.9,20.55,20.65,-0.25,246
107/08/24,"499,724","10,270,963",20.65,20.7,20.45,20.7,+0.05,185
107/08/27,"329,290","6,833,172",20.7,20.85,20.65,20.7, 0.00,178
107/08/28,"2,281,520","48,444,999",20.75,21.5,20.75,21.3,+0.60,943
107/08/29,"2,576,044","55,901,751",21.5,21.95,21.4,21.95,+0.65,"1,011"
107/08/30,"2,050,719","44,103,920",22.05,22.05,21.2,21.3,-0.65,899
107/08/31,"850,101","18,113,980",21.3,21.5,21.2,21.25,-0.05,319
107/09/03,"1,206,508","25,968,618",21.3,21.75,21.3,21.6,+0.35,491
107/09/04,"1,043,209","22,577,803",21.65,21.8,21.45,21.7,+0.10,395
107/09/05,"1,129,409","24,410,170",21.75,21.8,21.5,21.5,-0.20,380
107/09/06,"680,211","14,646,913",21.5,21.65,21.4,21.55,+0.05,260
107/09/07,"757,896","16,298,773",21.45,21.7,21.35,21.55, 0.00,331
107/09/10,"764,121","16,347,430",21.6,21.65,21.25,21.35,-0.20,362
107/09/11,"511,965","10,952,699",21.35,21.5,21.35,21.45,+0.10,196
