date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"53,025","3,230,918",61.3,61.3,60.8,60.8, 0.00,47
107/07/03,"86,114","5,215,095",60.8,60.8,60.4,60.4,-0.40,86
107/07/04,"92,211","5,577,225",60.4,60.9,60.3,60.4, 0.00,87
107/07/05,"102,347","6,175,521",60.4,61.0,60.1,60.3,-0.10,82
107/07/06,"157,561","9,464,260",60.0,60.3,59.9,60.0,-0.30,126
107/07/09,"183,315","11,004,360",60.0,60.3,59.8,59.9,-0.10,137
107/07/10,"397,788","23,716,741",59.9,60.0,59.2,59.5,-0.40,268
107/07/11,"288,005","17,217,300",59.5,60.0,59.5,60.0,+0.50,218
107/07/12,"461,504","26,892,184",57.8,58.7,57.8,58.2,X0.00,330
107/07/13,"247,310","14,393,493",58.3,58.6,58.0,58.3,+0.10,165
107/07/16,"156,111","9,114,870",58.3,58.8,58.1,58.8,+0.50,117
107/07/17,"231,067","13,579,453",58.8,59.1,58.4,58.8, 0.00,164
107/07/18,"339,100","19,957,839",58.8,59.3,58.3,59.2,+0.40,231
107/07/19,"269,683","15,909,537",59.2,59.3,58.6,59.3,+0.10,199
107/07/20,"107,120","6,312,014",59.3,59.4,58.6,58.6,-0.70,89
107/07/23,"567,657","32,930,606",59.3,59.3,57.7,57.7,-0.90,478
107/07/24,"375,980","21,542,035",56.8,57.9,56.8,57.9,+0.20,297
107/07/25,"502,262","28,779,763",57.9,57.9,57.1,57.1,-0.80,391
107/07/26,"340,119","19,398,853",57.1,57.4,56.9,57.1, 0.00,293
107/07/27,"314,028","17,947,011",57.5,57.5,57.0,57.1, 0.00,268
107/07/30,"215,353","12,252,386",57.1,57.1,56.8,56.8,-0.30,185
107/07/31,"1,770,142","98,800,494",56.8,56.8,54.9,56.8, 0.00,"1,237"
107/08/01,"820,605","45,871,079",56.7,56.7,55.7,55.9,-0.90,667
107/08/02,"244,169","13,621,695",56.0,56.0,55.5,55.8,-0.10,231
107/08/03,"703,455","38,860,282",55.9,56.0,54.9,55.5,-0.30,564
107/08/06,"276,013","15,284,028",55.1,55.8,55.0,55.7,+0.20,208
107/08/07,"335,726","18,834,744",56.0,56.3,56.0,56.0,+0.30,234
107/08/08,"308,598","17,358,685",56.3,56.5,56.1,56.1,+0.10,265
107/08/09,"182,441","10,300,698",56.5,56.6,56.2,56.5,+0.40,147
107/08/10,"150,999","8,530,436",56.5,56.7,56.3,56.3,-0.20,123
107/08/13,"348,510","19,304,200",56.2,56.2,55.1,55.1,-1.20,289
107/08/14,"269,393","14,865,261",55.1,55.5,55.0,55.1, 0.00,171
107/08/15,"590,307","32,172,056",55.3,55.5,54.0,54.1,-1.00,452
107/08/16,"1,279,986","67,268,857",54.1,54.1,51.6,52.2,-1.90,927
107/08/17,"1,756,777","90,178,013",52.2,52.8,50.5,50.9,-1.30,"1,287"
107/08/20,"785,705","39,898,258",51.1,51.5,50.5,51.0,+0.10,656
107/08/21,"427,427","21,986,973",51.2,51.9,50.8,51.9,+0.90,339
107/08/22,"241,714","12,582,965",52.0,52.4,51.8,52.0,+0.10,215
107/08/23,"306,041","15,842,116",52.2,52.2,51.4,51.5,-0.50,289
107/08/24,"692,300","35,145,500",52.0,52.0,50.5,50.7,-0.80,572
107/08/27,"387,790","19,699,238",50.9,51.5,50.3,51.5,+0.80,245
107/08/28,"439,981","22,716,195",51.6,52.1,51.5,51.8,+0.30,379
107/08/29,"537,857","27,728,931",51.8,52.0,51.3,51.3,-0.50,484
107/08/30,"349,265","18,204,728",51.3,52.6,51.3,52.2,+0.90,272
107/08/31,"279,351","14,498,761",52.3,52.3,51.7,52.0,-0.20,248
107/09/03,"160,301","8,354,178",52.0,52.3,52.0,52.0, 0.00,149
107/09/04,"482,455","25,507,498",52.1,53.3,52.1,53.2,+1.20,428
