date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"44,000","755,100",17.20,17.20,16.90,17.10, 0.00,18
107/07/03,"24,000","407,050",17.10,17.10,16.70,16.70,-0.40,11
107/07/04,"2,200","37,340",17.00,17.00,17.00,17.00,+0.30,3
107/07/05,"2,000","34,000",17.00,17.00,17.00,17.00, 0.00,2
107/07/06,"28,000","475,700",17.00,17.00,16.90,16.90,-0.10,8
107/07/09,"18,800","318,780",16.90,17.00,16.90,17.00,+0.10,11
107/07/10,"13,300","225,194",17.00,17.00,16.90,16.90,-0.10,9
107/07/11,"13,000","220,650",16.95,17.00,16.95,17.00,+0.10,7
107/07/12,"8,000","135,950",17.00,17.00,16.95,16.95,-0.05,6
107/07/13,"14,000","237,650",17.05,17.05,16.95,17.00,+0.05,7
107/07/16,"14,000","235,650",16.80,16.85,16.80,16.85,-0.15,6
107/07/17,"10,353","175,965",17.00,17.00,17.00,17.00,+0.15,10
107/07/18,"20,000","343,900",17.00,17.80,17.00,17.60,+0.60,13
107/07/19,"15,000","258,800",17.35,17.35,17.00,17.00,-0.60,15
107/07/20,"5,000","85,300",17.05,17.10,17.05,17.10,+0.10,3
107/07/23,"5,000","83,450",16.65,16.75,16.65,16.65,-0.45,5
107/07/24,"10,000","168,200",16.55,16.90,16.55,16.85,+0.20,7
107/07/25,"10,668","179,087",16.85,16.85,16.85,16.85, 0.00,6
107/07/26,"4,168","70,655",17.00,17.00,16.95,16.95,+0.10,5
107/07/27,"11,514","194,986",17.00,17.00,16.80,16.80,-0.15,10
107/07/30,"8,082","136,431",16.85,16.90,16.85,16.90,+0.10,6
107/07/31,"14,007","237,716",16.90,17.05,16.90,16.95,+0.05,12
107/08/01,"26,000","438,550",17.10,17.10,16.70,16.70,-0.25,26
107/08/02,"14,000","236,450",16.90,16.95,16.85,16.95,+0.25,11
107/08/03,"33,001","552,866",16.95,16.95,16.35,16.75,-0.20,24
107/08/06,"2,000","33,500",16.75,16.75,16.75,16.75, 0.00,2
107/08/07,"1,000","16,950",16.95,16.95,16.95,16.95,+0.20,1
107/08/08,"6,000","101,700",16.95,16.95,16.95,16.95, 0.00,3
107/08/09,"3,000","50,900",16.95,17.00,16.95,16.95, 0.00,3
107/08/10,"1,000","17,700",17.70,17.70,17.70,17.70,+0.75,1
107/08/13,"21,448","360,454",17.35,17.35,16.50,16.85,-0.85,17
107/08/14,"19,120","314,656",16.60,16.60,16.10,16.30,-0.55,12
107/08/15,"10,000","164,800",16.30,16.50,16.30,16.50,+0.20,4
107/08/16,"2,000","33,000",16.50,16.50,16.50,16.50, 0.00,1
107/08/17,"4,000","65,900",16.50,16.50,16.40,16.40,-0.10,3
107/08/20,"8,044","134,584",16.35,16.90,16.35,16.80,+0.40,9
107/08/21,"21,000","354,800",16.85,17.00,16.85,17.00,+0.20,6
107/08/22,"25,000","418,900",17.00,17.00,16.70,16.90,-0.10,14
107/08/23,"13,000","215,300",16.60,16.70,16.50,16.70,-0.20,7
107/08/24,"27,000","449,250",16.85,16.85,16.15,16.35,-0.35,25
107/08/27,"47,000","755,100",16.30,16.35,15.80,15.80,-0.55,29
107/08/28,"17,456","273,536",15.70,15.80,15.55,15.80,X0.00,14
107/08/29,"4,000","63,200",15.80,15.80,15.80,15.80, 0.00,2
107/08/30,"3,001","48,265",15.90,16.20,15.90,16.20,+0.40,4
107/08/31,0,0,--,--,--,--, 0.00,0
107/09/03,"14,000","222,600",16.25,16.25,15.80,15.80,X0.00,8
107/09/04,"4,456","70,882",16.00,16.00,15.85,15.85,+0.05,4
107/09/05,"12,000","191,550",15.60,16.00,15.60,16.00,+0.15,8
107/09/06,"21,000","334,800",16.00,16.00,15.80,15.80,-0.20,4
107/09/07,"30,133","469,728",15.90,15.90,15.40,15.50,-0.30,18
107/09/10,"54,129","837,286",15.55,15.85,15.40,15.70,+0.20,24
107/09/11,"2,000","31,900",15.95,15.95,15.95,15.95,+0.25,2
107/09/12,"25,000","388,600",15.90,15.90,15.50,15.50,-0.45,9
107/09/13,"9,100","143,980",15.45,15.95,15.45,15.90,+0.40,11
107/09/14,"11,137","176,714",15.85,15.90,15.85,15.90, 0.00,10
107/09/17,"11,000","174,900",15.90,15.90,15.90,15.90, 0.00,6
