date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"51,501","1,254,776",24.4,24.5,24.25,24.35, 0.00,40
107/07/03,"108,003","2,604,675",24.35,24.35,24.0,24.0,-0.35,71
107/07/04,"71,100","1,695,644",24.0,24.05,23.7,23.75,-0.25,51
107/07/05,"49,001","1,160,325",23.75,23.8,23.6,23.65,-0.10,36
107/07/06,"41,004","967,652",24.0,24.0,23.5,23.55,-0.10,37
107/07/09,"46,001","1,089,725",23.7,23.8,23.6,23.6,+0.05,32
107/07/10,"388,106","9,805,943",25.7,25.8,24.75,24.95,+1.35,286
107/07/11,"234,103","5,888,128",24.65,25.4,24.55,25.25,+0.30,185
107/07/12,"344,169","8,787,944",25.5,25.7,25.35,25.6,+0.35,201
107/07/13,"247,102","6,417,892",26.0,26.55,25.6,25.75,+0.15,167
107/07/16,"97,456","2,506,565",25.8,25.85,25.6,25.65,-0.10,72
107/07/17,"483,210","12,771,985",26.5,26.8,26.0,26.0,+0.35,354
107/07/18,"149,000","3,865,850",26.0,26.3,25.7,25.7,-0.30,103
107/07/19,"169,100","4,317,150",25.8,25.8,25.25,25.4,-0.30,113
107/07/20,"166,300","4,188,769",25.5,25.5,25.1,25.1,-0.30,110
107/07/23,"100,008","2,521,458",25.2,25.35,25.15,25.2,+0.10,71
107/07/24,"104,001","2,585,825",24.9,25.0,24.75,24.9,X0.00,71
107/07/25,"66,000","1,652,400",24.9,25.15,24.9,25.1,+0.20,46
107/07/26,"132,000","3,356,800",25.2,25.55,25.2,25.55,+0.45,83
107/07/27,"137,004","3,507,804",25.55,25.7,25.5,25.65,+0.10,88
107/07/30,"74,001","1,886,727",25.65,25.7,25.4,25.5,-0.15,42
107/07/31,"65,001","1,660,825",25.4,25.7,25.35,25.5, 0.00,40
107/08/01,"96,002","2,459,501",25.5,25.8,25.5,25.6,+0.10,47
107/08/02,"134,001","3,418,026",25.8,25.8,25.3,25.6, 0.00,71
107/08/03,"136,003","3,510,628",25.8,26.0,25.7,25.8,+0.20,88
107/08/06,"2,336,602","65,385,715",26.9,28.35,26.55,28.35,+2.55,"1,075"
107/08/07,"4,643,817","135,016,823",29.2,29.7,28.5,28.7,+0.35,"2,591"
107/08/08,"1,174,450","33,360,900",28.55,28.8,28.05,28.5,-0.20,643
107/08/09,"561,000","15,846,550",28.5,28.55,28.0,28.25,-0.25,308
107/08/10,"836,801","23,064,965",28.1,28.1,27.25,27.25,-1.00,478
107/08/13,"1,466,353","37,053,625",26.55,26.55,24.6,24.7,-2.55,748
107/08/14,"414,004","10,302,750",24.7,25.35,24.7,24.85,+0.15,256
107/08/15,"306,353","7,575,371",24.9,25.0,24.5,24.6,-0.25,159
107/08/16,"141,000","3,445,950",24.2,24.7,24.2,24.55,-0.05,102
107/08/17,"140,350","3,491,600",24.75,25.1,24.75,24.85,+0.30,100
107/08/20,"177,003","4,440,278",24.85,25.3,24.8,25.1,+0.25,112
107/08/21,"137,000","3,468,900",25.3,25.6,25.1,25.2,+0.10,94
107/08/22,"115,000","2,884,400",25.35,25.35,24.95,24.95,-0.25,71
107/08/23,"49,399","1,231,998",24.95,25.0,24.9,25.0,+0.05,47
107/08/24,"63,001","1,577,825",25.0,25.3,24.9,25.0, 0.00,39
107/08/27,"151,719","3,795,525",25.0,25.3,24.9,25.0, 0.00,92
107/08/28,"117,003","2,924,975",25.25,25.25,24.9,25.0, 0.00,74
107/08/29,"154,003","3,819,425",25.0,25.05,24.7,24.9,-0.10,97
107/08/30,"73,100","1,828,899",24.95,25.1,24.95,25.05,+0.15,61
107/08/31,"67,085","1,676,559",25.05,25.1,24.9,24.9,-0.15,48
107/09/03,"51,104","1,271,451",25.1,25.1,24.8,24.8,-0.10,44
107/09/04,"67,104","1,667,090",24.85,24.9,24.8,24.9,+0.10,38
107/09/05,"40,148","999,573",25.2,25.2,24.8,24.9, 0.00,39
107/09/06,"95,100","2,358,445",24.8,25.05,24.7,24.7,-0.20,55
107/09/07,"195,197","4,786,525",24.7,24.8,24.25,24.3,-0.40,103
107/09/10,"226,002","5,442,898",24.4,24.4,24.0,24.05,-0.25,140
107/09/11,"347,379","8,172,496",23.75,23.8,23.25,23.75,-0.30,212
107/09/12,"187,000","4,497,600",23.95,24.65,23.8,24.3,+0.55,106
107/09/13,"175,002","4,303,798",24.6,24.9,24.3,24.35,+0.05,133
107/09/14,"92,001","2,239,524",24.7,24.7,24.2,24.3,-0.05,63
107/09/17,"154,103","3,707,975",24.5,24.5,23.85,24.1,-0.20,87
107/09/18,"72,024","1,729,787",24.1,24.2,23.9,24.15,+0.05,51
107/09/19,"125,003","3,071,675",24.3,24.7,24.3,24.55,+0.40,102
107/09/20,"105,200","2,584,639",24.6,24.8,24.3,24.35,-0.20,56
107/09/21,"78,120","1,913,898",24.45,24.6,24.4,24.6,+0.25,45
107/09/25,"65,005","1,594,575",24.85,24.85,24.4,24.45,-0.15,45
107/09/26,"52,001","1,271,826",24.45,24.55,24.4,24.55,+0.10,28
107/09/27,"27,000","662,150",24.6,24.6,24.45,24.5,-0.05,23
107/09/28,"25,000","611,950",24.5,24.6,24.45,24.5, 0.00,22
107/10/01,"142,002","3,521,002",24.5,25.0,24.5,24.8,+0.30,83
107/10/02,"201,295","5,034,798",24.95,25.4,24.65,24.85,+0.05,138
107/10/03,"492,448","12,542,048",24.95,25.8,24.9,25.75,+0.90,330
107/10/04,"425,006","10,848,256",25.9,26.1,25.25,25.25,-0.50,198
107/10/05,"319,100","8,038,364",25.25,25.7,24.6,24.8,-0.45,217
107/10/08,"152,424","3,831,750",24.9,25.3,24.85,25.2,+0.40,128
107/10/09,"151,001","3,857,926",25.55,25.8,25.3,25.65,+0.45,127
107/10/11,"641,506","15,021,349",25.0,25.0,23.1,23.1,-2.55,298
107/10/12,"286,005","6,626,970",22.95,23.45,22.95,23.45,+0.35,176
107/10/15,"125,008","2,920,950",23.35,23.6,23.0,23.55,+0.10,90
107/10/16,"152,002","3,584,150",23.55,23.75,23.4,23.5,-0.05,93
107/10/17,"119,101","2,791,213",23.9,24.0,23.15,23.15,-0.35,69
107/10/18,"106,003","2,471,321",23.15,23.5,23.15,23.3,+0.15,58
107/10/19,"128,003","2,944,875",23.05,23.1,22.9,23.1,-0.20,86
107/10/22,"69,401","1,610,222",23.1,23.3,23.1,23.3,+0.20,60
107/10/23,"78,191","1,807,098",23.3,23.3,22.9,23.0,-0.30,55
107/10/24,"73,001","1,664,175",23.0,23.0,22.7,22.8,-0.20,52
107/10/25,"1,235,798","25,800,306",21.9,21.9,20.55,20.55,-2.25,629
107/10/26,"265,000","5,431,450",20.65,20.95,20.05,20.5,-0.05,141
107/10/29,"97,000","1,961,050",20.5,20.5,20.1,20.15,-0.35,60
107/10/30,"73,355","1,476,970",20.15,20.35,20.05,20.2,+0.05,62
107/10/31,"137,000","2,791,400",20.5,20.65,20.3,20.4,+0.20,73
107/11/01,"120,001","2,466,420",20.45,20.8,20.45,20.55,+0.15,75
107/11/02,"228,101","4,732,891",21.0,21.05,20.6,20.7,+0.15,124
107/11/05,"73,000","1,494,500",20.6,20.75,20.3,20.5,-0.20,55
107/11/06,"108,000","2,225,200",20.75,20.85,20.45,20.6,+0.10,70
107/11/07,"71,501","1,477,915",20.6,20.75,20.6,20.75,+0.15,60
107/11/08,"120,004","2,522,288",20.9,21.2,20.9,20.95,+0.20,87
107/11/09,"226,002","4,782,196",21.0,21.4,20.95,21.35,+0.40,144
107/11/12,"187,001","3,942,923",21.05,21.4,20.85,21.05,-0.30,128
107/11/13,"172,001","3,539,023",20.5,20.75,20.45,20.75,-0.30,120
107/11/14,"184,001","3,811,172",20.75,21.15,20.5,20.75, 0.00,132
