date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,26,"1,351",52.50,52.50,51.50,51.50,-1.0,26
107/07/03,24,"1,207",50.40,50.90,50.00,50.00,-0.5,20
107/07/04,11,548,50.00,50.00,49.30,49.50,-0.5,12
107/07/05,10,472,49.50,50.00,49.50,49.50,0.0,10
107/07/06,0,0,--,--,--,--,0.0,0
107/07/09,4,195,49.50,49.50,48.00,48.00,-1.5,4
107/07/10,34,"1,701",48.00,52.80,46.30,52.80,4.8,25
107/07/11,11,549,52.80,52.80,49.00,51.00,-1.8,9
107/07/12,27,"1,357",49.10,52.00,49.10,52.00,1.0,14
107/07/13,36,"1,861",52.00,52.50,49.35,52.00,0.0,15
107/07/16,39,"1,995",51.00,51.50,51.00,51.00,-1.0,14
107/07/17,21,"1,074",52.50,52.50,51.00,51.20,0.2,8
107/07/18,19,987,54.00,54.00,51.60,51.60,0.4,18
107/07/19,23,"1,197",52.00,52.50,52.00,52.00,0.4,10
107/07/20,1,51,50.50,50.50,50.50,50.50,-1.5,1
107/07/23,9,457,51.00,51.00,50.50,50.60,0.1,9
107/07/24,6,300,50.00,50.10,50.00,50.10,-0.5,9
107/07/25,5,251,50.10,50.20,50.10,50.20,0.1,4
107/07/26,1,51,51.00,51.00,51.00,51.00,0.8,1
107/07/27,3,150,50.00,50.00,50.00,50.00,-1.0,2
107/07/30,8,396,48.50,50.00,48.10,49.50,-0.5,12
107/07/31,34,"1,719",50.00,52.00,50.00,52.00,2.5,18
107/08/01,7,350,50.00,50.20,50.00,50.20,-1.8,7
107/08/02,0,0,--,--,--,--,0.0,0
107/08/03,10,502,50.00,50.00,49.90,49.90,-0.3,12
107/08/06,17,854,50.00,50.50,50.00,50.10,0.2,12
107/08/07,14,701,50.00,50.50,49.90,50.00,-0.1,13
107/08/08,4,200,50.00,50.50,49.80,50.00,0.0,5
107/08/09,3,135,50.50,50.50,49.80,49.80,-0.2,3
107/08/10,7,348,50.00,50.00,49.25,50.00,0.2,7
107/08/13,11,530,49.50,49.50,48.00,48.00,-2.0,14
107/08/14,12,560,48.00,48.50,46.00,48.50,0.5,15
107/08/15,9,421,48.50,48.50,46.20,46.20,-2.3,9
107/08/16,1,48,48.30,48.30,48.30,48.30,2.1,1
107/08/17,0,0,--,--,--,--,0.0,0
107/08/20,5,231,46.10,46.50,46.00,46.50,-1.8,5
107/08/21,2,96,48.00,48.00,48.00,48.00,1.5,2
107/08/22,5,231,46.20,46.30,46.00,46.30,-1.7,4
107/08/23,2,93,46.30,46.30,46.30,46.30,0.0,3
107/08/24,11,493,46.00,46.00,44.00,44.50,-1.8,11
107/08/27,2,92,46.00,46.00,45.80,45.80,1.3,3
107/08/28,16,710,44.60,44.60,44.10,44.60,-1.2,13
107/08/29,3,137,44.60,44.60,44.60,44.60,0.0,4
107/08/30,12,544,45.00,45.80,45.00,45.80,1.2,9
107/08/31,9,406,45.00,45.90,45.00,45.90,0.1,6
107/09/03,2,89,43.00,46.40,43.00,46.40,0.5,3
107/09/04,1,46,46.00,46.00,46.00,46.00,-0.4,1
107/09/05,2,92,46.00,46.00,46.00,46.00,0.0,2
107/09/06,3,137,45.00,46.00,45.00,46.00,0.0,3
107/09/07,13,586,46.00,46.00,44.10,44.10,-1.9,8
107/09/10,6,264,44.10,44.10,43.95,43.95,-0.15,8
107/09/11,14,608,43.95,43.95,43.00,43.00,-0.95,5
107/09/12,5,216,43.00,43.50,43.00,43.50,0.5,5
107/09/13,0,0,--,--,--,--,0.0,0
107/09/14,4,174,43.50,43.50,43.50,43.50,0.0,3
107/09/17,2,88,43.50,43.50,43.50,43.50,0.0,7
107/09/18,0,0,--,--,--,--,0.0,0
107/09/19,12,514,42.50,43.50,42.50,43.50,0.0,5
107/09/20,8,339,43.50,43.50,41.00,43.00,-0.5,8
107/09/21,2,89,43.00,43.00,42.00,42.00,-1.0,7
107/09/25,6,259,43.00,43.50,43.00,43.00,1.0,5
107/09/26,4,171,42.00,43.00,42.00,43.00,0.0,4
107/09/27,11,479,43.00,44.00,43.00,44.00,1.0,7
107/09/28,1,48,47.50,47.50,47.50,47.50,3.5,1
107/10/01,1,45,45.00,45.00,45.00,45.00,-2.5,1
107/10/02,0,0,--,--,--,--,0.0,3
