date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,16,298,18.60,18.70,18.55,18.55,-0.05,15
107/07/03,24,439,18.20,18.40,18.20,18.25,-0.3,19
107/07/04,54,973,18.20,18.20,18.00,18.20,-0.05,32
107/07/05,13,239,18.50,18.50,18.20,18.20,0.0,9
107/07/06,46,838,18.20,18.50,18.00,18.10,-0.1,18
107/07/09,12,220,18.15,18.45,18.15,18.30,0.2,11
107/07/10,12,225,18.45,18.45,18.35,18.35,0.05,13
107/07/11,26,484,18.50,18.50,18.35,18.40,0.05,21
107/07/12,21,389,18.40,18.60,18.40,18.60,0.2,18
107/07/13,38,713,18.75,18.90,18.70,18.85,0.25,19
107/07/16,24,452,18.85,18.95,18.70,18.90,0.05,17
107/07/17,14,264,18.85,18.90,18.85,18.90,0.0,13
107/07/18,17,322,18.80,19.15,18.80,19.10,0.2,13
107/07/19,22,416,19.10,19.10,18.50,19.00,-0.1,19
107/07/20,15,285,19.00,19.05,18.90,19.00,0.0,12
107/07/23,14,268,18.70,19.05,18.70,18.80,-0.2,15
107/07/24,12,228,18.95,19.05,18.95,18.95,0.15,10
107/07/25,19,361,19.00,19.10,18.85,18.90,-0.05,14
107/07/26,10,189,19.00,19.00,18.90,18.90,0.0,9
107/07/27,17,321,18.85,19.00,18.75,18.80,-0.1,13
107/07/30,32,602,18.80,18.95,18.80,18.95,0.15,11
107/07/31,11,207,18.85,18.85,18.80,18.80,-0.15,6
107/08/01,7,132,18.70,18.80,18.70,18.80,0.0,6
107/08/02,12,226,18.80,18.80,18.75,18.75,-0.05,6
107/08/03,10,189,18.80,18.90,18.80,18.90,0.15,8
107/08/06,8,151,18.90,18.90,18.85,18.85,-0.05,5
107/08/07,7,132,18.80,18.85,18.80,18.85,0.0,7
107/08/08,540,"10,955",20.55,20.70,19.90,20.00,1.15,344
107/08/09,196,"3,959",20.25,20.45,20.00,20.15,0.15,120
107/08/10,85,"1,700",20.30,20.30,19.60,19.75,-0.4,56
107/08/13,283,"5,687",20.20,20.35,19.65,19.85,0.1,139
107/08/14,62,"1,244",20.05,20.15,19.85,20.10,0.25,44
107/08/15,60,"1,200",20.05,20.10,19.90,20.00,-0.1,40
107/08/16,33,652,19.85,19.85,19.70,19.70,-0.3,21
107/08/17,37,744,19.90,20.10,19.90,20.05,0.35,34
107/08/20,14,279,20.00,20.05,19.85,19.85,-0.2,12
107/08/21,10,199,19.85,20.00,19.80,20.00,0.15,10
107/08/22,18,360,20.00,20.00,19.80,19.85,-0.15,19
107/08/23,13,258,19.90,19.90,19.85,19.90,0.05,10
107/08/24,12,238,19.90,19.90,19.80,19.80,-0.1,11
107/08/27,51,"1,020",19.80,20.10,19.80,20.10,0.3,24
107/08/28,36,723,20.10,20.20,20.00,20.00,-0.1,24
107/08/29,57,"1,134",19.90,20.00,19.80,19.90,-0.1,26
107/08/30,53,"1,061",20.10,20.10,19.90,20.10,0.2,24
107/08/31,93,"1,851",20.10,20.15,19.70,20.10,0.0,68
107/09/03,594,"13,054",21.40,22.10,21.30,22.10,2.0,279
107/09/04,"2,199","50,750",23.00,23.90,22.15,22.15,0.05,"1,428"
107/09/05,684,"15,365",22.20,23.30,21.75,22.20,0.05,442
107/09/06,191,"4,226",22.35,22.80,21.90,21.95,-0.25,142
107/09/07,261,"5,572",21.95,21.95,20.50,20.90,-1.05,164
107/09/10,233,"4,873",20.90,21.40,20.50,21.15,0.25,148
107/09/11,88,"1,848",21.15,21.20,20.60,21.00,-0.15,59
107/09/12,323,"7,027",21.35,22.20,21.15,22.20,1.2,210
107/09/13,260,"5,732",22.30,22.75,21.65,21.70,-0.5,172
107/09/14,135,"2,926",21.90,22.15,21.50,21.50,-0.2,103
107/09/17,128,"2,717",21.35,21.70,21.05,21.05,-0.45,86
