date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"59,000","2,385,650",40.55,40.7,40.3,40.4,-0.15,37
107/07/03,"31,000","1,247,650",40.4,40.4,40.05,40.4, 0.00,20
107/07/04,"143,000","5,730,550",40.45,40.45,40.0,40.45,+0.05,118
107/07/05,"135,001","5,403,092",40.0,40.5,40.0,40.0,-0.45,82
107/07/06,"20,100","804,200",40.0,40.1,40.0,40.0, 0.00,14
107/07/09,"72,001","2,848,740",39.6,39.75,39.1,39.65,-0.35,52
107/07/10,"61,000","2,415,150",39.9,39.9,39.5,39.7,+0.05,32
107/07/11,"11,000","438,200",39.7,39.95,39.7,39.95,+0.25,10
107/07/12,"21,000","842,150",40.0,40.2,40.0,40.2,+0.25,16
107/07/13,"67,001","2,701,490",40.3,40.35,40.25,40.35,+0.15,39
107/07/16,"78,140","3,157,370",40.25,40.5,40.25,40.35, 0.00,25
107/07/17,"64,000","2,590,150",40.35,40.6,40.35,40.6,+0.25,31
107/07/18,"86,000","3,490,250",40.6,40.7,40.5,40.65,+0.05,38
107/07/19,"34,000","1,379,150",40.75,40.75,40.45,40.65, 0.00,20
107/07/20,"13,000","527,900",40.65,40.65,40.6,40.6,-0.05,6
107/07/23,"38,000","1,539,450",40.55,40.55,40.45,40.45,-0.15,17
107/07/24,"61,000","2,469,850",40.5,40.5,40.45,40.5,+0.05,38
107/07/25,"84,400","3,406,790",40.15,40.55,40.15,40.3,-0.20,60
107/07/26,"7,000","284,200",40.7,40.7,40.45,40.6,+0.30,7
107/07/27,"21,028","851,248",40.6,40.6,40.4,40.6, 0.00,15
107/07/30,"44,171","1,795,976",40.7,40.75,40.5,40.65,+0.05,38
107/07/31,"39,230","1,598,649",40.75,40.8,40.7,40.75,+0.10,31
107/08/01,"101,000","4,145,850",40.8,41.3,40.8,41.25,+0.50,59
107/08/02,"68,050","2,796,614",41.35,41.35,40.75,41.15,-0.10,49
107/08/03,"49,000","2,013,650",41.15,41.15,41.0,41.15, 0.00,24
107/08/06,"42,000","1,733,100",41.15,41.4,41.15,41.4,+0.25,30
107/08/07,"81,010","3,359,293",41.4,41.6,41.1,41.6,+0.20,50
107/08/08,"210,100","8,705,450",41.65,42.0,41.0,42.0,+0.40,139
107/08/09,"175,000","6,955,900",39.85,39.85,39.65,39.65,X0.00,122
107/08/10,"166,149","6,528,910",39.6,39.65,39.0,39.0,-0.65,98
107/08/13,"133,500","5,155,849",39.0,39.0,38.15,38.2,-0.80,90
107/08/14,"100,000","3,836,000",38.2,39.45,38.15,39.25,+1.05,53
107/08/15,"157,251","6,032,889",39.25,39.25,38.2,38.35,-0.90,54
107/08/16,"120,000","4,554,650",38.2,38.2,37.8,38.0,-0.35,81
107/08/17,"130,060","4,907,150",38.1,38.1,37.55,37.7,-0.30,83
107/08/20,"51,000","1,937,700",37.55,38.25,37.55,38.1,+0.40,33
107/08/21,"44,000","1,669,500",37.9,38.1,37.8,38.1, 0.00,14
107/08/22,"54,000","2,052,800",38.0,38.3,38.0,38.3,+0.20,34
107/08/23,"52,214","1,990,224",38.5,38.5,37.9,38.45,+0.15,41
107/08/24,"28,330","1,077,654",38.1,38.4,37.95,38.4,-0.05,25
107/08/27,"64,500","2,458,400",38.4,38.4,37.95,38.3,-0.10,51
107/08/28,"59,200","2,251,350",38.2,38.2,37.9,38.0,-0.30,53
107/08/29,"36,000","1,368,400",38.25,38.25,37.9,38.05,+0.05,29
107/08/30,"24,430","930,933",38.15,38.15,38.05,38.1,+0.05,20
107/08/31,"32,266","1,225,347",38.1,38.15,37.9,38.15,+0.05,33
107/09/03,"43,000","1,633,200",38.15,38.15,37.8,38.0,-0.15,34
107/09/04,"42,520","1,616,215",38.0,38.15,38.0,38.15,+0.15,31
107/09/05,"22,065","839,689",38.0,38.1,38.0,38.1,-0.05,20
107/09/06,"51,294","1,947,060",37.9,38.1,37.8,38.1, 0.00,37
107/09/07,"56,000","2,124,050",37.95,38.05,37.85,38.05,-0.05,35
107/09/10,"39,250","1,483,837",37.7,38.05,37.7,38.0,-0.05,26
107/09/11,"42,000","1,586,100",38.0,38.0,37.7,38.0, 0.00,27
107/09/12,"2,119","80,357",37.9,37.9,37.9,37.9,-0.10,5
107/09/13,"56,070","2,127,728",37.9,38.0,37.9,38.0,+0.10,24
107/09/14,"76,000","2,884,500",37.8,38.0,37.8,38.0, 0.00,20
107/09/17,"7,000","265,300",38.0,38.0,37.8,38.0, 0.00,5
107/09/18,"13,000","492,250",37.9,37.95,37.8,37.85,-0.15,12
107/09/19,"57,080","2,165,038",37.9,38.1,37.8,38.0,+0.15,52
107/09/20,"66,100","2,503,029",38.15,38.4,37.7,37.85,-0.15,51
107/09/21,"24,700","934,055",38.0,38.0,37.75,37.95,+0.10,24
107/09/25,"24,154","915,182",38.0,38.0,37.7,38.0,+0.05,22
107/09/26,"38,633","1,461,398",38.0,38.0,37.75,37.9,-0.10,25
107/09/27,"81,196","3,083,037",38.0,38.0,37.85,38.0,+0.10,30
107/09/28,"72,000","2,741,950",38.0,38.2,37.9,37.9,-0.10,18
107/10/01,"36,000","1,367,700",37.9,38.15,37.9,38.05,+0.15,21
107/10/02,"40,250","1,532,650",38.15,38.25,38.0,38.05, 0.00,37
107/10/03,"79,050","3,037,225",38.2,38.8,38.05,38.5,+0.45,58
107/10/04,"18,000","689,650",38.5,38.5,38.15,38.4,-0.10,18
107/10/05,"16,100","611,060",38.1,38.1,37.9,37.9,-0.50,16
107/10/08,"28,051","1,059,582",37.85,37.9,37.7,37.9, 0.00,27
107/10/09,"26,000","983,300",37.7,37.9,37.65,37.9, 0.00,18
107/10/11,"263,300","9,648,450",37.5,37.65,36.1,37.65,-0.25,146
107/10/12,"66,500","2,478,424",37.45,37.5,37.0,37.5,-0.15,53
107/10/15,"15,000","557,950",37.0,37.5,37.0,37.5, 0.00,13
107/10/16,"64,000","2,379,900",37.5,37.5,37.0,37.35,-0.15,43
107/10/17,"42,000","1,556,250",37.35,37.45,36.9,37.1,-0.25,41
107/10/18,"46,200","1,702,110",36.7,37.25,36.7,36.8,-0.30,39
107/10/19,"78,873","2,872,850",36.5,36.9,36.2,36.9,+0.10,66
107/10/22,"62,050","2,289,400",37.0,37.05,36.75,37.0,+0.10,50
107/10/23,"69,000","2,513,950",36.25,37.45,36.2,37.0, 0.00,56
107/10/24,"72,080","2,618,960",36.4,36.7,36.2,36.65,-0.35,66
107/10/25,"88,000","3,173,000",36.0,36.3,35.95,36.1,-0.55,68
107/10/26,"19,100","691,605",36.2,36.45,36.0,36.2,+0.10,14
107/10/29,"71,087","2,559,016",36.0,36.2,35.9,36.05,-0.15,55
107/10/30,"88,000","3,159,550",36.05,36.15,35.75,35.9,-0.15,59
107/10/31,"84,000","3,022,450",36.0,36.05,35.9,35.9, 0.00,50
107/11/01,"83,000","2,978,650",35.9,36.4,35.8,35.85,-0.05,78
107/11/02,"104,000","3,727,000",35.8,36.1,35.75,35.85, 0.00,101
107/11/05,"89,000","3,183,400",35.7,36.0,35.6,35.8,-0.05,72
107/11/06,"100,019","3,548,880",35.5,35.7,35.3,35.5,-0.30,71
107/11/07,"85,000","3,019,350",35.55,35.65,35.5,35.65,+0.15,83
107/11/08,"67,100","2,397,560",35.65,35.75,35.6,35.75,+0.10,56
107/11/09,"35,000","1,249,900",35.8,35.8,35.65,35.75, 0.00,28
107/11/12,"41,207","1,484,963",35.75,36.2,35.75,35.95,+0.20,36
107/11/13,"41,000","1,475,800",35.75,36.1,35.75,36.1,+0.15,23
107/11/14,"180,001","6,560,786",36.45,36.6,36.15,36.3,+0.20,63
107/11/15,"61,000","2,233,550",39.0,39.0,36.35,36.5,+0.20,44
107/11/16,"18,000","659,800",36.75,36.75,36.6,36.65,+0.15,18
107/11/19,"32,000","1,175,200",36.8,37.05,36.6,36.65, 0.00,26
107/11/20,"23,000","848,750",36.8,37.0,36.7,37.0,+0.35,18
107/11/21,"26,000","953,900",37.0,37.0,36.45,36.85,-0.15,21
107/11/22,"202,000","7,328,750",36.8,36.8,35.7,35.9,-0.95,77
107/11/23,"52,050","1,854,950",35.9,35.9,35.5,35.65,-0.25,43
107/11/26,"154,000","5,468,250",35.9,35.9,35.25,35.5,-0.15,57
107/11/27,"50,000","1,776,200",35.5,35.65,35.45,35.5, 0.00,44
107/11/28,"28,000","999,450",35.6,35.85,35.55,35.85,+0.35,24
107/11/29,"42,000","1,497,300",35.9,35.9,35.55,35.8,-0.05,32
107/11/30,"24,000","864,800",36.0,36.1,35.95,36.0,+0.20,18
107/12/03,"98,000","3,538,200",36.5,36.5,35.7,36.0, 0.00,72
107/12/04,"7,000","252,350",36.2,36.2,36.0,36.15,+0.15,5
107/12/05,"18,000","643,850",36.15,36.15,35.55,35.8,-0.35,15
107/12/06,"72,000","2,601,700",35.95,36.6,35.9,36.1,+0.30,54
107/12/07,"19,300","697,000",36.5,36.5,35.75,36.25,+0.15,18
107/12/10,"19,000","687,550",36.25,36.4,36.1,36.4,+0.15,16
107/12/11,"70,000","2,552,950",36.55,36.75,36.2,36.3,-0.10,48
107/12/12,"62,160","2,259,902",36.95,36.95,36.0,36.55,+0.25,32
107/12/13,"29,000","1,059,850",36.7,36.75,36.35,36.35,-0.20,26
107/12/14,"22,101","801,706",36.4,36.6,36.2,36.2,-0.15,13
107/12/17,"77,100","2,873,260",36.2,37.8,36.2,37.2,+1.00,50
107/12/18,"33,000","1,226,250",37.1,37.2,37.05,37.2, 0.00,24
107/12/19,"25,000","931,100",37.1,37.55,37.05,37.2, 0.00,23
107/12/20,"12,000","444,900",37.1,37.2,37.0,37.0,-0.20,12
107/12/21,"7,000","258,200",36.7,37.0,36.7,37.0, 0.00,7
107/12/22,"3,000","111,400",37.3,37.3,37.0,37.1,+0.10,3
107/12/24,"17,069","626,023",37.0,37.0,36.45,36.8,-0.30,15
107/12/25,"20,000","731,700",36.8,36.8,36.45,36.8, 0.00,12
107/12/26,"5,000","182,800",36.5,36.8,36.5,36.8, 0.00,4
107/12/27,"66,000","2,435,450",36.85,37.3,36.7,37.3,+0.50,43
107/12/28,"8,000","295,550",37.0,37.0,36.85,36.95,-0.35,8
108/01/02,"29,000","1,071,800",37.1,37.1,36.9,36.9,-0.05,19
108/01/03,"11,381","419,909",36.95,36.95,36.6,36.9, 0.00,10
108/01/04,"15,000","550,300",36.8,36.85,36.6,36.7,-0.20,12
108/01/07,"8,119","299,191",36.9,36.9,36.75,36.8,+0.10,9
108/01/08,"26,300","969,160",36.8,36.9,36.8,36.9,+0.10,23
108/01/09,"147,409","5,442,687",36.9,37.0,36.75,36.9, 0.00,131
108/01/10,"24,172","903,100",36.9,38.0,36.9,37.5,+0.60,24
108/01/11,"26,000","964,450",37.3,37.3,37.0,37.1,-0.40,26
108/01/14,"15,000","552,000",36.8,36.8,36.8,36.8,-0.30,15
108/01/15,"33,200","1,212,550",36.8,36.9,36.1,36.5,-0.30,32
108/01/16,"81,000","2,940,700",36.5,36.5,36.15,36.2,-0.30,67
108/01/17,"17,002","618,276",36.6,36.7,36.25,36.25,+0.05,17
108/01/18,"29,000","1,053,000",36.2,36.4,36.2,36.25, 0.00,21
108/01/21,"33,000","1,200,650",36.3,36.45,36.3,36.4,+0.15,23
108/01/22,"126,000","4,565,150",36.7,36.7,36.15,36.2,-0.20,30
108/01/23,"102,000","3,690,350",36.2,36.3,36.15,36.15,-0.05,36
108/01/24,"44,000","1,591,500",36.2,36.3,36.1,36.1,-0.05,37
108/01/25,"29,000","1,050,450",36.2,36.4,36.15,36.35,+0.25,25
108/01/28,"70,000","2,549,600",36.35,36.5,36.25,36.5,+0.15,45
108/01/29,"20,000","729,850",36.5,36.5,36.35,36.5, 0.00,16
108/01/30,"75,000","2,733,650",36.6,36.7,36.05,36.65,+0.15,55
108/02/11,"86,000","3,168,200",36.8,37.05,36.65,36.9,+0.25,65
108/02/12,"86,000","3,185,950",37.2,37.2,36.6,37.1,+0.20,80
108/02/13,"67,066","2,487,970",37.15,37.2,36.95,37.15,+0.05,58
