date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"333,662","6,154,312",18.7,18.7,18.0,18.65,-0.05,88
107/07/03,"254,704","4,757,951",18.8,18.9,18.45,18.45,-0.2,84
107/07/04,"323,227","5,905,230",18.35,18.5,18.15,18.2,-0.25,92
107/07/05,"202,480","3,678,184",18.2,18.35,18.0,18.25,0.05,73
107/07/06,"788,131","13,933,148",18.2,18.2,17.4,17.6,-0.65,277
107/07/09,"233,648","4,163,144",17.45,18.05,17.45,17.95,0.35,104
107/07/10,"54,120","967,887",17.7,18.0,17.7,18.0,0.05,33
107/07/11,"93,028","1,659,498",17.8,18.0,17.8,18.0,0.0,37
107/07/12,"70,601","1,265,826",18.0,18.0,17.85,17.9,-0.1,31
107/07/13,"194,730","3,473,455",17.85,17.95,17.8,17.8,-0.1,60
107/07/16,"115,669","2,063,358",17.85,18.1,17.8,17.85,0.05,43
107/07/17,"105,649","1,892,948",17.85,18.05,17.85,17.85,0.0,62
107/07/18,"119,556","2,149,149",17.85,18.0,17.85,18.0,0.15,75
107/07/19,"95,604","1,718,580",18.0,18.0,17.9,17.9,-0.1,35
107/07/20,"143,040","2,574,114",17.9,18.1,17.9,17.95,0.05,37
107/07/23,"97,647","1,750,958",17.85,18.0,17.8,17.95,0.0,51
107/07/24,"93,068","1,673,153",17.95,18.0,17.95,18.0,0.05,49
107/07/25,"155,419","2,804,228",18.0,18.25,17.95,18.25,0.25,85
107/07/26,"96,373","1,755,497",18.2,18.3,18.1,18.15,-0.1,44
107/07/27,"74,104","1,337,225",18.15,18.15,18.0,18.1,-0.05,45
107/07/30,"842,685","15,804,351",18.2,19.7,18.2,18.85,0.75,389
107/07/31,"145,054","2,679,644",18.3,18.7,18.3,18.65,-0.2,95
107/08/01,"453,378","8,237,878",18.45,18.45,18.0,18.25,-0.4,204
107/08/02,"202,522","3,648,916",18.15,18.15,17.95,18.0,-0.25,92
107/08/03,"69,075","1,245,300",18.05,18.1,18.0,18.05,0.05,49
107/08/06,"50,978","919,704",17.9,18.2,17.9,18.05,0.0,38
107/08/07,"159,986","2,885,191",18.05,18.1,17.95,17.95,-0.1,84
107/08/08,"99,318","1,786,424",17.95,18.15,17.95,18.0,0.05,59
107/08/09,"54,494","979,340",18.0,18.0,17.95,17.95,-0.05,30
107/08/10,"246,688","4,501,000",17.95,18.5,17.95,18.2,0.25,103
107/08/13,"245,240","4,424,645",18.2,18.2,17.95,17.95,-0.25,144
107/08/14,"48,039","863,692",18.05,18.05,17.95,18.0,0.05,41
107/08/15,"111,597","2,004,932",18.0,18.05,17.9,18.0,0.0,66
107/08/16,"203,803","3,622,851",17.8,17.95,17.7,17.8,-0.2,107
107/08/17,"128,448","2,293,378",17.8,18.15,17.75,17.8,0.0,53
107/08/20,"90,674","1,634,490",18.0,18.15,17.95,18.05,0.25,67
107/08/21,"100,178","1,808,993",18.1,18.15,18.0,18.05,0.0,39
107/08/22,"163,221","2,922,459",18.05,18.05,17.75,17.85,-0.2,88
107/08/23,"176,381","3,188,936",17.8,18.2,17.8,18.0,0.15,74
107/08/24,"310,205","5,699,429",18.25,18.6,18.05,18.3,0.3,169
107/08/27,"225,947","4,165,478",18.3,18.5,18.3,18.35,0.05,113
107/08/28,"140,765","2,569,798",18.45,18.5,18.1,18.35,0.0,71
107/08/29,"63,135","1,150,204",18.2,18.3,18.2,18.2,-0.15,32
107/08/30,"179,554","3,238,422",18.2,18.2,17.85,18.05,-0.15,79
107/08/31,"32,229","579,806",17.95,18.05,17.95,18.05,0.0,28
107/09/03,"132,136","2,367,075",18.05,18.05,17.85,17.9,-0.15,51
107/09/04,"29,674","533,832",17.95,18.15,17.9,18.0,0.1,34
107/09/05,"30,617","550,722",18.0,18.05,17.95,17.95,-0.05,21
107/09/06,"142,093","2,549,516",17.95,18.2,17.8,18.0,0.05,78
107/09/07,"185,924","3,322,553",17.9,18.15,17.7,17.7,-0.3,100
107/09/10,"235,528","4,136,507",17.7,17.7,17.35,17.4,-0.3,91
107/09/11,"62,788","1,095,188",17.4,17.6,17.4,17.5,0.1,36
107/09/12,"76,625","1,341,753",17.55,17.6,17.45,17.5,0.0,42
107/09/13,"92,381","1,648,710",17.75,17.95,17.75,17.8,0.3,75
107/09/14,"219,937","3,924,930",18.0,18.0,17.7,17.75,-0.05,75
107/09/17,"131,640","2,363,717",17.8,18.1,17.8,17.9,0.15,51
107/09/18,"317,493","5,778,194",18.0,18.5,18.0,18.25,0.35,161
107/09/19,"322,129","5,891,387",18.05,18.45,18.05,18.2,-0.05,246
107/09/20,"464,612","8,394,492",18.2,18.25,17.95,18.15,-0.05,141
107/09/21,"196,794","3,588,798",18.15,18.3,18.15,18.3,0.15,161
107/09/25,"164,673","3,003,112",18.3,18.5,18.0,18.15,-0.15,69
107/09/26,"106,116","1,915,688",18.15,18.15,18.0,18.0,-0.15,65
107/09/27,"81,792","1,474,012",18.0,18.15,17.95,18.1,0.1,41
107/09/28,"139,179","2,500,301",18.05,18.1,17.9,17.95,-0.15,87
107/10/01,"186,589","3,382,579",17.8,18.2,17.8,18.1,0.15,76
107/10/02,"177,051","3,196,618",18.0,18.2,17.95,18.1,0.0,61
107/10/03,"41,357","747,585",18.05,18.1,18.05,18.05,-0.05,28
107/10/04,"146,929","2,647,220",17.95,18.1,17.95,17.95,-0.1,89
107/10/05,"318,962","5,683,319",17.9,17.95,17.7,17.9,-0.05,108
107/10/08,"255,102","4,548,142",17.9,17.95,17.75,17.75,-0.15,82
107/10/09,"218,415","3,887,099",17.75,17.95,17.7,17.7,-0.05,79
107/10/11,"539,808","9,149,236",17.05,17.45,16.75,16.95,-0.75,191
107/10/12,"307,284","5,205,660",16.1,17.9,16.1,17.7,0.75,194
107/10/15,"187,263","3,331,267",17.8,17.9,17.6,17.8,0.1,136
107/10/16,"306,507","5,450,721",17.85,17.95,17.6,17.8,0.0,109
107/10/17,"181,065","3,209,741",17.85,17.9,17.5,17.75,-0.05,114
107/10/18,"289,005","5,161,237",17.8,18.0,17.65,17.85,0.1,75
107/10/19,"381,757","6,828,096",17.55,18.05,17.55,18.05,0.2,125
107/10/22,"78,563","1,415,434",17.95,18.1,17.9,18.05,0.0,49
107/10/23,"50,107","892,952",17.85,17.85,17.8,17.85,-0.2,30
107/10/24,"164,000","2,926,350",17.9,18.0,17.65,17.8,-0.05,73
107/10/25,"292,317","5,172,677",17.4,17.85,17.35,17.7,-0.1,115
107/10/26,"206,401","3,627,116",17.7,17.75,17.45,17.6,-0.1,74
107/10/29,"307,604","5,319,227",17.45,17.5,17.15,17.25,-0.35,88
107/10/30,"241,770","4,085,585",17.3,17.3,16.6,16.85,-0.4,143
107/10/31,"169,668","2,895,906",17.0,17.2,17.0,17.05,0.2,54
107/11/01,"59,400","1,011,528",17.05,17.15,16.95,16.95,-0.1,43
107/11/02,"128,668","2,183,236",17.0,17.0,16.85,17.0,0.05,63
107/11/05,"117,872","2,031,984",17.0,17.5,17.0,17.4,0.4,78
107/11/06,"38,122","656,435",17.35,17.35,17.15,17.2,-0.2,40
107/11/07,"430,434","7,483,492",17.3,17.65,17.15,17.65,0.45,133
107/11/08,"246,096","4,359,195",17.5,17.85,17.5,17.8,0.15,121
107/11/09,"73,693","1,284,151",17.75,17.75,17.25,17.3,-0.5,39
107/11/12,"82,000","1,429,900",17.3,17.6,17.3,17.45,0.15,35
107/11/13,"136,951","2,406,329",17.4,17.8,17.4,17.75,0.3,60
107/11/14,"361,004","6,486,818",17.7,18.2,17.7,18.05,0.3,136
107/11/15,"211,802","3,730,872",18.05,18.05,17.5,17.6,-0.45,72
107/11/16,"140,756","2,501,054",17.75,17.9,17.55,17.85,0.25,42
107/11/19,"56,594","1,008,962",17.7,17.9,17.7,17.85,0.0,24
107/11/20,"115,719","2,032,681",17.6,17.9,17.4,17.5,-0.35,65
107/11/21,"72,000","1,262,200",17.45,17.7,17.4,17.7,0.2,50
107/11/22,"51,813","905,477",17.75,17.75,17.4,17.5,-0.2,43
107/11/23,"61,319","1,070,582",17.55,17.6,17.3,17.35,-0.15,48
107/11/26,"228,057","4,037,202",17.35,17.85,17.15,17.55,0.2,101
107/11/27,"27,514","484,245",17.65,17.8,17.55,17.7,0.15,23
107/11/28,"33,627","595,695",17.6,17.8,17.6,17.8,0.1,25
107/11/29,"142,335","2,532,927",17.9,17.9,17.7,17.85,0.05,65
107/11/30,"74,360","1,317,753",17.65,17.8,17.65,17.65,-0.2,27
107/12/03,"81,956","1,454,520",17.7,17.85,17.65,17.75,0.1,59
107/12/04,"99,142","1,757,353",17.65,17.85,17.65,17.8,0.05,63
107/12/05,"119,700","2,128,057",17.6,17.9,17.6,17.8,0.0,46
107/12/06,"112,278","1,982,197",17.9,17.9,17.55,17.8,0.0,73
107/12/07,"44,972","796,953",17.65,17.8,17.6,17.8,0.0,37
107/12/10,"133,691","2,357,429",17.7,17.8,17.5,17.8,0.0,68
107/12/11,"393,257","7,081,898",17.9,18.1,17.9,18.0,0.2,140
107/12/12,"157,523","2,848,985",18.0,18.2,17.95,18.1,0.1,86
107/12/13,"94,359","1,704,812",18.1,18.1,18.0,18.1,0.0,64
107/12/14,"91,940","1,662,270",18.05,18.15,18.0,18.15,0.05,52
107/12/17,"100,149","1,803,621",18.1,18.1,17.95,18.0,-0.15,56
107/12/18,"101,460","1,828,930",18.0,18.1,17.85,18.1,0.1,76
107/12/19,"182,210","3,268,335",18.1,18.1,17.9,17.9,-0.2,66
107/12/20,"164,920","2,950,113",17.9,18.05,17.75,18.05,0.15,80
107/12/21,"125,268","2,250,431",18.0,18.1,17.9,17.95,-0.1,50
107/12/22,"128,172","2,325,496",18.0,18.2,18.0,18.05,0.1,55
107/12/24,"75,364","1,357,379",18.05,18.05,18.0,18.0,-0.05,33
107/12/25,"82,006","1,468,056",17.9,17.95,17.85,17.85,-0.15,41
107/12/26,"66,136","1,179,956",17.85,17.95,17.8,17.8,-0.05,33
107/12/27,"53,109","948,694",17.85,17.9,17.8,17.9,0.1,30
107/12/28,"17,750","319,174",17.95,18.0,17.95,18.0,0.1,19
108/01/02,"39,533","710,739",17.95,18.0,17.95,18.0,0.0,29
108/01/03,"381,510","6,951,980",18.0,18.35,18.0,18.35,0.35,151
108/01/04,"641,901","11,943,205",18.05,19.0,18.05,18.7,0.35,276
108/01/07,"486,866","9,147,240",18.7,18.9,18.65,18.8,0.1,149
108/01/08,"220,551","4,090,137",18.8,18.8,18.45,18.5,-0.3,108
108/01/09,"702,684","13,366,607",18.65,19.15,18.6,19.1,0.6,266
108/01/10,"302,509","5,776,571",19.15,19.2,18.9,19.2,0.1,120
108/01/11,"458,870","8,659,573",19.2,19.2,18.5,18.8,-0.4,199
108/01/14,"167,946","3,176,886",18.7,19.05,18.7,18.8,0.0,100
108/01/15,"183,016","3,453,545",18.8,19.1,18.8,18.85,0.05,92
108/01/16,"593,888","11,358,532",19.0,19.3,19.0,19.05,0.2,193
108/01/17,"477,742","9,174,198",19.1,19.35,19.1,19.1,0.05,148
108/01/18,"416,443","7,983,867",19.2,19.3,19.1,19.15,0.05,105
108/01/21,"382,832","7,298,336",19.15,19.15,19.0,19.0,-0.15,128
108/01/22,"367,624","6,949,012",19.0,19.1,18.75,19.05,0.05,134
108/01/23,"131,061","2,491,909",19.05,19.1,18.9,19.1,0.05,60
108/01/24,"39,000","743,400",19.1,19.1,19.0,19.05,-0.05,29
108/01/25,"147,790","2,819,610",19.0,19.15,19.0,19.1,0.05,79
108/01/28,"118,390","2,256,610",19.1,19.15,19.0,19.1,0.0,50
108/01/29,"189,549","3,596,345",19.05,19.1,18.85,18.85,-0.25,73
108/01/30,"260,551","4,923,306",18.85,19.1,18.85,18.9,0.05,70
108/02/11,"130,398","2,474,085",18.9,19.1,18.9,19.05,0.15,83
108/02/12,"1,718,589","34,144,480",19.1,20.2,19.1,20.05,1.0,658
108/02/13,"709,341","14,238,070",20.25,20.3,19.9,20.0,-0.05,255
108/02/14,"355,107","7,088,412",20.1,20.1,19.85,19.95,-0.05,139
108/02/15,"456,007","9,117,034",20.1,20.2,19.9,20.0,0.05,161
108/02/18,"976,122","19,392,719",20.35,20.35,19.6,20.0,0.0,321
108/02/19,"629,891","12,604,833",20.0,20.1,19.8,19.95,-0.05,199
108/02/20,"751,059","14,973,613",20.0,20.3,19.75,19.95,0.0,303
108/02/21,"394,434","7,821,679",19.9,20.0,19.7,19.95,0.0,240
108/02/22,"145,362","2,891,740",19.95,19.95,19.85,19.85,-0.1,92
108/02/25,"422,744","8,422,773",19.85,20.0,19.8,19.9,0.05,147
108/02/26,"508,674","10,148,536",19.9,20.05,19.85,19.9,0.0,130
