date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"13,500","168,924",12.50,12.55,12.50,12.55,-0.05,8
107/07/03,"30,941","385,620",12.50,12.50,12.40,12.40,-0.15,9
107/07/04,"6,500","81,349",12.50,12.55,12.50,12.55,+0.15,7
107/07/05,"39,000","485,250",12.40,12.55,12.30,12.45,-0.10,12
107/07/06,"41,427","515,087",12.40,12.60,12.40,12.60,+0.15,12
107/07/09,"10,188","129,987",12.70,12.85,12.70,12.85,+0.25,13
107/07/10,"6,015","75,686",12.55,12.65,12.55,12.65,-0.20,9
107/07/11,"2,000","25,200",12.55,12.65,12.55,12.65, 0.00,2
107/07/12,"8,084","101,041",12.50,12.50,12.50,12.50,-0.15,4
107/07/13,"7,001","87,512",12.50,12.50,12.50,12.50, 0.00,3
107/07/16,"74,834","930,191",12.50,12.50,12.40,12.45,-0.05,12
107/07/17,"30,461","383,016",12.60,12.65,12.40,12.50,+0.05,16
107/07/18,"96,682","1,181,892",12.40,12.70,11.40,12.70,+0.20,66
107/07/19,"14,111","176,275",12.50,12.50,12.50,12.50,-0.20,6
107/07/20,"30,999","388,037",12.70,12.70,12.40,12.40,-0.10,15
107/07/23,"75,794","941,814",12.50,12.50,12.40,12.40, 0.00,20
107/07/24,"30,999","387,434",12.50,12.50,12.50,12.50,+0.10,13
107/07/25,"3,003","37,537",12.50,12.50,12.50,12.50, 0.00,2
107/07/26,827,"10,254",--,--,--,--, 0.00,3
107/07/27,"11,999","149,936",12.50,12.50,12.50,12.50,X0.00,10
107/07/30,"3,461","43,239",12.50,12.50,12.50,12.50, 0.00,4
107/07/31,"20,650","258,092",12.50,12.50,12.50,12.50, 0.00,4
107/08/01,"1,596","19,919",12.50,12.50,12.50,12.50, 0.00,3
107/08/02,"14,000","175,000",12.50,12.50,12.50,12.50, 0.00,4
107/08/03,"16,385","204,373",12.50,12.50,12.30,12.50, 0.00,8
107/08/06,"53,479","665,787",12.30,12.55,12.20,12.50, 0.00,23
107/08/07,"4,720","59,014",12.50,12.55,12.50,12.50, 0.00,5
107/08/08,"8,190","102,375",12.50,12.50,12.50,12.50, 0.00,4
107/08/09,"41,715","522,149",12.50,12.60,12.50,12.60,+0.10,17
107/08/10,"41,256","515,637",12.50,12.50,12.45,12.50,-0.10,10
107/08/13,"22,205","277,441",12.50,12.50,12.50,12.50, 0.00,16
107/08/14,"2,006","25,074",12.50,12.50,12.50,12.50, 0.00,3
107/08/15,"32,950","410,674",12.50,12.50,12.40,12.40,-0.10,11
107/08/16,"46,844","585,365",12.50,12.50,12.50,12.50,+0.10,17
107/08/17,"23,367","292,799",12.50,12.70,12.50,12.50, 0.00,14
107/08/20,"23,549","295,611",12.50,12.60,12.50,12.60,+0.10,23
107/08/21,"14,499","182,886",12.50,12.80,12.50,12.80,+0.20,12
107/08/22,"9,396","118,100",12.75,12.75,12.50,12.65,-0.15,9
107/08/23,"2,002","25,025",12.50,12.50,12.50,12.50,-0.15,3
107/08/24,"23,001","287,512",12.50,12.50,12.50,12.50, 0.00,6
107/08/27,"8,729","108,937",12.50,12.50,12.50,12.50, 0.00,8
107/08/28,"5,900","73,810",12.50,12.55,12.50,12.55,+0.05,7
107/08/29,"22,586","282,266",12.50,12.50,12.50,12.50,-0.05,7
107/08/30,"3,061","38,205",12.55,12.55,12.50,12.50, 0.00,6
107/08/31,"30,426","379,782",12.50,12.50,12.45,12.45,-0.05,9
107/09/03,"34,050","425,320",12.40,12.50,12.40,12.45, 0.00,11
107/09/04,"56,034","700,720",12.50,12.55,12.50,12.55,+0.10,17
107/09/05,"24,237","303,262",12.55,12.55,12.50,12.50,-0.05,10
107/09/06,"18,762","233,647",12.50,12.50,12.40,12.45,-0.05,18
107/09/07,"26,500","328,600",12.40,12.45,12.40,12.40,-0.05,14
107/09/10,"54,554","681,780",12.40,12.70,12.40,12.70,+0.30,28
107/09/11,"1,130","14,224",12.60,12.60,12.60,12.60,-0.10,3
107/09/12,"5,568","70,292",12.70,12.70,12.50,12.50,-0.10,7
107/09/13,"19,660","248,250",12.65,12.65,12.60,12.60,+0.10,19
107/09/14,"2,495","31,211",12.55,12.55,12.50,12.50,-0.10,5
107/09/17,"1,807","22,736",12.65,12.65,12.65,12.65,+0.15,5
107/09/18,0,0,--,--,--,--, 0.00,0
107/09/19,"94,000","1,162,700",12.65,12.65,12.00,12.45,X0.00,44
107/09/20,333,"4,128",--,--,--,--, 0.00,2
107/09/21,"14,650","182,409",12.45,12.50,12.45,12.50,X0.00,4
107/09/25,"2,495","30,986",12.45,12.45,12.45,12.45,-0.05,5
107/09/26,"5,996","74,850",12.60,12.60,12.45,12.45, 0.00,6
107/09/27,"9,310","116,094",12.50,12.50,12.45,12.45, 0.00,9
107/09/28,"13,466","167,327",12.40,12.45,12.40,12.45, 0.00,11
107/10/01,"15,743","195,824",12.45,12.45,12.45,12.45, 0.00,13
107/10/02,"4,183","51,860",12.40,12.40,12.40,12.40,-0.05,3
107/10/03,"24,747","308,061",12.45,12.45,12.45,12.45,+0.05,11
107/10/04,"106,262","1,317,856",12.45,12.45,12.40,12.40,-0.05,36
107/10/05,"35,078","433,800",12.45,12.45,12.30,12.30,-0.10,8
107/10/08,"41,562","515,606",12.85,12.85,12.05,12.25,-0.05,31
107/10/09,"9,000","112,350",12.35,12.65,12.35,12.40,+0.15,9
107/10/11,"59,360","680,225",11.20,11.65,11.20,11.65,-0.75,34
107/10/12,"103,500","1,220,550",11.00,12.55,11.00,12.30,+0.65,65
107/10/15,"44,000","528,800",12.10,12.25,11.80,12.25,-0.05,17
107/10/16,"8,264","100,796",12.30,12.35,12.00,12.35,+0.10,11
107/10/17,"14,065","173,349",12.10,12.40,12.10,12.35, 0.00,12
107/10/18,"24,195","298,818",12.45,12.45,12.15,12.45,+0.10,7
107/10/19,"26,150","322,410",12.60,12.60,12.20,12.45, 0.00,15
107/10/22,"11,651","144,971",12.40,12.45,12.40,12.45, 0.00,7
107/10/23,"11,250","139,975",12.45,12.45,12.40,12.40,-0.05,5
107/10/24,"20,000","248,000",12.40,12.40,12.40,12.40, 0.00,4
107/10/25,"22,300","271,929",12.00,12.30,12.00,12.20,-0.20,8
107/10/26,"25,008","307,597",12.40,12.40,12.25,12.25,+0.05,13
107/10/29,"23,000","285,000",12.40,12.40,12.30,12.35,+0.10,10
107/10/30,"39,227","484,669",12.40,12.45,12.30,12.30,-0.05,31
107/10/31,"57,628","714,187",12.40,12.45,12.35,12.45,+0.15,15
107/11/01,"7,000","87,200",12.45,12.55,12.40,12.50,+0.05,6
107/11/02,"6,608","81,775",12.60,12.60,12.40,12.60,+0.10,9
107/11/05,"31,304","389,138",12.50,12.50,12.40,12.40,-0.20,6
107/11/06,"12,000","148,950",12.50,12.50,12.40,12.40, 0.00,5
107/11/07,135,"1,620",--,--,--,--, 0.00,2
107/11/08,"3,032","37,593",12.40,12.40,12.40,12.40,X0.00,2
107/11/09,"31,162","386,392",12.40,12.40,12.40,12.40, 0.00,5
107/11/12,"30,232","372,530",12.40,12.50,12.30,12.30,-0.10,9
107/11/13,0,0,--,--,--,--, 0.00,0
107/11/14,"32,600","404,120",12.40,12.50,12.30,12.30,X0.00,10
107/11/15,"13,000","161,200",12.40,12.40,12.40,12.40,+0.10,3
107/11/16,"88,544","1,090,390",12.40,12.40,12.05,12.35,-0.05,24
107/11/19,"20,016","248,196",12.40,12.40,12.40,12.40,+0.05,3
107/11/20,"4,000","49,400",12.35,12.35,12.35,12.35,-0.05,2
107/11/21,"15,250","188,325",12.35,12.35,12.35,12.35, 0.00,6
107/11/22,"11,488","143,351",12.50,12.50,12.35,12.35, 0.00,7
107/11/23,"21,000","259,350",12.35,12.35,12.35,12.35, 0.00,6
107/11/26,"28,000","351,400",12.45,12.75,12.45,12.50,+0.15,20
107/11/27,"2,000","25,050",12.50,12.55,12.50,12.55,+0.05,2
107/11/28,"11,087","137,496",12.40,12.40,12.40,12.40,-0.15,4
107/11/29,"25,119","311,663",12.35,12.50,12.35,12.40, 0.00,7
107/11/30,"17,000","210,800",12.40,12.40,12.40,12.40, 0.00,5
107/12/03,"16,499","206,087",12.40,12.55,12.40,12.55,+0.15,9
107/12/04,"2,266","28,198",12.40,12.50,12.40,12.50,-0.05,3
107/12/05,"54,000","671,150",12.40,12.50,12.40,12.45,-0.05,10
107/12/06,"27,485","340,764",12.40,12.40,12.40,12.40,-0.05,21
107/12/07,"21,891","271,309",12.40,12.40,12.35,12.35,-0.05,7
107/12/10,"37,258","457,146",12.10,12.50,12.10,12.30,-0.05,21
107/12/11,"2,000","24,650",12.30,12.35,12.30,12.35,+0.05,2
