date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"293,189","3,112,792",10.6,10.7,10.55,10.55,0.0,135
107/07/03,"550,400","5,779,169",10.55,10.65,10.35,10.45,-0.1,231
107/07/04,"435,677","4,497,520",10.45,10.5,10.2,10.2,-0.25,165
107/07/05,"767,424","7,770,121",10.35,10.35,9.98,10.05,-0.15,274
107/07/06,"379,020","3,792,976",10.05,10.15,9.9,10.0,-0.05,206
107/07/09,"388,575","3,908,167",10.0,10.15,9.97,10.1,0.1,157
107/07/10,"181,339","1,832,906",10.15,10.15,10.05,10.1,0.0,82
107/07/11,"244,000","2,448,670",10.0,10.1,9.99,10.05,-0.05,80
107/07/12,"311,268","3,147,432",10.0,10.2,10.0,10.1,0.05,125
107/07/13,"368,000","3,706,400",10.2,10.2,10.0,10.1,0.0,124
107/07/16,"544,200","5,460,269",10.1,10.15,9.99,9.99,-0.11,141
107/07/17,"233,661","2,336,850",10.0,10.05,9.99,9.99,0.0,79
107/07/18,"392,562","3,944,546",10.0,10.1,10.0,10.0,0.01,151
107/07/19,"258,153","2,592,030",10.15,10.15,10.0,10.05,0.05,119
107/07/20,"376,687","3,770,230",10.1,10.1,9.96,10.0,-0.05,127
107/07/23,"234,000","2,334,720",9.96,10.0,9.96,10.0,0.0,89
107/07/24,"200,766","2,016,107",10.05,10.1,9.99,10.05,0.05,101
107/07/25,"2,118,561","22,170,539",10.1,10.6,10.1,10.55,0.5,758
107/07/26,"613,287","6,379,684",10.5,10.5,10.3,10.4,-0.15,220
107/07/27,"3,390,710","36,784,089",10.7,11.05,10.7,10.7,0.3,"1,066"
107/07/30,"1,124,871","12,213,010",10.65,11.0,10.65,10.75,0.05,390
107/07/31,"794,500","8,409,998",10.75,10.8,10.5,10.55,-0.2,330
107/08/01,"276,305","2,921,851",10.6,10.7,10.5,10.55,0.0,112
107/08/02,"346,351","3,622,199",10.6,10.6,10.35,10.45,-0.1,157
107/08/03,"399,000","4,133,850",10.45,10.45,10.35,10.35,-0.1,145
107/08/06,"433,018","4,470,734",10.35,10.4,10.25,10.3,-0.05,156
107/08/07,"550,710","5,806,153",10.4,10.75,10.3,10.55,0.25,239
107/08/08,"225,500","2,375,724",10.65,10.65,10.45,10.5,-0.05,93
107/08/09,"180,000","1,883,100",10.5,10.55,10.4,10.4,-0.1,76
107/08/10,"149,515","1,566,705",10.45,10.55,10.4,10.45,0.05,62
107/08/13,"447,400","4,577,670",10.4,10.4,10.1,10.2,-0.25,209
107/08/14,"219,519","2,239,669",10.2,10.35,10.1,10.2,0.0,118
107/08/15,"769,583","7,739,344",10.35,10.35,9.99,10.05,-0.15,228
107/08/16,"484,518","4,852,449",10.05,10.1,9.99,10.0,-0.05,183
107/08/17,"260,650","2,628,450",10.1,10.15,10.05,10.05,0.05,102
107/08/20,"507,118","5,073,312",10.05,10.05,9.97,10.0,-0.05,180
107/08/21,"189,337","1,903,403",10.05,10.1,10.0,10.1,0.1,97
107/08/22,"415,480","4,219,869",10.1,10.2,10.05,10.15,0.05,157
107/08/23,"404,691","4,156,295",10.15,10.3,10.15,10.3,0.15,189
107/08/24,"314,195","3,216,147",10.3,10.3,10.15,10.25,-0.05,115
107/08/27,"222,325","2,276,864",10.25,10.35,10.15,10.25,0.0,99
107/08/28,"285,000","2,894,800",10.3,10.3,10.1,10.15,-0.1,90
107/08/29,"166,669","1,697,305",10.15,10.25,10.15,10.2,0.05,70
107/08/30,"134,146","1,361,524",10.15,10.25,10.1,10.1,-0.1,71
107/08/31,"226,242","2,281,254",10.1,10.15,10.05,10.15,0.05,88
107/09/03,"143,441","1,446,230",10.1,10.2,10.05,10.1,-0.05,78
107/09/04,"386,423","3,880,100",10.15,10.15,10.0,10.1,0.0,105
107/09/05,"215,639","2,162,790",10.05,10.1,10.0,10.0,-0.1,80
107/09/06,"198,000","1,990,400",10.0,10.1,10.0,10.05,0.05,83
107/09/07,"565,409","5,667,199",10.05,10.1,9.96,10.0,-0.05,180
107/09/10,"462,451","4,609,220",9.93,10.0,9.91,9.98,-0.02,156
107/09/11,"286,821","2,868,281",9.94,10.1,9.94,10.1,0.12,102
107/09/12,"195,556","1,952,540",10.0,10.05,9.95,10.05,-0.05,79
107/09/13,"439,614","4,441,569",9.99,10.25,9.98,10.2,0.15,155
107/09/14,"352,566","3,597,014",10.25,10.25,10.15,10.15,-0.05,134
107/09/17,"127,100","1,291,465",10.15,10.2,10.1,10.15,0.0,59
107/09/18,"214,000","2,175,950",10.15,10.2,10.1,10.2,0.05,67
107/09/19,"846,267","8,720,675",10.2,10.4,10.2,10.4,0.2,427
107/09/20,"469,839","4,850,155",10.5,10.5,10.2,10.25,-0.15,235
107/09/21,"451,941","4,627,398",10.2,10.3,10.2,10.2,-0.05,209
107/09/25,"431,535","4,464,260",10.2,10.4,10.2,10.35,0.15,150
107/09/26,"423,550","4,398,095",10.45,10.5,10.3,10.3,-0.05,141
107/09/27,"320,000","3,336,350",10.5,10.5,10.35,10.4,0.1,141
107/09/28,"311,084","3,233,569",10.4,10.45,10.35,10.4,0.0,122
107/10/01,"223,707","2,343,551",10.5,10.5,10.4,10.45,0.05,114
107/10/02,"348,300","3,649,999",10.5,10.6,10.4,10.45,0.0,156
107/10/03,"335,180","3,492,912",10.45,10.5,10.35,10.35,-0.1,137
107/10/04,"288,209","2,972,652",10.35,10.4,10.25,10.35,0.0,107
107/10/05,"621,463","6,276,680",10.35,10.35,10.0,10.1,-0.25,227
107/10/08,"218,667","2,207,703",10.05,10.15,10.0,10.1,0.0,93
107/10/09,"860,300","8,626,143",10.1,10.1,9.92,9.97,-0.13,271
107/10/11,"1,862,698","16,988,841",9.77,9.77,8.98,9.01,-0.96,567
107/10/12,"732,300","6,539,429",8.71,9.15,8.58,9.1,0.09,255
107/10/15,"203,243","1,861,683",9.25,9.25,9.11,9.19,0.09,103
107/10/16,"370,424","3,430,284",9.19,9.3,9.19,9.28,0.09,160
107/10/17,"480,441","4,479,103",9.3,9.4,9.28,9.28,0.0,146
107/10/18,"167,212","1,557,625",9.3,9.35,9.3,9.32,0.04,53
107/10/19,"201,100","1,846,874",9.15,9.25,9.12,9.24,-0.08,97
107/10/22,"174,322","1,601,375",8.98,9.26,8.98,9.26,0.02,71
107/10/23,"271,476","2,479,697",9.14,9.28,9.09,9.1,-0.16,74
107/10/24,"313,350","2,813,830",9.02,9.03,8.92,9.03,-0.07,124
107/10/25,"484,440","4,262,709",8.5,9.02,8.5,8.82,-0.21,149
107/10/26,"381,300","3,381,688",8.89,9.0,8.7,8.76,-0.06,106
107/10/29,"116,000","1,017,690",8.69,8.86,8.69,8.81,0.05,58
107/10/30,"284,000","2,502,780",8.81,8.88,8.77,8.83,0.02,97
107/10/31,"213,050","1,914,125",8.84,9.03,8.84,9.0,0.17,82
107/11/01,"229,788","2,075,800",9.03,9.1,9.0,9.02,0.02,77
107/11/02,"190,300","1,722,722",9.03,9.1,9.03,9.03,0.01,75
107/11/05,"101,743","922,746",9.02,9.1,9.02,9.1,0.07,39
107/11/06,"174,275","1,586,022",9.1,9.12,9.08,9.12,0.02,51
107/11/07,"165,100","1,512,578",9.19,9.2,9.13,9.19,0.07,49
107/11/08,"211,407","1,954,765",9.19,9.29,9.19,9.28,0.09,83
107/11/09,"262,158","2,398,572",9.23,9.23,9.1,9.18,-0.1,59
107/11/12,"86,105","792,460",9.18,9.25,9.18,9.2,0.02,39
107/11/13,"114,325","1,046,257",9.01,9.2,9.01,9.18,-0.02,43
107/11/14,"102,460","947,534",9.23,9.29,9.22,9.26,0.08,49
107/11/15,"117,281","1,086,127",9.26,9.29,9.25,9.26,0.0,55
107/11/16,"65,123","605,953",9.26,9.35,9.26,9.31,0.05,33
107/11/19,"95,523","888,857",9.35,9.35,9.28,9.29,-0.02,46
107/11/20,"135,100","1,254,883",9.26,9.34,9.26,9.29,0.0,56
107/11/21,"205,090","1,899,137",9.25,9.3,9.22,9.29,0.0,68
107/11/22,"151,000","1,405,910",9.26,9.35,9.26,9.31,0.02,62
107/11/23,"166,000","1,547,550",9.35,9.35,9.29,9.3,-0.01,73
107/11/26,"273,681","2,566,052",9.35,9.44,9.34,9.39,0.09,115
107/11/27,"156,590","1,471,943",9.49,9.5,9.35,9.38,-0.01,62
107/11/28,"228,823","2,152,245",9.43,9.46,9.38,9.43,0.05,66
107/11/29,"376,043","3,552,747",9.44,9.5,9.38,9.5,0.07,124
107/11/30,"117,135","1,109,439",9.38,9.53,9.38,9.5,0.0,46
107/12/03,"393,200","3,792,132",9.5,9.7,9.5,9.61,0.11,120
107/12/04,"259,200","2,511,826",9.62,9.72,9.62,9.69,0.08,107
107/12/05,"131,888","1,263,094",9.59,9.65,9.52,9.63,-0.06,62
107/12/06,"329,000","3,104,690",9.63,9.63,9.37,9.41,-0.22,154
107/12/07,"114,850","1,088,515",9.41,9.56,9.33,9.56,0.15,52
107/12/10,"167,000","1,576,700",9.4,9.53,9.4,9.53,-0.03,61
107/12/11,"148,234","1,408,052",9.53,9.53,9.47,9.53,0.0,62
107/12/12,"144,138","1,372,581",9.58,9.59,9.46,9.59,0.06,64
107/12/13,"469,891","4,542,660",9.58,9.7,9.58,9.7,0.11,146
107/12/14,"309,303","2,984,879",9.52,9.75,9.52,9.75,0.05,96
107/12/17,"312,419","3,038,854",9.75,9.79,9.69,9.75,0.0,63
107/12/18,"249,501","2,419,709",9.7,9.75,9.61,9.72,-0.03,65
107/12/19,"141,000","1,369,930",9.72,9.73,9.69,9.73,0.01,43
107/12/20,"241,500","2,346,285",9.7,9.75,9.69,9.75,0.02,70
107/12/21,"86,178","833,862",9.71,9.72,9.62,9.64,-0.11,41
107/12/22,"76,000","732,790",9.6,9.67,9.6,9.67,0.03,22
107/12/24,"230,426","2,233,472",9.7,9.72,9.67,9.69,0.02,67
107/12/25,"277,130","2,679,743",9.52,9.71,9.52,9.7,0.01,76
107/12/26,"273,040","2,672,421",9.65,9.9,9.65,9.8,0.1,97
107/12/27,"303,000","2,996,430",9.82,9.93,9.76,9.9,0.1,104
107/12/28,"526,799","5,239,316",9.91,10.0,9.85,10.0,0.1,162
108/01/02,"134,300","1,333,538",10.0,10.0,9.87,9.98,-0.02,74
108/01/03,"302,190","2,979,717",9.85,9.91,9.81,9.9,-0.08,94
108/01/04,"310,000","3,022,620",9.75,9.8,9.7,9.77,-0.13,124
108/01/07,"277,669","2,768,192",9.81,10.0,9.81,9.99,0.22,166
108/01/08,"209,294","2,094,219",9.99,10.1,9.94,10.0,0.01,91
108/01/09,"94,406","938,142",9.9,9.98,9.9,9.98,-0.02,52
108/01/10,"210,543","2,105,011",9.91,10.05,9.91,9.98,0.0,88
108/01/11,"241,497","2,405,475",10.05,10.05,9.84,9.99,0.01,92
108/01/14,"212,461","2,094,292",9.95,9.95,9.81,9.92,-0.07,90
108/01/15,"75,189","745,041",9.81,9.95,9.81,9.94,0.02,32
108/01/16,"285,010","2,793,938",9.94,9.94,9.77,9.81,-0.13,93
108/01/17,"488,876","4,706,187",9.68,9.7,9.55,9.68,-0.13,255
108/01/18,"74,861","723,575",9.68,9.74,9.64,9.65,-0.03,42
108/01/21,"162,380","1,571,814",9.68,9.72,9.62,9.71,0.06,71
108/01/22,"147,935","1,431,888",9.7,9.74,9.66,9.7,-0.01,38
108/01/23,"122,551","1,177,537",9.63,9.68,9.53,9.62,-0.08,74
108/01/24,"111,180","1,075,099",9.62,9.74,9.6,9.72,0.1,65
108/01/25,"158,206","1,533,974",9.71,9.79,9.6,9.73,0.01,68
108/01/28,"185,120","1,825,922",9.8,9.92,9.79,9.9,0.17,98
