date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"668,604","10,489,171",15.85,15.85,15.6,15.65,-0.10,308
107/07/03,"539,905","8,362,695",15.75,15.75,15.3,15.4,-0.25,261
107/07/04,"273,002","4,214,180",15.4,15.5,15.4,15.45,+0.05,97
107/07/05,"336,050","5,162,664",15.55,15.55,15.3,15.3,-0.15,158
107/07/06,"487,645","7,414,551",15.35,15.35,15.15,15.2,-0.10,207
107/07/09,"444,167","6,727,296",15.25,15.3,15.0,15.3,+0.10,165
107/07/10,"411,888","6,263,240",15.3,15.3,15.15,15.2,-0.10,202
107/07/11,"401,501","6,103,138",15.2,15.25,15.15,15.2, 0.00,142
107/07/12,"533,618","8,098,493",15.2,15.25,15.1,15.2, 0.00,251
107/07/13,"535,254","8,160,172",15.25,15.3,15.2,15.25,+0.05,166
107/07/16,"469,683","7,185,579",15.3,15.4,15.25,15.4,+0.15,174
107/07/17,"863,721","13,391,774",15.45,15.6,15.4,15.55,+0.15,235
107/07/18,"817,509","12,732,015",15.6,15.65,15.5,15.55, 0.00,230
107/07/19,"1,705,591","26,626,164",15.6,15.75,15.5,15.6,+0.05,547
107/07/20,"2,065,008","29,908,414",14.6,14.65,14.3,14.3,X0.00,560
107/07/23,"388,099","5,523,155",14.2,14.35,14.2,14.2,-0.10,141
107/07/24,"349,031","4,960,889",14.2,14.3,14.15,14.2, 0.00,168
107/07/25,"524,721","7,491,637",14.25,14.4,14.2,14.25,+0.05,176
107/07/26,"406,568","5,807,970",14.35,14.4,14.2,14.35,+0.10,175
107/07/27,"396,617","5,655,172",14.35,14.35,14.2,14.2,-0.15,219
107/07/30,"710,217","10,041,888",14.3,14.35,14.05,14.05,-0.15,265
107/07/31,"461,070","6,515,134",14.05,14.2,14.0,14.15,+0.10,141
107/08/01,"658,278","9,386,723",14.2,14.4,14.1,14.4,+0.25,285
107/08/02,"448,465","6,405,075",14.4,14.4,14.1,14.15,-0.25,203
107/08/03,"377,805","5,353,789",14.2,14.25,14.1,14.15, 0.00,181
107/08/06,"366,391","5,242,048",14.3,14.4,14.2,14.3,+0.15,148
107/08/07,"445,457","6,391,428",14.35,14.45,14.25,14.45,+0.15,283
107/08/08,"401,189","5,800,899",14.45,14.55,14.4,14.4,-0.05,184
107/08/09,"297,333","4,308,344",14.4,14.55,14.4,14.55,+0.15,135
107/08/10,"2,229,251","33,088,339",14.8,14.95,14.75,14.75,+0.20,734
107/08/13,"1,062,608","15,551,904",14.8,14.9,14.45,14.45,-0.30,408
107/08/14,"1,355,156","19,998,138",14.6,14.85,14.55,14.8,+0.35,479
107/08/15,"2,407,001","35,734,565",15.0,15.0,14.6,15.0,+0.20,934
107/08/16,"1,187,351","17,620,227",14.9,14.95,14.75,14.8,-0.20,355
107/08/17,"496,000","7,339,050",14.85,14.95,14.7,14.7,-0.10,251
107/08/20,"414,945","6,142,389",14.75,14.9,14.75,14.75,+0.05,202
107/08/21,"322,753","4,793,444",14.8,14.95,14.75,14.85,+0.10,185
107/08/22,"562,459","8,363,411",14.8,14.95,14.8,14.85, 0.00,227
107/08/23,"1,159,563","17,425,545",14.9,15.1,14.9,15.1,+0.25,337
107/08/24,"579,804","8,695,577",15.1,15.1,14.9,15.0,-0.10,174
107/08/27,"337,080","5,058,387",15.1,15.1,14.95,14.95,-0.05,141
107/08/28,"493,999","7,350,335",15.05,15.05,14.8,14.8,-0.15,228
107/08/29,"209,582","3,121,362",14.85,14.95,14.85,14.85,+0.05,89
107/08/30,"398,841","5,913,436",14.9,14.95,14.75,14.75,-0.10,248
107/08/31,"211,175","3,111,430",14.75,14.8,14.65,14.8,+0.05,88
107/09/03,"983,509","14,339,430",14.8,14.8,14.45,14.5,-0.30,311
107/09/04,"139,938","2,039,247",14.5,14.65,14.5,14.6,+0.10,87
107/09/05,"158,117","2,298,345",14.55,14.6,14.5,14.5,-0.10,77
107/09/06,"362,413","5,221,238",14.5,14.5,14.35,14.35,-0.15,204
107/09/07,"512,000","7,334,450",14.35,14.45,14.25,14.3,-0.05,236
107/09/10,"569,457","8,110,713",14.45,14.45,14.15,14.2,-0.10,267
107/09/11,"402,292","5,740,695",14.2,14.4,14.15,14.25,+0.05,139
107/09/12,"264,420","3,749,919",14.2,14.3,14.15,14.2,-0.05,171
107/09/13,"504,313","7,296,355",14.2,14.65,14.15,14.45,+0.25,279
107/09/14,"196,378","2,855,068",14.65,14.65,14.5,14.55,+0.10,69
107/09/17,"89,459","1,299,699",14.6,14.6,14.45,14.55, 0.00,37
107/09/18,"88,788","1,288,782",14.6,14.6,14.45,14.45,-0.10,66
107/09/19,"904,425","13,348,729",14.35,14.95,14.35,14.95,+0.50,322
107/09/20,"2,582,751","38,664,899",15.0,15.15,14.65,14.65,-0.30,857
107/09/21,"399,748","5,921,142",14.7,14.9,14.7,14.8,+0.15,191
107/09/25,"1,028,228","15,398,070",14.8,15.1,14.8,15.05,+0.25,319
107/09/26,"794,339","11,904,048",15.05,15.15,14.9,14.9,-0.15,244
107/09/27,"360,484","5,357,209",14.95,14.95,14.8,14.95,+0.05,137
107/09/28,"620,255","9,171,935",14.95,14.95,14.7,14.75,-0.20,307
107/10/01,"236,650","3,484,135",14.75,14.8,14.65,14.65,-0.10,117
107/10/02,"337,017","4,947,099",14.75,14.8,14.6,14.7,+0.05,111
107/10/03,"256,234","3,745,864",14.7,14.7,14.55,14.55,-0.15,92
107/10/04,"231,950","3,367,776",14.6,14.75,14.45,14.55, 0.00,123
107/10/05,"567,650","8,090,243",14.5,14.5,14.05,14.2,-0.35,242
107/10/08,"403,131","5,697,038",14.2,14.25,14.05,14.1,-0.10,167
107/10/09,"285,487","4,033,115",14.15,14.35,14.05,14.15,+0.05,135
107/10/11,"1,851,316","23,820,271",13.4,13.4,12.75,12.8,-1.35,603
107/10/12,"1,218,252","15,411,574",12.6,13.0,12.35,12.9,+0.10,463
107/10/15,"482,444","6,135,157",12.8,12.85,12.65,12.75,-0.15,184
107/10/16,"252,469","3,250,797",12.75,13.0,12.75,12.8,+0.05,119
107/10/17,"477,580","6,092,390",12.95,13.05,12.55,12.55,-0.25,202
107/10/18,"385,332","4,835,862",12.5,12.8,12.45,12.65,+0.10,185
107/10/19,"1,486,062","18,748,232",12.45,12.75,12.3,12.6,-0.05,561
107/10/22,"544,620","6,949,047",12.6,12.9,12.55,12.8,+0.20,210
107/10/23,"403,005","5,075,162",12.7,12.8,12.4,12.45,-0.35,201
107/10/24,"1,496,100","18,143,829",12.65,12.65,12.05,12.1,-0.35,696
107/10/25,"1,545,999","17,814,036",11.9,11.9,11.35,11.55,-0.55,684
107/10/26,"818,907","9,542,501",11.95,11.95,11.35,11.65,+0.10,384
107/10/29,"810,240","9,373,918",11.8,11.8,11.4,11.6,-0.05,308
107/10/30,"570,452","6,692,263",11.45,11.85,11.45,11.65,+0.05,258
107/10/31,"456,795","5,434,919",11.85,12.0,11.8,11.85,+0.20,187
107/11/01,"613,100","7,354,445",11.95,12.15,11.9,11.95,+0.10,267
107/11/02,"287,284","3,464,886",12.0,12.2,11.95,12.05,+0.10,124
107/11/05,"328,150","3,952,414",12.05,12.2,11.95,12.0,-0.05,127
107/11/06,"260,001","3,131,062",12.1,12.15,11.95,12.0, 0.00,103
107/11/07,"275,646","3,352,814",12.1,12.2,12.1,12.2,+0.20,136
107/11/08,"330,216","4,026,965",12.3,12.3,12.1,12.15,-0.05,128
107/11/09,"1,891,205","23,844,829",12.45,12.8,12.45,12.7,+0.55,666
107/11/12,"2,593,998","33,868,971",12.7,13.3,12.65,13.05,+0.35,816
107/11/13,"760,351","9,852,525",12.8,13.1,12.6,13.0,-0.05,360
107/11/14,"848,503","11,194,088",13.05,13.3,13.05,13.15,+0.15,340
107/11/15,"911,330","11,948,805",13.2,13.3,13.0,13.2,+0.05,538
107/11/16,"382,003","5,034,189",13.3,13.3,13.1,13.15,-0.05,157
107/11/19,"569,656","7,563,722",13.35,13.35,13.2,13.25,+0.10,253
107/11/20,"457,390","5,996,228",13.15,13.2,13.05,13.15,-0.10,175
