date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"2,624,453","938,524,956",364.5,366.0,350.0,350.0,-10.00,"2,310"
107/07/03,"4,183,575","1,443,284,769",351.0,357.5,338.0,338.5,-11.50,"3,650"
107/07/04,"5,494,479","1,839,315,591",339.0,344.5,320.5,327.0,-11.50,"4,440"
107/07/05,"6,840,349","2,181,495,737",333.5,333.5,310.5,312.0,-15.00,"5,324"
107/07/06,"9,763,730","3,177,833,700",325.0,341.5,310.5,339.0,+27.00,"7,440"
107/07/09,"6,291,706","2,062,837,450",338.5,338.5,321.0,321.0,-18.00,"5,305"
107/07/10,"6,455,528","2,092,437,628",324.0,331.5,317.0,324.0,+3.00,"5,353"
107/07/11,"3,554,252","1,139,783,896",321.0,326.0,317.0,321.0,-3.00,"2,940"
107/07/12,"4,992,016","1,631,105,716",323.0,331.0,322.5,324.5,+3.50,"4,145"
107/07/13,"11,214,436","3,851,790,542",329.0,356.0,327.0,353.0,+28.50,"9,053"
107/07/16,"11,899,076","4,244,305,448",355.0,367.0,343.0,344.0,-9.00,"9,227"
107/07/17,"13,195,104","4,219,072,260",329.0,332.0,311.0,312.0,-32.00,"10,576"
107/07/18,"6,449,492","2,008,428,536",317.0,318.0,302.5,304.5,-7.50,"5,223"
107/07/19,"7,188,599","2,170,810,275",307.5,308.5,298.0,300.0,-4.50,"5,193"
107/07/20,"8,178,047","2,529,050,617",301.5,313.5,301.5,310.5,+10.50,"5,944"
107/07/23,"6,232,302","1,815,173,617",299.0,300.5,285.0,290.5,X0.00,"4,831"
107/07/24,"4,177,112","1,226,951,079",293.0,297.0,291.0,294.0,+3.50,"2,998"
107/07/25,"5,430,602","1,636,706,702",298.0,307.0,297.0,299.5,+5.50,"4,362"
107/07/26,"4,504,635","1,355,635,669",300.0,305.0,295.5,297.5,-2.00,"3,499"
107/07/27,"4,334,005","1,319,688,035",300.0,307.0,299.5,306.0,+8.50,"3,423"
107/07/30,"6,500,174","2,022,689,266",308.0,316.0,306.5,307.5,+1.50,"4,993"
107/07/31,"4,783,964","1,454,697,164",310.0,312.0,298.0,299.0,-8.50,"3,969"
107/08/01,"4,264,710","1,304,826,730",301.0,311.0,300.0,311.0,+12.00,"3,366"
107/08/02,"5,206,571","1,581,925,714",313.0,313.5,300.0,300.0,-11.00,"4,264"
107/08/03,"2,017,912","611,874,836",304.0,307.0,301.5,301.5,+1.50,"1,762"
107/08/06,"6,621,983","1,927,438,976",298.0,298.0,287.5,292.0,-9.50,"5,181"
107/08/07,"3,217,208","946,915,568",293.5,297.0,291.0,294.5,+2.50,"2,795"
107/08/08,"3,370,296","1,000,588,820",296.5,301.0,293.5,293.5,-1.00,"2,808"
107/08/09,"4,504,396","1,300,999,632",292.0,293.0,285.5,290.0,-3.50,"3,554"
107/08/10,"7,218,242","2,095,399,470",296.0,297.0,282.5,283.0,-7.00,"5,432"
107/08/13,"9,016,166","2,428,268,320",277.0,279.0,261.0,267.0,-16.00,"6,760"
107/08/14,"9,413,029","2,475,850,801",270.0,271.0,257.0,266.0,-1.00,"7,024"
107/08/15,"5,517,637","1,449,186,620",266.5,269.0,258.0,258.0,-8.00,"4,548"
107/08/16,"6,218,193","1,598,236,180",251.0,262.0,251.0,258.0, 0.00,"4,901"
107/08/17,"8,973,185","2,409,618,791",263.0,273.5,261.5,264.0,+6.00,"6,810"
107/08/20,"4,002,724","1,059,573,256",265.0,268.0,259.0,267.5,+3.50,"3,312"
107/08/21,"15,184,807","4,264,935,073",277.0,286.0,276.5,281.0,+13.50,"11,467"
107/08/22,"7,739,497","2,121,811,672",277.0,278.5,272.0,275.0,-6.00,"5,889"
107/08/23,"4,151,252","1,123,768,296",272.5,273.0,269.0,271.0,-4.00,"3,332"
107/08/24,"4,983,365","1,316,271,995",269.0,271.0,261.0,261.5,-9.50,"4,184"
107/08/27,"4,874,737","1,310,264,227",265.0,272.5,263.5,270.0,+8.50,"3,910"
107/08/28,"8,521,193","2,362,206,768",275.0,280.5,274.5,275.0,+5.00,"6,494"
107/08/29,"4,825,539","1,335,371,764",276.0,280.0,274.0,275.5,+0.50,"3,823"
107/08/30,"6,328,282","1,777,965,242",281.0,284.5,277.5,279.5,+4.00,"5,192"
107/08/31,"4,269,329","1,177,401,291",277.0,278.0,273.5,277.0,-2.50,"3,295"
107/09/03,"7,996,199","2,200,199,730",277.0,283.5,266.5,268.0,-9.00,"6,449"
107/09/04,"5,926,615","1,629,874,815",268.5,279.5,266.0,279.5,+11.50,"4,502"
107/09/05,"5,408,938","1,509,169,264",280.5,283.0,276.0,276.0,-3.50,"4,203"
107/09/06,"4,615,137","1,262,768,586",274.5,278.0,269.0,277.5,+1.50,"3,837"
107/09/07,"9,957,671","2,655,441,959",267.5,272.0,258.5,261.0,-16.50,"7,638"
107/09/10,"7,667,380","1,935,936,760",257.0,257.0,250.5,251.0,-10.00,"6,016"
107/09/11,"5,464,663","1,384,730,728",252.5,257.0,249.0,255.0,+4.00,"4,148"
107/09/12,"6,071,761","1,499,744,423",256.0,257.5,240.5,241.0,-14.00,"4,784"
107/09/13,"4,017,233","985,609,585",243.5,249.0,242.5,242.5,+1.50,"3,199"
107/09/14,"7,189,992","1,830,079,428",249.0,260.0,248.5,259.0,+16.50,"5,655"
107/09/17,"5,291,103","1,376,486,986",259.0,265.0,254.0,261.5,+2.50,"4,313"
107/09/18,"3,516,153","905,091,203",259.0,260.0,255.5,256.0,-5.50,"3,159"
107/09/19,"5,631,355","1,472,652,590",260.5,265.0,258.0,258.0,+2.00,"4,740"
107/09/20,"6,591,994","1,721,131,952",259.5,266.0,255.0,259.0,+1.00,"5,390"
107/09/21,"11,230,389","3,013,540,013",263.0,278.5,259.5,278.5,+19.50,"7,488"
107/09/25,"7,820,454","2,119,482,626",273.0,275.5,266.5,268.5,-10.00,"6,089"
107/09/26,"4,616,113","1,229,804,474",264.0,270.5,263.5,265.0,-3.50,"3,678"
107/09/27,"5,927,000","1,532,165,000",260.0,262.5,255.5,256.5,-8.50,"4,845"
107/09/28,"4,565,225","1,162,200,003",257.0,259.5,251.0,252.5,-4.00,"3,857"
107/10/01,"6,940,972","1,825,158,022",255.5,267.0,255.0,266.0,+13.50,"5,428"
107/10/02,"4,154,948","1,100,966,824",266.5,267.5,262.5,263.0,-3.00,"3,555"
107/10/03,"10,989,498","2,784,994,219",256.0,257.0,251.5,252.0,-11.00,"8,329"
107/10/04,"13,411,741","3,231,098,617",245.5,247.0,235.0,235.0,-17.00,"10,437"
107/10/05,"11,752,312","2,692,740,260",230.5,236.5,221.5,228.0,-7.00,"9,235"
107/10/08,"9,396,807","2,137,238,189",231.0,235.5,221.0,224.5,-3.50,"7,132"
107/10/09,"8,691,379","1,948,629,061",225.0,230.0,220.5,223.5,-1.00,"6,575"
107/10/11,"8,876,321","1,802,324,342",202.5,207.0,201.5,201.5,-22.00,"6,658"
107/10/12,"9,497,567","1,971,113,070",203.0,211.0,203.0,209.0,+7.50,"7,019"
107/10/15,"3,700,059","770,300,949",206.0,210.0,203.5,210.0,+1.00,"2,869"
107/10/16,"5,716,049","1,222,920,396",210.0,218.0,209.0,211.5,+1.50,"4,271"
107/10/17,"5,320,718","1,156,411,088",217.0,220.0,215.0,215.0,+3.50,"4,103"
107/10/18,"4,655,554","993,656,340",217.0,218.5,209.0,209.0,-6.00,"3,462"
107/10/19,"7,316,181","1,501,612,553",203.5,213.0,199.0,213.0,+4.00,"5,574"
107/10/22,"5,286,952","1,136,565,632",210.0,218.5,208.5,215.0,+2.00,"4,095"
107/10/23,"4,521,921","939,368,726",209.5,212.0,205.0,205.0,-10.00,"3,624"
107/10/24,"4,390,662","900,645,860",206.5,208.5,201.0,203.5,-1.50,"3,482"
107/10/25,"6,657,113","1,281,007,333",190.0,195.5,190.0,192.0,-11.50,"5,012"
107/10/26,"10,356,220","1,934,641,760",195.0,197.0,181.0,182.0,-10.00,"7,962"
107/10/29,"6,841,253","1,290,710,823",186.5,192.5,183.0,191.0,+9.00,"5,250"
107/10/30,"4,536,345","858,997,086",187.5,193.5,186.5,193.5,+2.50,"3,473"
107/10/31,"9,955,238","2,007,695,695",200.0,205.5,198.0,200.0,+6.50,"7,054"
107/11/01,"9,766,004","2,049,862,326",199.5,215.5,199.5,212.5,+12.50,"7,405"
107/11/02,"13,506,065","3,065,165,820",233.5,233.5,217.0,228.5,+16.00,"9,589"
107/11/05,"6,328,353","1,418,666,072",225.0,229.5,219.0,222.5,-6.00,"4,861"
107/11/06,"6,427,883","1,406,598,385",223.0,226.5,213.0,213.5,-9.00,"4,773"
107/11/07,"6,148,096","1,356,347,408",217.5,223.0,215.5,223.0,+9.50,"4,689"
107/11/08,"6,674,258","1,502,394,260",229.0,230.0,219.5,219.5,-3.50,"5,050"
107/11/09,"4,600,298","995,182,800",221.0,221.0,214.0,215.5,-4.00,"3,543"
107/11/12,"4,283,349","937,059,780",214.0,221.5,213.5,220.0,+4.50,"3,357"
107/11/13,"5,197,474","1,104,168,306",211.5,218.5,204.5,218.5,-1.50,"4,142"
107/11/14,"3,135,328","683,476,332",218.0,221.5,216.0,216.5,-2.00,"2,531"
107/11/15,"3,928,803","861,576,857",218.0,221.5,216.5,218.5,+2.00,"3,069"
107/11/16,"4,634,475","1,016,180,050",221.0,222.5,215.5,215.5,-3.00,"3,723"
107/11/19,"8,661,558","1,944,392,917",215.0,228.5,215.0,228.0,+12.50,"6,382"
107/11/20,"5,318,991","1,201,984,475",227.0,229.0,223.5,224.0,-4.00,"4,060"
107/11/21,"5,309,156","1,199,857,568",221.0,228.5,220.5,228.0,+4.00,"4,152"
107/11/22,"6,990,976","1,586,208,148",229.0,233.0,221.5,221.5,-6.50,"5,496"
107/11/23,"2,634,250","582,005,861",222.0,225.0,219.0,219.5,-2.00,"2,146"
107/11/26,"2,109,778","468,244,586",222.5,224.5,219.5,222.5,+3.00,"1,702"
107/11/27,"3,757,585","846,773,880",223.0,228.0,220.5,228.0,+5.50,"3,066"
107/11/28,"11,641,094","2,744,920,966",232.0,242.0,228.5,239.5,+11.50,"9,251"
107/11/29,"7,965,893","1,919,689,141",244.5,246.0,236.5,237.0,-2.50,"6,171"
107/11/30,"3,888,899","931,462,683",238.0,241.0,237.5,240.5,+3.50,"2,834"
107/12/03,"11,838,658","3,062,694,189",252.0,264.0,252.0,264.0,+23.50,"8,971"
107/12/04,"6,605,928","1,719,767,424",261.0,264.0,257.0,258.0,-6.00,"5,580"
107/12/05,"6,192,758","1,543,772,609",249.5,254.0,246.0,248.5,-9.50,"4,901"
107/12/06,"5,836,637","1,400,416,267",245.0,249.0,235.0,236.0,-12.50,"4,662"
107/12/07,"5,088,398","1,203,740,428",240.0,242.0,232.0,234.5,-1.50,"4,139"
107/12/10,"4,961,034","1,164,307,027",231.5,239.0,228.0,236.5,+2.00,"3,808"
107/12/11,"3,503,038","832,886,120",237.0,240.0,235.5,239.0,+2.50,"2,700"
107/12/12,"4,643,964","1,123,868,788",241.0,244.5,239.5,242.0,+3.00,"3,536"
107/12/13,"3,226,474","776,509,908",243.0,243.5,238.0,242.0, 0.00,"2,472"
107/12/14,"3,162,829","750,156,036",239.0,240.0,235.5,236.5,-5.50,"2,433"
107/12/17,"2,915,739","701,569,451",236.0,242.0,236.0,241.5,+5.00,"2,357"
107/12/18,"3,685,871","882,799,048",241.5,242.5,238.0,238.0,-3.50,"2,457"
107/12/19,"6,376,573","1,494,906,436",239.5,240.5,229.5,230.0,-8.00,"4,427"
107/12/20,"5,522,969","1,232,207,118",228.0,228.5,218.5,220.5,-9.50,"4,263"
107/12/21,"3,377,041","745,511,143",219.0,224.0,217.0,221.0,+0.50,"2,566"
107/12/22,"678,505","149,218,610",218.5,221.0,218.5,221.0, 0.00,599
107/12/24,"1,562,742","347,001,327",221.5,224.0,218.5,223.5,+2.50,"1,308"
107/12/25,"1,784,314","391,217,208",217.5,221.5,216.5,221.5,-2.00,"1,469"
107/12/26,"2,410,616","530,023,672",223.0,224.5,216.0,216.0,-5.50,"1,951"
107/12/27,"1,863,564","412,245,580",221.5,223.0,219.5,220.0,+4.00,"1,569"
107/12/28,"1,499,122","329,808,962",219.5,221.0,218.0,221.0,+1.00,"1,061"
108/01/02,"1,145,547","253,027,387",224.0,224.0,219.0,219.5,-1.50,932
108/01/03,"4,007,978","852,290,336",217.5,217.5,208.5,210.0,-9.50,"3,183"
108/01/04,"3,818,029","781,637,596",206.0,209.0,201.0,208.5,-1.50,"2,992"
108/01/07,"3,215,966","677,830,798",212.5,213.0,209.0,209.5,+1.00,"2,560"
108/01/08,"4,119,317","841,126,802",209.0,209.0,202.0,203.0,-6.50,"3,385"
108/01/09,"5,689,230","1,205,383,450",205.0,216.5,204.5,215.0,+12.00,"4,665"
108/01/10,"4,846,603","1,052,879,914",214.5,220.5,212.0,217.0,+2.00,"3,577"
108/01/11,"3,270,704","718,167,380",216.5,221.5,216.5,220.0,+3.00,"2,575"
108/01/14,"1,641,613","360,216,247",222.0,222.0,218.0,219.0,-1.00,"1,365"
108/01/15,"9,764,302","2,254,537,970",221.0,236.5,220.5,235.0,+16.00,"7,756"
108/01/16,"7,304,665","1,732,457,105",237.0,240.0,233.5,237.5,+2.50,"5,707"
108/01/17,"3,394,368","807,217,848",239.5,241.5,235.5,236.0,-1.50,"2,730"
108/01/18,"4,786,712","1,145,872,785",238.5,241.5,237.0,238.5,+2.50,"3,399"
108/01/21,"4,607,923","1,127,457,228",244.0,247.0,243.0,244.0,+5.50,"3,466"
108/01/22,"2,309,420","557,482,494",244.0,244.5,240.0,240.5,-3.50,"1,777"
108/01/23,"2,182,683","517,609,054",236.0,239.0,235.5,237.0,-3.50,"1,673"
108/01/24,"1,242,650","297,367,161",239.0,240.5,237.5,240.5,+3.50,"1,060"
108/01/25,"3,770,269","921,915,975",245.0,246.5,242.5,243.5,+3.00,"2,983"
108/01/28,"6,776,265","1,697,775,827",246.5,254.0,245.5,249.5,+6.00,"5,198"
108/01/29,"3,477,559","850,150,094",248.5,248.5,242.0,243.0,-6.50,"2,765"
108/01/30,"2,389,301","580,630,342",243.5,245.0,242.0,242.0,-1.00,"1,921"
108/02/11,"6,818,765","1,720,587,068",247.5,256.0,246.0,251.5,+9.50,"5,296"
108/02/12,"2,623,644","663,546,576",251.0,255.0,250.0,255.0,+3.50,"2,232"
108/02/13,"5,198,548","1,303,749,000",253.0,253.0,248.5,250.0,-5.00,"4,018"
108/02/14,"2,730,275","674,869,925",248.0,249.0,246.0,247.0,-3.00,"2,304"
108/02/15,"5,201,227","1,318,359,704",249.0,256.5,248.0,252.5,+5.50,"4,120"
108/02/18,"7,345,646","1,918,542,532",256.0,264.0,255.0,263.5,+11.00,"5,476"
108/02/19,"8,496,432","2,281,711,640",265.0,271.5,263.0,271.0,+7.50,"6,485"
108/02/20,"6,796,921","1,859,090,937",274.0,277.5,270.0,274.0,+3.00,"4,731"
108/02/21,"3,718,656","1,002,365,620",270.5,272.0,267.0,270.0,-4.00,"2,941"
108/02/22,"2,721,634","729,958,205",267.0,270.5,265.5,268.0,-2.00,"2,043"
108/02/25,"3,485,142","954,098,074",272.0,276.0,271.0,275.5,+7.50,"2,931"
108/02/26,"8,130,317","2,289,212,577",278.5,286.0,278.0,282.0,+6.50,"6,186"
108/02/27,"5,071,326","1,416,340,802",284.0,285.5,276.0,277.0,-5.00,"3,858"
108/03/04,"5,259,210","1,488,920,863",287.0,289.0,279.0,280.5,+3.50,"4,174"
108/03/05,"2,838,810","796,197,300",280.5,283.5,278.5,279.5,-1.00,"2,090"
108/03/06,"1,921,875","536,915,000",279.5,281.5,276.5,280.0,+0.50,"1,610"
108/03/07,"7,819,370","2,100,159,680",276.0,276.0,262.0,262.5,-17.50,"6,150"
108/03/08,"5,277,264","1,345,247,848",256.0,257.5,252.5,255.5,-7.00,"4,300"
108/03/11,"4,018,143","1,030,467,743",255.0,261.0,252.0,260.5,+5.00,"2,991"
108/03/12,"3,072,918","815,563,688",264.5,267.5,263.5,265.5,+5.00,"2,569"
108/03/13,"1,430,290","379,107,269",266.0,267.5,264.5,264.5,-1.00,"1,134"
108/03/14,"1,692,988","446,141,832",265.0,266.5,262.0,262.5,-2.00,"1,422"
108/03/15,"2,373,595","630,718,675",262.0,268.5,261.5,265.0,+2.50,"1,859"
108/03/18,"2,415,101","640,860,366",266.5,267.0,264.0,266.0,+1.00,"1,739"
108/03/19,"2,239,572","594,146,212",267.0,267.5,264.5,264.5,-1.50,"1,390"
108/03/20,"1,467,950","387,991,850",265.0,266.0,263.0,263.0,-1.50,"1,268"
108/03/21,"3,746,715","1,008,585,265",263.5,271.5,263.5,271.0,+8.00,"2,876"
108/03/22,"3,248,791","884,473,361",273.0,275.0,270.0,271.0, 0.00,"2,445"
108/03/25,"2,926,904","771,469,656",264.5,266.5,262.0,263.0,-8.00,"2,142"
108/03/26,"2,653,165","698,292,725",266.0,266.5,260.0,261.5,-1.50,"1,933"
108/03/27,"4,611,233","1,208,424,478",258.0,267.0,255.5,266.5,+5.00,"3,627"
108/03/28,"3,853,995","1,004,905,195",261.0,262.5,259.0,260.0,-6.50,"2,836"
108/03/29,"4,260,964","1,098,794,644",260.0,261.0,255.0,260.0, 0.00,"3,050"
108/04/01,"3,530,544","930,308,072",262.5,265.0,262.0,263.0,+3.00,"2,460"
108/04/02,"13,269,019","3,681,923,795",266.0,286.5,266.0,282.0,+19.00,"9,655"
108/04/03,"5,434,407","1,552,716,588",287.5,288.0,283.0,285.5,+3.50,"4,490"
108/04/08,"6,321,883","1,859,634,719",292.0,297.5,290.5,294.0,+8.50,"5,121"
108/04/09,"5,697,747","1,653,143,877",292.5,294.5,286.5,292.0,-2.00,"4,558"
108/04/10,"3,083,769","899,572,279",293.0,295.5,289.0,291.5,-0.50,"2,418"
108/04/11,"4,676,986","1,335,951,552",291.5,293.5,281.0,281.5,-10.00,"3,677"
108/04/12,"2,313,218","653,442,130",283.0,285.5,278.5,285.5,+4.00,"2,011"
108/04/15,"3,811,121","1,102,558,590",288.5,291.5,285.5,290.0,+4.50,"2,933"
108/04/16,"2,412,426","698,061,614",290.5,292.5,287.5,289.0,-1.00,"1,993"
108/04/17,"3,207,046","928,017,794",291.0,291.5,286.5,289.5,+0.50,"2,516"
108/04/18,"3,244,284","929,317,983",290.0,291.5,281.5,283.5,-6.00,"2,729"
108/04/19,"1,434,121","409,105,727",286.0,287.0,283.0,287.0,+3.50,"1,293"
108/04/22,"6,070,604","1,783,100,076",288.5,296.0,288.5,294.5,+7.50,"4,412"
108/04/23,"3,382,506","984,300,945",295.0,296.0,286.5,289.0,-5.50,"3,002"
108/04/24,"7,947,650","2,375,643,250",292.5,304.0,292.5,295.0,+6.00,"6,410"
108/04/25,"3,397,543","1,014,008,461",296.0,301.5,294.5,297.0,+2.00,"2,833"
