date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,6,70,11.65,11.80,11.65,11.75,0.1,7
107/07/03,4,47,11.70,11.80,11.70,11.80,0.05,7
107/07/04,4,47,11.80,11.85,11.80,11.80,0.0,5
107/07/05,10,118,11.80,11.85,11.80,11.85,0.05,6
107/07/06,14,164,11.70,11.80,11.65,11.80,-0.05,12
107/07/09,1,12,11.80,11.80,11.80,11.80,0.0,2
107/07/10,3,35,11.80,11.85,11.80,11.85,0.05,2
107/07/11,4,47,11.80,11.80,11.75,11.80,-0.05,6
107/07/12,33,387,11.80,11.90,11.50,11.90,0.1,19
107/07/13,4,47,11.90,11.90,11.80,11.90,0.0,4
107/07/16,8,95,11.90,11.90,11.70,11.80,-0.1,6
107/07/17,7,82,11.65,11.90,11.65,11.90,0.1,5
107/07/18,9,107,11.90,11.95,11.85,11.90,0.0,7
107/07/19,19,222,11.65,11.90,11.60,11.90,0.0,12
107/07/20,1,12,11.80,11.80,11.80,11.80,-0.1,1
107/07/23,3,36,11.85,11.85,11.85,11.85,0.05,1
107/07/24,13,153,11.60,11.85,11.60,11.85,0.0,14
107/07/25,7,83,11.80,11.85,11.80,11.80,-0.05,5
107/07/26,17,198,11.75,11.75,11.60,11.75,-0.05,12
107/07/27,20,232,11.75,11.75,11.50,11.75,0.0,15
107/07/30,10,116,11.55,11.75,11.55,11.55,-0.2,8
107/07/31,16,186,11.50,11.70,11.50,11.60,0.05,14
107/08/01,34,395,11.60,11.80,11.55,11.80,0.2,20
107/08/02,5,59,11.60,11.80,11.60,11.80,0.0,5
107/08/03,9,105,11.75,11.75,11.55,11.75,-0.05,8
107/08/06,6,70,11.55,11.65,11.55,11.65,-0.1,4
107/08/07,34,395,11.60,11.65,11.60,11.65,0.0,14
107/08/08,5,58,11.60,11.60,11.60,11.60,-0.05,3
107/08/09,3,35,11.60,11.70,11.60,11.70,0.1,3
107/08/10,22,253,11.55,11.60,11.50,11.60,-0.1,15
107/08/13,0,0,--,--,--,--,0.0,32
107/08/14,18,207,11.55,11.55,11.45,11.55,0.05,26
107/08/15,32,365,11.55,11.55,11.30,11.45,-0.1,20
107/08/16,33,372,11.25,11.45,11.15,11.40,-0.05,25
107/08/17,0,0,--,--,--,--,0.0,3
107/08/20,22,246,11.20,11.25,11.15,11.25,-0.1,12
107/08/21,25,277,11.20,11.20,11.00,11.20,-0.05,14
107/08/22,3,33,11.05,11.20,11.00,11.20,0.0,3
107/08/23,11,126,11.40,11.40,11.10,11.35,0.15,13
107/08/24,14,156,11.10,11.20,11.05,11.20,-0.15,7
107/08/27,12,133,11.15,11.20,11.00,11.20,0.0,12
107/08/28,21,228,11.15,11.15,11.00,11.10,-0.1,15
107/08/29,16,178,11.20,11.30,11.00,11.30,0.2,11
107/08/30,5,52,11.25,11.25,11.15,11.25,-0.05,8
107/08/31,26,288,11.05,11.30,11.00,11.25,0.0,16
107/09/03,31,343,11.05,11.20,11.00,11.20,-0.05,21
107/09/04,17,186,11.05,11.15,11.05,11.15,-0.05,7
107/09/05,2,22,11.10,11.15,11.10,11.15,0.0,12
107/09/06,13,143,11.10,11.10,10.95,10.95,-0.2,6
107/09/07,10,111,11.00,11.10,11.00,11.10,0.15,5
107/09/10,18,191,10.60,10.75,10.55,10.55,-0.55,12
107/09/11,92,930,10.55,10.55,10.00,10.55,0.0,21
107/09/12,2,21,10.55,10.85,10.55,10.85,0.3,3
107/09/13,0,0,--,--,--,--,0.0,0
107/09/14,12,127,10.60,10.65,10.55,10.65,0.05,22
107/09/17,16,167,10.65,10.65,10.30,10.55,-0.1,13
107/09/18,4,43,10.55,10.65,10.55,10.65,0.1,12
107/09/19,9,97,10.55,10.60,10.45,10.55,-0.1,18
107/09/20,3,32,10.65,10.65,10.55,10.55,0.0,5
107/09/21,10,107,10.55,10.80,10.55,10.70,0.15,10
107/09/25,107,"1,115",10.40,10.80,10.40,10.70,0.0,9
107/09/26,11,117,10.55,10.70,10.55,10.70,0.0,10
107/09/27,0,0,--,--,--,--,0.0,3
107/09/28,8,85,10.75,10.75,10.50,10.70,0.1,9
107/10/01,50,509,10.40,10.65,10.10,10.60,-0.1,51
107/10/02,13,136,10.45,10.55,10.40,10.45,-0.15,23
107/10/03,11,117,10.35,10.55,10.30,10.50,0.05,37
107/10/04,14,147,10.60,10.60,10.40,10.50,0.0,14
107/10/05,22,229,10.70,10.70,10.20,10.20,-0.3,30
107/10/08,12,123,10.15,10.40,10.15,10.40,0.2,10
107/10/09,49,492,10.10,10.25,9.99,10.15,-0.25,40
107/10/22,12,121,10.10,10.10,10.00,10.05,-0.1,13
107/10/23,15,146,10.00,10.05,10.00,10.05,0.0,8
107/10/24,9,91,10.05,10.05,10.00,10.00,-0.05,14
107/10/25,53,526,9.95,10.00,9.85,10.00,0.0,24
107/10/26,16,161,9.90,10.00,9.86,9.90,-0.1,18
107/10/29,6,60,9.90,9.90,9.90,9.90,0.0,11
107/10/30,17,170,9.90,9.97,9.33,9.97,0.07,15
107/10/31,20,204,9.88,10.20,9.88,9.99,0.02,18
107/11/01,3,35,10.05,10.05,9.99,9.99,0.0,12
107/11/02,15,146,10.05,10.05,9.90,10.00,0.01,12
107/11/05,9,88,9.41,9.98,9.41,9.98,-0.02,7
107/11/06,25,244,9.98,9.98,9.63,9.89,-0.09,23
107/11/07,37,357,9.70,9.88,9.50,9.80,-0.09,26
107/11/08,38,363,9.55,9.65,9.44,9.60,-0.2,26
107/11/09,23,218,9.55,9.56,9.40,9.55,-0.05,10
107/11/12,90,840,9.49,9.50,9.15,9.48,-0.07,60
107/11/13,2,18,9.45,9.45,9.45,9.45,-0.03,6
107/11/14,107,967,9.15,9.30,8.86,9.10,-0.35,57
107/11/15,192,"1,687",9.02,9.11,8.63,9.11,0.01,93
107/11/16,21,187,9.11,9.16,9.05,9.11,0.0,26
107/11/19,3,31,9.19,9.19,9.10,9.10,-0.01,5
107/11/20,23,201,8.80,9.07,8.80,9.06,-0.04,26
107/11/21,52,459,9.02,9.02,8.75,8.97,-0.09,24
107/11/22,2,18,8.99,8.99,8.99,8.99,0.02,3
107/11/23,18,164,8.95,9.01,8.91,9.00,0.01,14
107/11/26,51,462,9.04,9.10,9.01,9.10,0.1,45
107/11/27,83,758,9.10,9.39,9.10,9.39,0.29,40
107/11/28,47,460,9.40,9.90,9.40,9.89,0.5,27
107/11/29,34,333,9.85,9.91,9.84,9.84,-0.05,29
107/11/30,25,247,9.85,9.87,9.74,9.74,-0.1,24
107/12/03,42,411,9.88,9.88,9.87,9.87,0.13,15
107/12/04,19,188,9.86,9.86,9.77,9.85,-0.02,23
107/12/05,33,324,9.73,9.89,9.72,9.85,0.0,15
107/12/06,16,157,9.84,9.84,9.76,9.84,-0.01,15
107/12/07,71,697,9.83,9.85,9.74,9.85,0.01,41
107/12/10,18,178,9.75,9.85,9.68,9.84,-0.01,18
107/12/11,10,98,9.82,9.83,9.82,9.83,-0.01,7
107/12/12,50,490,9.79,9.82,9.70,9.80,-0.03,19
107/12/13,10,98,9.79,9.79,9.70,9.78,-0.02,13
107/12/14,34,332,9.75,9.78,9.70,9.73,-0.05,28
107/12/17,7,69,9.73,9.99,9.73,9.88,0.15,9
107/12/18,6,58,9.75,9.75,9.60,9.60,-0.28,7
107/12/19,3,29,9.61,9.61,9.60,9.60,0.0,3
107/12/20,36,347,9.50,9.76,9.45,9.45,-0.15,21
