date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"36,023","1,288,523",35.8,35.8,35.65,35.75,-0.05,34
107/07/03,"136,032","4,839,644",35.7,35.75,35.4,35.4,-0.35,83
107/07/04,"168,000","5,933,200",35.4,35.5,35.2,35.35,-0.05,69
107/07/05,"120,117","4,233,180",35.35,35.4,35.05,35.4,+0.05,80
107/07/06,"167,000","5,867,350",35.3,35.3,35.0,35.25,-0.15,80
107/07/09,"177,282","6,206,532",35.3,35.3,34.8,35.15,-0.10,99
107/07/10,"130,000","4,542,400",35.3,35.35,34.85,34.9,-0.25,92
107/07/11,"169,100","5,905,734",34.85,35.1,34.8,34.9, 0.00,80
107/07/12,"94,000","3,288,250",35.0,35.05,34.9,34.95,+0.05,53
107/07/13,"138,001","4,838,085",35.0,35.25,34.95,35.2,+0.25,79
107/07/16,"101,050","3,544,474",34.95,35.15,34.95,35.15,-0.05,71
107/07/17,"125,000","4,409,900",35.15,35.35,35.15,35.25,+0.10,86
107/07/18,"69,000","2,431,150",35.25,35.3,35.1,35.15,-0.10,55
107/07/19,"199,100","7,050,155",35.1,35.55,35.1,35.55,+0.40,116
107/07/20,"197,150","7,003,260",35.3,35.6,35.3,35.4,-0.15,100
107/07/23,"251,000","8,902,450",35.75,35.75,35.3,35.6,+0.20,124
107/07/24,"164,100","5,820,824",35.45,35.6,35.4,35.4,-0.20,66
107/07/25,"231,000","8,154,950",35.4,35.5,35.1,35.35,-0.05,109
107/07/26,"125,032","4,406,690",35.35,35.45,35.2,35.45,+0.10,91
107/07/27,"143,056","5,046,846",35.4,35.45,35.2,35.4,-0.05,92
107/07/30,"262,000","9,252,300",35.35,35.4,35.2,35.4, 0.00,133
107/07/31,"316,000","11,178,450",35.4,35.45,35.3,35.4, 0.00,158
107/08/01,"319,088","11,367,218",35.5,35.75,35.4,35.65,+0.25,201
107/08/02,"314,000","11,223,400",35.65,35.8,35.65,35.75,+0.10,204
107/08/03,"366,300","13,224,370",35.65,36.4,35.65,36.4,+0.65,235
107/08/06,"2,156,250","81,875,350",37.0,39.3,37.0,37.4,+1.00,"1,360"
107/08/07,"582,000","21,581,550",37.5,37.7,36.65,36.85,-0.55,361
107/08/08,"536,000","19,955,150",37.15,37.65,36.95,37.15,+0.30,314
107/08/09,"403,468","14,996,133",37.4,37.5,36.95,37.15, 0.00,185
107/08/10,"323,200","11,917,120",37.3,37.3,36.55,36.55,-0.60,178
107/08/13,"551,101","19,897,341",36.55,36.6,35.85,35.95,-0.60,264
107/08/14,"307,150","11,082,300",35.95,36.3,35.95,36.25,+0.30,179
107/08/15,"214,000","7,696,200",36.3,36.3,35.85,36.1,-0.15,109
107/08/16,"203,300","7,291,450",35.8,36.0,35.75,35.8,-0.30,111
107/08/17,"53,137","1,916,323",36.0,36.1,35.95,36.05,+0.25,44
107/08/20,"151,100","5,435,825",36.05,36.05,35.85,36.05, 0.00,84
107/08/21,"120,138","4,339,109",36.05,36.2,36.0,36.15,+0.10,85
107/08/22,"138,000","5,005,900",36.15,36.35,36.15,36.3,+0.15,93
107/08/23,"160,538","5,846,613",36.35,36.7,36.25,36.45,+0.15,120
107/08/24,"66,249","2,408,125",36.5,36.5,36.25,36.35,-0.10,41
107/08/27,"93,063","3,365,200",36.35,36.35,36.05,36.05,-0.30,61
107/08/28,"150,322","5,502,786",36.1,36.8,36.1,36.7,+0.65,104
107/08/29,"212,035","7,788,981",37.2,37.2,36.35,36.35,-0.35,138
107/08/30,"65,000","2,367,150",36.45,36.7,36.35,36.45,+0.10,37
107/08/31,"108,000","3,944,550",36.3,36.6,36.3,36.6,+0.15,38
107/09/03,"95,100","3,468,115",36.5,36.65,36.3,36.65,+0.05,71
107/09/04,"139,200","5,114,990",36.6,36.95,36.6,36.95,+0.30,88
107/09/05,"394,800","14,710,660",36.8,37.5,36.8,37.4,+0.45,244
107/09/06,"146,382","5,456,379",37.4,37.4,37.05,37.3,-0.10,92
107/09/07,"263,100","9,718,385",37.3,37.35,36.5,36.55,-0.75,158
107/09/10,"303,680","10,895,060",36.1,36.35,35.55,35.8,-0.75,187
107/09/11,"165,400","5,923,600",35.6,36.0,35.6,36.0,+0.20,79
107/09/12,"62,100","2,224,790",36.1,36.1,35.7,35.9,-0.10,37
107/09/13,"259,080","9,351,634",35.9,36.4,35.9,36.1,+0.20,178
