date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,43,"1,614",37.30,37.55,37.20,37.45,0.15,27
107/07/03,18,670,37.40,37.45,37.10,37.45,0.0,15
107/07/04,164,"6,107",37.80,37.80,36.85,37.50,0.05,90
107/07/05,105,"3,897",37.15,37.35,37.00,37.35,-0.15,50
107/07/06,75,"2,796",37.35,37.40,37.15,37.30,-0.05,39
107/07/09,113,"4,184",37.30,37.30,36.80,37.00,-0.3,47
107/07/10,48,"1,774",36.90,37.00,36.75,37.00,0.0,31
107/07/11,88,"3,230",37.10,37.10,36.60,36.90,-0.1,43
107/07/12,39,"1,431",36.50,36.85,36.50,36.80,-0.1,18
107/07/13,202,"7,386",36.65,36.80,36.35,36.80,0.0,118
107/07/16,66,"2,412",36.50,36.50,36.40,36.40,-0.4,45
107/07/17,40,"1,455",36.40,36.40,36.30,36.40,0.0,20
107/07/18,67,"2,476",36.70,37.15,36.70,37.15,0.75,33
107/07/19,105,"3,896",37.15,37.20,36.75,37.20,0.05,35
107/07/20,7,260,37.05,37.30,36.95,37.30,0.1,5
107/07/23,48,"1,810",37.45,37.55,36.80,37.35,0.05,28
107/07/24,25,936,37.60,37.60,37.20,37.60,0.25,17
107/07/25,55,"2,084",37.40,37.85,37.40,37.85,0.25,36
107/07/26,57,"2,192",38.00,38.55,38.00,38.50,0.65,53
107/07/27,84,"3,265",38.80,38.95,38.70,38.80,0.3,67
107/07/30,44,"1,684",38.90,38.90,38.60,38.90,0.1,34
107/07/31,37,"1,437",38.90,39.00,38.65,39.00,0.1,26
107/08/01,36,"1,421",38.90,39.15,38.90,39.05,0.05,33
107/08/02,45,"1,745",39.05,39.05,38.60,38.75,-0.3,32
107/08/03,21,824,39.00,39.00,38.65,38.75,0.0,23
107/08/06,37,"1,439",38.70,38.85,38.60,38.80,0.05,32
107/08/07,199,"7,898",39.30,40.20,39.30,39.70,0.9,131
107/08/08,148,"5,942",40.10,40.50,39.80,40.05,0.35,95
107/08/09,96,"3,833",40.10,40.10,39.55,39.75,-0.3,71
107/08/10,48,"1,889",39.80,39.80,39.60,39.60,-0.15,27
107/08/13,41,"1,614",39.80,39.80,39.00,39.35,-0.25,33
107/08/14,78,"3,065",39.35,39.60,38.30,39.40,0.05,50
107/08/15,79,"3,069",39.00,39.00,38.60,38.70,-0.7,64
107/08/16,88,"3,371",38.30,38.70,38.00,38.70,0.0,62
107/08/17,53,"2,040",38.95,38.95,38.20,38.80,0.1,38
107/08/20,34,"1,308",38.90,38.90,38.25,38.75,-0.05,21
107/08/21,48,"1,844",38.80,38.80,38.30,38.60,-0.15,40
107/08/22,21,809,38.70,38.70,38.40,38.40,-0.2,16
107/08/23,21,806,38.60,38.60,38.05,38.40,0.0,16
107/08/24,9,347,38.60,38.60,38.50,38.60,0.2,8
107/08/27,10,394,38.60,39.00,38.60,38.90,0.3,13
107/08/28,27,"1,047",38.90,38.90,38.65,38.70,-0.2,23
107/08/29,6,233,38.90,38.90,38.80,38.80,0.1,6
107/08/30,53,"2,030",38.70,38.85,37.90,38.05,-0.75,44
107/08/31,80,"3,010",38.00,38.25,37.50,38.00,-0.05,58
107/09/03,9,342,38.00,38.10,38.00,38.00,0.0,9
107/09/04,14,535,38.00,38.50,38.00,38.50,0.5,12
107/09/05,39,"1,515",38.50,38.60,38.50,38.60,0.1,25
107/09/06,8,318,38.60,38.60,38.45,38.45,-0.15,10
107/09/07,117,"4,376",37.30,37.85,37.10,37.85,-0.6,80
107/09/10,16,597,37.25,37.35,37.25,37.30,-0.55,13
107/09/11,14,521,37.10,37.30,37.10,37.20,-0.1,14
107/09/12,5,188,37.65,37.65,37.65,37.65,0.45,5
107/09/13,91,"3,458",38.00,38.00,38.00,38.00,0.35,7
107/09/14,20,773,38.55,38.55,37.55,38.35,0.35,18
107/09/17,19,718,38.40,38.40,37.55,38.00,-0.35,17
107/09/18,5,188,37.60,37.60,37.60,37.60,-0.4,5
107/09/19,17,646,38.00,38.10,38.00,38.00,0.4,12
107/09/20,3,113,37.65,38.00,37.65,38.00,0.0,3
107/09/21,1,38,37.90,37.90,37.90,37.90,-0.1,1
107/09/25,9,341,37.60,37.80,37.55,37.80,-0.1,7
107/09/26,10,390,37.55,38.20,37.50,37.65,-0.15,11
107/09/27,12,450,37.45,37.50,37.45,37.50,-0.15,10
107/09/28,7,263,37.50,37.50,37.50,37.50,0.0,3
107/10/01,23,856,37.50,37.50,37.00,37.50,0.0,17
107/10/02,40,"1,479",37.00,37.25,36.70,37.10,-0.4,36
107/10/03,21,777,36.80,37.10,36.75,37.10,0.0,15
107/10/04,11,407,37.00,37.20,36.75,37.20,0.1,9
107/10/05,61,"2,232",36.50,37.10,36.30,37.10,-0.1,45
107/10/08,16,596,37.30,37.30,36.40,37.20,0.1,14
107/10/09,26,975,37.20,37.50,36.85,37.10,-0.1,25
107/10/11,66,"2,340",35.70,36.00,35.00,35.60,-1.5,49
107/10/12,47,"1,672",35.50,36.00,35.05,36.00,0.4,31
107/10/15,313,"11,112",35.25,36.00,35.20,35.90,-0.1,14
107/10/16,229,"8,123",35.50,36.30,35.50,36.30,0.4,23
107/10/17,28,"1,022",35.90,36.30,35.75,35.80,-0.5,27
107/10/18,2,72,35.80,35.80,35.80,35.80,0.0,1
107/10/19,283,"10,128",35.80,35.80,35.30,35.30,-0.5,15
107/10/22,5,178,35.50,35.50,35.50,35.50,0.2,2
107/10/23,0,0,--,--,--,--,0.0,0
107/10/24,13,465,35.95,35.95,35.05,35.15,-0.35,16
107/10/25,24,837,35.00,35.45,34.05,34.65,-0.5,19
107/10/26,16,552,34.50,34.85,34.30,34.35,-0.3,14
107/10/29,6,207,34.50,34.55,34.50,34.50,0.15,5
