date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,35,560,16.15,16.15,15.85,16.15,0.1,12
107/07/03,5,80,16.05,16.10,16.00,16.10,-0.05,4
107/07/04,24,391,16.10,16.50,15.95,16.50,0.4,16
107/07/05,41,651,16.05,16.30,15.80,16.30,-0.2,25
107/07/06,33,526,16.15,16.25,15.75,15.75,-0.55,22
107/07/09,7,111,15.55,15.85,15.55,15.85,0.1,8
107/07/10,10,158,15.85,15.85,15.65,15.65,-0.2,7
107/07/11,14,215,15.50,15.50,15.20,15.35,-0.3,11
107/07/12,21,322,15.30,15.40,15.15,15.40,0.05,11
107/07/13,7,108,15.35,15.40,15.35,15.40,0.0,5
107/07/16,13,210,15.45,15.90,15.40,15.90,0.5,9
107/07/17,3,49,16.20,16.20,16.20,16.20,0.3,2
107/07/18,5,81,15.90,16.15,15.90,16.15,-0.05,2
107/07/19,3,49,16.15,16.25,16.15,16.15,0.0,3
107/07/20,8,128,16.20,16.20,15.65,15.65,-0.5,7
107/07/23,4,62,15.75,15.75,15.35,15.35,-0.3,3
107/07/24,4,63,15.55,15.90,15.55,15.90,0.55,3
107/07/25,4,62,15.85,15.85,15.45,15.45,-0.45,4
107/07/26,14,214,15.50,15.65,15.10,15.65,0.2,9
107/07/27,1,16,15.60,15.60,15.60,15.60,-0.05,1
107/07/30,5,78,15.35,15.35,15.15,15.15,-0.45,5
107/07/31,8,122,15.20,15.40,15.20,15.40,0.25,3
107/08/01,3,46,15.25,15.30,15.25,15.25,-0.15,4
107/08/02,10,158,15.40,16.10,15.40,15.85,0.6,5
107/08/03,6,93,15.55,15.55,15.50,15.50,-0.35,3
107/08/06,105,"1,723",15.75,17.00,15.75,16.00,0.5,55
107/08/07,34,521,15.90,15.90,15.10,15.50,-0.5,14
107/08/08,5,78,15.55,15.60,15.45,15.45,-0.05,5
107/08/09,1,15,15.40,15.40,15.40,15.40,-0.05,1
107/08/10,33,529,15.45,16.90,15.30,16.85,1.45,27
107/08/13,47,745,16.15,16.15,15.45,15.50,-1.35,23
107/08/14,11,176,16.00,16.00,15.90,15.90,0.4,4
107/08/15,4,63,15.75,15.75,15.75,15.75,-0.15,2
107/08/16,2,31,15.60,15.60,15.60,15.60,-0.15,2
107/08/17,10,158,15.60,15.80,15.25,15.80,0.2,9
107/08/20,8,125,15.80,15.80,15.50,15.60,-0.2,8
107/08/21,5,77,15.35,15.35,15.30,15.35,-0.25,5
107/08/22,12,193,15.35,15.75,15.35,15.60,0.25,12
107/08/23,6,91,15.20,15.30,15.20,15.30,-0.3,5
107/08/24,2,32,16.00,16.00,16.00,16.00,0.7,2
107/08/27,1,16,15.90,15.90,15.90,15.90,-0.1,1
107/08/28,4,62,15.55,15.55,15.55,15.55,-0.35,3
107/08/29,93,"1,521",16.30,16.60,15.85,16.00,0.45,41
107/08/30,1,16,16.00,16.00,16.00,16.00,0.0,1
107/08/31,8,128,16.05,16.05,15.90,15.90,-0.1,6
107/09/03,2,33,16.20,16.20,16.20,16.20,0.3,3
107/09/04,11,174,15.85,15.85,15.80,15.80,-0.4,9
107/09/05,13,203,15.75,15.75,15.60,15.60,-0.2,7
107/09/06,1,16,15.60,15.60,15.60,15.60,0.0,1
107/09/07,7,113,15.60,15.70,15.45,15.60,0.0,8
107/09/10,5,77,15.45,15.60,15.40,15.60,0.0,5
107/09/11,8,122,15.15,15.50,15.10,15.50,-0.1,7
107/09/12,4,66,15.20,15.50,15.20,15.50,0.0,4
107/09/13,42,637,15.30,15.45,15.10,15.10,-0.4,20
107/09/14,16,242,15.40,15.40,15.10,15.15,0.05,8
107/09/17,14,213,15.20,15.20,15.15,15.15,0.0,4
107/09/18,15,227,15.25,15.25,15.10,15.10,-0.05,6
107/09/19,25,375,15.00,15.40,14.90,15.00,-0.1,13
107/09/20,1,15,14.95,14.95,14.95,14.95,-0.05,1
107/09/21,5,75,14.95,15.15,14.95,15.15,0.2,5
107/09/25,4,62,15.15,15.25,15.15,15.25,0.1,4
107/09/26,25,374,15.00,15.25,14.80,15.25,0.0,13
107/09/27,6,90,15.00,15.00,14.95,14.95,-0.3,5
