date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"19,657","1,881,909",95.9,95.9,95.5,95.6,-0.10,23
107/07/03,"87,000","8,329,400",96.1,96.5,95.0,95.0,-0.60,51
107/07/04,"38,019","3,589,822",94.5,95.0,94.2,95.0, 0.00,20
107/07/05,"7,300","691,000",94.6,94.9,94.6,94.6,-0.40,12
107/07/06,"50,000","4,719,000",94.6,94.6,94.3,94.5,-0.10,18
107/07/09,"24,052","2,277,940",94.1,95.5,94.1,94.7,+0.20,20
107/07/10,"27,300","2,584,350",94.7,94.8,94.5,94.5,-0.20,21
107/07/11,"30,520","2,903,287",94.5,96.0,94.1,95.0,+0.50,31
107/07/12,"46,580","4,213,790",90.5,90.7,90.1,90.5,X0.00,47
107/07/13,"37,263","3,393,389",90.5,91.6,90.5,91.4,+0.90,31
107/07/16,"25,107","2,289,401",91.4,91.4,91.0,91.3,-0.10,19
107/07/17,"16,712","1,527,406",91.4,91.5,91.3,91.3, 0.00,17
107/07/18,"29,870","2,721,446",91.3,91.9,90.8,90.9,-0.40,28
107/07/19,"32,576","2,963,028",91.1,91.1,90.8,91.0,+0.10,21
107/07/20,"27,001","2,458,390",91.0,91.3,90.6,91.1,+0.10,19
107/07/23,"26,000","2,360,200",91.2,91.2,90.5,90.6,-0.50,23
107/07/24,"8,044","728,786",90.6,90.6,90.6,90.6, 0.00,9
107/07/25,"7,000","638,900",91.5,91.5,91.1,91.2,+0.60,6
107/07/26,"17,164","1,558,371",90.8,91.0,90.7,91.0,-0.20,14
107/07/27,"14,135","1,286,185",91.0,91.1,90.9,91.1,+0.10,17
107/07/30,"27,050","2,467,055",91.0,92.0,91.0,91.5,+0.40,22
107/07/31,"16,000","1,465,000",91.5,91.8,91.5,91.8,+0.30,8
107/08/01,"15,783","1,447,953",92.0,92.0,91.7,91.7,-0.10,17
107/08/02,"24,000","2,191,100",91.7,91.7,90.4,91.0,-0.70,20
