date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"1,978","76,944",39.9,40.6,37.8,38.5,-0.75,"1,229"
107/07/03,"1,652","63,852",39.4,40.0,37.1,37.6,-0.9,"1,030"
107/07/04,"1,736","65,854",37.65,39.15,37.05,37.6,0.0,"1,088"
107/07/05,"2,312","88,997",38.15,39.6,37.5,37.7,0.1,"1,457"
107/07/06,"2,093","78,563",37.9,39.0,35.5,39.0,1.3,"1,304"
107/07/09,"3,425","136,672",39.9,41.4,38.2,39.2,0.2,"2,059"
107/07/10,"2,904","116,706",39.2,41.1,38.5,40.1,0.9,"1,699"
107/07/11,"1,500","59,727",39.3,40.6,39.05,39.8,-0.3,916
107/07/12,"4,640","192,879",40.2,42.5,39.55,42.5,2.7,"2,610"
107/07/13,"3,314","141,103",43.1,43.85,41.5,42.1,-0.4,"2,192"
107/07/16,"1,136","47,852",42.4,42.8,41.6,41.65,-0.45,793
107/07/17,"9,973","448,366",42.0,45.8,42.0,45.8,4.15,"5,299"
107/07/18,"4,649","205,883",45.0,45.5,43.3,43.95,-1.85,"2,939"
107/07/19,"2,560","113,550",43.6,45.15,43.5,43.5,-0.45,"1,726"
107/07/20,"3,484","141,612",43.95,44.25,39.15,39.15,-4.35,"2,254"
107/07/23,"2,543","93,464",38.4,38.65,35.3,36.45,-2.7,"1,657"
107/07/24,809,"29,673",36.9,37.1,36.15,36.55,0.1,564
107/07/25,839,"30,915",36.7,37.2,36.4,37.0,0.45,519
107/07/26,501,"18,641",37.45,37.5,37.0,37.2,0.2,346
107/07/27,475,"17,774",37.5,37.9,37.05,37.05,-0.15,348
107/07/30,766,"27,312",37.2,37.3,34.85,34.85,-2.2,554
107/07/31,291,"10,170",34.85,35.3,34.55,34.9,0.05,224
107/08/01,605,"21,631",35.15,36.25,35.15,35.5,0.6,440
107/08/02,537,"18,698",36.1,36.1,34.3,34.5,-1.0,410
107/08/03,337,"11,627",34.5,34.8,34.2,34.5,0.0,229
