date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"70,254","17,793,142",252.5,255.0,252.0,252.0,-0.50,71
107/07/03,"67,220","16,969,708",252.0,253.0,252.0,252.5,+0.50,69
107/07/04,"117,291","29,792,348",253.0,255.0,252.5,255.0,+2.50,104
107/07/05,"66,300","16,793,347",255.0,255.0,252.5,252.5,-2.50,68
107/07/06,"153,491","39,114,696",253.0,256.0,253.0,255.0,+2.50,153
107/07/09,"197,500","50,469,000",256.0,256.0,253.5,254.5,-0.50,69
107/07/10,"50,045","12,756,565",254.5,256.5,253.0,255.5,+1.00,52
107/07/11,"144,102","36,435,061",254.5,254.5,251.5,252.0,-3.50,117
107/07/12,"49,260","12,468,930",254.0,254.0,252.5,253.0,+1.00,43
107/07/13,"119,719","30,823,721",254.0,259.5,254.0,258.0,+5.00,115
107/07/16,"127,923","33,524,249",262.5,263.5,260.0,263.0,+5.00,125
107/07/17,"49,270","12,881,645",263.0,263.0,260.0,261.0,-2.00,52
107/07/18,"80,550","21,137,474",262.0,264.0,261.0,264.0,+3.00,86
107/07/19,"47,700","12,562,448",264.0,265.0,262.0,262.0,-2.00,54
107/07/20,"138,079","35,894,315",261.5,261.5,258.5,261.0,-1.00,117
107/07/23,"69,060","17,898,189",261.0,262.0,258.0,258.0,-3.00,61
107/07/24,"46,062","11,913,775",258.0,259.5,258.0,259.0,+1.00,44
107/07/25,"59,140","15,288,180",259.5,260.0,257.5,259.0, 0.00,61
107/07/26,"55,002","14,219,530",261.0,261.0,257.5,257.5,-1.50,54
107/07/27,"20,095","5,186,890",259.0,259.0,257.5,258.5,+1.00,23
107/07/30,"82,135","21,367,005",258.5,261.0,258.5,260.5,+2.00,68
107/07/31,"89,331","23,297,208",261.0,262.5,260.0,261.0,+0.50,85
107/08/01,"126,444","33,255,048",262.0,264.0,261.5,264.0,+3.00,123
107/08/02,"135,461","35,635,204",264.0,264.0,261.5,263.0,-1.00,132
107/08/03,"102,455","26,779,075",263.0,263.0,260.5,261.5,-1.50,97
107/08/06,"43,213","11,321,232",262.0,262.5,261.5,261.5, 0.00,50
107/08/07,"105,470","27,765,580",262.5,264.0,262.5,263.5,+2.00,90
107/08/08,"160,250","42,461,000",264.5,265.5,264.0,265.5,+2.00,142
107/08/09,"94,872","25,179,952",265.5,266.0,265.0,266.0,+0.50,110
107/08/10,"146,603","38,922,310",266.0,266.0,265.0,266.0, 0.00,143
107/08/13,"134,151","35,444,770",265.0,265.5,263.0,264.5,-1.50,127
