date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"664,458","258,896,578",391.50,397.00,383.00,389.50,-0.50,628
107/07/03,"486,270","189,745,851",391.00,397.00,386.00,387.00,-2.50,482
107/07/04,"521,148","202,964,016",387.00,392.00,383.00,392.00,+5.00,491
107/07/05,"1,794,863","713,135,364",393.00,413.00,373.50,380.50,-11.50,"1,587"
107/07/06,"598,545","227,639,735",383.50,392.00,373.00,383.00,+2.50,543
107/07/09,"859,523","331,328,382",383.00,393.00,375.50,375.50,-7.50,722
107/07/10,"257,572","98,217,792",379.00,384.50,377.00,384.00,+8.50,231
107/07/11,"113,416","43,186,872",379.00,383.00,379.00,379.00,-5.00,118
107/07/12,"455,973","176,769,426",378.50,391.50,378.50,391.50,+12.50,401
107/07/13,"714,359","280,344,023",392.50,397.00,385.00,397.00,+5.50,605
107/07/16,"1,042,342","419,310,484",399.00,407.50,397.50,402.00,+5.00,876
107/07/17,"762,221","305,106,443",405.00,405.00,396.00,402.50,+0.50,660
107/07/18,"1,285,438","445,783,420",349.50,357.00,339.00,339.00,X0.00,"1,144"
107/07/19,"793,658","276,072,142",343.50,355.00,339.50,349.00,+10.00,687
107/07/20,"857,734","297,615,560",350.00,355.00,340.00,340.00,-9.00,783
107/07/23,"1,729,608","540,177,980",340.00,340.00,306.00,306.00,-34.00,"1,396"
107/07/24,"941,492","297,097,432",308.00,321.00,308.00,319.00,+13.00,797
107/07/25,"1,219,100","377,595,800",314.00,314.50,306.50,313.00,-6.00,"1,021"
107/07/26,"412,600","129,216,000",312.00,316.50,309.50,313.50,+0.50,366
107/07/27,"404,300","126,686,600",314.50,315.50,310.50,315.00,+1.50,353
107/07/30,"496,493","153,947,295",315.00,315.00,308.00,308.50,-6.50,468
107/07/31,"375,502","116,545,678",311.00,312.00,308.50,311.50,+3.00,340
107/08/01,"568,100","179,287,500",312.00,318.00,312.00,315.00,+3.50,493
107/08/02,"506,046","157,216,128",315.50,315.50,307.00,311.50,-3.50,449
107/08/03,"316,550","97,947,900",311.50,311.50,308.00,308.50,-3.00,265
107/08/06,"250,487","77,396,905",308.00,311.00,308.00,308.50, 0.00,213
107/08/07,"419,541","131,958,579",308.50,317.50,308.50,317.00,+8.50,402
107/08/08,"370,702","116,368,226",318.00,320.50,310.50,311.00,-6.00,338
107/08/09,"145,603","45,235,739",312.50,312.50,310.00,310.00,-1.00,143
107/08/10,"2,011,369","575,923,665",294.00,294.00,280.00,282.00,-28.00,"1,678"
107/08/13,"1,402,418","380,073,614",280.00,280.50,264.00,268.00,-14.00,"1,159"
107/08/14,"1,108,086","289,757,784",269.00,270.00,256.00,263.00,-5.00,892
107/08/15,"976,976","258,504,828",265.00,271.00,260.00,261.50,-1.50,867
107/08/16,"459,405","120,677,457",261.50,266.00,256.00,265.00,+3.50,379
107/08/17,"690,999","186,317,229",267.00,274.00,266.50,268.00,+3.00,627
107/08/20,"666,072","173,516,748",265.00,265.00,258.50,260.50,-7.50,608
107/08/21,"662,560","177,564,159",259.00,273.00,259.00,271.00,+10.50,614
107/08/22,"614,094","163,938,568",273.00,273.00,263.50,267.50,-3.50,558
107/08/23,"293,706","77,653,883",268.50,269.00,262.00,263.50,-4.00,267
107/08/24,"251,423","66,871,498",263.50,268.50,262.00,267.00,+3.50,232
107/08/27,"265,370","71,118,900",269.00,270.50,265.00,268.50,+1.50,222
107/08/28,"320,299","86,752,828",269.00,273.50,268.50,270.50,+2.00,289
107/08/29,"305,609","83,581,975",270.50,275.50,270.00,274.00,+3.50,283
107/08/30,"356,995","96,000,640",274.50,274.50,266.00,270.50,-3.50,332
107/08/31,"255,536","67,822,112",268.00,270.00,263.00,265.00,-5.50,246
107/09/03,"398,345","104,722,425",264.50,269.00,260.00,260.50,-4.50,361
107/09/04,"421,528","109,584,392",259.00,262.00,258.00,261.50,+1.00,388
107/09/05,"388,700","103,100,700",261.50,267.50,260.00,264.50,+3.00,320
107/09/06,"189,500","49,553,500",264.50,264.50,260.00,261.00,-3.50,166
