date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"274,000","46,007,000",168.5,168.5,166.0,166.0,-1.00,82
107/07/03,"343,083","56,466,606",165.5,166.5,162.5,165.5,-0.50,163
107/07/04,"456,000","74,027,500",162.5,163.0,161.5,162.0,X0.00,143
107/07/05,"131,000","21,058,500",160.5,162.0,159.5,161.0,-1.00,87
107/07/06,"154,000","24,206,500",161.0,161.0,152.0,159.5,-1.50,129
107/07/09,"90,050","14,283,950",159.0,159.5,157.5,159.0,-0.50,52
107/07/10,"181,000","28,300,500",159.0,159.0,154.5,158.0,-1.00,140
107/07/11,"44,000","6,889,500",156.0,157.5,155.5,157.5,-0.50,35
107/07/12,"95,000","14,940,000",156.0,158.5,156.0,158.5,+1.00,59
107/07/13,"110,100","17,504,850",158.5,160.0,158.0,160.0,+1.50,62
107/07/16,"78,050","12,453,000",159.5,160.5,158.5,160.5,+0.50,60
107/07/17,"97,000","15,488,500",159.0,160.5,159.0,160.5, 0.00,55
107/07/18,"185,000","29,567,000",160.5,161.5,157.5,160.0,-0.50,116
107/07/19,"41,850","6,689,225",160.5,160.5,159.0,160.0, 0.00,39
107/07/20,"48,000","7,645,500",160.0,160.0,158.5,159.5,-0.50,40
107/07/23,"55,500","8,793,250",160.5,160.5,157.0,158.5,-1.00,52
107/07/24,"148,073","23,209,350",158.0,158.0,156.0,157.0,-1.50,78
107/07/25,"46,267","7,266,152",157.0,158.0,156.5,157.0, 0.00,38
107/07/26,"69,261","10,859,216",156.5,158.0,156.0,157.5,+0.50,65
107/07/27,"338,745","54,311,680",158.0,164.0,157.0,163.0,+5.50,246
107/07/30,"220,131","35,363,853",161.0,161.5,159.5,160.5,-2.50,173
107/07/31,"121,195","19,520,076",161.0,162.0,160.5,161.0,+0.50,107
107/08/01,"184,783","29,827,129",161.0,162.0,160.5,162.0,+1.00,138
107/08/02,"277,261","44,465,282",162.0,162.0,158.5,161.0,-1.00,220
107/08/03,"206,065","33,157,725",161.0,161.5,160.0,161.0, 0.00,156
107/08/06,"156,000","25,086,000",161.0,161.5,160.0,161.0, 0.00,108
107/08/07,"113,000","18,179,500",161.0,161.0,160.5,161.0, 0.00,92
107/08/08,"542,000","88,641,000",162.0,167.5,161.5,162.5,+1.50,408
107/08/09,"172,060","27,755,780",163.0,163.0,160.5,160.5,-2.00,144
107/08/10,"707,445","111,945,200",159.0,159.5,157.0,158.5,-2.00,570
107/08/13,"498,400","77,127,700",158.0,158.0,151.0,156.5,-2.00,422
107/08/14,"158,446","24,686,689",155.5,157.0,154.5,157.0,+0.50,133
107/08/15,"114,327","17,875,820",157.0,157.0,155.5,156.0,-1.00,100
107/08/16,"174,103","27,305,774",156.0,158.0,155.0,157.0,+1.00,148
107/08/17,"103,821","16,312,897",157.5,157.5,156.5,157.0, 0.00,94
107/08/20,"216,861","33,895,883",157.0,157.5,154.5,155.0,-2.00,158
107/08/21,"76,355","11,832,800",155.0,156.0,154.5,155.5,+0.50,70
107/08/22,"57,914","8,960,882",155.0,155.5,154.5,155.0,-0.50,59
107/08/23,"86,513","13,504,528",157.0,157.0,155.5,156.0,+1.00,75
107/08/24,"94,870","14,676,590",155.0,155.5,154.0,155.5,-0.50,54
107/08/27,"47,060","7,291,300",154.5,155.5,154.5,155.5, 0.00,43
107/08/28,"80,019","12,417,483",155.5,155.5,154.5,155.5, 0.00,73
107/08/29,"84,088","13,098,772",155.5,156.0,155.5,156.0,+0.50,72
107/08/30,"67,029","10,452,082",156.0,156.5,155.5,156.5,+0.50,45
107/08/31,"170,000","26,422,000",156.5,156.5,155.0,156.0,-0.50,102
107/09/03,"111,165","17,263,740",156.0,156.0,154.5,155.5,-0.50,69
107/09/04,"103,000","15,892,000",155.0,155.0,153.5,154.5,-1.00,73
107/09/05,"192,315","29,358,981",153.5,154.0,151.0,154.0,-0.50,163
107/09/06,"83,309","12,701,431",154.0,154.0,151.5,153.0,-1.00,61
107/09/07,"236,078","35,286,356",151.5,152.5,147.5,151.0,-2.00,200
107/09/10,"264,557","38,543,656",148.5,149.0,143.0,147.0,-4.00,204
107/09/11,"323,619","46,341,612",144.5,147.0,141.5,145.0,-2.00,240
107/09/12,"319,070","45,154,860",144.0,145.0,139.0,142.5,-2.50,230
107/09/13,"122,965","17,435,476",141.0,142.5,140.5,142.5, 0.00,109
107/09/14,"133,062","19,194,114",142.0,146.0,142.0,146.0,+3.50,96
107/09/17,"75,047","10,913,409",146.0,146.5,144.0,146.0, 0.00,67
107/09/18,"64,000","9,274,000",145.0,146.0,144.0,145.5,-0.50,58
107/09/19,"106,024","15,674,588",146.0,149.0,146.0,149.0,+3.50,100
107/09/20,"56,000","8,278,000",149.0,149.0,147.0,147.5,-1.50,48
107/09/21,"88,050","12,967,900",148.0,148.5,146.5,147.5, 0.00,68
107/09/25,"89,000","12,909,000",147.0,147.0,144.0,144.5,-3.00,74
107/09/26,"71,010","10,245,470",144.5,145.0,143.5,144.5, 0.00,55
107/09/27,"65,100","9,404,700",145.0,145.5,143.5,145.5,+1.00,59
107/09/28,"92,000","13,273,500",145.5,146.0,143.0,145.5, 0.00,77
107/10/01,"37,196","5,413,812",145.5,146.0,145.0,146.0,+0.50,36
107/10/02,"70,053","10,192,185",146.0,146.0,145.0,146.0, 0.00,73
107/10/03,"71,096","10,258,967",146.0,146.0,144.0,144.0,-2.00,59
107/10/04,"69,100","9,951,000",144.0,145.0,143.0,145.0,+1.00,60
107/10/05,"298,254","42,059,449",144.5,144.5,138.5,143.5,-1.50,209
107/10/08,"156,311","22,098,473",141.5,143.5,140.0,143.0,-0.50,128
107/10/09,"219,451","30,678,091",142.0,142.0,138.5,140.5,-2.50,133
107/10/11,"256,050","32,550,350",131.0,131.0,126.5,126.5,-14.00,118
107/10/12,"1,318,657","154,434,811",120.5,126.5,114.0,122.5,-4.00,958
107/10/15,"388,510","46,246,200",120.5,121.0,118.0,119.0,-3.50,316
107/10/16,"296,000","35,552,500",119.0,123.0,118.0,122.5,+3.50,229
107/10/17,"114,130","14,140,880",124.5,126.0,123.0,124.0,+1.50,94
107/10/18,"413,300","49,399,300",122.0,124.0,117.0,120.0,-4.00,309
107/10/19,"460,000","52,892,000",118.0,118.0,113.0,114.5,-5.50,366
107/10/22,"265,956","30,376,396",114.5,115.5,113.0,115.5,+1.00,220
107/10/23,"182,000","20,684,500",114.0,114.5,113.0,114.5,-1.00,153
107/10/24,"176,016","19,998,356",113.0,114.5,113.0,114.5, 0.00,140
107/10/25,"299,327","32,734,133",109.5,111.0,107.5,108.0,-6.50,231
107/10/26,"293,130","31,503,800",108.5,110.0,105.5,105.5,-2.50,197
107/10/29,"415,130","42,062,020",106.0,106.0,99.9,101.5,-4.00,288
107/10/30,"302,000","31,012,900",101.0,107.0,98.1,106.0,+4.50,264
107/10/31,"226,000","24,723,500",107.0,112.0,107.0,110.5,+4.50,188
107/11/01,"101,000","11,151,500",110.0,111.5,109.5,110.5, 0.00,91
107/11/02,"228,000","25,941,500",111.5,115.5,111.5,114.5,+4.00,180
107/11/05,"67,500","7,660,250",114.0,114.0,112.5,114.0,-0.50,66
107/11/06,"144,000","16,088,000",114.0,114.0,110.0,111.5,-2.50,111
107/11/07,"73,150","8,261,400",111.5,114.0,111.5,114.0,+2.50,66
