date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"4,408,970","199,240,142",45.5,45.7,44.9,44.9,-1.10,"2,607"
107/07/03,"2,835,620","126,485,059",44.35,44.9,44.3,44.6,-0.30,"2,076"
107/07/04,"2,361,909","105,947,105",44.4,45.1,44.4,45.05,+0.45,"1,666"
107/07/05,"6,165,635","269,377,174",45.5,45.5,42.85,43.0,-2.05,"2,690"
107/07/06,"8,333,801","343,550,667",43.0,43.0,40.4,41.1,-1.90,"3,964"
107/07/09,"5,099,557","215,885,623",41.75,43.0,40.75,42.7,+1.60,"3,653"
107/07/10,"5,299,709","231,170,796",42.85,44.0,42.4,43.95,+1.25,"3,787"
107/07/11,"4,343,929","185,118,571",43.05,43.2,42.0,42.5,-1.45,"3,106"
107/07/12,"4,958,616","214,539,183",42.3,43.8,42.05,43.75,+1.25,"3,710"
107/07/13,"3,713,388","162,600,226",43.7,44.2,43.2,43.95,+0.20,"2,032"
107/07/16,"1,587,673","69,120,302",43.6,43.85,43.4,43.45,-0.50,676
107/07/17,"3,407,941","145,727,822",43.05,43.4,42.2,42.65,-0.80,"2,295"
107/07/18,"2,458,257","106,211,047",43.1,43.5,42.8,43.35,+0.70,"1,482"
107/07/19,"3,705,169","158,138,581",43.3,43.3,42.45,42.55,-0.80,"1,972"
107/07/20,"2,782,946","118,111,299",42.65,43.0,42.2,42.5,-0.05,"1,086"
107/07/23,"3,341,066","143,702,688",42.35,43.3,42.25,43.1,+0.60,"1,746"
107/07/24,"3,278,278","139,270,941",42.7,42.95,42.15,42.65,-0.45,"1,803"
107/07/25,"3,292,185","139,865,147",42.4,42.75,42.3,42.65, 0.00,"2,297"
107/07/26,"3,320,420","142,179,612",42.9,43.35,42.4,43.35,+0.70,"1,511"
107/07/27,"3,246,282","140,724,839",43.1,43.7,42.95,43.6,+0.25,"1,735"
107/07/30,"2,194,659","95,666,523",43.35,43.8,43.05,43.8,+0.20,"1,166"
107/07/31,"4,407,265","191,520,224",43.7,43.8,43.2,43.65,-0.15,"2,654"
107/08/01,"3,275,386","141,954,146",43.6,43.65,43.2,43.55,-0.10,"2,479"
107/08/02,"2,497,074","107,737,884",43.45,43.55,42.85,43.1,-0.45,"1,305"
107/08/03,"1,555,905","67,043,651",43.1,43.35,43.0,43.0,-0.10,979
107/08/06,"1,514,842","65,702,424",43.0,43.5,43.0,43.5,+0.50,"1,070"
107/08/07,"4,034,145","179,702,770",43.55,45.15,43.5,44.75,+1.25,"2,880"
107/08/08,"5,594,099","245,115,873",44.6,44.6,43.6,43.7,-1.05,"3,180"
107/08/09,"3,461,058","152,329,398",43.5,44.35,43.5,44.25,+0.55,"1,969"
107/08/10,"3,443,065","152,846,629",43.85,44.8,43.75,44.45,+0.20,"1,990"
107/08/13,"4,538,342","196,989,836",44.45,44.45,42.75,43.5,-0.95,"2,024"
107/08/14,"3,481,462","151,477,096",43.4,44.15,43.0,44.15,+0.65,"2,074"
107/08/15,"9,036,907","381,954,244",43.55,43.6,41.55,41.8,-2.35,"4,338"
107/08/16,"4,762,833","199,799,859",41.95,42.3,41.3,42.0,+0.20,"2,808"
107/08/17,"3,346,403","141,395,999",42.25,42.6,42.0,42.15,+0.15,"1,872"
107/08/20,"2,810,052","118,134,088",42.15,42.3,41.8,42.15, 0.00,"1,786"
107/08/21,"4,903,113","209,209,229",42.15,42.95,41.9,42.95,+0.80,"2,279"
107/08/22,"3,243,878","132,747,198",41.2,41.2,40.75,40.8,X0.00,"1,358"
107/08/23,"1,855,008","75,727,128",40.8,40.95,40.45,40.9,+0.10,"1,177"
107/08/24,"2,191,204","88,263,549",40.7,40.75,40.05,40.3,-0.60,"1,181"
107/08/27,"1,635,626","66,078,916",40.35,40.6,40.15,40.25,-0.05,969
107/08/28,"2,196,667","89,588,216",40.45,40.9,40.45,40.9,+0.65,"1,301"
107/08/29,"2,823,785","115,790,585",40.75,41.25,40.5,41.0,+0.10,"2,215"
107/08/30,"1,631,402","66,419,232",41.0,41.0,40.45,40.65,-0.35,"1,142"
107/08/31,"3,011,434","123,077,780",40.6,41.1,40.5,41.1,+0.45,"1,185"
107/09/03,"1,312,100","53,189,786",40.95,40.95,40.35,40.45,-0.65,800
107/09/04,"998,577","40,579,412",40.45,40.8,40.45,40.65,+0.20,567
107/09/05,"3,157,039","126,742,160",40.5,40.75,39.9,39.9,-0.75,"1,712"
107/09/06,"2,332,222","92,146,956",39.65,39.9,39.3,39.3,-0.60,"1,377"
107/09/07,"2,886,783","114,384,924",39.4,40.2,39.3,39.35,+0.05,"1,512"
107/09/10,"1,763,830","68,752,083",39.35,39.35,38.8,39.0,-0.35,"1,082"
107/09/11,"3,174,394","122,072,320",39.0,39.15,38.2,38.45,-0.55,"2,314"
107/09/12,"2,693,164","103,351,134",38.5,38.8,38.05,38.7,+0.25,"1,430"
107/09/13,"2,860,353","109,655,736",38.8,38.8,38.15,38.15,-0.55,"1,784"
