date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"40,605,030","567,506,915",14.9,15.05,13.3,13.7,-0.95,"10,084"
107/07/03,"31,050,898","434,002,376",14.15,14.45,13.5,13.65,-0.05,"8,308"
107/07/04,"58,356,499","801,291,529",13.5,14.9,12.35,14.35,+0.70,"13,173"
107/07/05,"29,185,086","414,367,902",14.25,14.75,13.75,13.85,-0.50,"7,655"
107/07/06,"29,402,291","402,877,286",13.9,14.3,13.15,13.95,+0.10,"7,832"
107/07/09,"14,745,524","204,083,140",14.1,14.15,13.5,13.7,-0.25,"3,902"
107/07/10,"38,910,500","572,349,985",13.9,15.05,13.75,15.05,+1.35,"9,123"
107/07/11,"70,795,767","1,108,903,019",14.7,16.5,14.55,15.55,+0.50,"17,006"
107/07/12,"33,987,207","535,336,278",15.4,16.15,15.3,15.6,+0.05,"8,533"
107/07/13,"49,399,560","801,383,696",15.9,16.9,15.6,16.75,+1.15,"13,033"
107/07/16,"44,521,376","743,413,982",16.65,17.2,16.1,16.15,-0.60,"11,857"
107/07/17,"35,694,826","560,700,638",16.15,16.3,15.2,15.5,-0.65,"9,873"
107/07/18,"30,896,380","470,264,361",15.8,15.8,14.75,14.9,-0.60,"8,661"
107/07/19,"35,357,780","546,361,564",14.9,16.0,14.85,15.4,+0.50,"9,377"
107/07/20,"32,830,697","483,341,787",15.25,15.5,14.0,14.45,-0.95,"9,334"
107/07/23,"39,828,126","570,111,093",14.35,15.25,13.35,14.9,+0.45,"10,127"
107/07/24,"23,456,216","352,410,540",14.9,15.35,14.6,15.0,+0.10,"6,920"
107/07/25,"15,062,747","225,781,465",15.15,15.25,14.85,14.85,-0.15,"3,838"
107/07/26,"15,836,405","233,240,756",14.85,15.05,14.55,14.6,-0.25,"4,081"
107/07/27,"17,656,008","265,393,200",14.8,15.3,14.65,15.2,+0.60,"5,078"
107/07/30,"18,247,651","274,226,847",15.15,15.65,14.6,14.65,-0.55,"5,013"
107/07/31,"11,911,452","173,205,914",14.65,14.85,14.2,14.7,+0.05,"3,444"
107/08/01,"17,104,412","256,190,358",14.7,15.2,14.7,15.1,+0.40,"4,319"
107/08/02,"18,111,182","260,061,506",15.1,15.1,14.0,14.05,-1.05,"6,378"
107/08/03,"20,987,625","285,800,833",14.2,14.3,13.0,13.9,-0.15,"6,809"
