date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"752,589","29,094,921",38.6,38.9,38.5,38.8,+0.20,544
107/07/03,"830,435","32,013,628",38.8,39.0,38.15,38.15,-0.65,562
107/07/04,"515,721","19,760,145",38.2,38.4,38.2,38.35,+0.20,371
107/07/05,"1,671,303","63,380,511",38.4,38.55,37.2,37.35,-1.00,"1,014"
107/07/06,"3,516,090","126,375,265",37.4,37.6,35.2,35.5,-1.85,"2,208"
107/07/09,"3,274,349","116,858,768",35.1,36.85,35.1,36.75,+1.25,"1,356"
107/07/10,"2,424,555","86,580,230",36.3,36.3,35.25,35.8,-0.95,"1,435"
107/07/11,"1,394,021","49,939,506",35.8,36.05,35.3,35.8, 0.00,858
107/07/12,"939,000","33,584,000",35.8,36.0,35.55,35.65,-0.15,661
107/07/13,"1,238,800","44,545,099",35.8,36.1,35.75,35.95,+0.30,798
107/07/16,"3,271,227","124,882,703",36.1,38.75,36.1,38.35,+2.40,"2,048"
107/07/17,"2,122,777","81,349,262",38.65,39.3,37.7,38.0,-0.35,"1,304"
107/07/18,"1,025,236","39,166,261",37.95,38.5,37.95,38.2,+0.20,813
107/07/19,"1,744,901","67,233,050",38.5,38.85,38.2,38.25,+0.05,"1,033"
107/07/20,"1,248,801","48,410,235",38.2,39.0,38.2,38.75,+0.50,751
107/07/23,"1,400,794","54,430,354",38.8,39.25,38.45,38.55,-0.20,847
107/07/24,"1,630,697","63,219,457",38.65,39.0,38.55,38.85,+0.30,"1,137"
107/07/25,"1,558,401","61,134,507",39.15,39.6,38.7,39.3,+0.45,"1,003"
107/07/26,"2,410,885","95,448,630",39.5,39.85,39.1,39.75,+0.45,"1,303"
107/07/27,"1,949,008","77,183,663",39.75,39.95,39.45,39.5,-0.25,939
107/07/30,"4,404,414","174,572,010",39.7,40.0,39.4,39.9,+0.40,"2,062"
107/07/31,"2,368,723","89,847,518",37.7,38.1,37.7,38.05,X0.00,"1,324"
107/08/01,"1,442,473","54,754,524",38.1,38.2,37.8,37.85,-0.20,848
107/08/02,"1,358,096","50,814,353",37.9,37.9,37.0,37.1,-0.75,855
107/08/03,"1,389,079","51,764,699",37.15,37.7,37.1,37.2,+0.10,616
107/08/06,"1,535,496","57,683,645",37.25,38.05,37.2,37.95,+0.75,878
107/08/07,"1,064,608","40,459,848",38.1,38.35,37.7,38.2,+0.25,694
107/08/08,"736,521","28,234,958",38.3,38.55,38.2,38.2, 0.00,445
107/08/09,"925,430","34,938,250",38.15,38.15,37.65,37.65,-0.55,517
107/08/10,"1,029,472","38,616,920",37.65,38.0,37.2,37.3,-0.35,696
107/08/13,"2,173,400","78,539,478",37.25,37.25,35.4,35.9,-1.40,"1,374"
107/08/14,"1,200,662","43,237,940",35.9,36.55,35.55,36.35,+0.45,763
107/08/15,"2,091,411","77,110,179",36.55,37.2,36.55,36.9,+0.55,"1,223"
107/08/16,"1,530,500","55,970,872",36.75,37.15,35.9,36.4,-0.50,"1,031"
107/08/17,"919,007","33,887,259",36.4,37.05,36.4,36.95,+0.55,628
107/08/20,"1,147,244","41,591,581",36.95,36.95,36.05,36.05,-0.90,822
107/08/21,"998,461","35,811,588",36.05,36.05,35.7,35.85,-0.20,640
107/08/22,"664,676","23,850,538",35.95,36.2,35.75,35.8,-0.05,443
107/08/23,"3,420,770","126,561,746",35.85,37.45,35.85,37.35,+1.55,"1,778"
107/08/24,"1,676,031","62,125,929",37.35,37.65,36.3,37.65,+0.30,"1,017"
107/08/27,"1,238,206","46,816,559",37.85,38.1,37.55,37.9,+0.25,654
107/08/28,"751,863","28,487,684",38.0,38.0,37.7,38.0,+0.10,477
107/08/29,"644,047","24,352,436",38.0,38.15,37.65,37.65,-0.35,372
107/08/30,"756,321","28,662,647",37.75,38.15,37.5,37.85,+0.20,434
107/08/31,"456,826","17,316,270",38.0,38.0,37.65,37.95,+0.10,326
107/09/03,"2,623,488","101,345,303",38.0,38.9,37.95,38.7,+0.75,"1,503"
107/09/04,"2,063,140","80,355,040",39.0,39.45,38.55,38.65,-0.05,"1,013"
107/09/05,"1,565,569","60,973,964",38.75,39.25,38.65,38.7,+0.05,807
107/09/06,"1,453,175","55,361,104",38.6,38.65,37.7,37.8,-0.90,836
107/09/07,"1,376,965","51,866,816",37.8,38.4,37.1,37.85,+0.05,887
107/09/10,"1,134,597","42,610,752",37.9,37.95,37.2,37.45,-0.40,742
107/09/11,"1,256,400","47,612,028",37.25,38.5,37.2,38.3,+0.85,815
107/09/12,"993,932","37,596,808",38.3,38.45,37.65,37.8,-0.50,652
107/09/13,"625,230","23,664,515",37.8,38.2,37.5,37.7,-0.10,483
107/09/14,"1,434,102","54,955,446",38.45,38.85,37.95,38.1,+0.40,875
107/09/17,"3,068,823","119,834,500",38.5,39.45,38.25,39.1,+1.00,"1,620"
107/09/18,"4,618,954","183,866,260",38.95,40.35,38.8,39.85,+0.75,"2,633"
107/09/19,"2,295,302","91,164,351",40.0,40.45,39.05,39.35,-0.50,"1,402"
107/09/20,"1,597,200","62,010,517",39.25,39.25,38.45,38.75,-0.60,828
107/09/21,"1,128,600","43,626,369",38.85,38.95,38.3,38.65,-0.10,568
107/09/25,"1,398,682","54,251,514",38.75,39.4,38.4,38.4,-0.25,849
107/09/26,"284,597","10,977,311",38.5,38.75,38.5,38.55,+0.15,213
107/09/27,"820,531","31,369,577",38.55,38.65,38.1,38.1,-0.45,559
107/09/28,"1,086,200","41,054,478",38.1,38.35,37.6,37.65,-0.45,634
107/10/01,"454,161","17,192,918",37.6,38.1,37.6,38.0,+0.35,301
107/10/02,"336,788","12,780,765",38.0,38.3,37.8,37.85,-0.15,261
107/10/03,"1,077,016","40,305,543",37.85,37.85,37.2,37.3,-0.55,633
107/10/04,"1,412,004","51,972,800",37.0,37.0,36.6,37.0,-0.30,802
107/10/05,"2,078,080","75,430,981",36.7,36.7,36.0,36.7,-0.30,"1,260"
107/10/08,"769,945","28,039,380",36.2,37.15,36.2,36.3,-0.40,493
107/10/09,"833,455","30,077,707",36.25,36.45,35.8,36.25,-0.05,550
107/10/11,"3,620,649","118,926,867",34.0,34.0,32.65,32.7,-3.55,"1,721"
107/10/12,"1,100,920","36,111,681",32.0,33.4,31.85,33.15,+0.45,720
107/10/15,"833,026","28,025,160",33.15,33.9,33.15,33.7,+0.55,573
107/10/16,"650,187","22,185,354",33.7,34.8,33.5,34.2,+0.50,438
107/10/17,"539,003","18,568,352",34.6,34.75,34.0,34.05,-0.15,353
107/10/18,"420,133","14,312,954",34.0,34.4,33.85,34.1,+0.05,245
107/10/19,"1,692,466","59,196,006",33.5,35.7,33.3,35.7,+1.60,862
107/10/22,"450,956","15,887,243",35.0,35.5,34.95,35.25,-0.45,329
107/10/23,"622,579","21,917,927",35.05,35.7,34.95,35.6,+0.35,463
107/10/24,"849,376","30,265,485",34.8,35.95,34.8,35.85,+0.25,550
107/10/25,"843,279","29,811,409",34.85,35.65,34.8,35.35,-0.50,469
107/10/26,"993,171","34,278,064",35.65,35.7,33.9,34.0,-1.35,607
107/10/29,"684,363","23,106,981",34.05,34.7,33.2,33.6,-0.40,356
107/10/30,"396,007","13,369,486",33.6,34.15,33.55,33.8,+0.20,291
107/10/31,"480,823","16,486,229",33.7,34.65,33.7,34.5,+0.70,328
107/11/01,"476,359","16,637,581",34.5,35.2,34.5,35.05,+0.55,360
107/11/02,"653,501","23,217,484",35.1,35.95,35.1,35.45,+0.40,376
107/11/05,"488,204","17,334,031",35.45,35.7,35.15,35.7,+0.25,409
107/11/06,"444,156","15,920,722",35.85,36.2,35.35,35.95,+0.25,308
107/11/07,"283,355","10,154,556",35.95,36.1,35.5,36.0,+0.05,233
107/11/08,"537,364","19,547,472",36.25,36.8,36.15,36.3,+0.30,398
107/11/09,"337,718","12,172,480",36.55,36.55,35.75,36.05,-0.25,251
107/11/12,"328,001","11,871,536",36.0,36.45,35.9,36.2,+0.15,231
107/11/13,"701,002","25,100,622",35.5,36.25,35.3,36.25,+0.05,407
107/11/14,"663,604","23,810,751",36.3,36.45,35.45,35.5,-0.75,417
