date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"1,655,722","42,096,129",25.6,25.95,25.05,25.15,-0.1,660
107/07/03,"2,055,448","50,595,893",25.35,25.6,23.65,23.8,-1.35,868
107/07/04,"1,353,809","32,458,093",23.8,24.3,23.65,24.0,0.2,483
107/07/05,"2,386,448","56,252,004",24.4,24.8,22.6,23.0,-1.0,935
107/07/06,"3,141,104","71,599,056",23.2,23.8,22.2,23.15,0.15,"1,038"
107/07/09,"2,639,375","64,444,609",24.35,25.05,23.8,24.85,1.7,"1,201"
107/07/10,"7,168,190","186,051,097",25.0,26.75,24.3,26.1,1.25,"3,367"
107/07/11,"5,659,573","143,810,402",25.8,26.1,24.95,25.05,-1.05,"2,761"
107/07/12,"3,482,762","89,157,541",25.55,26.3,25.25,25.45,0.4,"1,677"
107/07/13,"2,262,393","58,191,261",25.6,26.15,25.35,25.5,0.05,"1,017"
107/07/16,"3,226,627","79,031,452",25.5,25.8,24.0,24.0,-1.5,"1,610"
107/07/17,"1,471,450","34,867,097",24.3,24.3,23.3,23.4,-0.6,820
107/07/18,"1,255,908","29,924,326",23.7,24.15,23.3,23.65,0.25,597
107/07/19,"736,081","17,666,061",24.1,24.3,23.7,23.7,0.05,366
107/07/20,"964,428","23,125,282",24.1,24.25,23.8,23.95,0.25,348
107/07/23,"668,196","15,919,805",24.1,24.25,23.5,23.65,-0.3,272
107/07/24,"708,295","16,785,669",24.0,24.0,23.45,23.95,0.3,281
107/07/25,"526,521","12,584,792",23.95,24.1,23.75,23.75,-0.2,248
107/07/26,"306,231","7,288,900",23.8,24.0,23.7,23.75,0.0,186
107/07/27,"463,056","11,031,220",24.0,24.0,23.75,23.75,0.0,221
107/07/30,"1,087,300","25,107,854",23.75,23.75,22.6,22.85,-0.9,496
107/07/31,"373,940","8,594,889",22.85,23.25,22.8,22.8,-0.05,207
107/08/01,"591,517","13,664,295",22.95,23.6,22.85,23.5,0.7,289
107/08/02,"673,947","15,688,303",23.5,23.5,23.1,23.5,0.0,275
107/08/03,"2,505,913","60,396,202",23.8,24.55,23.5,24.2,0.7,971
107/08/06,"3,236,187","78,679,180",24.2,24.75,23.5,23.5,-0.7,"1,145"
107/08/07,"426,717","10,130,191",23.5,24.05,23.5,23.8,0.3,237
107/08/08,"459,200","10,966,729",23.8,24.1,23.7,23.75,-0.05,188
107/08/09,"1,167,417","27,001,611",24.0,24.0,22.7,22.85,-0.9,440
107/08/10,"2,050,451","48,985,666",23.9,24.5,23.25,23.25,0.4,"1,018"
107/08/13,"1,248,501","28,408,495",23.25,23.6,22.2,22.45,-0.8,616
107/08/14,"1,059,100","23,153,434",22.45,22.6,21.35,21.85,-0.6,554
107/08/15,"692,506","15,308,505",22.15,22.6,21.75,22.4,0.55,338
107/08/16,"417,720","9,276,824",22.15,22.5,22.1,22.15,-0.25,185
107/08/17,"267,052","5,987,205",22.3,22.8,22.25,22.45,0.3,156
107/08/20,"459,349","10,160,460",22.55,22.55,22.0,22.0,-0.45,217
107/08/21,"260,100","5,783,689",22.1,22.6,22.0,22.5,0.5,129
107/08/22,"245,925","5,484,700",22.5,22.7,22.05,22.15,-0.35,118
107/08/23,"181,084","4,009,638",22.15,22.4,22.05,22.05,-0.1,115
107/08/24,"299,086","6,598,079",22.25,22.35,21.8,22.0,-0.05,147
107/08/27,"130,127","2,890,906",22.0,22.4,22.0,22.3,0.3,89
107/08/28,"345,782","7,819,245",22.4,22.8,22.4,22.65,0.35,183
107/08/29,"239,653","5,418,257",22.75,22.75,22.5,22.6,-0.05,123
107/08/30,"209,569","4,759,121",22.75,22.9,22.6,22.65,0.05,125
107/08/31,"195,676","4,443,376",22.65,22.8,22.65,22.75,0.1,105
107/09/03,"623,238","14,061,383",22.85,23.05,22.0,22.4,-0.35,306
107/09/04,"421,647","9,539,955",22.3,22.8,22.3,22.6,0.2,207
107/09/05,"172,039","3,902,725",22.6,22.8,22.6,22.6,0.0,87
107/09/06,"763,469","17,707,280",22.45,23.8,22.45,23.25,0.65,386
107/09/07,"648,508","14,943,603",23.4,23.6,22.5,22.55,-0.7,307
107/09/10,"618,001","13,751,771",22.55,22.9,21.8,21.85,-0.7,290
107/09/11,"3,176,420","63,299,374",21.3,21.3,19.7,19.7,-2.15,"1,192"
107/09/12,"1,050,314","20,012,216",19.4,19.4,18.7,19.0,-0.7,524
107/09/13,"599,315","11,683,297",19.3,19.9,19.2,19.2,0.2,285
107/09/14,"259,713","5,116,981",19.3,19.9,19.3,19.85,0.65,132
107/09/17,"222,200","4,400,329",20.0,20.0,19.65,19.85,0.0,89
107/09/18,"487,000","9,648,900",19.7,20.5,19.55,19.75,-0.1,197
107/09/19,"311,102","6,154,713",19.8,19.95,19.7,19.75,0.0,143
107/09/20,"317,318","6,296,782",19.8,20.1,19.55,19.55,-0.2,154
107/09/21,"171,908","3,394,991",19.6,19.9,19.6,19.8,0.25,78
107/09/25,"534,138","10,325,222",19.65,19.7,19.05,19.1,-0.7,220
107/09/26,"333,045","6,357,055",19.1,19.15,19.0,19.1,0.0,144
107/09/27,"316,207","6,034,310",19.1,19.2,18.95,19.05,-0.05,160
107/09/28,"238,157","4,516,948",19.05,19.05,18.9,19.0,-0.05,115
107/10/01,"561,615","10,999,234",19.2,20.0,19.05,19.9,0.9,245
107/10/02,"363,000","7,236,600",20.25,20.25,19.8,19.8,-0.1,174
107/10/03,"368,434","7,238,367",19.85,19.9,19.3,19.4,-0.4,166
107/10/04,"210,353","4,083,312",19.4,19.6,19.3,19.3,-0.1,93
107/10/05,"420,008","8,001,001",19.05,19.5,18.9,18.95,-0.35,162
107/10/08,"467,090","9,075,072",18.85,19.9,18.85,19.15,0.2,206
107/10/09,"296,219","5,643,338",19.15,19.25,18.85,18.95,-0.2,122
107/10/11,"1,924,000","33,034,050",18.0,18.0,17.1,17.15,-1.8,530
107/10/12,"625,492","10,769,979",16.2,17.75,16.2,17.35,0.2,343
107/10/15,"391,407","6,824,062",17.7,17.7,17.35,17.55,0.2,163
107/10/16,"177,188","3,101,143",17.6,17.75,17.3,17.55,0.0,119
107/10/17,"350,112","6,136,752",17.8,18.0,17.25,17.5,-0.05,218
107/10/18,"175,113","3,047,171",17.5,17.65,17.3,17.35,-0.15,79
107/10/19,"208,807","3,584,223",17.3,17.4,16.8,17.2,-0.15,113
107/10/22,"71,858","1,258,991",17.2,17.65,17.2,17.4,0.2,55
107/10/23,"288,649","4,919,646",17.1,17.5,16.8,17.2,-0.2,157
107/10/24,"161,000","2,740,950",17.2,17.25,16.6,17.0,-0.2,90
107/10/25,"622,014","10,247,334",16.7,16.75,16.1,16.6,-0.4,232
107/10/26,"257,998","4,257,015",16.85,17.2,16.2,16.5,-0.1,143
107/10/29,"946,643","14,710,973",16.5,16.5,15.1,15.35,-1.15,368
107/10/30,"836,259","12,442,406",15.1,15.3,14.7,14.9,-0.45,288
107/10/31,"372,456","5,729,176",15.2,15.55,15.1,15.4,0.5,169
107/11/01,"147,372","2,316,632",15.45,15.85,15.45,15.8,0.4,99
107/11/02,"305,851","5,001,647",16.35,16.75,16.05,16.3,0.5,167
107/11/05,"207,167","3,397,655",16.3,16.75,16.15,16.3,0.0,79
107/11/06,"53,197","871,910",16.35,16.6,16.3,16.4,0.1,42
107/11/07,"90,615","1,480,046",16.6,16.6,16.2,16.35,-0.05,66
107/11/08,"152,021","2,504,290",16.4,16.75,16.35,16.35,0.0,79
107/11/09,"129,244","2,129,451",16.35,16.7,16.3,16.55,0.2,83
107/11/12,"276,060","4,456,657",16.7,16.7,15.7,16.05,-0.5,177
107/11/13,"123,000","1,936,600",15.75,16.05,15.2,16.05,0.0,81
107/11/14,"309,732","5,138,427",16.05,16.85,16.05,16.65,0.6,186
107/11/15,"70,221","1,148,650",16.75,16.75,16.25,16.4,-0.25,52
107/11/16,"62,015","1,029,996",16.4,16.75,16.4,16.5,0.1,50
107/11/19,"104,739","1,732,443",16.5,16.7,16.4,16.6,0.1,60
107/11/20,"108,013","1,798,765",16.65,16.75,16.55,16.7,0.1,60
107/11/21,"73,264","1,213,705",16.7,16.7,16.5,16.6,-0.1,46
107/11/22,"80,038","1,330,423",16.75,16.8,16.5,16.5,-0.1,47
107/11/23,"123,067","2,021,344",16.5,16.7,16.15,16.35,-0.15,68
107/11/26,"80,045","1,313,142",16.55,16.75,16.2,16.5,0.15,58
107/11/27,"97,114","1,601,635",16.2,16.65,16.2,16.55,0.05,55
107/11/28,"162,360","2,701,570",16.65,17.0,16.3,17.0,0.45,104
107/11/29,"355,320","6,155,754",17.4,17.55,17.0,17.3,0.3,170
107/11/30,"147,340","2,558,897",17.5,17.5,17.2,17.35,0.05,90
107/12/03,"242,735","4,254,963",17.7,17.7,17.35,17.45,0.1,143
107/12/04,"301,066","5,183,034",17.35,17.55,17.0,17.3,-0.15,145
107/12/05,"110,864","1,909,452",17.3,17.4,17.05,17.25,-0.05,57
107/12/06,"583,178","10,363,777",17.6,18.15,17.45,17.45,0.2,376
107/12/07,"1,911,353","36,221,414",17.6,19.15,17.45,18.7,1.25,722
107/12/10,"876,362","16,180,551",18.8,18.95,17.9,18.2,-0.5,476
107/12/11,"252,402","4,657,325",18.9,18.9,18.2,18.2,0.0,130
107/12/12,"1,050,906","18,332,632",17.15,18.1,17.15,17.8,-0.4,452
107/12/13,"294,000","5,289,750",18.25,18.25,17.8,17.95,0.15,115
107/12/14,"173,583","3,071,369",17.65,17.9,17.6,17.8,-0.15,101
107/12/17,"46,074","819,809",17.8,17.9,17.7,17.8,0.0,37
107/12/18,"75,082","1,325,001",17.5,17.8,17.5,17.8,0.0,46
107/12/19,"218,080","3,804,229",18.0,18.0,17.25,17.25,-0.55,85
107/12/20,"382,638","6,724,619",17.25,17.75,17.25,17.45,0.2,145
107/12/21,"58,001","1,013,167",17.4,17.65,17.3,17.5,0.05,45
107/12/22,"79,105","1,383,927",17.75,17.75,17.4,17.5,0.0,41
107/12/24,"127,041","2,218,416",17.45,17.6,17.4,17.6,0.1,54
107/12/25,"51,000","893,050",17.55,17.55,17.4,17.5,-0.1,19
107/12/26,"994,030","18,364,746",18.0,18.9,18.0,18.3,0.8,513
107/12/27,"356,013","6,608,536",18.55,18.9,18.3,18.3,0.0,213
107/12/28,"216,859","3,984,455",18.6,18.6,18.2,18.4,0.1,81
108/01/02,"200,250","3,626,223",18.45,18.45,18.0,18.25,-0.15,85
108/01/03,"143,052","2,560,278",18.0,18.0,17.8,17.95,-0.3,73
108/01/04,"246,120","4,352,203",17.55,18.0,17.4,17.95,0.0,99
108/01/07,"114,317","2,057,388",18.45,18.45,17.65,17.95,0.0,54
108/01/08,"210,013","3,741,682",18.2,18.25,17.6,17.9,-0.05,105
108/01/09,"287,143","5,084,277",17.7,17.9,17.55,17.8,-0.1,123
108/01/10,"405,253","7,261,702",17.9,18.45,17.65,17.7,-0.1,176
108/01/11,"212,344","3,782,037",18.3,18.3,17.65,17.8,0.1,108
108/01/14,"94,848","1,689,057",18.0,18.0,17.65,17.8,0.0,61
108/01/15,"97,572","1,737,722",17.7,18.0,17.65,17.8,0.0,55
108/01/16,"119,000","2,115,550",17.85,18.05,17.65,17.8,0.0,56
108/01/17,"201,153","3,536,334",17.7,17.8,17.4,17.65,-0.15,111
108/01/18,"143,354","2,515,294",17.65,17.7,17.45,17.6,-0.05,80
108/01/21,"138,253","2,421,376",17.7,17.7,17.4,17.55,-0.05,73
108/01/22,"169,417","2,947,413",17.4,17.6,17.3,17.3,-0.25,105
108/01/23,"155,002","2,686,184",17.5,17.6,17.25,17.3,0.0,73
108/01/24,"92,045","1,589,225",17.3,17.35,17.15,17.3,0.0,51
108/01/25,"296,100","5,065,679",17.25,17.35,16.95,17.3,0.0,160
108/01/28,"286,283","4,893,081",17.0,17.3,17.0,17.3,0.0,141
108/01/29,"295,469","5,035,318",17.3,17.3,16.9,17.2,-0.1,147
108/01/30,"323,737","5,598,502",17.2,17.55,17.0,17.25,0.05,185
108/02/11,"44,000","759,300",17.3,17.3,17.25,17.25,0.0,27
108/02/12,"58,048","1,000,674",17.3,17.4,17.15,17.2,-0.05,38
108/02/13,"243,135","4,149,150",17.25,17.35,16.95,17.05,-0.15,138
108/02/14,"97,037","1,656,429",17.05,17.2,17.0,17.1,0.05,101
108/02/15,"152,000","2,580,150",17.05,17.15,16.8,17.05,-0.05,67
108/02/18,"74,015","1,254,650",16.9,17.0,16.85,17.0,-0.05,43
108/02/19,"130,410","2,207,078",17.0,17.1,16.8,17.05,0.05,72
108/02/20,"207,547","3,505,991",17.0,17.0,16.75,17.0,-0.05,108
108/02/21,"261,177","4,393,251",17.0,17.15,16.65,16.85,-0.15,140
108/02/22,"166,094","2,784,467",16.85,16.9,16.65,16.8,-0.05,79
108/02/25,"151,867","2,532,983",16.85,16.9,16.6,16.75,-0.05,111
