date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"382,932","8,080,423",21.4,21.4,21.0,21.0,-0.25,220
107/07/03,"480,559","10,098,704",21.15,21.3,20.8,20.85,-0.15,226
107/07/04,"302,437","6,283,592",20.8,20.95,20.7,20.75,-0.10,162
107/07/05,"411,538","8,500,795",20.8,21.0,20.4,20.5,-0.25,250
107/07/06,"334,414","6,873,955",20.7,20.95,20.3,20.55,+0.05,222
107/07/09,"389,376","8,055,763",20.6,20.85,20.55,20.75,+0.20,196
107/07/10,"367,257","7,687,781",21.0,21.15,20.75,20.85,+0.10,173
107/07/11,"271,678","5,677,088",20.75,21.1,20.7,20.85, 0.00,167
107/07/12,"1,337,202","28,705,600",21.0,21.85,20.85,21.6,+0.75,651
107/07/13,"951,637","20,712,707",22.1,22.25,21.5,21.6, 0.00,455
107/07/16,"904,581","19,774,474",21.75,22.15,21.6,21.85,+0.25,349
107/07/17,"578,054","12,635,565",21.95,22.15,21.65,21.75,-0.10,296
107/07/18,"542,460","11,801,585",21.75,22.05,21.5,21.6,-0.15,250
107/07/19,"444,919","9,570,816",21.65,21.7,21.45,21.45,-0.15,219
107/07/20,"1,529,224","33,627,992",21.5,22.3,21.5,22.3,+0.85,741
107/07/23,"2,345,501","52,036,042",22.4,22.8,21.65,21.75,-0.55,"1,047"
107/07/24,"436,155","9,483,779",21.9,21.95,21.6,21.9,+0.15,273
107/07/25,"1,150,261","25,546,492",22.1,22.5,21.9,22.0,+0.10,636
107/07/26,"591,438","13,019,269",22.25,22.3,21.85,21.95,-0.05,333
107/07/27,"674,823","14,838,531",22.2,22.2,21.9,21.9,-0.05,338
107/07/30,"1,852,171","41,476,201",22.0,22.7,22.0,22.3,+0.40,912
107/07/31,"3,650,671","83,258,177",22.45,23.05,22.35,22.95,+0.65,"1,709"
107/08/01,"1,671,668","38,641,627",23.3,23.4,22.85,22.95, 0.00,823
107/08/02,"1,410,421","32,226,107",23.2,23.3,22.5,22.5,-0.45,693
107/08/03,"2,591,215","59,756,432",22.95,23.25,22.75,23.0,+0.50,"1,131"
107/08/06,"929,850","21,161,716",22.9,22.95,22.5,22.85,-0.15,441
107/08/07,"870,379","20,038,209",23.0,23.3,22.85,22.95,+0.10,487
107/08/08,"1,313,623","29,736,589",23.0,23.1,22.4,22.5,-0.45,626
107/08/09,"856,361","18,942,286",22.45,22.55,21.9,21.9,-0.60,513
107/08/10,"693,405","15,137,245",21.95,22.1,21.7,21.75,-0.15,283
107/08/13,"1,313,400","27,544,707",21.65,21.7,20.45,20.95,-0.80,601
107/08/14,"809,097","17,326,433",21.35,21.65,21.2,21.5,+0.55,363
107/08/15,"4,313,745","95,908,460",21.5,22.85,21.4,22.5,+1.00,"1,988"
107/08/16,"1,877,439","42,053,542",22.3,22.75,21.9,22.75,+0.25,858
107/08/17,"4,608,299","106,716,174",23.2,23.6,22.75,22.85,+0.10,"2,004"
107/08/20,"1,548,238","35,307,099",23.0,23.25,22.45,23.05,+0.20,729
107/08/21,"3,759,042","88,022,687",23.25,23.7,23.0,23.6,+0.55,"1,583"
107/08/22,"1,709,203","39,591,016",23.55,23.55,22.9,22.9,-0.70,790
107/08/23,"1,013,042","23,312,710",22.95,23.3,22.85,23.1,+0.20,449
107/08/24,"648,530","14,837,084",23.2,23.2,22.7,22.9,-0.20,355
107/08/27,"836,242","19,359,225",23.05,23.35,22.9,23.1,+0.20,384
107/08/28,"5,558,857","131,880,014",23.25,24.2,22.9,22.95,-0.15,"2,876"
107/08/29,"1,632,702","37,341,132",23.0,23.2,22.6,22.75,-0.20,743
107/08/30,"557,415","12,752,969",23.05,23.05,22.75,22.85,+0.10,324
107/08/31,"433,535","9,857,265",23.0,23.0,22.65,22.7,-0.15,271
107/09/03,"774,666","17,425,566",22.9,22.9,22.35,22.35,-0.35,411
107/09/04,"339,679","7,615,587",22.5,22.55,22.3,22.4,+0.05,178
107/09/05,"1,042,401","23,780,721",22.75,23.0,22.6,22.75,+0.35,553
107/09/06,"1,798,631","41,665,963",23.0,23.5,22.8,23.0,+0.25,946
107/09/07,"1,642,744","37,440,301",23.15,23.4,22.25,22.3,-0.70,890
107/09/10,"1,689,753","36,286,323",22.25,22.3,21.1,21.15,-1.15,749
107/09/11,"490,200","10,500,490",21.2,21.6,21.15,21.5,+0.35,261
107/09/12,"442,762","9,405,129",21.6,21.6,21.1,21.25,-0.25,264
107/09/13,"311,684","6,667,636",21.3,21.45,21.3,21.4,+0.15,201
107/09/14,"562,099","12,216,441",21.6,21.95,21.5,21.7,+0.30,300
107/09/17,"580,795","12,512,300",21.7,22.15,21.3,21.35,-0.35,335
107/09/18,"405,009","8,643,440",21.3,21.45,21.2,21.35, 0.00,251
107/09/19,"337,695","7,272,172",21.55,21.65,21.45,21.45,+0.10,183
107/09/20,"335,283","7,154,035",21.5,21.5,21.25,21.25,-0.20,195
107/09/21,"291,992","6,262,228",21.5,21.5,21.4,21.4,+0.15,141
107/09/25,"163,002","3,501,042",21.55,21.55,21.4,21.5,+0.10,100
107/09/26,"241,050","5,194,925",21.55,21.65,21.5,21.5, 0.00,122
107/09/27,"305,718","6,582,728",21.5,21.65,21.4,21.4,-0.10,150
107/09/28,"200,658","4,310,247",21.55,21.6,21.4,21.4, 0.00,102
107/10/01,"408,569","8,852,944",21.5,21.8,21.5,21.8,+0.40,207
107/10/02,"172,821","3,738,840",21.85,21.85,21.55,21.55,-0.25,117
107/10/03,"299,837","6,452,884",21.65,21.65,21.45,21.55, 0.00,140
107/10/04,"535,722","11,364,023",21.4,21.45,21.05,21.1,-0.45,276
107/10/05,"1,648,865","33,129,060",21.0,21.0,19.4,19.7,-1.40,689
107/10/08,"662,001","12,963,919",19.7,20.0,19.35,19.35,-0.35,288
107/10/09,"757,936","14,471,988",19.45,19.5,18.85,18.9,-0.45,364
107/10/11,"1,377,117","23,558,398",17.25,17.6,17.05,17.05,-1.85,524
107/10/12,"784,124","13,229,925",16.45,17.25,16.1,17.25,+0.20,387
107/10/15,"312,326","5,398,354",17.3,17.4,17.0,17.25, 0.00,156
107/10/16,"211,970","3,702,260",17.25,17.6,17.25,17.3,+0.05,133
107/10/17,"261,006","4,579,208",17.65,17.7,17.35,17.35,+0.05,132
107/10/18,"146,805","2,560,666",17.5,17.6,17.35,17.4,+0.05,76
107/10/19,"426,040","7,272,450",17.25,17.25,16.95,17.15,-0.25,179
107/10/22,"275,973","4,825,521",17.15,17.65,17.05,17.65,+0.50,153
107/10/23,"281,840","4,895,656",17.6,17.65,17.25,17.25,-0.40,192
107/10/24,"255,000","4,370,350",17.25,17.3,17.0,17.05,-0.20,139
107/10/25,"459,120","7,578,236",16.5,16.7,16.4,16.55,-0.50,231
107/10/26,"362,175","5,972,752",16.7,16.95,16.25,16.3,-0.25,163
107/10/29,"268,771","4,373,117",16.25,16.45,16.15,16.4,+0.10,123
107/10/30,"162,120","2,638,730",16.4,16.4,16.15,16.3,-0.10,119
107/10/31,"273,030","4,537,156",16.45,16.8,16.45,16.8,+0.50,142
107/11/01,"208,877","3,554,752",16.9,17.15,16.7,17.1,+0.30,130
107/11/02,"293,000","5,071,850",17.25,17.5,17.0,17.3,+0.20,153
107/11/05,"153,100","2,629,170",17.3,17.35,17.0,17.05,-0.25,89
107/11/06,"176,395","2,997,765",17.2,17.35,16.9,16.9,-0.15,102
107/11/07,"452,003","7,757,201",17.1,17.3,17.05,17.2,+0.30,189
107/11/08,"243,438","4,188,888",17.45,17.45,17.1,17.1,-0.10,121
107/11/09,"198,003","3,332,451",17.25,17.25,16.6,16.9,-0.20,115
107/11/12,"238,028","4,007,471",16.9,17.0,16.6,16.8,-0.10,121
107/11/13,"178,000","2,954,450",16.5,16.85,16.4,16.6,-0.20,103
107/11/14,"201,940","3,375,207",16.8,16.95,16.6,16.65,+0.05,156
107/11/15,"300,461","4,958,202",16.65,16.7,16.3,16.55,-0.10,154
107/11/16,"261,515","4,342,473",16.65,16.7,16.45,16.65,+0.10,139
107/11/19,"247,438","4,182,474",16.7,17.05,16.7,17.05,+0.40,161
107/11/20,"185,533","3,122,653",16.85,16.95,16.7,16.8,-0.25,94
107/11/21,"227,339","3,841,063",16.8,17.0,16.8,17.0,+0.20,108
107/11/22,"348,234","5,980,474",17.1,17.35,17.05,17.05,+0.05,202
107/11/23,"202,100","3,407,240",17.15,17.15,16.75,16.8,-0.25,120
107/11/26,"116,001","1,968,817",16.95,17.1,16.85,16.95,+0.15,93
