date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"800,724","27,709,759",34.35,35.1,34.05,34.45,+0.15,496
107/07/03,"771,512","26,544,358",34.5,34.9,34.05,34.1,-0.35,435
107/07/04,"463,057","15,817,789",34.45,34.45,33.8,34.15,+0.05,256
107/07/05,"679,274","23,073,349",34.25,34.3,33.1,33.6,-0.55,304
107/07/06,"915,501","30,716,531",33.6,34.0,33.1,33.75,+0.15,464
107/07/09,"787,417","26,284,932",33.35,33.7,33.0,33.4,X0.00,348
107/07/10,"554,925","18,819,056",33.75,34.1,33.75,33.9,+0.50,294
107/07/11,"356,844","12,057,958",33.6,33.9,33.6,33.7,-0.20,217
107/07/12,"395,544","13,283,718",33.7,33.8,33.5,33.5,-0.20,183
107/07/13,"250,817","8,375,795",33.75,33.8,33.25,33.45,-0.05,172
107/07/16,"235,031","7,867,180",33.65,33.8,33.3,33.3,-0.15,150
107/07/17,"282,886","9,407,715",33.5,33.5,33.1,33.3, 0.00,197
107/07/18,"638,631","21,518,631",33.5,34.5,33.15,34.25,+0.95,361
107/07/19,"536,367","18,419,118",34.4,34.45,34.1,34.3,+0.05,292
107/07/20,"351,479","12,079,157",34.3,34.6,34.1,34.25,-0.05,199
107/07/23,"314,245","10,659,128",34.3,34.4,33.7,33.9,-0.35,204
107/07/24,"325,009","11,054,356",33.9,34.2,33.75,34.2,+0.30,177
107/07/25,"179,717","6,119,878",34.3,34.4,33.9,34.1,-0.10,121
107/07/26,"232,824","7,951,288",34.2,34.3,34.05,34.3,+0.20,145
107/07/27,"1,150,839","40,422,459",34.3,36.0,34.15,35.7,+1.40,696
107/07/30,"851,889","29,965,615",35.75,35.8,34.8,35.1,-0.60,505
107/07/31,"785,906","27,494,463",35.0,35.35,34.7,35.0,-0.10,498
107/08/01,"409,087","14,262,958",35.25,35.25,34.7,34.75,-0.25,266
107/08/02,"787,788","27,126,166",34.75,34.9,34.15,34.5,-0.25,524
107/08/03,"686,943","23,499,262",34.5,34.55,34.1,34.1,-0.40,412
107/08/06,"954,419","33,139,212",34.1,35.0,34.0,34.8,+0.70,407
107/08/07,"693,036","24,339,300",34.8,35.45,34.8,35.0,+0.20,394
107/08/08,"837,191","29,541,386",35.1,35.4,35.1,35.4,+0.40,396
107/08/09,"1,260,606","44,579,131",35.45,35.65,34.65,34.65,-0.75,429
107/08/10,"624,981","21,544,899",34.65,34.7,34.15,34.3,-0.35,362
107/08/13,"1,216,165","39,707,283",34.15,34.15,31.8,32.15,-2.15,690
107/08/14,"612,530","19,986,420",32.65,32.8,32.35,32.5,+0.35,319
107/08/15,"741,021","23,628,462",32.55,32.55,31.4,31.8,-0.70,378
107/08/16,"493,114","15,494,514",31.6,31.75,31.2,31.3,-0.50,285
107/08/17,"195,608","6,182,879",31.45,31.8,31.4,31.4,+0.10,109
