date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"1,092,512","12,482,529",11.25,11.5,11.25,11.35, 0.00,374
107/07/03,"845,320","9,391,463",11.4,11.4,10.9,10.9,-0.45,326
107/07/04,"901,084","9,776,005",10.8,10.95,10.75,10.95,+0.05,271
107/07/05,"685,827","7,416,326",10.85,11.0,10.65,10.7,-0.25,266
107/07/06,"1,046,143","10,967,647",10.7,10.75,10.3,10.6,-0.10,331
107/07/09,"443,748","4,709,527",10.65,10.75,10.5,10.55,-0.05,202
107/07/10,"579,878","6,188,587",10.65,10.85,10.55,10.8,+0.25,224
107/07/11,"286,851","3,076,599",10.7,10.85,10.65,10.7,-0.10,155
107/07/12,"261,801","2,817,127",10.7,10.9,10.7,10.8,+0.10,99
107/07/13,"329,282","3,601,936",10.9,11.0,10.9,10.95,+0.15,159
107/07/16,"262,564","2,889,604",11.0,11.1,10.95,11.0,+0.05,141
107/07/17,"253,877","2,798,647",11.1,11.15,10.95,11.0, 0.00,123
107/07/18,"335,699","3,682,189",11.05,11.05,10.9,11.05,+0.05,153
107/07/19,"158,766","1,749,146",11.0,11.1,10.95,10.95,-0.10,96
107/07/20,"342,586","3,751,435",10.95,11.0,10.9,10.9,-0.05,120
107/07/23,"501,877","5,379,181",10.95,11.0,10.5,10.75,-0.15,238
107/07/24,"284,275","3,083,094",10.75,10.9,10.75,10.9,+0.15,159
107/07/25,"304,737","3,344,230",10.9,11.05,10.9,10.9, 0.00,143
107/07/26,"329,751","3,595,784",10.9,11.05,10.8,10.9, 0.00,139
107/07/27,"699,668","7,820,577",11.0,11.3,10.9,11.2,+0.30,356
107/07/30,"348,850","3,894,084",11.3,11.3,11.1,11.1,-0.10,127
107/07/31,"1,236,532","14,081,034",11.25,11.5,11.15,11.25,+0.15,525
107/08/01,"1,171,398","13,447,954",11.3,11.6,11.3,11.5,+0.25,523
107/08/02,"503,403","5,718,372",11.55,11.55,11.25,11.35,-0.15,228
107/08/03,"294,453","3,335,010",11.35,11.45,11.25,11.4,+0.05,123
107/08/06,"1,027,875","11,905,860",11.35,11.7,11.35,11.6,+0.20,383
