date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"8,666,818","822,725,097",94.0,96.0,93.4,94.3,+0.10,"4,689"
107/07/03,"10,551,075","997,328,100",94.3,96.4,92.2,96.0,+1.70,"6,620"
107/07/04,"9,287,330","877,757,820",97.0,97.9,92.5,92.5,-3.50,"5,908"
107/07/05,"6,075,250","572,293,418",93.6,95.6,92.8,93.3,+0.80,"3,828"
107/07/06,"14,703,867","1,429,126,430",95.0,98.9,94.6,98.2,+4.90,"8,390"
107/07/09,"11,185,920","1,050,423,700",95.3,95.5,91.5,95.0,-3.20,"6,702"
107/07/10,"9,841,987","946,856,915",95.3,98.3,93.1,97.6,+2.60,"5,827"
107/07/11,"8,307,100","811,390,714",98.0,99.5,95.5,98.2,+0.60,"5,093"
107/07/12,"9,772,206","944,823,596",98.3,98.7,95.6,96.2,-2.00,"5,894"
107/07/13,"7,522,399","746,849,199",96.8,101.5,96.7,101.0,+4.80,"5,062"
107/07/16,"5,759,500","576,745,800",100.5,102.0,98.9,100.5,-0.50,"3,884"
107/07/17,"4,962,761","487,833,792",100.0,100.5,97.1,97.5,-3.00,"3,287"
107/07/18,"9,549,673","977,455,818",98.6,105.0,98.6,105.0,+7.50,"5,815"
107/07/19,"13,161,363","1,322,884,237",101.0,102.0,99.2,101.0,-4.00,"7,584"
107/07/20,"14,313,946","1,439,353,142",99.4,104.0,98.2,98.9,-2.10,"7,124"
107/07/23,"7,269,706","742,370,512",100.0,103.5,100.0,103.0,+4.10,"4,246"
107/07/24,"21,655,773","2,377,039,628",104.0,113.0,104.0,110.0,+7.00,"10,772"
107/07/25,"15,015,943","1,633,706,844",109.0,111.5,107.0,107.0,-3.00,"9,010"
107/07/26,"7,826,978","839,688,150",109.5,109.5,106.0,106.5,-0.50,"4,785"
107/07/27,"7,178,863","778,363,268",107.5,109.5,106.5,108.0,+1.50,"4,135"
107/07/30,"7,383,617","768,231,551",106.5,107.0,103.0,103.0,-5.00,"4,981"
107/07/31,"6,918,333","732,786,794",103.5,108.0,103.0,105.0,+2.00,"3,935"
107/08/01,"12,479,527","1,368,419,470",105.5,111.5,105.5,110.5,+5.50,"7,043"
107/08/02,"6,467,590","691,900,829",108.5,109.0,106.0,106.5,-4.00,"4,095"
107/08/03,"6,076,459","646,856,654",107.0,110.0,104.5,105.5,-1.00,"4,032"
107/08/06,"5,706,412","595,152,048",106.0,106.5,103.0,104.5,-1.00,"3,151"
107/08/07,"7,996,715","811,439,061",104.5,104.5,100.0,101.5,-3.00,"4,238"
107/08/08,"9,605,660","1,011,130,460",102.5,107.5,102.0,107.0,+5.50,"5,421"
107/08/09,"4,753,793","498,533,472",105.0,106.0,103.5,104.0,-3.00,"3,174"
107/08/10,"5,094,752","529,409,708",103.0,105.5,102.0,104.0, 0.00,"2,834"
107/08/13,"9,687,427","985,849,707",105.0,106.5,98.5,100.5,-3.50,"4,798"
107/08/14,"5,359,102","538,327,944",102.0,102.0,99.6,100.0,-0.50,"2,795"
107/08/15,"21,093,868","2,026,256,103",101.0,101.5,90.6,99.7,-0.30,"13,013"
107/08/16,"10,018,089","981,048,863",97.1,100.0,95.3,99.5,-0.20,"6,150"
107/08/17,"10,126,494","1,018,662,541",97.5,103.5,96.5,100.5,+1.00,"5,802"
107/08/20,"5,980,618","599,654,300",100.5,102.0,99.0,99.5,-1.00,"3,068"
107/08/21,"9,955,673","985,070,228",99.6,100.5,97.2,99.9,+0.40,"5,436"
107/08/22,"13,885,681","1,358,852,410",97.0,99.8,95.8,95.8,X0.00,"8,189"
107/08/23,"8,884,906","873,722,155",96.5,100.0,95.1,100.0,+4.20,"5,794"
107/08/24,"6,799,898","674,016,976",100.0,101.0,97.5,99.2,-0.80,"4,733"
107/08/27,"9,098,112","937,164,036",101.0,105.0,100.0,104.0,+4.80,"4,776"
107/08/28,"9,197,387","977,204,932",106.0,108.5,104.0,104.5,+0.50,"5,836"
107/08/29,"5,346,127","569,767,514",105.5,107.5,105.5,107.0,+2.50,"2,829"
107/08/30,"5,319,276","559,680,331",107.0,108.0,104.0,104.5,-2.50,"3,351"
107/08/31,"4,197,973","442,539,620",105.0,106.5,103.5,106.5,+2.00,"2,665"
107/09/03,"5,622,971","606,267,402",106.5,109.0,106.0,107.5,+1.00,"3,298"
107/09/04,"5,203,194","563,510,349",108.0,110.0,107.0,107.5, 0.00,"3,102"
107/09/05,"6,792,686","720,796,224",108.0,108.5,105.0,105.0,-2.50,"3,766"
107/09/06,"7,863,983","797,738,283",104.0,104.5,100.0,100.5,-4.50,"5,457"
107/09/07,"8,256,158","811,073,041",99.0,101.0,96.4,97.3,-3.20,"5,418"
107/09/10,"8,002,914","752,108,667",97.6,97.6,91.6,93.6,-3.70,"5,054"
107/09/11,"17,428,156","1,563,792,011",92.4,92.5,87.7,89.8,-3.80,"9,745"
107/09/12,"18,661,064","1,640,271,768",91.0,91.1,84.1,86.5,-3.30,"9,190"
107/09/13,"14,635,562","1,257,602,732",87.8,87.8,84.9,85.3,-1.20,"8,512"
107/09/14,"12,256,005","1,086,530,805",86.9,90.2,86.5,88.7,+3.40,"5,461"
107/09/17,"3,426,060","304,696,406",88.3,89.7,87.1,89.4,+0.70,"2,374"
107/09/18,"5,334,009","462,358,367",88.0,88.3,85.7,85.9,-3.50,"3,393"
107/09/19,"3,794,797","331,837,239",87.0,88.2,86.8,87.0,+1.10,"2,793"
107/09/20,"4,145,960","357,782,560",87.9,87.9,85.3,85.8,-1.20,"2,918"
107/09/21,"14,303,572","1,185,006,448",86.1,86.2,80.7,83.4,-2.40,"8,344"
107/09/25,"5,492,324","465,808,298",83.2,85.9,82.5,84.6,+1.20,"3,413"
107/09/26,"4,577,278","387,459,944",84.0,86.2,83.6,84.3,-0.30,"2,933"
107/09/27,"8,787,809","726,638,214",85.2,85.2,81.8,82.5,-1.80,"5,192"
107/09/28,"7,386,037","607,333,353",82.8,83.2,81.3,82.5, 0.00,"3,621"
107/10/01,"3,700,891","310,235,585",83.4,84.4,82.6,84.1,+1.60,"2,630"
107/10/02,"7,157,594","604,707,247",84.3,85.8,83.3,83.8,-0.30,"4,468"
107/10/03,"3,854,837","323,107,716",83.7,85.0,82.9,83.0,-0.80,"2,600"
107/10/04,"4,276,210","352,045,876",82.5,83.1,81.6,82.1,-0.90,"2,825"
107/10/05,"10,646,629","841,470,711",81.3,81.8,76.5,77.8,-4.30,"5,574"
107/10/08,"5,715,688","455,524,367",77.7,80.7,77.7,80.2,+2.40,"3,501"
