date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"1,178,250","45,534,223",38.4,38.95,38.4,38.9,+0.50,840
107/07/03,"1,883,474","71,888,320",39.0,39.0,37.9,37.9,-1.00,"1,214"
107/07/04,"795,882","30,046,766",37.5,38.0,37.5,37.85,-0.05,542
107/07/05,"776,174","29,297,590",37.85,38.1,37.5,37.5,-0.35,559
107/07/06,"1,197,636","44,417,856",37.6,37.95,36.8,37.0,-0.50,760
107/07/09,"397,899","14,838,505",37.3,37.6,37.0,37.4,+0.40,326
107/07/10,"439,679","16,468,410",37.5,37.6,37.35,37.35,-0.05,311
107/07/11,"875,180","32,526,058",37.3,37.6,37.05,37.2,-0.15,683
107/07/12,"437,641","16,333,120",37.1,37.5,37.1,37.4,+0.20,347
107/07/13,"1,773,217","68,382,864",38.0,38.8,38.0,38.75,+1.35,"1,269"
107/07/16,"878,430","34,202,889",39.25,39.25,38.8,38.85,+0.10,594
107/07/17,"779,800","30,051,950",38.85,39.0,38.4,38.55,-0.30,514
107/07/18,"1,111,288","43,056,536",38.85,39.0,38.5,38.65,+0.10,669
107/07/19,"843,922","32,682,331",38.9,38.95,38.5,38.55,-0.10,480
107/07/20,"876,077","33,807,134",38.9,38.9,38.45,38.65,+0.10,612
107/07/23,"677,059","26,164,192",38.65,38.9,38.5,38.65, 0.00,349
107/07/24,"1,338,448","52,070,746",38.7,39.15,38.6,39.15,+0.50,834
107/07/25,"783,498","30,866,867",39.3,39.55,39.2,39.5,+0.35,584
107/07/26,"954,096","37,859,468",39.5,39.8,39.5,39.75,+0.25,563
107/07/27,"1,739,281","68,699,978",39.0,39.9,38.95,39.8,+0.05,729
107/07/30,"1,913,499","76,316,030",39.9,39.95,39.8,39.8, 0.00,777
107/07/31,"4,268,881","170,256,988",39.4,40.3,39.4,40.3,+0.50,"1,730"
107/08/01,"3,033,997","113,471,132",37.3,37.6,37.3,37.5,X0.00,"1,067"
107/08/02,"1,061,268","39,550,501",37.5,37.75,37.1,37.1,-0.40,706
107/08/03,"771,749","28,802,735",37.65,37.65,37.2,37.25,+0.15,545
107/08/06,"722,317","27,125,699",38.0,38.0,37.3,37.4,+0.15,486
107/08/07,"669,747","24,928,522",37.4,37.55,37.15,37.2,-0.20,490
107/08/08,"439,811","16,369,719",37.25,37.4,37.15,37.2, 0.00,322
107/08/09,"435,950","16,165,873",37.2,37.4,37.0,37.1,-0.10,347
107/08/10,"694,710","25,624,059",37.1,37.15,36.8,36.8,-0.30,450
107/08/13,"1,152,810","41,450,691",36.7,36.7,35.5,35.6,-1.20,745
107/08/14,"472,250","16,900,474",36.3,36.3,35.6,35.8,+0.20,342
107/08/15,"694,081","24,536,932",35.85,36.0,35.05,35.3,-0.50,476
107/08/16,"658,833","22,975,962",35.3,35.3,34.6,35.1,-0.20,449
107/08/17,"698,881","24,445,985",35.2,35.35,34.8,35.0,-0.10,510
107/08/20,"601,128","21,080,990",35.05,35.45,34.85,35.0, 0.00,418
107/08/21,"297,525","10,439,078",35.1,35.2,35.0,35.15,+0.15,241
107/08/22,"423,845","14,867,234",35.2,35.3,34.9,35.15, 0.00,318
107/08/23,"2,399,884","82,795,661",34.6,35.0,34.2,35.0,-0.15,"1,167"
107/08/24,"9,564,556","308,077,802",34.05,34.1,31.5,31.5,-3.50,"4,664"
107/08/27,"9,703,086","295,266,586",30.5,31.5,30.0,31.2,-0.30,"4,760"
107/08/28,"3,961,873","123,388,356",31.25,31.4,30.8,31.1,-0.10,"2,049"
107/08/29,"1,889,265","58,474,208",31.0,31.1,30.75,31.0,-0.10,"1,001"
107/08/30,"2,631,394","83,255,808",31.0,31.95,31.0,31.8,+0.80,"1,747"
107/08/31,"1,755,953","55,400,196",31.8,31.8,31.3,31.8, 0.00,926
107/09/03,"1,281,000","40,683,096",31.95,32.05,31.5,31.5,-0.30,812
107/09/04,"747,768","23,620,121",31.55,31.8,31.5,31.5, 0.00,440
