date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"1,846,261","30,832,556",16.7,16.7,16.7,16.7,X0.00,533
107/07/03,"11,974,284","202,126,367",16.5,17.6,16.3,16.45,-0.25,"4,245"
107/07/04,"2,680,012","43,746,240",16.5,16.7,16.1,16.4,-0.05,978
107/07/05,"2,704,722","44,813,317",16.4,16.9,16.15,16.15,-0.25,896
107/07/06,"4,647,103","74,534,828",16.4,16.7,15.5,16.65,+0.50,"1,637"
107/07/09,"6,713,302","111,249,867",16.75,16.9,16.25,16.3,-0.35,"1,485"
107/07/10,"2,795,200","46,949,289",16.6,17.1,16.55,16.7,+0.40,825
107/07/11,"2,517,261","42,567,663",16.7,17.25,16.5,17.05,+0.35,845
107/07/12,"4,538,520","79,334,572",17.2,17.8,17.15,17.4,+0.35,"1,540"
107/07/13,"8,763,548","160,209,664",18.6,18.8,17.45,17.45,+0.05,"3,051"
107/07/16,"3,950,353","67,586,759",17.5,17.65,16.8,16.85,-0.60,"1,404"
107/07/17,"1,278,305","21,707,389",17.05,17.2,16.8,16.8,-0.05,638
107/07/18,"2,102,140","34,962,279",16.95,17.0,16.3,16.45,-0.35,811
107/07/19,"999,262","16,411,909",16.5,16.65,16.3,16.4,-0.05,451
107/07/20,"1,679,001","27,393,566",16.4,16.55,16.1,16.2,-0.20,577
107/07/23,"1,113,222","17,826,711",16.2,16.2,15.85,16.05,-0.15,488
107/07/24,"877,420","14,268,016",16.1,16.45,16.1,16.35,+0.30,338
107/07/25,"856,030","14,202,844",16.4,16.7,16.35,16.6,+0.25,480
107/07/26,"2,535,269","43,296,026",16.8,17.3,16.8,17.0,+0.40,"1,096"
107/07/27,"800,200","13,589,600",17.2,17.2,16.8,16.9,-0.10,359
107/07/30,"886,034","15,085,533",17.05,17.2,16.9,17.0,+0.10,447
107/07/31,"3,335,396","57,104,251",17.15,17.65,16.55,16.6,-0.40,"1,634"
107/08/01,"931,150","15,647,684",16.7,17.05,16.6,16.9,+0.30,445
107/08/02,"1,268,012","21,200,250",16.9,16.95,16.6,16.6,-0.30,470
107/08/03,"590,000","9,886,800",16.75,16.95,16.6,16.95,+0.35,287
107/08/06,"995,000","16,612,050",16.95,16.95,16.5,16.65,-0.30,405
107/08/07,"586,409","9,696,739",16.7,16.7,16.5,16.5,-0.15,269
107/08/08,"384,264","6,351,905",16.55,16.65,16.45,16.5, 0.00,210
107/08/09,"475,297","7,824,284",16.5,16.55,16.4,16.45,-0.05,213
107/08/10,"929,005","15,122,630",16.5,16.5,16.15,16.15,-0.30,523
107/08/13,"2,214,549","34,979,144",16.35,16.4,15.15,15.7,-0.45,957
107/08/14,"1,147,003","18,322,998",15.9,16.3,15.65,16.25,+0.55,515
107/08/15,"1,907,938","30,674,081",16.25,16.55,15.7,16.55,+0.30,818
107/08/16,"925,002","15,113,732",16.2,16.6,16.1,16.35,-0.20,422
107/08/17,"1,032,200","16,714,640",16.35,16.5,16.05,16.05,-0.30,469
107/08/20,"422,006","6,809,895",16.1,16.25,16.05,16.2,+0.15,220
107/08/21,"459,069","7,450,967",16.25,16.35,16.1,16.15,-0.05,232
107/08/22,"422,132","6,855,457",16.3,16.35,16.1,16.35,+0.20,218
107/08/23,"714,381","11,798,974",16.35,16.7,16.35,16.45,+0.10,335
107/08/24,"420,099","6,878,483",16.55,16.6,16.2,16.3,-0.15,199
107/08/27,"644,070","10,608,404",16.3,16.6,16.2,16.45,+0.15,344
107/08/28,"779,680","12,927,103",16.55,16.7,16.45,16.6,+0.15,411
107/08/29,"884,282","14,809,258",16.65,16.85,16.55,16.85,+0.25,367
107/08/30,"654,878","11,028,705",17.0,17.0,16.65,16.85, 0.00,283
107/08/31,"1,348,528","23,118,231",16.7,17.3,16.7,17.3,+0.45,645
