date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"8,785,104","719,554,737",83.6,83.6,80.8,81.0,-2.20,"4,576"
107/07/03,"9,517,989","784,620,084",82.0,83.2,81.7,81.8,+0.80,"5,430"
107/07/04,"11,634,275","948,189,019",81.8,82.5,80.8,80.9,-0.90,"5,103"
107/07/05,"12,143,744","965,014,994",80.8,81.3,77.7,78.1,-2.80,"5,748"
107/07/06,"11,088,009","880,591,106",79.5,80.1,78.6,79.3,+1.20,"5,434"
107/07/09,"16,539,393","1,343,137,533",79.5,82.7,79.5,81.0,+1.70,"7,023"
107/07/10,"15,633,761","1,299,301,258",81.6,84.0,81.6,83.9,+2.90,"6,969"
107/07/11,"11,151,102","931,551,841",84.0,84.8,82.2,83.6,-0.30,"5,753"
107/07/12,"16,941,431","1,452,876,338",85.3,86.5,84.5,86.0,+2.40,"8,376"
107/07/13,"16,327,613","1,433,116,084",86.5,89.0,86.2,88.8,+2.80,"7,527"
107/07/16,"13,133,926","1,146,020,112",89.3,89.7,86.0,86.0,-2.80,"6,606"
107/07/17,"11,597,859","1,011,458,813",86.1,88.3,86.0,88.1,+2.10,"5,407"
107/07/18,"41,645,860","3,559,223,755",88.1,88.1,83.7,84.0,-4.10,"19,338"
107/07/19,"29,973,386","2,436,474,298",83.0,83.0,80.2,80.2,-3.80,"14,037"
107/07/20,"17,100,985","1,380,636,266",80.7,81.6,80.1,80.5,+0.30,"8,505"
107/07/23,"20,432,812","1,605,342,348",80.2,80.3,78.0,78.5,-2.00,"9,183"
107/07/24,"15,151,803","1,189,566,132",78.0,79.4,77.8,78.7,+0.20,"6,792"
107/07/25,"16,072,640","1,288,891,440",78.4,81.3,78.3,80.7,+2.00,"8,149"
107/07/26,"13,600,246","1,106,753,527",81.6,82.5,80.5,81.0,+0.30,"6,121"
107/07/27,"8,558,234","699,738,448",81.4,82.2,81.4,81.9,+0.90,"4,596"
107/07/30,"10,440,081","836,852,680",81.9,81.9,79.5,79.6,-2.30,"5,919"
107/07/31,"11,477,693","904,881,903",79.5,79.6,78.3,78.6,-1.00,"6,007"
107/08/01,"11,452,898","903,010,096",78.3,79.7,78.0,79.6,+1.00,"5,462"
107/08/02,"8,977,377","703,316,297",79.5,79.5,77.9,78.4,-1.20,"4,740"
107/08/03,"29,809,422","2,287,121,370",78.5,78.7,75.7,75.8,-2.60,"13,468"
107/08/06,"23,612,486","1,749,795,796",75.0,75.0,73.6,73.6,-2.20,"10,859"
107/08/07,"18,179,650","1,349,771,071",73.6,74.8,73.2,74.3,+0.70,"7,397"
107/08/08,"18,916,998","1,411,149,952",75.0,75.7,73.7,73.7,-0.60,"8,169"
107/08/09,"7,063,052","523,382,147",74.1,74.6,73.7,73.8,+0.10,"4,008"
107/08/10,"8,097,574","595,695,834",73.8,74.2,73.0,73.2,-0.60,"4,231"
107/08/13,"23,498,779","1,642,288,929",72.5,72.5,67.6,68.9,-4.30,"10,843"
107/08/14,"15,048,130","1,038,844,514",69.7,70.5,67.6,70.2,+1.30,"7,168"
107/08/15,"13,072,711","893,029,698",70.4,70.4,67.7,67.7,-2.50,"7,171"
107/08/16,"21,293,768","1,406,718,781",65.0,68.4,63.5,67.3,-0.40,"10,612"
107/08/17,"14,530,845","963,818,470",67.8,67.9,65.0,65.0,-2.30,"7,742"
107/08/20,"14,912,144","991,821,604",66.6,67.6,65.6,65.7,+0.70,"8,080"
107/08/21,"23,649,964","1,612,269,116",67.2,69.4,66.2,68.5,+2.80,"12,000"
107/08/22,"15,399,143","1,046,472,924",69.6,69.7,67.0,67.4,-1.10,"7,966"
107/08/23,"9,455,491","633,951,632",67.5,67.6,66.6,67.3,-0.10,"3,914"
107/08/24,"6,618,950","445,762,515",67.6,68.0,66.8,67.4,+0.10,"3,644"
107/08/27,"15,259,816","1,058,679,021",68.1,70.3,67.7,70.1,+2.70,"6,948"
107/08/28,"14,814,608","1,060,566,266",71.5,72.3,70.7,70.7,+0.60,"7,437"
107/08/29,"9,517,378","670,573,957",71.1,71.4,69.6,69.9,-0.80,"5,353"
107/08/30,"6,239,431","433,927,609",69.9,70.3,69.0,69.8,-0.10,"3,481"
107/08/31,"11,311,863","782,712,234",69.2,69.7,68.2,69.7,-0.10,"5,113"
107/09/03,"10,552,552","714,778,854",69.7,69.7,66.6,66.7,-3.00,"5,809"
107/09/04,"4,594,776","310,338,697",67.4,68.2,67.1,67.6,+0.90,"2,699"
107/09/05,"9,310,104","622,052,321",67.6,67.9,66.2,66.6,-1.00,"4,559"
107/09/06,"25,052,637","1,607,250,368",65.0,65.4,63.5,63.6,-3.00,"12,276"
107/09/07,"43,903,884","2,584,091,000",59.3,60.7,57.3,57.5,-6.10,"19,362"
107/09/10,"22,870,055","1,339,009,254",57.6,59.9,57.6,59.4,+1.90,"10,191"
107/09/11,"14,966,607","896,740,589",60.0,60.8,58.9,60.1,+0.70,"7,363"
107/09/12,"16,715,439","966,964,010",58.9,58.9,57.3,57.4,-2.70,"7,124"
107/09/13,"16,617,681","958,416,698",56.5,58.7,56.2,57.5,+0.10,"7,559"
107/09/14,"13,777,979","819,129,130",59.4,60.0,58.9,59.6,+2.10,"6,986"
107/09/17,"24,236,129","1,486,500,625",60.2,62.9,59.5,61.2,+1.60,"10,752"
107/09/18,"13,211,697","788,917,070",60.0,60.3,59.3,59.3,-1.90,"6,980"
