date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"38,050,445","910,318,336",24.15,24.4,23.4,24.1,+0.15,"13,095"
107/07/03,"70,932,544","1,765,564,265",24.7,26.2,23.2,23.5,-0.60,"25,765"
107/07/04,"33,190,072","798,848,782",23.55,24.85,23.35,24.85,+1.35,"11,958"
107/07/05,"43,470,205","1,049,502,021",25.0,25.25,22.9,22.9,-1.95,"15,252"
107/07/06,"88,542,220","2,161,031,182",24.3,25.15,23.4,25.15,+2.25,"28,159"
107/07/09,"83,460,024","2,113,151,306",26.3,26.5,24.35,24.6,-0.55,"27,073"
107/07/10,"30,870,111","744,778,971",24.85,24.9,23.65,24.25,-0.35,"10,394"
107/07/11,"19,195,271","460,273,775",24.0,24.8,23.2,23.4,-0.85,"7,719"
107/07/12,"15,875,574","380,908,229",24.0,24.4,23.7,23.8,+0.40,"6,556"
107/07/13,"22,110,306","537,671,108",24.2,24.8,23.9,24.1,+0.30,"8,086"
107/07/16,"14,661,080","347,642,166",23.6,24.1,23.4,23.65,X0.00,"5,434"
107/07/17,"12,733,000","300,688,197",23.95,24.15,23.0,23.1,-0.55,"4,995"
107/07/18,"22,281,987","501,092,414",23.15,23.3,22.05,22.1,-1.00,"8,037"
107/07/19,"13,133,134","290,900,126",22.3,22.6,21.8,21.95,-0.15,"5,203"
107/07/20,"10,902,842","235,737,721",22.2,22.3,21.05,21.3,-0.65,"4,307"
107/07/23,"12,013,657","249,346,670",21.5,21.55,20.3,20.75,-0.55,"4,803"
107/07/24,"16,129,946","351,447,912",21.2,22.2,21.1,21.8,+1.05,"6,990"
107/07/25,"8,115,168","173,269,381",21.5,21.65,21.05,21.35,-0.45,"3,423"
107/07/26,"5,550,340","119,118,781",21.5,21.75,21.2,21.4,+0.05,"2,295"
107/07/27,"10,669,268","231,858,404",21.4,22.0,21.4,21.55,+0.15,"4,301"
107/07/30,"6,934,604","145,813,574",21.5,21.55,20.75,20.75,-0.80,"2,767"
107/07/31,"4,192,260","87,717,565",20.6,21.3,20.6,20.85,+0.10,"1,864"
107/08/01,"2,913,333","60,924,351",20.95,21.1,20.75,20.9,+0.05,"1,335"
107/08/02,"10,415,942","218,421,408",21.0,21.5,20.4,20.45,-0.45,"4,512"
107/08/03,"3,684,460","76,034,643",20.6,20.9,20.4,20.8,+0.35,"1,549"
107/08/06,"4,327,156","89,402,469",20.95,21.1,20.4,20.45,-0.35,"1,839"
107/08/07,"3,747,776","76,158,935",20.5,20.6,20.2,20.2,-0.25,"1,526"
107/08/08,"2,626,202","53,172,889",20.2,20.4,20.15,20.15,-0.05,"1,234"
107/08/09,"3,718,668","74,334,418",20.2,20.35,19.85,19.9,-0.25,"1,649"
107/08/10,"7,464,267","152,565,550",20.1,20.75,20.0,20.4,+0.50,"3,473"
107/08/13,"9,614,619","184,778,815",20.0,20.1,18.45,19.2,-1.20,"3,983"
107/08/14,"5,264,855","99,668,371",19.15,19.35,18.5,19.1,-0.10,"2,159"
107/08/15,"4,848,146","91,472,542",19.3,19.3,18.55,19.05,-0.05,"1,991"
107/08/16,"22,892,329","452,944,487",19.3,20.5,19.2,20.2,+1.15,"8,398"
107/08/17,"9,297,242","184,353,545",19.75,20.05,19.7,19.85,-0.35,"3,591"
107/08/20,"11,267,325","224,623,666",19.9,20.2,19.5,19.5,-0.35,"3,994"
107/08/21,"4,426,344","86,454,391",19.4,19.95,19.15,19.95,+0.45,"1,974"
107/08/22,"4,014,645","79,746,138",20.1,20.15,19.55,19.55,-0.40,"1,745"
107/08/23,"2,372,636","46,494,407",19.65,19.75,19.45,19.75,+0.20,"1,029"
107/08/24,"6,931,515","138,074,319",19.75,20.15,19.6,19.95,+0.20,"2,979"
107/08/27,"4,634,866","92,767,870",20.05,20.25,19.75,20.1,+0.15,"1,831"
107/08/28,"19,162,096","398,893,185",20.45,21.15,20.35,20.35,+0.25,"7,625"
107/08/29,"4,662,295","94,757,632",20.2,20.55,20.15,20.35, 0.00,"2,075"
107/08/30,"3,844,989","78,735,720",20.55,20.75,20.3,20.3,-0.05,"1,896"
107/08/31,"3,291,065","66,927,765",20.2,20.5,20.2,20.45,+0.15,"1,351"
107/09/03,"3,978,892","79,687,780",20.65,20.65,19.7,19.7,-0.75,"1,801"
107/09/04,"2,335,826","46,327,350",19.8,20.0,19.6,19.85,+0.15,973
107/09/05,"4,961,805","99,498,803",19.95,20.25,19.85,20.25,+0.40,"2,008"
107/09/06,"10,654,568","217,237,229",20.35,20.6,20.1,20.1,-0.15,"4,281"
